exceptional 	 go Montreal weekend getaway husband . Stayed Emabby Suites disappoint . arrive receive warm welcome quick check . staff bilingual gladly speak either English French . fact everyone encounter Montreal completely bilingual happy speak English . truly friendliest people ever meet . hotel centrally locate short walk old Montreal go block direction heart downtown shopping ! hotel room clean well maintain . although bedroom bit small rest room quite spacious make . kitchen equip fridge , microwave lot cupboard space . large living room huge bathroom whirlpool tub . never trouble find parking spot underground spot provide ( fee ) prvilege . Manager 's reception hold night oferre complimentary snack two complimentary drink night stay . also provide complimentary breakfast large spread bacon , egg , omlet -prepared spot , sausage , cereal , standard fruit morning pastry . hotel well worth . 
 Best Embassy Suite ever 	 well - design modern hotel wonderful walking location , adjacent old Montreal Chinatown . suite spacious fireplace , large jacuzzi tub , extremely comfortable mattress , living room , kitchen , two - flat screen television hook mp3 player . service excellent . definitely stay . 
 Nov 25 2009 	 wonderful gem 	 last fall business trip Montreal stay Embassy Suites pleasantly surprise outstanding quality room buffet breakfast . , year come time husband decide go anniversary suggest stay Embassy Suites Montreal . couple hour drive Ottawa nice getaway . preference one pricey hotel Embassy Suites know would disappoint . course remain skeptical walk room . room jet tub , king size bed , two flat screen tv 's , full kitchen stainless steel appliance ... . fact wonderful hot breakfast buffet order include stay 5 minute old Montreal icing cake . we fantastic weekend away big part certainly contribute great service receive , fantastic room . husband comment weekend fact could believe amazing price . one drawback hotel valet parking big deal , not hesitate not let fact terribly expensive fool . rely review please write let know stay . 
 Nov 21 2009 	 Great Value Luxurous Room Many Perks 	 front desk service excellent . check - in breeze personnel friendly . concierge kindly recommend suggest running route . room spacious bed comfortable . twin jacuzzi room nice bonus . location hotel practically heart city . step away Old Montreal Chinatown walk distance rest downtown . also great perk : include hot breakfst drink ticket happy hour . nice bonus bartender extremely kind . able coerce kitchen make pizza even though menu . go beyond , busy . 
 Nov 11 2009 	 could not pick well 	 stay Montreal week plan book suite type hotel . actually different hotel book deal come Travelzoo Embassy Suites Hilton little cheap original one have book switch booking . ' m glad . square would stay bogge construction would noisy dusty week . Embassy Suites Rue San Antoine right across Convention Centre , Palais de Congress , include Metro stop gateway underground network . walk short incline beside hotel be stand across Notre Dame Basilica Old Montreal foot , shop restaurant old street building . be spoil choice ! side hotel , be block two chinatown block St. Catherine 's street go north Bell Centre go west . walk place take Metro couple time . hotel clean staff always helpful . suite King suite bed seperate & quot ; room & quot ; could close slide door . bed quite comfy pillow awesome ! think living room couch sofa bed , well . bathroom large jacuzzi tub . could not figure turn hit control accident sort ! plenty hot water , lot towel soap . bring dish cutlery ask . not bother get dishwasher unlocked not plan cooking , use microwave reheat wash coffee cup hand . read review , already know bring dishcloth towel that . we not see supermarket nearby convenience store convention centre couple Old Montreal well . Breakfast include full cooked breakfast want . could egg way want want omelet , put ingredient choose little bowl hand one chef . fresh fruit , croissant pastry , bagel , toast , cereal ( couple choice , little packet ) , juice , coffee tea ( though partner think coffee bit weak side ) . every night & quot ; manager 's reception & quot ; give voucher two free drink per adult guest . take advantage couple night . one caveat , though , beer cover free voucher Keith 's draft tap . , mixed drink , think , glass wine include . couple cocktail would cost $ 12 buy not know will not include bottled type beer free drink not really matter . say , staff always helpful friendly question ask cheerfully answer . concierge great help , though one direct us restaurant Old Montreal open lunch particular day . oops ! 's free wifi hotel lobby able get suite twice still connect lobby usually want log password . not bother call get iPod touch anyway , laptop not major consideration . apparently temporary fitness centre one suit second floor . not see imagine be pretty basic . not think park free parking beneath hotel laundry facility one parking level coin operate machine . feel bit remote though , sure would feel comfortable use . small business center free guest use , two pc though website block ( social networking one ) . restaurant basic , double bar breakfast room . room service choice not extensive cover basic . nice burger fry reasonably price consider expensive room service food usually . would recommend hotel location great staff . 
 Oct 31 2009 	 Nice hotel kitchen handy 	 really enjoy kitchen , be handy able save leftover fridge keep drink cold ! pleasantly surprise receive 2 free drink per day per person . staff friendly helpful . room clean quiet . good location , short walk Notre Dame . breakfast buffet somewhat madhouse , can not really complain since be free . 
 Oct 29 2009 	 not count breakfast ! 	 overall service front desk staff wonderful room lovely spacious . hotel walk distance many nearby attraction include Old Montreal metro . perhaps disappointing experience Embassy Suites include poor service offer mad rush breakfast . hotel clearly ample seat area staff accommodate hotel guest breakfast . table pile high dirty dish guest force wait long line food drink . 
 Oct 26 2009 	 Excellent service ... excellent hotel ! 	 family trip Montreal stay two bedroom suite hotel . hotel beautiful . clean spacious ! kitchen nice ... granite countertop ! breakfast cook order everything delicious ! definitely stay anytime visit Montreal ! 
 Oct 26 2009 	 Wonderful Service Great Location ! ! ! 	 stay 3 night pre - cruise pleased . moment arrive check - in pleasant efficient concierge wonderful arrange luggage deliver room recommend great italian restaurant within walking distance . location convenient visit Notre - Dame Old Montreal . RES ( underground city ) within 1 block take we Montreal . hotel clean spacious . enough room free wi - fi reliable . bed comfortable separate living room bonus . huge jacuzzi tub look invite use . breakfast little crowded morning always able get table . check also efficient concierge arrange luggage taxi we dock touch bag entire morning . would definitely stay go back Montreal . price less $ 180.00 usd well worth money . 
 Oct 26 2009 	 bring light bulb 	 stay one night pre - cruise . book great AAA rate corporate website . family member opt bit pricey room good decision ! room queen / non - suite tiny ! little kitchen nice bathroom ( albeit small ) DARK ! 3 overhead light couple dim bedside lamp . good could . folk get apartment complete full kitchen , huge bath , proper lighting living room separate ( door ) bedroom . go figure . the lobby dark room weather grim wet arrive 9pm stay hotel supper okay look forward find nice bistro nearby . breakfast zoo - weekend Canada 's thanksgive hotel pack family group know else . toughe basically hang around apartment ( little cell ! ) awhile venture area ..... bit pre - cruise shopping check out . overall , would recommend hotel get big room . 
 Oct 24 2009 	 Great Location Great Breakfast 	 stay 3 day last week . great stay . the location perfect , 2 block Notre Dame / Old Montreal 2 block Chinatown . able walk anywhere want city , metro station block away well . the room perfect . arrive 3 hour early receive room immediately . kitchen clean living room bedroom spacious . bathroom enormous . go walk come back 2 hour later request crib son come promptly . we ready breakfast open every day ( 6:30 week 7:30 weekend ) . open right time ton food option . garage convenient result end use car would ( be easy drag toddler stroller Metro ) , go Olympic Park Mont Royal . everyone front desk friendly . hotel 3 internet station although not use lot , never wait computer . we would highly recommend hotel . 
 Oct 11 2009 	 Great value nice clean room 	 stay 10 - 1 10 - 4 . negative mind ... room well appoint , decent furniture , nice little kitchenette , stainless granite nice bathroom ... bachelor party ... really complaint ... sleep fold sofa custom king ... think sofa bed surprisingly comfortable ... give bachelor king bedroom ... great location Old Montreal plan hang ... free breakfast good ... omelet station , lot bread , croissant , etc ... bacon potato , juice , fruit yogurt ... great place stay Old Montreal ... bike rental spot right outside hotel ... rent bike return various spot throughout city , really great idea NYC ... 
