great 	 right middle downtown , next metro station , could not ask well location . however room nothing special . king bed pull couch suite ( small kitchen ) . nothing blatantly wrong , little thing show hotel luxury one . appliance date work fine . bathroom tiny need update . little hole bedsheet . one power outlet work . list go , none thing really impact stay . deal staff much can not comment helpfulness . it be convenient place great location good price . work we , not stay expect luxury 
 Nov 25 2009 	 great location room ok 	 hotel right middle everything , could walk everywhere . staff helpful . room nice . would rather pay stay Sofitel across street . parking suv . 
 Nov 16 2009 	 great location . great value . 	 book line excellent rate . room 17th floor nice , clean comfortable . staff helpful ask . location ideal metro McGill . evening coffee drink mezzanine expensive , next time skip drink . ice available 27th floor ! quiet season . excellent value line rate . would definitely stay . 
 Nov 10 2009 	 Good Value Great Location 	 stay Le Cantlie 4 day , solo visit Montreal early November . check - in , give two - bed room , reservation specifically call one - bed - with - seating - area . clerk try tell reservation say otherwise , rectify situation . studio room good single person couple share bed . seat area nice . kitchenette build wall , like closet , adequate silverware , plate , cup , etc . staff bit stand - offish , answer question helpful ask . good part location , corner Sherbrooke Peel , right near Peel metro station . decor bit date , place clean . real complaint one night order room service , though quality meal poor . be well go around corner L'Entrecote St. Jean steak frite . good value hotel , luxury resort mean . 
 Nov 7 2009 	 $ 22 / day parking - $ 5 / Day Wifi 	 Forget place ! charge $ 22 day parking ( average rate montreal $ 14 ) . charge $ 5 day connect Wifi service ( average rate montreal FREE ) . 
 Nov 3 2009 	 unimpressed 	 husband stay Cantlie 1 night . read review think would take chance . room not bad . however stay Cantlie good night sleep . hotel noisy traffic noise . several group people coming go 2400 - 0230 morning make lot noise . ( adult group ) . 2 woman start knock door good 20 minute finally go next door thing . parking valet expensive . staff front desk not willing listen report negative feedback become defensive . would stay . 
 Oct 28 2009 	 Decent Hotel Nice Location 	 stay group friend August . good weekend . convenient downtown location . room pretty big bed comfortable . nothing particularly fancy . mini kitchen , nice fridge , think stove look 50 year old . we not use rooftop pool , tell tiny , though nice view there . my one big complaint key card , actual key . would rather simply standard card swipe . additionally , give we 2 key per room want we pay extra key - yet book room pay extra 3rd 4th guest per room . not see not include . all , fine weekend friend hotel not spend much time , nothing particularly special . 
 Oct 19 2009 	 Great Hotel Amazing location 	 location can not beat - right across McGill University corner Sherbrooke Peel . walk distance good shop , restaurant theater . tell family run Hotel one impersonal big chain lot time effort spend little thing make difference . originally Montreal come visit quite regularly . first time stay Hotel definitely last - $ beat easily compete even beat Marriots Deltas usually stay . many relative friend visit city need access car time day . like valet parking reasonably price - charge we per day actual valet service use time day .. six people . sister in - law husband stay suite 2304 - studio small kitchenette , queen bed living room sit area overlook Mont Royal park . nice room decorate french provincial style . husband , 2 kid ( 6 & amp ; 10 ) stay apartment 2401 overlook town . apartment amazing - decorate modern fresh style . full kitchen , din room , living room separate bedroom 2 queen bed . bed great - soft pillow , duvet luxury linen . two flat screen tv . living room leather couch . place extremely spacious . even get big fluffy bath robe - great . use pool roof top great view refresh hot summer day . breakfast include - serve second floor din hall overlook fashionable Sherbrooke . elegant - coffee great . overall excellent place stay - back . LS 
 Oct 10 2009 	 terrible service decent hotel 	 front desk staff short customer , manager sit back room line grow lobby , staff take two day bring second key room though ask several time . approach abrasive , take poorly criticism . also note : pool seasonal . 
 oct 2 2009 	 Excellent Accommodations 	 recently stay hotel three day / two night . choose hotel Travelzoo promotion - great rate full breakfast include . room 22nd floor clean , spacious comfortable . location perfect not car walk everything want see . standard high Le Cantlie Suites Hotel easily meet ! 
 oct 1 2009 	 good experience ! 	 boyfriend book room Le Cantlie Suites read review afterwards really unsure expect ... turn good experience despite negative review ! hotel general … the location hotel great ! right within walk distance awesome restaurant , shopping nightlife , ' short cab ride away pretty much anywhere want go Montreal . the hotel clearly bite old … décor outside beg update throughout ( except Mezz ) ' really big deal . everything presentable , clean functional ' really complain ! room old fashion mostly date furnishing , , clean presentable . 3 small elevator hotel … boyfriend two suitcase go fit one . large family , prepare two trip go separate elevator ! try go rooftop pool glass door lock ( probably cold swimming ) ' comment much . could see , pool looked date , still nice . parking garage check breeze front desk staff pleasant extremely helpful . give we good direction , map recommendation stay . , staff hotel good ! staff complaint bartender Mezz bar … young clearly inexperienced , rude , charge double one drink order , give attitude try calmly explain mistake . otherwise , Mezz cozy feel nice place chat relax want get room go far . about room … we stay 3 night small , standard suite 24th floor king bed , flat screen tv , couch , desk chair , iron board , microwave small kitchenette refrigerator . stay room rear face side building … room overlook downtown area river … pretty day light come night view nice ! room old look deck inaccessible glass doorway well window locked shut . look bit dangerous old anyway … wall fairly thin hear lot dull noise hallway neighboring room . ' weird ' also vent bathroom seem carry lot noise neighboring room ! could always clearly hear neighbor run water / shower . biggie though , nothing loud enough really upset we stay . the room excellent climate control could easily quickly adjust wanted warm cooler . bed decent pillow squish blah , give two , ready ask ! call ask extras room staff come within 15 minute . the kitchenette nice room ! microwave , refrigerator stove handy choose bring food take home leftover eat later ! ' want use mismatch dish shelf refrigerator though … the bathroom adequate probably need repair area . lot mold / rot corner , peel cabinet front , etc . even towel small hole . willing overlook thing , totally functional fine use . good news give lot light mirror , shampoo / conditioner , etc , decent blowdryer . water pressure shower strong ! overall … we good experience Le Cantlie Suites Hotel ! willing overlook old fashioned décor spot need updating / renovation , perfectly good hotel great location helpful staff reasonable price ! 
