Finest 	 business traveller look trendy , chic , amazing experience hotel , W Montreal finest find . treat professionalism cordiality minute walk lobby . room spacious monstrous bathroom copious amenity . concierge always strive perfection matter need . small boite bar lobby perfect place unwind capable bartende hand Paul . everyone remember name make feel welcome . Bryan ( one manager ) exact ensure every visit perfection . drawback lackluster restaurant ( own hotel ) . choose W Montreal one favorite hotel world . 
 excellent stay extremely ` ` WOW have '' 	 decide take one night trip Montreal stay Vermont Thanksgiving fabulous stay W. upon check , upgrade Extreme WOW suite amazing . bose surround sound , espresso machine , dining table , living room , huge balcony , 20 foot glass wall , 1.5 bathroom . fabulous really appreciate upgrade . even platinum starwood member , place upgrade nice suite , nice cash point rate . prosthe location great able walk around Old Montreal see site . highly recommend Notre Dame Basillica , maybe 5 - 10 minute walk Hotel . train station also really close Montreal subway . staff really great . hotel extremely clean everyone ask help extremely accomodating . order room service dinner , arrive promptly food delicious . upgrade suite great , room not ready , give two free cocktail bar nice gesture . the restaurant superb . lunch upon arrival food service excellent . meal around $ 25 per person include appetizer . consthe internet not work first day wait room 5 pm . upgrade not mind much , might annoying wait long room actually book . workout room kind small compare non - NYC Ws , still couple elliptical treadmill small free weight area . other stay perfect definitely return hotel next trip Montreal . 
 Ultra trendy 	 chic ! trendy lot fun . drawback high price tag go ultra modern chic ! 
 Definitive ` ` cool '' hotel 	 be look place stay Montreal 's close & quot ; everything & quot ; , little different traditional hotel , . located edge old Montreal , within walk distance Place Bonaventure , gare Centrale ( train station ) , Bell Centre , rue Sherbourne , etc . decor & quot ; cool & quot ; ; think modern trip - hop european dramatic muted lighting , square edge , light sculpture . room large enough , flat screen tv dvd player , & quot ; see - through & quot ; shower ( something either enjoy ... ! ) service impeccable , bar place see , see . 
 simply Superb ! ! ! 	 person stay hotel 40 time year , able compare constrast well worst many hotel offer . W Montreal rank exceptional hotel - ? yes location ideal , close good bar , restaurant , architectural building . yes ATMOSPHERE lobby , elevator , hallway fresh modern elegance class , set right mood evening . seperate rest simply amazing thoughtfull STAFF . bartini must visit . Sou Bartini able pour sinful drink taste bud may desire , provide personal attention warmth always expect , rarely receive . sou one example make individual like continuously return W , . hence amazing personal attention , location , atmosphere , make visit W Montreal , treat sense . can not wait go back . 
 ahhhh modern luxury traveler look fun relaxation ! 	 staff W Hotel Montreal always fantastic ability remember name ensure everything perfect . kind doormen Paul Ielovcich coffee bar morning - everyone concern guest excellent stay . 
 home away home 	 frequent business traveler stay W Montreal maybe one two time per month usually day stay . find hotel centrally locate one enjoyable stop business Montreal . the room quite nice W Montreal one hotel window open allow fresh air supplement central air find sometimes stale . bed quite comfortable allow great night ' sleep . the business center tiny enclose room get quite warm . plus hotel like . fitness center convenient equipment allow good workout . the bar hotel quite good diverse afford different setting experience depend mood . bartini first level small quaint allow & quot ; Cheers & quot ; experience speak . Plateau Lounge second floor great relax , chat , maybe people watch also great spot grab drink colleague work . bright spot hotel staff . obviously travel frequently hotel allow get know various staff nothing high praise professionalism commitment service . Doorman always polite offer hand . front staff , say . feel like home . arrive long flight greet name ask trip etc . always pleasant appreciate . catherinel particular always find way make fellow business traveler stay hotel special . overall , opportunity stay business hotel Montreal find W stylish hip affording level business professionalism well compliment . hotel nice often staid . highly recommend hotel . 
 Nov 25 2009 	 best ! 	 regular guest hotel say well ! ! service excellent ! every employee willing help , smile take time make sure everything perfect ! decor gorgeous ambiance cool ! get wow factor ! hotel clean pay attention detail ! location perfect , walk go everywhere direct access subway ! go Wunderbar Plateau Bar make sure try & quot ; la rise & quot ; favourite cocktail ! ! incredible ! breakfast Otto good ! & quot ; hard please customer & quot ; ... say hotel perfect perfect : - ) always stay luxury hotel hotel definition luxury ! nice stay ! 
 Nov 25 2009 	 Service W hmmm Wonderful . thank Catherine L . 	 private , special , wonderful , great weekend plan partner . without Catherine Lesperance , hotel service manager , believe , could special . Catherine go way make sure room extra special , delicate touch perfection . we please stay , welcome city , home away home . thank , Catherine . thank W ! 
 Nov 25 2009 	 well treat exceptionally well take care ! 	 wife complete 3 night stay W Hotel Montreal love hotel accomodation , facility staff . second visit W Montreal , first 5 year ago hotel newly open . refreshing change first visit ! ! ! staff friendly welcoming ( Katherine front desk ) , offer upgrade suite nicely appoint , spacious extremely comfortable . much enjoy convenient location hotel , walk distance shopping , metro restaurant . bartini nice stop way evening . we would highly recommend hotel 
 Nov 24 2009 	 warm Greeting ! 	 wonderful experience W ! great room location . appreciated warm greeting dedicated staff especially catherine front desk . helpful , positive , sunny energy make visit WOW . look forward next visit ! ! 
 Nov 24 2009 	 W Montreal- Top Notch 	 travel Monreal frequently experience Starwood property city . W Montreal , far , favorite . moment walk door , energetic friendly front desk staff always greet name ( Catherine good ! ) make sure stay go well . always think nice touch hotel call right go room make sure everything okay . staff hotel- doorman concierge top notch consistently last two year travel . experience , always sign good hotel management keep good staff . location ideal- downtown Old Port right Square Victoria . w nice getaway run - of - the mill business hotel highly recommend it- either business pleasure . 
 Nov 23 2009 	 Worthwhile 	 husband stay W Hotel Montreal past weekend . book king wehn check we queen . ask correct problem would 45 minute ( close 1 /12 hrs ) . meantime send we & quot ; Bartini & quot ; complimentary drink . chat Dani fill we bit & quot ; W & quot ; philosophy . bit long wait , rush . luggage room , call still took get want dress go . room really lovely . SPOTLESS . fact whole place . fingerprint mirror , glass surface anywhere . impeccably clean . nicely appoint . thing horrible polyester hotel bedspread , pick W mention duvet room amenity list . bed extremely comfy feather bed , pillow etc . loved oversized velvet chaise reading turquoise tafetta drapery . quiet . find valet really helpful staff pleasant kissy - poo . like 18 % surcharge room service top $ 5.00 delivery . internet hotel like complimentary coffee maker room . little thing make difference select hotel . do not mind pay cup time wake make presentable . peek - a - boo shower big deal , shower curtain pull privacy toilet . reviewer note , young crowd , feel like party hotel . almost 50 feel like old timer . great lounge lobby people watch . design standpoint , beautifully done definitely feel special . really enjoy . 
 Nov 20 2009 	 W stand wonderful 	 Halloween W Montreal fantastic . hotel locate beautiful old Montreal , walk distance fine architecture Canada . 's location also walk distance downtown , quick cab St. Laurent St. Denis . room amazing . two floor second hang first . two storey floor ceiling window , fantastic glass shower living area , enjoy view Victoria Square . staff W fantastic ! big Thank concierge Patrick hook we fantastic Canadians ticket see play Toronto . two bar great resto hotel give plenty reason stay hotel . Great Hotel , great location , great staff , great city ! ! Andrew , Winnipeg , MB 
 Nov 19 2009 	 hotel much class ! 	 W Montreal perfect place take care business relax enjoy fine hotel offer . warm wonderful way bell staff greet way front desk check make feel welcome . also certain & quot ; magic & quot ; air every part hotel . room beautifully appoint oh comfortable . professionally train staff always ready tend anything might need grace style . nothing like great restaurant outstanding cuisne amazing wine list go wonderful Otto locate within W. need relax , away spa staff expertly pamp . want great drink cool atmosphere , Plateau Bar well class . highly recommend hotel business pleasure ! 
 Nov 19 2009 	 WOW .... absolutely fantastic 	 recently stay W Montreal one positive experience ever hotel . work require travel weekly often hotel far well good . room great service make stand . entire team always available meet need , especially Francois ( W Insider ) . Montreal must stay W sure find Francois , Mireille & amp ; Patrick ( good concierge ever ) course stop Bartini drink Sou . 
 Nov 14 2009 	 Source Fabulousness 	 never stay W , please understand compare hotel say : wow . amazing experience . stop plan extend stay Montreal one extra night . Wednesday around 11:00 a.m. , pauline front desk helpful , exceptionally helpful . need room check right , otherwise would leave bag desk car grab late breakfast / early lunch , find we room right spot . chat we town - birthday - really sweet , even sweet set small tray chocolate cover strawberry room & quot ; Happy Birthday & quot ; card well . room . think ideal world someday room oasis / bedroom . bed crazy comfy , layout style beautiful , bathroom really neat . big curtain shut bedroom bathroom , second curtain vertical rain shower . toilet separate small room back , weird thing room , dark brown little light blow photo dandelion head one wall . get point style little less comfy - luxury little artsy club bathroom stall . we try two bar , ultraloungey Wonderbar Plateau Bar . plateau nice , Wild Turkey try substitute Jameson , something upset scotch - love fiancee bit . & quot ; can not take bourbon replace whiskey ; be entirely different drink , see , & quot ; say waitress . not quite seem get , polite . amazing brazilian liquor drink name forget , refreshing intoxicate quality get great blend liquor , lime , mint . highly recommend , figure slightly generic description . we hit Wonderbar later night , fill like crazy exactly would want ultralounge - loud pack full fabulous people . neat able bypass line pop right guest hotel . imagine awesomely privileged feel Saturday weeknight . the W 's location right border old Montreal choice . concierge helpful needed point right direction food . not even give much help first time , stop ask dinner recommendation . & quot ; type cuisine look , & quot ; ask . & quot ; steak , & quot ; say . fiancee ask liked eat dinner , immediately recommend Barroco , six block away . choose walk , would do bit drive already , amazing meal . ( go , get short rib . Holy moly , fall right bone . ) quick breakfast recommendation next morning great well . the valet nice quite fast , offer wash car arrive . decline , get dirty purpose offroade Vermont , think mud look great bright yellow Jeep Wrangler . leave drive back home , valet day give we bottle water road , thank we stay . all , everyone speak W helpful , nice , fun , amazing time . highly recommend check ever get chance stay Montreal . 
