enjoyable 	 ideal location , extremely friendly helpful staff . would definitely recommend hotel anyone look someplace small romantic , great location , good value . 
 Aug 20 2008 	 Charming Auberge near Latin Quarter Mont - Royal 	 difficult time find place stay Montreal , extremely happy end Auberge le Pomerol . situated 2 - 3 block St - Denis , be perfect place stay want visit many excellent restaurant area , many APP ( bring wine ) . be also walk distance Old Montreal Contemporary Art Musuem . auberge homey eclectic contemporary . room moderately size large bathroom include two - person size spa tub . breakfast include - morning receive little case croissant , piece fruit , orange juice , yogurt couple oatmeal cookie . also serve free snack afternoon - cheese cracker , cookie fruit . auberge reasonably price , ' full - service ' hotel . room service , porter , dining room bar . however , look great base explore east side city old Montreal , Auberge de Pomerol quite nice . 
 Aug 11 2008 	 Happy Pomerol 	 stay one night centrally - locate Pomerol . personnel nice , room ( & quot ; executive & quot ; one ) comfortable - yes , jacuzzi work fine . flatscreen tv set , stereo , alarm clock , everything bathrobe . not nice view important . close bus terminal , latin quarter village plenty great food entertainment option . continental breakfast include ( good croissant town , jam , cheese , coffee , yougourt , etc . ) . 150 $ night , 's good deal . 
 Aug 11 2008 	 Nice hotel great Location 	 stay Pomerol 3 night last week . staff nothing courteous . room ( economy room 2 twin ) small design efficiently . bathroom sparkle clean . like idea complimentary continental breakfast deliver room morning . hotel also offer free snack afternoon , never around take advantage . complaint would ( although really concern we - like warning ) twin bed arrange touch can not move apart . could awkward share someone not know well . , stay pretty much perfect . 2 block St Denis , close Ste Catherine right across street 3 metro line ( Berri UQAM Metro station ) . review complain homeless people - yes , see near Bus Depot Berri Maisoneuve , bad north american city . approach hassle . 's sad unfortunate thing , bind homeless people large city complain nothing harm we nothing rude . Montreal lovely city next time visit , would definitely stay . 
 Jul 14 2008 	 Excellent Value 	 stay hotel three night 4th July weekend . hotel offer excellent value . find location perfect , within easy walk distance Old Montreal site . our room small , impeccably clean . gladly stay . 
 Jul 10 2008 	 Favourite ! 	 stay time Montreal Pomerol personal favourite ! auberge well - situate , directly downtown near Village , front major subway station 2 minute walk bus station . pomerol quite small , interior well - design not feel tiny , cozy . welcome kind , polite competent staff . great surprise open bedroom 's door ; superior room decoration perfect . far away lot kitsch hotel inn see . everything modern custom make Pomerol . even threaten staff would steal painting would not able find anywhere else ! go back front desk receptionist offer visit room , ( work kind travel agency ) . honest , economic room bit small look good anyway . regular superior room worth 20 40 buck . executive mind - blowing . room little fridge plasma television dvd player also listen music . free snack offer hotel late evening guest kitchen ( include cookie , cheese , coffee , tea ) go comfy night sleep . breakfast morning little light good . Muffin , crescent , jam , cheese , coffee , front door wake . need hurry dress go eat ! chance lazy ... overall , pomerol responsible great romantic get - away Montreal ! 
 Jun 9 2008 	 great staff 	 stay Pomerol Montreal Grand Prix . one hotel room leave . nice section downtown Montreal , hotel nice . small , charm . ecomonic room leave small clean decorate nicely . staff really make place . two woman front desk go way helpful , even let we stay beyond checkout time extra charge . small kitchen stock cheese , cracker , cookie , coffee etc . 3:00 p.m. 11:00 p.m. nice touch . subway right across street walk old Montreal take 15 - 20 minute . 
 Mar 27 2008 	 look 	 nervous reading review site could not happy stay . the price great . grant , middle winter Easter weekend , room steal . furthermore , tight budget , could EASILY save money breakfast lunch eat hotel breakfast snack . breakfast consist croissant , another type pastry ( muffin danish ) , yogurt , piece fruit , package cheese drink -- per person . snack appear around 3 pm include several type cookie , cheese platter , cracker dry fruit . plus , bread peanut butter jelly kitchen times day . , hopefully get sample delicious food Montreal , really want save money food , would good choice stay . the location perfect . 's block St. Denis cover restaurant . be right across street Metro . one review say block away -- true . be directly across street . the staff friendly somewhat helpful . offer many recommendation like one review say . also get & quot ; go st . Denis food & quot ; recommendation someone else mention . also , seem like package offer Botanical Gardens Biodome $ 5 buy actually go Biodome purchase ticket . we stay executive suite pretty nice . travel quite frequently , frankly , room room unless be really bad room . room probably average jacuzzi tub use every night . bathroom pretty small big deal . room decent enough size taste . compare room , say Fairmont hotel , be much small ( get big room ) , like say , 's place sleep , really . there lounge downstair computer fireplace . wireless internet available free password . restaurant right next door ( connect hotel ) . wall little thin , big problem . could hear neighbor tv one point night , nothing wake up . overall , would DEFINITELY recommend place would ABSOLUTELY stay come back Montreal . 
 Aug 11 2007 	 would not return 	 stay two night would return several reason . neighborhood , although probably safe , unappealing . many folk street . nothing recommend building store nearby . return 10PM one night , ask could eat time tell go rue St. Denis could probably find someplace . think hotel knowledge available along St. Denis know would easily find place close . end walk around find decent hamburger / pizza place block away towards St. Denis . restaurant direction , , would expect management aware seem . look back think get pay consider Montreal expensive , large city . room ok one complimentary breakfast good . Metro block away get anywhere city . speak french everyone ( include parking attendent ) helpful friendly . 
 Jul 24 2007 	 lovely Auberge Fair Location 	 overnighte Montreal Auberge Le Pomerol , 819 Boul . De Maisonneuve July 2007 . clean , beautifully decorate comfortable room king bed , large flat panel tv , Sony radio several grade standard hotel issue . large jetted - tub modest - size bathroom remote AC cap feel small - space luxury . inn provide nice touch . Breakfast appear -- bread , cheese , juice , yogurt -- close basket hung hook outside room . cookie , dry fruit light snack available gratis downstairs room 11 pm . meet friendly helpful staffer . we reserve day front desk good price $ 130 plus taxis use & quot ; last minute & quot ; promo code obtain Tourisme - Montreal . free use off - site gym include , decline . parking available private lot right behind hotel $ 14 / night . we big , bad , negative location . although store restaurant close hotel , Old Montreal . take two senior 25 minute walk Old Montreal , pass scruffy panhandler along way . brisk walker could cut time half . desk clerk advise we walk far towards left hotel much good see . native New Yorkers , accept local & quot ; good sense & quot ; restriction part life large city . subway close , taxi always option . minor inconvenience step tiny lobby elevator . staff willingly help bag ask . wife highly recommend inn leisure traveler , except prefer close old city . much enjoy brief stay . 
 Dec 15 2006 	 nice week - end 	 stay Le Pomerol long week - end October , love room , clean employee polite professionnal . service front desk excellent . price reasonable location great shopping ! 
