great 	 boyfriend read review Hotel Kutuma different site booking , somehow manage miss fact jungle - theme ! walk room ( Junior Suite ) first thing see king - sized bed deck zebra leopard print bed , fake palm tree african carving . catch guard kitsch factor warm . room comfortable clean . location good walk many different neighborhood staff pleasant accommodate ( let we check 2 hour late ) . ' m give Kutuma 5 star , however , microwave mini stovetop not work , deep , luxurious - look bathtub take forever fill . 
 amazing ! place total gem ! 	 Hotel Kutuma nice place ever stay ! experiance even top stay Romeo Juliet suite sandal private butler ! staff kind , yet earth . arrived promptly check , offer drink , bring bag room . decor awesome , totally style , top bottom . bed super comfy sheet great look , super comfy ! hotel clean , one ever stay room . complaint water pressure excellent , stay top floor would likely well low floor . would recomend hotel other , plan write article . open eye benefit boutique hotel big chain . Kudos Hotel Kutuma ! keep great work . 
 Nov 26 2009 	 perfect 	 do not normally write review , actually never , feel hotel kutuma . wife spend 4 day montreal quick vacation stay . arrive , offer complimentary drink upgrade suite jacuzzi . cool . room huge , bathroom huge , full kitchen appliance nice people home , expose brick , electric fireplace kind cheesy actually kind nice , king size bed amazing comforter linen . can not say enough concierge , although not around time ( not necessarily bad thing ) extremely helpful friendly . location absolutely perfect , close everything , restaurant ( although seem restaurant every store front entire city ! ) shopping . also eat restaurant hotel , blue nile , great ethiopian food . alright stay non - chain , boutique hotel , can not recommend place enough , will not let . 
 Nov 19 2009 	 Service smile 	 can not recommend hotel enough . whenever friend visit foreign city , always story discover gem , restaurant hotel . never able relate , visit Hotel Kutuma , say discover BOTH.I ' m surprised read last review post , like decent traveler , homework , read everything traveler post . consist large rave review , give credit credit due , certainly earn rave review . hotel boutique every sense word , small reception lack elevator ; disappointment end . room simply delightful . stay Queen Superior , cheap room available , theme decor , dining table two , real value money . I could go little surprise room store , like gourmet coffee - maker ( LOVE coffee ) , fully - stock kitchen pot , pan cutlery , would draw attention away Hotel Kutuma 's real strength , service . never stay hotel feel welcome . breakfast , manager sit fiance chat we bit , point place might find interest . think give modern art museum miss , manager 's recommendation , go , glad . dinner hotel 's ethiopian restaurant ( delicious food ) , manager come offer fiance complimentary dessert . hospitality not restrict manager , receptionist helpful recommend place go , print direction , even give we umbrella say high chance would rain . dd . in short , room great , true value money , 's service put smile face . 
 Nov 16 2009 	 Bum Deal 	 arrive entrance clear . reception enough two people . two flight stair room two suitcase . room tiny . wardrobe joke . bathroom small . small area carpet fridge bed wet . point manager . Said would sort . one come night fix problem . bed high soft . go next day mention damp carpet . return room end day sight seeing . damp patch still . mention reception . yes , later evening man come room declare fridge leaking . 20 minute later problem fix . could fix day , instead we hang around room wait man go could shower relax night . next day book decide breakfast . good , fried potato veggie meat egg - strange . leave feel hungry . stay lot hotel good . not understand write up . yes , clean . excellent .. 
 Nov 1 2009 	 large room clean well - locate 	 enjoy 3 night stay . actually not interaction staff except check offerred complimentary drink . seem we like rent apartment day . pay advance leave key room leave also seem one around . not complaint though , fine . room second floor , large , clean , kitchen dining area . many window door fire escape . african theme interesting . quiet stay , not hear traffic noise noise room . nice refrigerator put snack . hotel block Sherbrooke metro dozen dozen restaurant within block . love ethiopian food enjoy eat restaurant downstair seem popular . 
 Oct 21 2009 	 great service funky room .... 	 pleasure stay Hotel Kutuma recently feel absolutely spoil management staff hotel restaurant . request make promptly grant always gracious smile . hotel lovely shopping area jam full ethnic restaurant interesting cafe / bar . decor funky make stay interesting . bathroom large jetted tub invitiing . eat Blue Nile restaurant directly attach hotel enjoy experience try new style food eat hand . beware complimentary dessert ... delicious ! could not think well location Montreal stay along charm small hotel attentiveness staff , Kutuma definitely worth return visit . 
 Oct 14 2009 	 nice spot Montreal 	 wonderful hotel . staff pleasant extremely helpful . go way make sure wife everything need . order ethiopian food restaurant downstairs room service . food excellent . the location great . right near metro station close walking distance anything might want Montreal . we can not wait go back ! 
 Sep 23 2009 	 serious disconnect review 	 sure management change , seem serious disconnect experience review . book 2 junior suite $ 150 base review trip advisor . call drive Montreal , take credit card info say set . arrive , tell we junior suite available . however , deluxe suite available $ 15 . tell reserve suite 1.5 hour early phone , say internet reservation valid , phone reservation ... hmm , ok ? ... since $ 15 difference , try least give benefit doubt ask see room , amazingly deluxe suite small queen bed instead king ( far less impressive junior suite ) . room see pretty dingy & amp ; cover leopard skin decor reek .. mean reek cheap massage oil . needless say , not take room . also try work we unnecessary valet parking , lie we parking hour street . anyway , leave , first place find far well room $ 90 per night ( 60 % room cost Katuma ) take we 5 minute , people happy business room much nicer , include breakfast well . stay place review well Trip advisor , one far bad bunch .. advice stay away kutuma . 
 Aug 7 2009 	 Comfortable Unique Hotel Great Spot 	 great stay Hotel Kutuma , highlight friendly service , comfortable bed sit area , good bathroom . got early unable get room . meantime , treat complimentary , delicious cup coffee . able leave luggage car , go explore city foot Metro ( stop bit walk , nothing bad ) . return luggage room . king size bed soooo comfortable , highlight bathroom . huge deep tub great showerhead adjust height , side panel feature additional water jet . cool . can not say enough nice proprietor , great time wander around surround neighborhood . fact block street closed traffic , numerous bar restaurant . 
 Aug 4 2009 	 wonderful stay 	 wonderful stay Hotel Kutuma . hospitality wonderful . manager gracious . hotel near festival . need bus cab unless not like walk . minute away downtown locate St. Denis street trendy , old world charm , bohemian type place . Ethiopian Restaurant hotel wonderful . try Combination Platter # 2 . complaint taxis hotel Montreal matter . expensive come someone live Chicago high sale tax US almost 11 % . must stay . 
 Jul 26 2009 	 Kutuma little jewel beautiful city ! 	 WOW . honestly , wow ! husband stay Kutuma last month please . 's often get really enjoy feels like welcome somewhere ( travel ) true care concern well enjoyment . Kutuma little jewel hotel locate one good street Montreal ( Rue St. Denis ) . everything could need doorstep - - quaint little park next door metro two block plus wonderful shop , restaurant beautiful street . good , outstanding highlight Kutuma : staff : greet door carry bag room , personable go far extreme help stay . leave hotel , owner personally pack car luggage pour rain ! hotel : Kutuma unique style . room junior suite - - honestly , comfortable stay ' ve ever spend hotel . bed FANTASTIC ! bathroom ( shower ! ) unique style . little kitchenette sitting area , well . touch put room make memorable stay . also , could hear one ! hotel must build soundly - - like little cocoon . adjoining restaurant : Kutama 's restaurant ( Blue Nile ) . Blue Nile first dining experience Montreal disappoint ! chic atmosphere / ambiance cool , elegant style . food Ethiopian delicious ! price reasonable service impeccable ! one personal note would like add - - unfortunate event take place stay Montreal . two door Kutuma ( second nite stay ) fire destroy one half building . find fire around 7:00 p.m. Saturday nite . Kutuma available we ( roped police / fire emergency crew ) . worried well , hotel 's belonging . nite wear without information stay . around 11:00 p.m. , one staff hotel see we street tell we join neighboring restaurant . owner hotel send staff street try find / locate people stay Kutuma . owner pay we stay 5 star hotel evening . , , escort we hotel 12:00 a.m. make sure safe sound one night stay . WOW . recommend hotel ................. hell yes . : ) 
