handy 	 stay airport couple time , select proximity airport . first time stay shortly Olympic Games . hotel practically empty service attentive , friendly occasionally haphazard . next visit arrive North Korea - probably enhance appreciation hotel ! bar , stay , virtually empty offer good international sport coverage TV . shuttle service airport work well . word warn : taxi driver difficulty find hotel , even show address Chinese . one evening use - ! - limit chinese help driver find hotel . 
 Nov 10 2009 	 Excellent airport city ... 	 similar thought other . great airport there s nothing around hotel would decent taxi fare anywhere city . entrance hotel smart , lobby open glass ceiling . one else check fast service unlike comment note people , experience good staff friendly . room . excellent large , last night China book suite . large , ! seperate lounge toilet . internet access pay , first hotel holiday be not free , bit dissapointe give suite something hotel look opinion . room also include access club lounge nice . free drink nibble 2 hour night . good selction food various drink available . quiet . level english staff good , good place enough get by . we also eat cafe bar type meal , quality good , price bit high top . breakfast good usually option western asian . use shuttle bus airport need book concierge . free prompt . overall excellent hotel would recommend liesure 1st last night stay . would not want base there s nothing around hotel see long way centre , see review Park Plaza well locate hotel ! hotel smart though quite , expect conference nearby pack might want check . 
 Oct 24 2009 	 nice patient time 	 hotel locate directly new exhibition center ( 5 min walking ) .It 's new hotel many nice room good breakfast . but hotel normal crown standard . service seam overstrained:1 . make reservation one week . also get receipt fax . arrive 10 pm , long business day travel , room . take 45min long discussion get room . be bad ! 2 . check need plenty time . we take 40 minute . reason , huge hotel , security staff receptionist . 3 receptionist desc overextend . take 20 minute get bill . not know . already get reservation company name . passport check - in . checkout , write everything computer ( slowly ) .3 . breakfast well get coffee , less staff . also need table old dish . the hotel nice , need lot time everything . not know view staff . need employee well organisation / management . it be expensive low standard . 
 Oct 14 2009 	 strange Room otherwise nice -- Good Location 	 stay one night en route another destination . primary advantage close airport . airport shuttle work well we . hotel staff friendly , overall quality hotel good . look place stay give easy access major site Beijing , right place , access airport great . thing really put we ( put we quite lot ) strange bathroom . not know room way , large window bathroom bedroom -- basically , whole wall window . plus book , though somebody obviously think . blind could close window , fine unless either blind close tightly , piece one slat miss . case , blind feature , mean good privacy bathroom . maybe ' m privacy freak , come . , room fine , hotel serve purpose . would still probably recommend -- hey , fix blind ! 
 Oct 13 2009 	 Great Hotel 	 great hotel room good staff efficient helpful . location airport good much near hotel stay length time could issue . 
 Sep 19 2009 	 Good Value money 	 stay hotel one night take Europe . room nice clean . breakfast service ok , nothing extra decent . nothing see surrounding . the hotel good value money stay near airport . pay 400 rmd King sized bedroom . 
 Sep 18 2009 	 great location exhibition hotel ; terrible location sightseeing 	 stay 6 night September exhibition NCIEC . location close exhibition centre , still really walk distance , especially since event use north entrance . also great deal amenity area , plus walk anywhere aroud risky ( traffic perspective ) . clear area still develop , maybe local amenity pedestrian friendly access improve time . many attendee sightseeing , , exhibition . 's long cab ride central Beijing : anywhere 40 minute well hour , depend traffic . tourist main reason Beijing , stay elsewhere . be come Exhibition Centre , need hotel relatively close airport , good one . ( attendee stay , central hotel leave hour early morning get Exhibition Centre time . ) staff extremely polite usually quite effective . however , also fairly slow , least north american standard . drink lounge restaurant definitely take time come . english proficiency problem , many other seem good grasp language . Food Crowne Cafe pretty good , quite large variety asian western food , especially buffet breakfast . standard room meet requirement , not anything would expect hotel like ( room safe , nice bathroom , internet ... ) although still smell fairly new . real complaint room shower ... water leak shower door onto floor . other indicate thing occur room well . think fitness centre rather small , retrospect , time use , never see people wait use equipment . sauna steam room well , cold , not feel like wait warm . equipment good quality appear well maintain . bring headphone watch individual tv cardio equipment . way back home , colleague use hotel 's shuttle airport . problem . left say would take we right Terminal 3 ( fight traffic ) . 
 Sep 3 2009 	 kind staff 	 choose hotel transit Beijing next flight 7:30 a.m. I afternoon spend Beijing staff kind enough give consult sightseeing . staff kind friendly , speak good English . the rate reasonable , room clean comfortable . although nothing near hotel , think 's really good place stay transit main purpose stay Beijing . 
 Aug 18 2009 	 top class hotel 	 hotel fantastic . clean , quiet , staff helpfull courteous . food good . plenty bar lounge relax . room spacious well equipped . much around hotel need corner shop . come airport go hotel reservation desk help find courtesy bus tell run time charge alot one car . check hotel pick advance . 
 Aug 11 2009 	 nice one - night stopover tour group 	 read review surprised gentleman poor massage experience . read hotel , even 5 - star one similar Crowne Plaza , people staff willing go & quot ; extra mile & quot ; customer may want . clearly want shame get something want . fortunately , experience excellent , excellent service spacious comfortable room . truly 5 - star hotel , though locate industrial area . would choose hotel stay length time , really walk outside explore night poor industrial area people 's shack alongside repair garage business . would recommend stopover hotel . luckily tour bus transportation communication issue we , see would people sheparde around chinese guide . want stay Beijing length time , & quot ; five star row & quot ; hotel downtown . 
 Jul 27 2009 	 disappointing business hotel . 	 stay business week . location handy exhibition centre airport nearby . arrive 12 - hour trip Europe , hope catch bus shuttle airport . unfortunately leave , not feel like waitíng ( hourly service ) -we decide take cab instead- odyssey was- even though explain taxi driver hotel - speak Chinese- extra polite - [ -- ] we pretend know hotel drive we around 40 min . Seemed happy wait 3 hour pick - up hotel get couple passenger need 15 - min ride . well - chance tip evaporate . my boss arrive follow day not want go though ordeal- ask hotel staff arrange this- explain carefully chinese - English it . having say room service standard food pretty good . 
