value 	 go LA stop two night & amp ; three day Beijing . lot look Inter - net select suitable & amp ; pocket friendly hotel Beijing . location main consideration . Agent help we get cute little Hutong Hotel pretty close attraction Beijing . 110 usd per day inexpensive hotel Beijing standard thinf worth every usd.nice room , fairly big , traditional chinese decor , hand - craft furniture , goodly bathroom modern amenity , hotel want . must make special mention Reception Staff , simply fabulous -- cooperative , helpfull , & amp ; extremely pleasant & amp ; importantly , nglish speak . they make shortcome , any . it offer Chinese & amp ; Continental b'fast ok sumptuous . Free Inter - net & amp ; cosy little bar , forget small courtyard swing etc.though centrally locate , main road narrow alley lead . mean walk 2 - 300 get main road get cab bus . minor irritant , consider many plus point . extreme winter may difficult breezy corridor . 
 SWEET HOTEL 	 third hotel Beijing . hotel absolutely fantastic ! ! ! everything good , especially people ! everyone good job work hard genuinely nice helpful . room beautiful Chinese . amazing get lot fun . 
 Nov 6 2009 	 Awesome ! ! would not stay anywhere else ! ! 	 hotel absolutely fantastic ! ! everything good , especially people ! everyone work genuinely nice helpful . room beautiful amenity would wish include awesome shower head ( actually , shower 2 shower head choose one prefer ) . courtyard make feel really China ! well , room since furnish decorate & quot ; chinese style & quot ; . enjoy breakfast much even husband not eat pork decent selection . could go long time talk wonderful hotel will keep short say & quot ; go ! ! love ! & quot ; want thank woman man work .. make trip ! ! 
 Oct 10 2009 	 wonderful service beautiful hotel 	 hotel everything hope . beautiful authentic chinese style decoration , charming courtyard , locate chinese neighbourhood , inside comfort need . staff extremely friendly helpful , speak good english . location hotel also good , Forbidden City Tiananmen Square close , also big shopping street could walk . even though hotel close hustle bustle Beijing , be hotel find quiet peaceful courtyard . Loved stay hotel definitely come back ever Beijing ! 
 Oct 2 2009 	 would not stay anywhere else 	 want experience authentic China hotel perfect every way ! ! charming interior , clean , friendly helpful staff , great location ... would return heartbeat ! ! ' m love Beijing can not wait go back ! 
 Sep 29 2009 	 triple happiness round 	 exactly brochure say : traditional chinese house middle old Beijing . set divine relaxing , whatever weather . staff helpful freindly ever come across , rise occasion passport lose . popular independent traveller oversubscribe high season , book early ! 
 Sep 28 2009 	 beautiful hotel impeccable service 	 hesitate recommend lovely hotel . beautiful staff meet extremely friendly helpful . breakfast fabulous , lot thoughtful choice standard thing 4 even 5 star hotel offer . downside location . locate far end hutong taxi driver refuse drive we offer drop we main street . minor thing hotel really worth . 
 Sep 24 2009 	 home away home 	 Double happiness perfect place single traveller ! would hard find first time , bring telephone number , simply dial friendly desk staff mobile speak taxi driver give direction . room bathroom spotless arrival clean beautifully everyday . staff fabulous , array food breakfast stagger room quiet peaceful . close everything would want see Beijing . subway easy use incredibly clean . 4 stop Tiananmen Square , two stop Lama Temple . favour go ! ! ! 
 Sep 21 2009 	 Authentic Traditional - Loved ! ! 	 ( 3 friend ) stay Double happiness September 2009 absolutely love – gem . share family room extra bed add 3 separate bed . décor family room traditional love . bathroom adequate 3 we . staff excellent English fantastic always helpful . bar , internet fabulous buffet breakfast expect lovely surprise . hotel locate half way quite long Hutong , keep walk – locate right near police station . great restaurant nearby taxi easy get main street . love time Double Happiness still talk carry fond memory long time come . would recommend memorable stay – absolutely ! ! 
 Sep 7 2009 	 almost perfect 	 good : one good traditional hotel . stay family room quite big look like & quot ; Honeymoon & quot ; version check photo . Balcony little bare wire need tidy surprisingly big . Shower , nice . large lot variety breakfast . courtyard garden nice . staff exceedingly nice not seem separate cash . bad : tv german news chinese channel . main bed fine guest bed 's & quot ; mattress & quot ; unbearably thin uncomfortable . feel wooden frame underneath . night dinner pretty mediocre . AC seem little underpowered large room main bed area cool guest bed little warm . 
 Aug 19 2009 	 authentic chinese Experience Western Amenities 	 stay Double Happiness Courtyard Hotel three day stay mediocre western hotel several day . trouble get cab driver take we . hotel locate narrow , down - in - the heel hutong ( alley ) . look well night day . never feel unsafe actually police station locate alley . 10 minute walk subway fun walk perpetual card checker game . hotel authentic , convert Beijing courtyard residence . feel like travel back 100 year . greet parrot myna bird entrance . booked & quot ; honeymoon suite & quot ; -- two small room charm traditional chinese decoration . bed box - in canopy affair 3/4 & quot ; matress piece solid wood . manage adapt , incomfortable feature room . ( spend week Yunnan province Beijing . every bed 6 different hotel ridiculously hard . ) bathroom recently renovate modern western fixture . shower excellent . air conditioner work fine . free internet ( look ceramic turtle cable ) , western channel -the flat - screen tv . breakfast excellent plenty western option . desk clerk helpful , friendly young woman good English encounter China . forget bed . stay place . will tell friend long ' ve forget boring Marriotts Double Trees . 
 Aug 17 2009 	 live rave review 	 delightful hotel . spend holiday staying & quot ; business & quot ; style hotel , big tower - block organise tour company . hotel make last night Beijing special one . gripe , small one , room rather small , fine one night small anything 2 night . but could fault anything else . reception staff helpful friendly ( special mention go Abby ) . breakfast lovely , great range option , beautifully present . room clean ( frequent fail hotel China ) decor charming ( see photo ) . also free internet access room ( laptop ) two pc lobby , facility print ... great on - line check print boarding pass . the hotel locate hutong ( chinese traditional courtyard neighbourhood ) make little tricky find . lively street couple restaurant small grocery shop essential like snack water . might put area , close local police station never feel like security issue street well light night . the restaurant gear breakfast Abby recommend local restaurant . chair table various courtyard plus lounge / bar sofas table . great place Mah Jong beer , simply relax book . 
