great 	 excellent hotel , good room ever ! large , modern , extremely comfortable , well equipped , perfectly clean , number small nice fancy small thing make difference ( rain shower head , video screen bathroom , electrical curtain ... ) additionally , hotel location perfect , walk distance Forbidden City Tiananmen Place . Personnel courteous really care . got access lounge , free internet access ( otherwise quite expensive , ie RMB3 per min . ) ; , great service , delicious breakfast . food restaurant , although good , seem littly pricy . fitness center recent well equip , pool large pleasant . overall , wonderful experience ! 
 Nov 25 2009 	 Luxury convenience 	 receive free upgrade stay Executive Suite due overbooke . good thing hotel perfect location right wangfuje Street . design modern , showy . 's great tech like flat screen TV Satellite TV , iPod JBL dock , printer room . charge internet access unfortunately high 3RMB minute . 
 Nov 21 2009 	 ' Island ' luxury calm city seethe new asian energy . 	 one year old hotel strange side street facade entrance absolute pleasure stay ! huge tech have room entrance baggage foyer , motor control curtain ( blackout ) , central lighting control , enormous bathroom vanity area complete rain shower head , separate bath video screen , wonderfully comfortable king bed make China travel centre delight . Buffet breakfast ( include price ) man international food station well train wait staff start day right . Vasco 's dinner casual attire staff excite please make difference though quality food stand well . early morning side trip flight Xi'an bring full ( free ) box lunch include coffee juice . within half block enormous open air mall reflect busy city . grab well price gem still build clientele hotel appear less half full ; fact seem push staff great effort please . 
 Nov 20 2009 	 Nice Hotel 	 three adult room , size room good . washing room small problem water inside wash ! ( problem west east ) bath good ( exept tile break ! ) hotel close nice mall ( expensive ) also traditional small shopslobby small.only one usefull buffet restaurant ( two restaurant small bar one chineeze ) expect food qualityconstruction vehicle noise 
 Nov 18 2009 	 great hotel 	 good hotel , good service . definantly worth add extra cost pick - up airport , pick we , leave flight go trough vip line . quick exit airport ! breakfast good would expect . hotel 100 meter nice mall nice shopping street walk distance forbid city 
 Nov 18 2009 	 excellent good value 	 stay Hilton Wangfujing 2 night price 1 deal represent excellent value modern , well equip large room . location central would definately recommend stay business leisure traveller alike . 
 Nov 16 2009 	 spacious High Tech Rooms 	 5star hotel year old large open " high tech " room stay , comfortable , modern , well design . huge double King bed , open plan bathroom open walk - in closet . separate bathtub shower cabin available bathroom . shower cabin regular shower rain shower instal . besides tv room , bathroom also tv instal wall , yet instruction miss operate tv – could figure ( ask anyone either explain ) . room large nice Mini - bar closet see long time . even contain " pleasure pack " charge . Plenty English Speaking tv channel available . remind , could hear tv room next door , wall thickest despite panel . much like , light switch label tell light turn on . the window open bit let fresh air , yet air conditioning also function well . electronic mechanism open closing blind curtain , however stop halfway , either close open , unless close curtain hand , re - open electronic mechanism . very interesting designer read light head side bed . first think sort nightlight . later notice , pull adjusted reading . the breakfast buffet generous much enjoy fresh juice station design atmosphere restaurant . breakfast staff , opinion , need little training , e.g . recognise refill need , clean use plate ask arrive customer coffee tea . in Lobby Lounge staff friendly , atmosphere great . unfortunately waiter really know use microwave heat soup . generally staff member helpful , though security tightest . ask housekeeping lady see another room different location floor . understand . however understand , want open room . room open sell , luggage , unoccupied . open room , without verifying , guest room , not . elevator also work without key card access restriction . the business centre offer internet access , nuisance pay . also choose hotel location , close Tian'anmen Square Forbidden City . hotel tuck away behind large shopping mall Wangfujing street , one tourist attraction Night Food Market , find little difficult identify Map provide hotel , feel hotel could provide sort local area map . recommend stay hotel , minor glitch take aside . 
 Nov 12 2009 	 near perfect stay 	 let start say consider picky traveler recognize good value money . Hilton wangfuje far good value money travel throughout mainland China . fantastic location approximately 1 minute walk night street food shopping actually help two way , one even taxi can not find hotel always get drop main shopping street i.e . wangfuje St. walk two minute hotel two always thing night include sample offering night food market . Got upgrade executive suite without executive privilidge arrive , sure difference standard deluxe suite executive suite , room fantastic . assure matter picky might consider , dissapointed room . size big , amenity fantastic . like come home every evening . concierge , hotel stafff house keep extremely polite , helpful efficient . can not say enough hotel . add construction go front hotel , however never hear sound throughout stay . go see main highlight , forbidden city , temple heaven , lama temple , bird nest , summer palace , great wall ( Mutianyu portion ) car , driver guide three day help pack itinerary . can not say much guide i.e . & quot ; Daven & quot ; self post review tripadvisor . cold call Chengdu make arrangement three day beijing . even though discuss confirm detail regard much time need every day , site visit especially order decide , Mr. Daven young guy 25 year old keep grumble itinerary set incessantly push company sponsor Tourist trap beijing opera location restaurant . kindly stay away guy . sure necessary guide really Beijing , however help less time pack itinerary will not continuously find way negotiate fare taxis town spectacle . extensive research say least low season around late october price 500 rmb good deal car , guide driver approximately 8 - 9 hour day . include entry ticket place food stay obviously . would add 200 rmb per day high season , offcouse would many people try tell low price , seem case negotiation negotiation know friend visit early . 
 Nov 10 2009 	 6 Star quality 4 star price 	 often stay Hilton hotel across world come expect relatively consistent , sometimes poor , never stellar quality ( one exception Tokyo Conrad ) . Hilton Beijing Wangfujing surprise every score . highly efficient friendly service reception , outrageously good spacious room ( highly recommend King Deluxe Plus ) , luxury round , free wi - fi room , price - quality ratio even mainland China find impossible beat . breakfast buffet ( include price ) generous extensive western , chinese japanese option . pool perfect . not blame hotel way : get taxi driver find hotel prove almost impossible . almost driver could read direction chinese . often way let driver use mobile call hotel . easy 10 - minute walk Forbidden City Tiananmen Square right next lot shopping opportunity wangfuje . quite worth experience night food market close ( unless mistaken Friday night ) . short taxi ride Silk Market , Pearl Market Temple Heaven . I dislike chummy service familiarity , aloof chilly attitude staff many hotel equally off - putting . service Hilton Beijing wangfuje neither , everyone strike perfect balance , offer courteous correct service without intrude privacy . have stay various 4 5 - star hotel Beijing return Hilton Beijing Wangfujing without doubt . highly recommend hotel : service , accommodation breakfast ( meal due work commitment ) consistently excellent . give amount travel engage annual basis never leave quickly enough . total exception , therefore , regret check Hilton Beijing Wangfujing . 
 Nov 9 2009 	 great hotel stay ! ! ! ! 	 stay atthe hilton wangfuje 7 day July 2009.the hotel shopping district Wangfujing 10 minute walk Forbidden City Tiannamen Square . as people write , taxi driver trouble find hotel even address write Chinese . probably hotel one year old . room big confortable . modern , slide wall bed area bathroom . toil shower separate closed grey - glass door . also walk - in dress area big bar . the restaurant f hotel good chinese restaurant great Pekin Dutch , love . also use room service many time everything perfect . the breakfast buffet lovely great selection food : fruit , juice , croissant , pastry , omlette , selection ham cheese , ecc . also corner selection food east area . the staff friendly helpful time . really recommend hotel . 
 Nov 4 2009 	 lovely hotel fantastic service great location ! 	 one good hotel stayd ! check - in 11 pm really efficient . housekeep top notch . service attentive . someone always call back check whether room service request make we satisfactorily attend . always someone around lobby wait attend anyone look like neede help ! linger lobby return hot day sightseeing offer refreshing lime rise scented water drink . the room CLEAN HUGE separate rain shower , wc , freestande bath walk closet ! Toiletries Crabtree Evelyn . open plan toilet could closed - fully section slide door . the general ambient lighting room could brighter pull reading light good . view ' great - building construction site , matter day anyway . book directly hotel website get fantastic adv . purchase rate 120usd nett . mention prev review APN Mall next door lot restaurant supermarket . also taxis easy get front Mall case hurry . short taxi ride 15- 20 min walk east gate Forbidden City . taxi driver know place though - need say Jinbao Hutong direct taxi driver ( turn right Macau centre right ) also walk distance Jinbao branch Dadong ! 
