absolutely 	 everything hotel fantastic . front desk extremely friendly / courteous . excellent English . go beyond help . renovate room delight . extremely clean . Non Smoking Room actually non smoking ( rare China ) . internet access 90 yuan day well price . ..... .... one thing let nothing control : location : block inside Ring Road 1 . mean need pack whatever need day leave hotel give main attraction Beijing nowhere near hotel locate . also mean need think buy something ; ' simply pop drop off … traffic mean subway ( 15~20 min walk away : go 4 line , 1 line ) still well option certain times day . conclusion ? place absolute lock plenty time ( cash cab , refuse take to / from subway station ) limit time Beijing , would stay somewhere close attraction . whether would recommend friend depend long town . real pity hotel really good . 
 BEST PLACE TRAVELERS 	 good 2 night beijing . I feel good breakfast.value good tooi come back maybe 
 excellent travel advice 	 think Hotel nice , see point spending word describe luxury , superb facility already like 200 review . going focus something hope many traveller like we would find useful . totally agree like many people forum good orientation follow simple sign instruction , would need hotel rip trip thing capable . never use storm service never see point it . first turn leave exit hotel main reception / gate walk 10 metre main street ( Caiyuan St ) . usual main street shop restaurant important thing walk main street right hotel reception back , bus stop front need cross road bus going leave always main gate hotel back . 3 bus go trough main road 56 , 395 423 . main one 56 take Nanlishilu metro station ( Line1 convenient forbidden city many attraction ) , bus stop metre , miss alert see metro station right look direction bus go . 395 last stop 500 metre Fuchengmen station ( line2 ) . never use 423 clue go ? strongly recommend 56 use use daily basis , run frequently cost 2 yuan people bus help direction getting use see foreigner board . truly understand comment forum area hotel . shop anything need Caiyuan St next hotel , know people else really expect find ..... need usual get hotel next mall shopping street , centre ..... arrive international airport could easier get hotel , get express train airport Dongzhimen big interchange station get line 2 direction Beijing Railway Station Changchunjie line . remember station important case take good advice use public transport much spend money nice restaurant , museum , shop etc avoid rip dodgy taxis hotel ..... time fun go around rest chinese people . public transport China absolutely perfect , well european city .... let ' get back important station call Changchunjie line 2 . use station get back hotel could perfectly use bus station get hotel anywhere city . thing come late good option get Changchunjie exit station trough exit number close street call Changchun St wide street remember orientate need go south hotel . corner big intersection Changchunjie , exit close taxi go , take we 5 min get one signal stop . rule thumb important advice never get taxi China stop somewhere , always stop taxi road , call taxi street . stop taxi rip heavily , wait different area , speak semi english look polite jump one regret come pay bill . hotel station taxi 10 yuan , remember minimum fare China anywhere 10 yuan pay less . taxi stop corner fine map hotel , mini map , instruction chinese etc hotel familiar big street avenue use . finish strongly recommend follow place / attraction , forbidden city metro station next fact 2 choose ( tian ' anman West East ) , forbid city , square museum two station . superb summer palace one good Beijing , reach Beigongmen ( Line 4 ) , never get taxis metro station perfect quick . temple heaven another must do / see , see Tiantandongmen ( line5 ) . apart say evening / night forget crap Wangfujin market area . go area drum tower Beijing neighbourhood . street really want recommend Nan Luogu Xiang , Beijing one find many shop restaurant heart lovely hutong . good metro station get area Goloudajie ( line2 ) get walk Jiugulou street south towards drum tower , impressed amount nice restaurant eat street get main one , besides beautiful hutong style street many side hutong nice street absolutely full bar place chill . get keep come back night nice , cheap , safe convenient . that really hope people find easier ever move around hotel without need anyone apart nice guide book , instruction never regret , pleasant hassle free stay Beijing love city anyone else . say anything get Great Wall section Ming tomb plenty forum . Simatai take bus Dongzhimen long bus station Miyun taxi . say plenty info forum web site like http : //www.chinahighlights.com/ . 
 good place stay 	 back Beijing stay 4 night , hotel really nice , service great expensive , problem location , downtown need taxi subway go city center , traffic jam take long time go taxi city center hotel ( 30 40 min ) manage without problem , taxi really cheap , go enjoy , small restaurant around supermarket . dinner Buffet half price week end , eat drink 2 less 20 euro , good 
 Hidden Gem 	 read many positive review Tripadvisor decide stay Holiday Inn Central Plaza . many reviewer address , be actually locate Central Plaza ( name imply ) less tourist location South - West Beijing . fool map location , be really close major attraction . 4 subway line . although taxi plenty always get taxi hotel sight . room typical size moderate price hotel find clean comfortable . room 's furnish bathroom fixture modern adequate . bed 's mattress firm side . ' nothing hotel wow factor , wow factor Beijing . breakfast one hotel 's restaurant . morning buffet adequate servicing mixture western food local favorite . service nice efficient , wait staff understand English hotel locate residential neighborhood , nearby restaurant local flavor , less touristy , great value . find restaurant English / picture menu able communicate order either photo point dish adjacent table . notice item photo , one explain " tonight 's special " .The minor issue taxis Palace Museum wangfuje hotel . hotel 's location away tourist area , encounter many taxi refusing take we hotel late rush hour . easily resolve taking . 4 line close hotel transfer local taxi . overall , would recommend Holiday Inn Central Plaza Beijing . ' well value hotel Beijing . 
 thank Storm ! 	 originally book stay Peninsula Beijing . read numerous rave review storm , concierge , would much like see person . Husband think little crazy , agree since could save money well . the hotel staff friendly attentive . check - in smooth . room Executive level , include breakfast , internet evening drink snack . hotel room spacious , clean comfortable . we know location ideal prepare take taxi destination . encounter problem taxi driver take we back hotel . apparently street & quot ; Caiyuanjie & quot ; little know small street . many taxi driver would bother study map hotel card refuse take we . on third day breakfast , spot storm across lobby . Husband go say hi . tell plan hire car visit Ming Tombs Mutianyu . suggest include Sacred Way visit less commercial part Great Wall . shift end minute , offer take we . first thought mean make travel arrangement we , actually come we . on way back Beijing evening , noticed tired yet still insist take we see olympic site , would otherwise stick rush hour traffic . try pay , refuse accept payment . say reward see visitor good memory trip . well , day storm definitely memorable amazing day experience travel trip . get see breathtaking view , also make friend extraordinary person , Storm . would stay hotel ? definitely ! 
 Location great ....... otherwise excellent hotel . 	 stay 6 night month , first time Beijing wife I. ok , bad ....... Location - Hotel locate near Nightlife , shopping , restaurant sightseeing area , also be not close subway . Taxis Beijing cheap however , driver sometimes problem locate hotel . food - room service food be not great , food main restaurant & quot ; salt pepper & quot ; also average ......... however , also locate hotel & quot ; Zen & quot ; excellent chinese restuarant .. bad point really quite minor.ok good ..... value - fantastic value moment , room amentitie excellent .... good 4 star hotel . really impressed hotel . staff also good . hotel well manage . storm Li - good concierge ever deal . stay BJS holiday make sure search , junior conceirge ok , storm fantastic really make trip . I hesitation recommend hotel anyone travel Beijing holiday ..... business , location may less ideal , however good hotel . 
 expectation high ....... 	 guess not disappoint . we stay 5 night ay Holiday Inn Central Plaza November choose high TA rating plus Priority Club special offer . high rating hope not go disappointed case review quite accurate going add much point ... 1 ) hotel little old room still good condition2 ) hotel offer car service airport 550 rmb , 1 hour drive traffic quite bad BJ . think price high catch taxi ( currently live Shanghai real problem ) cost 140rmb . ( make sure get hotel name address Chinese beforehand give driver ) way back airport use car driver take we great wall 2 day charge we 180 RMB.3 ) & quot ; Storm & quot ; ( see review ) not appear middle stay helpful arrange acrobatic show ; even call pickup service car make sure everything ok . nice touch.4 ) go take bus tour Great Wall Ming Tombs organise concierge desk colleague arrange car driver day go Great Wall Summer Palace , guide driver speak English give freedom want . cost little much , pay 680 rmb driver car , bus tour 350 rmb per person also include admission lunch . concierge also offer we driver option 800 rmb say bus tour well ! 5 ) use taxi rather subway look far away hotel . hotel & quot ; take .... & quot ; card distance approx price taxi ride useful taxi driver friendly Shanghai . example , want take taxi back Temple Heaven hotel ( hotel card say 6 km 20 rmb ) first one want charge 80 rmb , second 3rd refuse . fourth goodie charge we meter rate . actually mix experience taxi still cheap way get around China . highlight we get & quot ; singe taxi driver BJ & quot ; magically appear come acrobatic show , expect negotiate price willing pay double normal rate use meter sing we English song way back , know , even start singe Waltzing Matilda say Australia . quite lucky get guy even though poor taxi driver probably first one ever come across could hold conversation English . wish could got number.6 ) two disappointment hotel first , wine list . ( selection price ) choice hotel China price double normal ! secondly computer available internet access . want charge high amount use one business centre , dissaponte : - ( 7 ) location probably good rate good travel different sightseeing spot ' matter much be . anyway , good hotel , friendly would go back . 
 Nov 25 2009 	 Hotel Beijing ? one 	 people do not know Beijing , satisfied hotel . as people say centre , taxis cheap problem . my wife stay 3 night November 2009.the aim see site go early get back dinner . this hotel relax , spacious , well furnished provide breakfast buffet first class every respect . the executive room package also usefull tiring day . be first time visitor Beijing little unsure service offer young man name Storm . having use service say good . he arrange taxi meet us airport 150 cny . leave England purchase bullet train ticket behalf . pay 9 day later , keep touch we throughout stay allway we want help . in fact staff hotel go bit make stay comfortable enjoyable . 
 Nov 23 2009 	 absolutely excellent hotel - great staff service 	 come back long trip China , end three day sojourn Beijing Holiday Inn Central Plaza . check - in onwards , nothing wonderful experience . staff attentive , great command English , concierge helpful ( special shout - out David , really go way ensure take care hotel ) . hotel locate 5 - 8 minute cab ride subway station , 10 - 15 minute walk ( depend tall , suppose ) . use subway system - super easy everything write English . otherwise , key tourist area 15 - 25 minute cab ride away ( Forbidden City , Temple Heaven , etc . ) . Summer Palace 30 minute cab ride - cost we around 50 rmb one way . great restaurant block away call ' Youth Restaurant ' . great food great service well . also two supermarket nearby grab thing bulk need ( i.e . water , snack , cheap beer , etc . ) . make sure book room breakfast include . find breakfast quite tasty numerous option available . would really top part trip free internet . : -\bottom line - look 4 star hotel $ 100 usd / night , need stay . highly recommend . 
 Nov 19 2009 	 great place stay 	 stay October 2009 four night 8 year old daughter . say impressed room , food , comfort overall level service . room large , modern , clean comfortable . apple give arrival bottle water supply everyday . bathrobe slipper nice touch . downside aircon next useless . problem October potential big problem summer . swimming pool lovely come back evening steam room sauna . Buffet breakfast superb set day . evening buffet represent extremely good value daughter eat free . selection quality food good excellent sushi chef . location ok . 3 km near subway station , 7 8 km major attraction like Temple Heaven . Staff universally good , would go way helpful . good team atmosphere hotel . visit Beijing would hotel choice would even look anywhere else . 
 Nov 13 2009 	 NUMBER 1FIVE STAR HOTEL CHINA 	 ' ve china many time . work . time bring family come . get book asia room site.we get really nice family room . room much large hotel thailand , really different style . beautiful decorate room.my son love husband well . love hotel important toilet clean .... luxury five star hotel . strongly recommend . 
 Nov 12 2009 	 memorable experience ! 	 travel daughter China . we thoroughly enjoy stay hotel & amp ; find staff helpful & amp ; polite . really like main entrance lobby area -- -spacious & amp ; modern . concierge helpful arrange excursion around city -- particularGreat Wall / olympic complex /Forbidden City / Summer palace & amp ; ! enjoy hotel restaurant & amp ; relax bar & amp ; also swim roof top pool . I particularly enjoy rick shaw ride around local vicinity close hotel -- -great atmosphere ! hotel offer leisure & amp ; business traveller need . 
 Nov 11 2009 	 storm make stay ! 	 sister travel Bejing part university experience Weihai . pick hotel review especially Storm Li . connect flight Minneapolis delay day bad weather . storm keep track progress still someone wait we Bejing airport finally arrive . since miss day storm hotel comp us meal help we plan shorten version stay bejie . arrange everything , include peke duck dinner . even come restaurant help we plan next day . everyone hotel great . room much bargain . not even think stay anywhere else . place stay Bejing ! 
 Nov 10 2009 	 Faultless stay maximum value thoroughly recommend 	 value , excellent service , good food , cleanliness fuss hotel look one . stay 4 night near perfect experience . staff helpful , smiley speak good English . CNN BBC tv channel , internet bedroom 90y day , atm , shop , business centre , gym , pool , give city map address card show taxi driver - excellent . & quot ; Storm & quot ; , concierge manager find half ! ask STORM . make stay special go extra mile really caring time Beijing , want time hear memorable one - . email advance poss . location draw back , taxi cost 20y ( £ 1.80 15 min ) right heart Beijing . suppose could even see loction plus want slightly quieter pad retreat night . meet US guy say hotel well Hilton service . complaint ever . 
 Nov 5 2009 	 Excellent hotel relax regroup . 	 Hotel supply map chinese address email cab main train station trouble find . offer take Executive Upgrade package ( senior discount ) think good deal go . breakfast excellent happy hour 16th floor . staff direct Youth Restaurant , street , English menu , good food , good price . continue 500 meter past Youth Restaurant opposite side street wonderful park theme Dreams Red Mansions novel . perfect place stroll watch Beijing Grams Gramps take care grand child . I absolutely stay Holiday Inn ! 
 Nov 3 2009 	 amazing experience ! 	 mother spend time Bejing trip China look well staff Holiday Inn Central Plaza . amenity one would wish city hotel cater , restaurant , bar , gym & amp ; pool . especially enjoy area local - able experience ' real ' Beijing . storm concierge excellent design special sightseeing trip enable we see everything possible short space time , Temple Heaven , Summer Palace , Birds Nest , Great Wall , Forbidden City , Tiannamen Sq many . also arrange local trip rickshaw nearby Hutongs memorable evening mushroom hotpot . would recommend hotel anyone want visit Beijing Storm help make trip lifetime . 
 Nov 1 2009 	 Excellent high standard 	 choose hotel review site . not much add except say thank Frank duty manager big big thank Dexter . we arrive train station overnight Shanghai check quick easy 9 am . arrve time mean usual tour go great wall thank Dexter do not miss out . we 1 day fly Paris , need way see great wall china . Dexter tell bus 919 main station take way back . write everything Chinese put we taxi get bus station . nearly spend £ 60 trip , dexter help cost get back £ 3 return + Taxi fee £ 5.also recommend youth restaurant peking duck , good price . also food fantastic . short walk hotel . room great service well 5 star hotel . BAD Points breakfast expensive bit rip , free internet , day pretty much hotel give free internet . I hope revisit hotel soon I ve already recommend friend . 
 Oct 29 2009 	 beautiful 	 Nice recption area , spacious room amenity , english language bit problem . 
 Oct 24 2009 	 Excellent service modern hotel 	 stay four night July . breakfast quite good nice variety . always someone available help we plan book thing cab driver Mutianyu , subway pass , acrobatic show . also give good itinerary rainy day . overall good value Beijing . 
 Oct 20 2009 	 Excellent Hotel would return 	 read hotel reporst Trip Advisor choose Central Plaza delighted result , travel independently make arrangement internet . Holiday Inn fax Hotel name address chinese taxi driver airport fro everythin go plan . hotel provide good clean modern accommodation , meal buffet restaurant excellent abd staff helpful , happy atmosphere throughout . storm , already mention report superb , sort transport great wall , Forbidden City also arrange meal local restaurant 2 night . Peking Duck meal another night Mushroom Hotpot , reccomende . Hotel Excellent Value money . locate anything bit city centre big problem taxi require go place . also stay Grand Hyatt Central beijing , Luxury expensive offset fact sight within walking distance . ` would hesitation return Central Plaza 
 Oct 19 2009 	 Good Friendly Service 	 wife China four time decide experience Holiday Inn Central Plaza Trip Advisor night go toTianjin . the service front desk excellent staff polite . David take luggage room warm helpful . need change SIM Card go buy chinese one make thing lot easy I . the room clean spacious amenity need hotel . the disappointing thing go breakfast 4th oct whole dining room fill young child . National Week hotel kind enough give child breakfast . wait half hour could get breakfast time limit well . think hotel lovely gesture reserve table guest hotel . otherwise would recommend hotel friend back australiakeep good work 
 Oct 15 2009 	 can not wait go back 	 stay hotel base prior comment . first time travel China without guide service . staff excellent . David help we obtain train ticket even walk we ticket office . might still without help . room clean spacious . bed hard one . standard room . walk every morning night around neighborhood experience chinese lifestyle . even play ping - pong nearby park elderly local . many little shop nearby grocery store . across street hotel unmarke restaraunt fantastic food . speak English speak chinese picture menu awesome . location quiet little bit way . want see main attraction Beijing , need obtain taxi . almost always one taxi stand . 
