oct 	 great hotel Americans 	 great food .. decorate Christmas caroler ... beautiful hotel . 
 Jul 12 2009 	 excellent get away 	 Loong palace gorgeous hotel resort , fantastic facility , place Beijing feel alone ...... sadly . hectic eight night spend city touring site lovely unwind relax Loong palace , staff happy smile people place five star without doubt . great wall visable clear day tomb far away even want base far everything , would wonderful people use hotel travel site day come back quiet luxury evening . ( take 30 min forbid city reach hotel ) small pointer -you need cap use swimming pool . 
 Jul 7 2009 	 excellent hotel 	 hotel locate Chang Ping district close Great Wall Ming Tombs institution Peking University . want go downtown Beijing , 30 minute journey reasonably price hotel car cab . hotel excellent facility include indoor tennis court , bowling alley , well equip recreation centre/ gymnasium , pool good massage / spa . restaurant good excellent range cuisine japanese restaurant outstanding . room spacious clean . get , excellent value . highly recommend . 
 May 27 2009 	 Loong Palace ( aka - Lonely Palace ) 	 hotel phenominal , problem middle nowhere , thus colleague call & quot ; Lonely Palace . & quot ; ? location outside 5th ring highway ( anything beyond 5th ring consider boon - dock ) . first move China , company house Loong Palace month , enjoy stay , far away , almost everywhere wanted go 40 - 50 RMB ( 6 - 7 usd ) cab ride away . although US people , 6 - 7 usd seem like nothing cab right , equivalent cost living cab ride like 35 usd . think , cab ride start 10 rmb first 2.9 KM , 1 rmb every KM travel . math , realize far place . think Tienneman Square Great Wall ( badale section area go ) , halfway point . be think US , be go LA Vegas , place would barstow . hotel truly 5 - star hotel ( Ritz Carlton standard ) . manager Dutch , speak fluent english fluent Chinese . since corporate rate , month stay , total bill month come 900 usd . 's cheap price rent NY city studio city . like say , be convenient place , place definitely hide gem . also , development go new gigantic japanese mall north hotel Korean Lotteria ( burger joint ) , korean restaurant chain , Sports Authority , international brand . 
 Feb 24 2009 	 World Class Hotel 	 Hotel new . clean , western term bathroom room furnishing . travel large group ( 350 ) . breakfast hotel mix western chinese dish . 
 Nov 22 2008 	 world class hotel great stay 	 other travel beijing warn us 5 star hotel china might usual standard . exception . rate 5 - 1/2 star . great room , outstanding common area facilities.the staff always ready help . money exchange , extra towel , business center write chinese direction taxi driver , great services.they try hard english , difficulty encounter add interest travel china . wife stay 8 day , someone travel extensively , hotel , china , rate one good travel experiences.john k , modesto can 
 Jun 19 2008 	 good business hotel Beijing 	 stay Loong Palace business trip 1 1/2 week . business traveler , club room quite good , spacious clean great respite day 's work . the hotel middle nowhere , leisure purpose , probably well stay close city either Financial District Choyang district . food good excellent , japanese restaurant provide excellent value . staff quite courteous accomodating . unfortunately , many not sufficient english skill true help . 
 May 4 2008 	 Amazing Hotel - would definitely stay ! 	 book trip local community center . go Collette Vacations . first , bit disappointed hotel bit far city , turn centrally locate site trip . hotel beautiful ! doorman greet we day . staircase lobby remarkable . room perfect ... can not say enough wonderful hotel ! room - bathroom black marble , toothbrush , toothpaste , everything could need . use room key turn light . room spotless . can Coke minibar , kind & quot ; pull & quot ; tab . typically hit mini bar - one - remind kid ... new fangle tab come can . dining - breakfast buffet day . plenty western dish choose - omlet , cereal , fresh fruit , hot cereal , list go . also chinese option . chinese eat egg / pancake breakfast . eat lunch dinner type food breakfast - lot option well . even Western Night dinner Chocolate Cake ICE CREAM ! great ! day fly Xian , leave dawn , hotel box & quot ; breakfast & quot ; we . pack yogurt , delicious apple , taste like pear , hard boil egg , sandwich , etc . go hungry . we 2 & quot ; fancy & quot ; dinner hotel . one & quot ; meet greet & quot ; dinner . lot chinese cuisine serve lazy susan 's . mostly appetizer type choice ... good . last night . lovely sit dinner choice entree . service - hotel deliver pick luggage we , transport luggage . helpful exchange money mail post card . staff speak plenty Engish . visit business center send email teenager stay behind dad . ( call email hit wallet hard ! ) say anything bad visit hotel . truly amazing visit ! 
 Mar 22 2008 	 nice hotel far city center 	 stay hotel ten day combine business / sightseeing trip . attend conference hold hotel ; otherwise probably would book since far city center . however , find hotel excellent choice . property beautiful amenity expect good five - star hotel ( pool , spa , shopping , gym , tennis , bowling ... ) . many excellent restaurant on - site , good since much else area . restaurant generally rather pricey Beijing standard , still much cheap use not mind . room spacious , immaculately clean well - decorate . bathroom large lovely furnishing . free bottled water provide room since tap water not safe drink . in - room internet access available cost - however pay log , online frequently total cost stay negligible . we pay reasonable 650 yuan per night , include buffet breakfast extensive , excellent quality . course much cheap hotel Beijing , seem good price five - star hotel . the location main downside , since take time get center . however find simple inexpensive : five - minute taxi LongZe station ( 12 yuan every time ) , follow line 13 train line 2 subway ( 5 yuan total ) . take hour , quite simple . note be really possible walk anywhere hotel , since highway close . 
 Dec 7 2007 	 make sure check spa 	 nice clean hotel . desk staff speak little English , double check important detail . breakfast buffet nice . huge spa something miss . price reasonable . prefer 9th floor spa service offer pool area ( well ambience , though pool area cheap ) .In restaurant , order meat cook like . tend keep come rarer would prefer . it ourskirt town , necesarily convenient , great value money , taxis cheap ( make sure get meter taxi ! ) . fun ! 
 Sep 6 2007 	 can not miss 	 wonderful Hotel . one good ' ve stay anywhere world . stay new section open March ' 07 . wonderful breakfast buffet also . tour distance city not issue . conveneient Great Wall Olympic stadium maybe far business downtown . 
