excellent 	 can not recommend hotel enough . really authentic Chinese Courtyard hotel good location Beijing . stay deluxe suite room en - suite , good size clean . bathroom little small amenity fine . staff helpful arrange taxi 's tour . use computer internet free . Breakfast serve & quot ; courtyard & quot ; although small selection food , adequate unfortunately freshly brew coffee luke warm . want feel part community , hotel fantastic . 
 warm helpful staff 	 hi make reservation stay Michael 's House read many glow review . reservation process easy stay , staff warm helpful . what like hotel room lobby traditional different usual hotel one stay . many people ( Michael 's House not many room usual hotel ) , face become familiar see stranger befriend exchange travel tip etc . quite nice thought ! location - personally like fact right outside alley Michael 's House , night market . feel like supper , could simply walk buy roasted chestnut , fruit , popcorn ( nearby cinema ) smelly toufu . adventureous enough , food . small minus distance subway station . give extremely cold weather , walk subway station tad far like . long day , tire ( cold ) walk 15min ( reckon 's 500 - 600 m exit ( near exit hotel ) Jinshuitan station hotel ) . take subway first couple day , , find tire cold walk , end take taxi day . facility - room clean pleasant . free internet access room . not bring laptop netbook , could use pc place outside common area . think quite thoughtful owner . also cable tv room . however , stay , cable tv reception quite poor . night get back early , not much since could not receive cable tv properly . keep freeze . guess not much issue since one would not watch tv . oh , like heat water tank winter , , couple occasion , run heated water shower wait . space take bath ! , area improvement , think quite experience . people not mind fact Michael 's House little central , look courtyard house type accommodation , would recommend stay . 
 Nov 23 2009 	 Cozy friendly courtyard socializing 	 comfortable bed sleep quite time . nice breakfast cozy courtyard . 4 we also book private tour Mutinyou section great wall car , guide experience positive . only suggestion add light closet see suitcase . 
 Nov 16 2009 	 Excellent 	 Michael 's House combine authentic old chinese quality warmth welcome feel friendly support might find house personal friend home country . place stand small lane amongst usual clutter activity Beijing 's street , ten minute ' walk nearest subway ( underground railway ) station . agree another comment read 's like b & amp ; b atmosphere none bad . want 5 - star international hotel , go somewhere else ( pay 5 time price ) . wish Michael family continue deserved success . great ! 
 Nov 13 2009 	 Magic @ Michael 's 	 unfortunately stay one night , wish could long . everthing internet booking check positive experience . I disable staff go & amp ; beyond expectation assist . staff wonderful young woman task positive manner -- -astonishe . thank ! ! 
 Nov 8 2009 	 Felt like b 	 purpose trip visit university like Bei Da , Beijing Normal Renmin , location Haidian District convenient . subway short 15 minute walk away , past street vendor sell roasted chestnut , etc . nice feeling like live real neighborhood , touristy part city . Lydia staff lovely -- try hail cab middle fluke Halloween snow storm write sort little note Chinese , make stay much easy . chinese colleague scoff tell staying charm come inside pick notice many stop front desk pick business card way . breakfast ( vegan / vegetarian friendly ! ) lounge area comfortable great impromptu meeting . room kind funky new age feel really like . 
 Nov 8 2009 	 Warm Inviting Quiet Place 	 want nice place stay real Beijing neighborhood 's beat path , . be fancy , everything need good night 's sleep , place relax , good breakfast . ' ve stay many five star hotel Beijing day trip . vastly prefer Michaels House . 
 Nov 7 2009 	 Michael 's House Beijing ... good part holiday China ! 	 mum stay Michael 's House Beijing first 4 night China absolutely love it . we find book procedure relatively straightforward pre - arrival communication Front Office Manager , Sean , good ; english excellent . ask lot picky question room bathroom Sean give clear honest answer . request specific room ( N4 ) book happy able get it . sean email advance direction Mandarin give taxi driver arrive , clear info long would take station etc etc . we give warm friendly welcome arrive Michael 's House . little concerned choose room close public lounge area worried may bit noisy , however , despite fair number guest around , room fact extremely quiet peaceful extremely happy throughout stay . the room spotlessly clean , sheet bed linen immaculate bathroom small perfectly adequate clean plenty hot water shower full array bathroom amenity . for breakfast great selection western chinese food , tho recommend get early scramble egg dumpling get cold ! dinner one night stay ; menu pretty limited perfectly sufficient would not say food spectacular certainly meet need not expensive . Michael away have arrive lovely wife , Joanna , great help we planning activity kindly arrange one front office girl , Lydia go we first day unofficial guide . much fun Lydia ask could come next day , work Joanna arrange Miranda , Lydia 's co - worker , come instead . great time girl deeply touch neither would accept payment we . we feel completely home Michael 's really not want leave . warmth , friendliness hospitality Michael , Joanna staff make introduction China special part holiday live . cherish memories special little hotel many year come hope get go back one day . thank , Michael , Joanna , Sean , Lydia , Miranda rest team wonderful time ! Lindsay FlakelarCentral JavaIndonesia 
 Nov 3 2009 	 exactly expect - great hotel 	 read numerous review site , choose Michael 's Hotel stay 4 night late October . book 2 night Emperor 's Suite 2 night Standard double room . want live like king , 2 night : ) live like king ! arrive go straight room delight look exactly like picture . giant bed , small stylish bathroom computer internet access . arrive rather late ask would possible book tour Great Wall Simitai next day . go grab street food street , desk clerk put together able catch mini - bus next morning take we wall . clerk hotel speak English , well other , probably good English will encounter trip ! hotel 4 - 6 block Jishuitan subway station , 5 minute walk cross one major road . hotel locate alley , make hard cab driver find dropping , however , million cab exit alley hotel accommodate need anything . ask clerk translate dish could order nearby restaurant , since nearby restaurant quite small not speak much English , staff make sure tend need have . they serve decent breakfast 's part room cost 's coffee tea whenever like . 's one main computer hotel guest use need email check direction . hotel owner also wisely invest separate phone line link directly North America . come quite handy urgently need call Visa card . hotel charge call , nice ! hope review helpful make decision stay visit Beijing . 
 Nov 2 2009 	 Hotel room look gorgeous . hostel room really gross . 	 intention book private room , accidentally book & quot ; private twin - Shared bathroom & quot ; . realize room tatami mat room , keep mind review . review hostel part hotel , fancy hotel part , bear mind . ' ve stay many hostel , one gross side . the tatami room reek mould . 's problem come leave futon tiny room day without air conditioning ( turn clean save energy ) . snack well past expire ( would come hostel snack , think would mention ) . room situate right next street main level . elderly woman would take care baby right front window ( close blind ) . light sleeper , sound scream child wake super early ( even use ear plug ) . thing thing deal hostel , really gross shared bathroom . one shower tuck away back behind kitchen . pack knapsack full clean clothe , towel , toiletry bring across lobby side building . one shower use man woman hostel guest staff alike , end wait long line shower . shower door frosted glass privacy , be private . anyone walk along hallway see fuzzy outline . woman travel alone , wa not comfortable dressing front , little choice . shower drain usually back , wade someone else 's dirt ( bring SHOWER shoe ! ) . mouldy water pressure reduce point unable get underside hair wet . duration stay , never quite feel clean . plus , show night , get to walk across lobby pajama . location rather far train station . maybe 15 minute walk . daytime , problem , night , not safe . least , female alone , really not feel safe walk around neighborhood . People would block path start demand information like . know curiosity , definitely feel unsafe . also not help taxis refuse drive hutong front door . would drop main street tell walk . walk dark alley night smart anywhere , really choice . also , many taxi not really know location hotel . give address , may understand general area take , unless cell phone call hotel , may dump somewhere . definitely ensure hotel get . keep mind , staff fabulous . help every little request book train ticket , keep luggage desk . really think fantastic job help everyone regardless room stay . definitely make hotel great place stay . breakfast also delicious get early enough . tasty free ! overall , price ( 50 $ ) , way well hostel . hotel room may make great place stay hotel , hostel , well . 
 Oct 30 2009 	 see back home 	 stay two day hotel , see back home . staff nice , good service . helpful trip Beijing . hotel look great , new equipment comfortable bed make deeply sleep . would back go Beijing next time . Michael 's house first choice accomdation Beijing . 
 Oct 29 2009 	 good room not - so - good location little over - price 	 stay Michael 's House 3 day early month . place locate narrow lane line street food vendor every sort , make difficult taxi drive enterance . also squeeze apartment building location really give ' hutong ' feel unfortunately . house big enclose courtyard surround room : clean reasonably well do , remain little dark quite small . location reasonable : 20 min cab Waifujing/ Forbidden City . room would expect 3 - star hotel : nothing fancy good bed clean linen toilet . feel price little high location overall facility . find staff attentive helpful , plus . price , feel well city like Beijing . 
 Oct 28 2009 	 great place 	 spend 5 day Michael 's House , pleased . room comfortable clean , atmosphere terriric . Lydia Miranda wonderful , help we recommendation , dinner reservation , direction , etc . glad choose Michael 's House generic hotel chain . really make Beijing stay special . well locate - easily accessible downtown , outside fray ultra - touristy hotel area . wonderful place ; hardworke , helpful staff . thank much great stay . 
 Oct 26 2009 	 Great Hotel Hutong 	 recently stay Michael 's House small hutong Beijing . even arrive , email hotel book Peking Duck restaurant we came highly recommend . upon arrival , restaurant reserve even private dining room ... wow , service ! 2 deluxe room book great , large accomodating . also safety deposit box room always big plus . top everything , massage arrange last minute night arrive . 90 minute massage long day travel make stay Michael 's House one best entire trip . Penne Memphis , Tn . 
