great 	 great hotel Beijing ! ! ! ! price affordable , location great , staff awesome ( speak English haha ) , translate everything chinese , room nice , organize tour ( highly suggest Beijing ) . great experience , hotel make stay Beijing relax . 
 Great Hotel great price ! 	 stay Park Plaza Beijing wangfuje last week love hotel . recommend friend stay last year also read review , happy say even nicer imagine photo indicate . staff great nice helpful room cozy , clean comfort need day sightseeing ! would definitely stay . not eat restaurant , breakfast use service ( however drink half bottle wine mini bar decently price $ 89 rmb - consider might pay one glass would much US half bottle like convenience : - ) go upload photo room well . 
 wonderful hotel except absence good gym 	 say . live without great gym pool ( helpful combat jet lag ) , want / need stay Dongchen , hotel great . also 1 minute subway , important BJ . 
 Nov 23 2009 	 service - orient hotel offer great value 	 spend comfortable five night September . staff Front desk Concierge desk extremely helpful . book flight , train , trip also look address , make telephone call we , check business shop try find , allow we use shower gym free charge even though check day ( take overnight train back Datong Beijing need somewhere freshen ) . hotel next Dengshikou subway stop ( line 5 ) , within 10 min . walk shopping centre , 30 min walk Forbidden City . we stay hotel Beijing place streak ahead competition , give price range . really excellent value hotel outstanding staff . 
 Nov 18 2009 	 great hotel value right heart Beijing 	 family stay two room early November . snow last day ! terrific , new hotel , excellent modern location . recommend duck Da Dong , right across street . nothing complain . drink bar little pricey happy hour every night , sure two - for - one fun ! 
 Nov 16 2009 	 stay ! 	 brilliant amazing hotel , great room , excellent food , fab location , TOP TOP staff . Onl ; 2 minor complaint .. teh 15 % service charge everything make sundrie expensive .. ie 51rmb beer include service twice much anywhere else Tsingtao . also bill confuse layout due aforementione 15 % ... please do not let stop . great hotel well worth reason ! 
 Nov 12 2009 	 Excellent hotel 	 satisfied hotel , centrally locate sure stay again.travell USA . 
 Nov 11 2009 	 Fantastic Start Trip Lifetime 	 hotel nice literally film soap opera lobby . = ) way , think fanciness beauty hotel would mean nothing amazing staff . bent backwards help we every turn . doorman amazing translate name place direction we . make sure pick card name address hotel , map hotel , seveal popular tourist site enlish Chinese . handy card get we many place ease really help cab driver locate hotel return trip 's bit hidden . hotel classy clean . room exceptionally stylish . bed typically hard chinese bed room still comfortable . breakfast buffet worth upgrade 's fairly tasty fun culture shock first day ( idea think people eat baked bean morning ) . 4 hotel stay China , one take cake without doubt attentiveness staff . mean lot far home little scared kind people make everything easy . 
 Nov 10 2009 	 simply superb ! 	 well start ! book hotel base Tripadvisor report superb ! moment walk door day leave do not think ever make feel welcome hotel world . other note hotel know taxi driver fact behind Regent hotel make difficult spot . even wife Chinese still take slow drive road spot hide behind Regent . would suggest print google map get one hotel staying make sure . Location ( ! ) . great location tube station next door , casual 15 minute walk main shopping area 40 minute walk tianaman square . hotel appearance . smart , clean , stylish .... need say ! check easy quick , good english speak staff explain everything hotel . room be not ready due we early direct club floor free tea . book club floor suite include breakfast 2 , happy hour 5:30 7:30 pm club floor large room 3 we . room magnificent , separate lounge bedroom , bathroom walk shower , toilet bath plus separate toilet entrance lounge area . good selection toiletry well . upgrade room 350 yuan inc tax considering get bargain . free wire internet well quite good speed well . breakfast excellent large range western asian option . 3 chef cook egg noodle well ! even coffee be not bad first trip . club floor . basically free drink nibble couple hour day . nice section food hot cold various drink available include alcoholic . free wireless internet club floor well useful . concierge . never see many staff concierge desk , I m sure 5 one day ! also never service like give . helpful , polite , cheerful . organise tour also book train Beijing Xian . train ticket arrive within hour ! also clearly explain commision rate charge refreshing say least . downside hotel ? I m loathe put anything can not praise hotel high enough bar price border insane . one night 2 tea fresh orange come 150 yuan . hope last time 2 year old son expensive drink ! unless really need would therefore casual drink hotel . beer charge nearly 50 yuan availble 2.5yuan shop near . I m sure pricing probably standard similar Beijing hotel class family still exceptionally expensive . many hotel similar issue regard pricing opinion do not want comment put anyone hotel safely say good ever stay . advice enjoy hotel , staff location , eat drink ! 
 Nov 8 2009 	 Great Hotel 	 good thing say hotel . place seem run like clock work , nothing check - in check - out could fault . staff reception doorman pleasant helpful almost everyone seem bilingual Mandarin Chinese English . female concierge priceless . itinerary arrange transport re - confirmed reservation everything would run smoothly . upon return , immediately greet we inquire everything satisfactory , indeed . hotel fairly big seem full capacity stay , international conference , tour group , assorted business leisure traveler . however , staff always seem warm greeting , lead pleasant environment . on - site noodle restaurant convenient good value . would definitely recommend stay hotel . 
 Nov 1 2009 	 Amazing Stay 	 say enough great thing staff Park Plaza . aside great room , comfortable bed , perfect location , easy access tour , really stand hotel wonderfully helpful genuinely friendly staff . consistently provide honest advice eat , show see , tour take one point walk we around restaurant hutong behind hotel frequent . food really good . expedia screw flight stick fight phone 2 avail , Catherine , amazing concierge , offer call airline we book another flight , charge . save us ton money incredibly helpful . would come back hotel heartbeat would recommend anyone ask . be plan trip Beijing , give 3 full day . 's way much see ! 
 Oct 30 2009 	 favorite Beijing Hotel 	 stay 6 time past 1 year . try Sheraton , Hyatt , Radisson Hilton always end come back . keep bring back- room new clean . - small hotel , 2 day , every staff remember . start get personal smile greeting like greet friend instead guest . what make consider hotels- location ! yes central . office far away south get back office 5 8 pm nightmare traffic . Suggestions- hotel limited view . always ask room face north . part hotel east side hotel unblock get great view courtyard house . also get see way Bird nest stadium clear day ( rare BJ ) . every morning , also find flock bird fly courtyard house always find amusing.- Taxi driver generally know hotel . tip tell street & quot ; Jinbao Jie & quot ; & quot ; Li Jing & quot ; ( Regent Hotel ) famous brother Park Plaza Wangfujing.- start see beggar outside main street junction outside hotel . see jump taxi beg money tell money food . ignore like exist . - nice meat bun shop 10mins walk along Dong Dan North street . sign outside say master cook famous & quot ; kou bu li & quot ; bun . taste similar . want walk way wangfuje real thing , bad choice.- facotry outlet 15 min walk north Dong Dan road . include Adidas . never find price good enough buy.- MacDonalds ( go north along Dong Dan ) KFC ( go south along Dong Dan ) 10min walk away . macdonald even home delivery never try call hotel room . 
 Oct 28 2009 	 Good Value Great Location 	 pro : beautiful hotel . ' would expect nice western hotel . comfortable room comfy bed . room even come plush sit chair plus ottoman . tv cable channel include HBO movie channel . Buffet breakfast ( include package ) great . good selection asian food like chinese vegetable , baked chicken , sushi ( even breakfast ) . also great selection hearty western food , change daily , like pancakes / french toast / waffle , potato wedge / scallop potato / hash brown , scramble / poach / hard boil egg . opt make - to - order egg station . Dengshikou subway station locate entrance Regent Hotel , right front Park Plaza . also , variety international plug . , need buy extra converter . ( see attach picture . ) con : hotel habit giving room , even pay advance , check later evening . upgrade large room w/ two twin bed first night . temperature control room , ' seem work . increase thermostat 30c , yet room still freeze . husband end squeeze one twin bed stay warm . ' nice " upgrade " we , still ' make living suitcase first night b / c know ' pack next day make finding time next day pack bag , move another room , unpack . next day change room , another guest complain room ready available . ' get detail complaint , see pattern hotel reservation . tip : ( 1 ) Print map use Google program show cabby . map offer hotel ' website well business card map provide hotel cab use 6 point font chinese character . cab driver trouble see , hold card far face focus , get grumpy , ' help , especially ' speak Mandarin . see . ' link hotel ' website map : http : //www.parkplazadestinationguide.com / locationMap.process / OID_E7F6C665/ ? hotelcode = CHNBWAN . ( 2 ) follow another reviewer ' advice , hotel ' chinese name " Li Ting . " cabby say " Li Jing , " ' Regent , also get block . , keep repeat " Li Ting , Li Ting " ' eventually see sign Park Plaza . ( 3 ) ask room face courtyard . courtyard actually main entrance , quiet , gorgeous , overlooks Regent ' lobby . street side cool view local hutong , construction go seem dispose material truck locate right outside hotel start 6am . ' loud . thank goodness get 6 plan day . , move real room . ( 4 ) flight arrive late evening , consider call advance confirm check later night . even though pay room week ago , ' guarantee room available . even though ' give 4 5 star , would stay . 
 Oct 27 2009 	 Nice hotel good deal 	 stay couple night travel business . good location . staff friendly helpful . room clean comfy . good good deal ! 
 Oct 11 2009 	 Great Hotel 	 Great Hotel . would not hesitate recommend it . my room large , well clean . complaint all . I would say central , Beijing massive city would question & quot ; central ? & quot ; Park Plaza near lot western hotel , & quot ; & quot ; three block away ( 20min walk ) wangfuje shopping mall ( street close road traffic ) usual souveni shop , along chinese food market , McDonalds & amp ; KFC ; modern western - style airconditioned shopping mall run alongside street mall . thing ( shopping & amp ; cheap food ) nearby always important consideration select hotel . there close hotel , however would outside price range . the hotel within walk distance central attraction Forbidden City , however not personally walk attraction guide & amp ; transport . however be also importrant note can not pick hotel central everything beikje , many attraction far apart . the cost in - house food little expensive ( eg AUD30 breakfast , AUD50 + night ) , however be expect 4star hotel want convenience home . naturally person 's & quot ; Value & quot ; rating relate pay . happy rate . believe got & quot ; 4 night price 3 & quot ; style promotion . overall : great hotel . not hesitate recommend . 
 Oct 10 2009 	 Superb Hotel - Exceeded Expectations ! ! 	 wife stay 6 nite hotel Beijing start Oct 2nd , 2009.this hotel superb ! room , food , service exceed expectation . staff , especially concierge staff , amazingly helpful ! stay hotel 23 country 5 continent would recommend hotel anyone . locate close major site . short walk Night Market , maybe 10 minute . short cab ride destination . starbuck 2 minute walk lobby door . room service fast , good , inexpensive . Cable TV , amenity need . highly recommend hotel ! ! 
 Oct 8 2009 	 Great hotel - near subway line 	 stay 5 night . place clean staff accommodate . breakfast buffet good . would recommend family business travel . if Canon camera break repair shop next building . fix camera overnight . 
 Sep 28 2009 	 Great Hotel value $ 	 stay hotel March year . hotel match expectation every way ! research book hotel advice people stay hotel we . great hotel , great location . problem think many taxi driver not familiar location hotel . 
 Sep 28 2009 	 wonderful hotel 	 hotel great bargain , four star hotel two star price . stay Park Plaza four night two grandchild . room $ 110 include breakfast we . first , reception problem reservation -- lose not get connect room request . however , settle , happy room . breakfast buffet fantastic , western , chinese , japanese breakfast food . concierge also helpful . hotel within walk distance shop famous food street . somehow , taxi seem hard time find hotel .. 
 Sep 28 2009 	 wonderfully convenient . excellent 5 star quality 4 star rate . 	 stay Park Plaza 5 day Sep 09 . location great . 's right smack centre Beijing main shopping artery ( Wangfujing ) . be adventurous , actually walk Forbidden Palace . take note fair bit walk . much easy take underground Tian Men East stop . Park Plaza behind Regent Hotel Jing Bao Plaza ( office tower ) . cabby tend know hotel & quot ; Li Ting & quot ; . alternatively , tell & quot ; Li JIng , aka Regent Hotel & quot ; . Underground ( Deng Shi Kou ) around corner Park Plaza Regent . barely 2 - 3min walk . 's Starbucks right across main door , Jing Bao Plaza . the room nicely do subdued furnishing . come portable hairdryer , iron iron board room . not something see hotel . nice touch appreciate . 2 complimentary bottle water provide daily . tap water drinkable well boil first . concierge excellent . utilise knowledge quite number time stay . always helpful smile . one good experience ' ve hotel . personal touch priceless . 
 Sep 26 2009 	 Beijing September 2009 	 stay Park Plaza Beijing Wangfujing No.97 Jinbao Street , Dongcheng District , Beijing 100005 , China 11 18 September 2009 . hotel slip road office block south hotel , south west Regent Hotel . general map attach Map . attach Map B , road run east – west direction Jiabao Street . road intersection curve structure Regent Hotel . bottom right hand corner , office block . rectangular structure north west office block north east Regent Hotel Park Plaza Hotel . circular structure Bloo restaurant Park Plaza , guest take breakfast 2nd floor . vehicular entrance Park Plaza bottom right hand corner beside office block . go straight immediately Park Plaza hotel junction , small chinese restaurant . see picture cluster tree . area north east chinese restaurant small community , government office , like traffic office also branch Red Cross also run hotel . find courtyard hotel community cost 1000 yuan per night . laundry , convenience shop small restaurant find community . Map C & amp ; may help know vicinity Park Plaza westward towards Forbidden City . immediate interest wangfuje street , close one section road walk safety . street run north south direction food street run east west direction start junction . along way , find hotel , motel hostel . initial impressionThe concierge guy helpful , moment step taxi , take luggage , tag leave behind counter . may nice pretty normal gesture . check – staff friendly offer upgrade suite 200 yuan extra payment , happy " club " room . the roomIt reasonably spacious . bathroom large come bath tub . two full set liquid soap , conditioner shampoo available other amenity like two cake soap , comb , toothbrush , razor , cotton bud , etc . note shower curtain must draw nicely way water may spill . two mini bottle mineral water available per day place toilet . the King size bed nice soft . seem countless electrical plug outlet room . find two bedside table , working desk utility cupboard . special mention electrical plug come variation , meaning , whichever country come , ' need adapter . travel quite bit first time , find electrical plug country . Singapore three Singapore style electrical plug room , inclusive one bedside table . on one bedside table , touch light emit faint blink . quite thoughtful probably find hotel safety feature . room , also large umbrella guest use . cost 80 yuan , want new one souvenir . also paper carrier bag cupboard . quite handy shopping guest bring home . safe provide room also tray tidbit consumption together coffee / tea sugar . write table , vertical row shelf also outlet plug LAN cable . telephone guest friendly hotel ' facilitie separate button numerical one . breakfastas club room guest , could breakfast 15th floor lounge " Bloo " restaurant 2nd floor . menu fair varied service staff efficient . change breakfast menu everyday . the high teaa privilege club room suite guest , i.e . free . start 5.30 pm end 7.30pm . liquor , soft drink hot beverage serve . , addition food lounge atmosphere nice place relax low sitting set large LCD tv within lounge . cookie table make house one well taste . light snack also available , sufficient . facilitiesthe gym locate 3rd floor come weight lifting equipment treadmill . basically simple . may also arrange massage also . business centre hotel , addition two pc ' 15th floor lounge work internet surfing . one pc english operating system , Mandarin operating system . printer connect pc ' course , may plug usb device may bring along . conciergePretty efficient guy . need taxi , someone main street usher taxi . inform taxi driver destination confirm , taxi driver know reach destination . safety measure , register taxi vehicle number hotel concierge log book , addition gve small slip paper taxi vehicle number . concierge also remind get receipt taxi driver end journey . may also ask information want beijing , like , buy place visit . trip , direct interactive Mona Lisa exhibition . Local toursThe hotel arrange . go acrobatic show kung fu show . price pay exactly buy venue , , tourist ' lose . tell tour Great Wall , ' price comparison . Hotel LimousineYou may use travel airport vice versa . additionally , emergency , call arrange pick anywhere Beijing . cost fair , consider use Audi A6 , 2.4 litre car . comfortable . the hotel immediate vicinityOn half leave hotel entrance , row shop . two restaurant among reasonably extensive menu . furniture shop , sit middle . local chinese restuarant , mention early could also good choice know local would eat . across road , row shop , Jiabao Place , , shop mid range clothe , Da - Dong , Beijing duck outlet situate 5th floor . restuarant nice atmosphere . bring beijing duck table carve duck , right front , addition demonstrating , suggest procedure eat Beijing duck codiment . menu , gold paint heavy . inside may want order dish like fish , offer live fish cook two way , i.e . fillet one way rest way . walk eastward along Jiabao street , see row local restaurant sell muslim food , like & quot ; naan & quot ; hot pot . cheap delicious . explore side road Jiabao , small departmental store supermarket locate , together hardware shop convenience store . Nearest subwaydengshikou Station near subway attach subway map . subway useful principally , may find wait taxi little bit long destination . cost 2 yuan , irrespective distance travel , even , change different route . note Beijing subway expand time visit Beijing , new station . fact , pass almost complete station , like one National Library . ConclusionA good cheap hotel , good service . stay staff responsible people convenient , . 
