Great 	 two interconnect room 4 night . lovely hotel great location . room smart well appoint . room service twice day . Lobby impressive however shop lobby two basement floor niche / expensive . breakfast good restaurant nicely decorate . fortunately include package else RMB240 each . have dinner restaurant however average limited menu selection feel . swimming pool lovely always empty . temp nice warm plenty towel etc provide chair . good Wi Fi coverage room - Complimentary - wish hotel . 
 luxurious great value ! ! 	 stay Peninsula classmate sightseeing around Beijing . location amazing look night market around corner fastfood place like Mcdonalds KFC . great window shopping international brand boutique hotel lobby , amazing breakfast ! ! hotel staff good english speaker ( rare Beijing ) friendly . lot personal touch like note leave room hotel , even complimentary cake anyone celebrate birthday stay Peninsula ... would reccomend hotel anyone look amazing time Beijing ! ! 
 Nov 23 2009 	 would expect 	 stay 3 night - would expect 5 * hotel , nothing special . location good anywhere Beijing . city enormous matter stay attraction go far away . close Forbidden City though , good shopping nearby . hotel nice . lobby bar little disappointing , seem like something afterthought . price steep Beijing , though service whole good . breakfast buffet downstairs restaurant good ; not eat meal can not speak 2 chinese place . room nice . big flatscreen , dvd player . lot plug , include UK 3 pin plus nice touch . bed comfy , though pillow little soft . great bathroom plenty room , decent shower . tv nice touch fairly pointless . overall fine hotel get great deal make even well . service well . get exactly pay . 
 Nov 23 2009 	 Non - smoker hate 	 know mainland still people bad habit , not expect people smoke non - smoking floor . even complain management , nothing do clearly correct issue . blame hotel management , citizen traveler China . overall great service hotel , treat like king pool fitness area . chinese restaurant locate atrium hotel superb . 
 Nov 21 2009 	 know mean excellent service 	 return yesterday 5 night stay Peninsula . not mind go Beijing cold weather ( 40 F week ) , grab fabulous winter package Peninsula offer website $ 200 US per night . arrive airport US 1030 pm Peninsula limo wait we part hotel package . driver call hotel minute two prior arrival less 5 hotel personnel wait , bag whisk away check clerk guide we effortless check room , coinciding room service bring we welcome tray hot chocolate cookie . absolutely fabulous breakfast buffet include rate wonderful way start day . even open 530 , allow we breakfast prior 615 checkout . room lovely absolutely complaint problem firm mattress . room service efficient highly rate chinese restaurant hotel excellent . as location , perfect . huge pedestrian street second block leave hotel end 10 minute walk Forbidden City . cits travel service build right hotel arrange tour Great Wall Mutianyu . , mandatory stop jade showroom silk showroom ruin day we would advise hire driver set itinerary . use subway system , easy navigate taxi , find meter one , cheap . , get back Peninsula , first time say perfect stay perfect hotel . 
 Nov 14 2009 	 perfectly adequate 	 colour scheme room little bit drab grey business like everything work well . bed hard , bed China , try well complain buy inch thick mattress topper slightly help . nice large flat screen tv DVD player play region 2 ( european ) dvd . view uninspire look straight building opposite . bathroom small side well light vanity mirror good hair dryer . bath shower top . one interesting gadget useful display tell temperature outside . decent sized safe . breakfast good , good range thing offer . charge internet access annoy give need little time check e - mail . guide do not arrive take airport onward bind flight Xian able quickly get taxi 6.40am cost ten pound . quote considerably enquire day trip Forbidden City Great Wall ( 250 pound day feel excessive do not book ) . main shopping street near little supermarket till assistant speak good English ! also dumple restaurant street Jingli something walk distance . 
 Nov 1 2009 	 good area 	 Peninsula locate near Forbidden City , pedestrian mall subway stop . although expensive , service room top notch . Hilton block half away offer perk low price . 
 Oct 27 2009 	 Finest 5 Star Hotel Beijing 	 5th stay Peninsula Beijing . service always excellent . large King Size Suite , fresh fruit everyday place room . room service time everyday . food hotel excellent breakfast , lunch dinner . front desk well concierge top game . plan stay 2010 return new repeat group friend . book regular King room use Platinum American Express free up-grade.haroldsargent USA 
 Oct 26 2009 	 Brilliant hotel 	 stay Oct 2009 Grand Deluxe Room ( 1850RMB ) . fab location , fantastic faultless service . room huge high quality fixture fitting . super shower , great gym . nothing much trouble staff . card restaurant book handed Concierge distance name / address Chinese - 's call special service . Beijing - friendly people , watch occassional spit street lot people brag queue . taxis cheap although drive standard scary , traffic heavy . recommend restaraunt : -Da Dong Beijing Duck ( good chinese town ) Maison Buloud ( good french town ) Huang TingCrystal jademy Humble HouseMade ChinaBut avoid Whampo House Financial District . see Forbidden City , Great Wall , Summer Palace , Temple Heaven , legation Quarter , hutong , CCTV build olympic village . tip , see section list Beijing . 
 Oct 24 2009 	 great service well value 	 Peninsula one old grand hotel Beijing , show . hotel staff perhaps friendly professional town . food absolutely top . not mind pay get special smallish room money , highly recommend . 
 Oct 24 2009 	 fantastic 	 great hotel great service . tired long flight Florida . hotel limo pick we . great idea feel overwhelmed get plane . room comfortable decorate taste . nice nap wake go restaurant great dinner . atmosphere lovely tranquil . location also great . nothing negative say hotel 
 Oct 13 2009 	 Stunning Hotel World Class Service ! 	 wife pleasure stay Peninsula first day honeymoon China . say good place ever stayed , upgrade superior deluxe room arrival honeymoon . the room hotel facility perfect . staff attention detail absolutely amazing . return hotel final part holiday greet ' welcome back ' gesture wine cake personalise note manager . not get level service anywhere else . I would definitely reccomend hotel hope return . enjoy ! ! ! ps.great Location , literally 5 min main shopping area . 
 Oct 7 2009 	 Excellent Service Location 	 book 2 room 5 nite 18.9.09 - 23.9.2009 request connect room grant upon arrival . check smooth , room clean sufficient space , personal fax complimentary free internet service . sister fall ill one night , call hotel staff ambulance arrange speed take good hospital Beijing , Peking Union Medical College Hospital ( International Medical Services ) assure we . management staff help we tremendously throughout ordeal , keep close contact hospital sister 's wellbeing , prepare breakfast takeaway every morning hospital offer we assistance need . perhaps fast efficient timely action save sister 's life . Location Peninsula excellent . near wangfuje walk street , night market could even walk peke duck Da Dong Roast Duck Restaurant Jing Bao Tower . exit hotel turn right end road turn right . ever return Beijing , would hesitate stay Peninsula . thank bottom heart , Peninsula assistance , patience care render stay . 
 oct 4 2009 	 Excellent hotel - great location 	 stay 5 night Club Deluxe Room mean could enjoy facility offer Club Lounge tally provide we value money meet club member enjoy drink food quiet comfort . room functional - little small fine . bed great large . internet complimentary work well . bathroom great [ shower bath though ] . Club Lounge provide substantial breakfast get us lunch time provide free bottle water take daily sightseeing walk . ask extras provideHad lunch Hotel Chinese restaurant - expensive get . good Peking Duck Da Dong [ taxi ride hotel ] . look internet - excellent duck , chinese food service [ english waitress available assist call taxi ] . definitely return there . if far walk daily destination - take taxi [ cheap chip ] . concierge give & quot ; take ... & quot ; card show taxi driver . excellent - one free . Silk Market great shopping - & quot ; yes & quot ; probably pay much we use aggressive selling [ theatrical really ] . like see far cheap would pay home country price - happy . price even someone tell could pay less . offer low price start work price . good advice - decide top price mind reach walk away keep walk time chase say ' ok ' tell favour - smile give money . do not probably see item another stall . definitely return Penisula Beijing meet expectation . Beijing great city visit culture / sightseeing shopping . 
 Sep 17 2009 	 perfection 	 absolutely good city hotel ever many way . perfect service , friendly staff , still relaxed . option anyte . check extremely fast , breakfast dinner stunnig . nice decorate room , tv end bath . room good size . location great , forbidden city luxury shopping area within walking distance . really enjoy hotel hard find fault . 
 Sep 16 2009 	 write hotel room ... 	 type hotel room , would like explain accustomed luxury . luxury , other not . -- -i stay hotel 2 week . past 3 year come Beijing , see family . although smoggy disastrous traffic , love city . I enter hotel cousin via taxi . two doorman whose job push rotate door you . that strange ... awesome . the street level floor reception bar . either side floor Chanel Louis Vuitton . two bottom floor designer store like Armani . reception staff nice speak English well . course understand English Chinese accent , doom . their accent bad , use it . if something mundane hotel traveler use staff person close , usually you . example , receptionist push button cousin , go towards elevator . bellhop bring bag door . mine 2 heavy duffel bag , bring two people . the hotel locate 1 block wangfuje street , popular tourist spot everything might need . immediately around corner market buy water , snack shampoo . recommend drink tap water sensitive stomach China . easily upset stomach . boil water fine though . -- -Still try recover jetlag , cave order chinese breakfast room service . also , know & quot ; business casual & quot ; actually restaurant ... haha . for 24 usd , quite help food . Congee ( rice soup ) , fresh fruit , fresh juice , chinese pickle , tea , dimsum noodle . they even little mini char siu bao ! good , although good homecooke . I decide head pool spa treatment . you sign room number . need locker key keep thing . sure dress go pool , wear clothe . inside locker give towel , bathrobe , poolside slipper coat hanger . before enter pool , must walk ankle deep water clean foot . a woman inside pool area assist . enter lay towel sun - chair , give bottle water magazine . also goggle need they . she speak enough English communicate need . the pool little cold , admit . 84 degree outside .... although know job , assume , turn show dry bathing siut . use use bathing suit dryer , assume patron . say dry half suit . -- - stay whole review , congrat ! joke aside , really like place . if business person use total luxury hotel , might you . I kind person need extra sitting room . 
 Aug 27 2009 	 recommended not quite live Peninsula Standard 	 stay Peninsula Bejing 6 night Grand Delux Room . two reason choose hotel:1 . location2 . stay Peninsula Bangkok hope would similar experience . firstly location excellent . walk distance food street market , & quot ; night & quot ; market . shop shop mall 's near , Square , F City etc ... close need taxi . good part we evening could walk , eat , shop around , sit drink people watch ! hotel , service live Peninsula standard can not fault way . however , room . room ok expect Peninsula Bangkok . think consider stay hotel minimum category room book Grand Delux Room anything less 5 star standard . also lobby mall really quite dose not grand feel expect . we use room service couple time eat western restruant ( can not recall name ) , breakfast . expect good . I would recommend hotel anyone consider , would stay price right . however , live standard expect . Hope help 
 Aug 13 2009 	 one Best Beijing 	 stay peninsula 3 night June 2008 . hotel well locate main shopping also dinner . see immidiatly high standart , classy , clean staff really good . food breakfast amazing ! swimming pool good spend time relax . very Good Hotel . 
 Aug 10 2009 	 place stay Beijing 	 stay peninsula three night July . second stay - previous one 2006 . peninsula maintain high impeccable standard . hotel locate ideally locate main shopping area Tianemmen square one could want . level Service good one could want . other note , location mean one occasionally get hassle art & quot ; student & quot ; want push servicesbut learn ignore . spa refurbish since last visit excellent one good relaxation area see . swim pool also good size excellent relaxation bed . highly recommend . 
 Jul 30 2009 	 everything top line ... 	 conveniently locate within easy walk Forbidden City , Tienanmen Square , pedestrian shopping street , & quot ; food alley & quot ; , Peninsula never let forget ' ve sign five - star service . friendly , competent hotel staff listen request answer question . room not overly large , well appoint tv bathroom , free wireless internet room . buffet breakfast wonderfully diverse , complete everything fresh - squeeze OJ , bagel lox & amp ; cream cheese , con gee . would definitely stay . 
 Jul 24 2009 	 ' ve see Promised Land 	 ' ve never pleasant hotel stay recent week Peninsula Beijing . everything first rate . fact , service over - the - top attentive , independent - minded sort like , mildly annoying , time -- like bathroom attendant turn faucet . mean good way , make sense . pay stay club floor . include breakfast alone worth -- good coffee , broad selection eastern western food -- happy hour ( also include ) pleasant bonus day spend work touring sometimes hot , clamorous city . plus -- non - mandarin speaker -- staff club speak good english hotel nearly everyone speak well . Peninsula 's gym pool well one ' ve see hotel . include price room internet access . location , assume want center city , excellent -- easy walk major site . 
 Jul 21 2009 	 good town ! 	 stay Peninsula Beijing several time , always good ! moment pick airport swanky Rolls Royce set standard perfect stay . ok , lobby little 90´s tacky marble horse staircase , people work make stay memorable ! room comfortable equipment desire . towel thickest get anywhere . spa part ESPA chain , experience top hotel well . great treatment everytime , expensive ..... pool fitness area top notch ! try crispy duck restaurant basement , world well ! interior restaurant also worth extra glance , spotless cool ! city service still & quot ; new kid town & quot ; , Peninsula place ! 
 Jul 10 2009 	 top notch service 	 absolutely zero complaint hotel . room great plenty room . Bathroom tv excellent . bed hard , still comfortable make sense . every member staff extremely helpful . 's really small detail impressed - call housekeeping , woman answer phone English use name ( almost employee call name ) . call housekeeping get drink water one time , not call anymore . would come room go leave we ton water fresh ice . location good , however encounter cab throughout city refuse drive we hotel . not know not know not want go . breakfast great - omlette make order , waffle , fruit , pastry , breakfast meat , chinese selection well . service breakfast outstanding . not expect chair pull buffet , certainly everytime get . breakfast inclulde room rate . would not pay otherwise expensive purchase own . overall , excellent hotel expensive Peninsulas . 
