Nov 	 wow 	 awesome hotel ' ve ever see tall building ' ve ever ( 99 floor ! ) 
 Nov 19 2009 	 luxurious quiet comfortable 	 hotel lobby 54th floor mean hotel begin 55th floor . every room exceptionally beautiful view downtown Shanghai . outside hotel remind Chrystler build New York . service fenomenal . even people stand elevator even puch elevator button . bar roof awesome 
 Nov 7 2009 	 Disappointing 	 good thing hotel view . bad service . the pro ( apart view ) attractive well equip room , Cloud 9 bar , buffet breakfast pool leisure facility . restaurant also pretty good albeit food grill arrive chinese style - side dish time main course ! con service cramp smokey public area . reception area particularly cramp reception staff somewhat unfriendly unhelpful . bar bottom impressive internal atrium also rather poor ; lack atmosphere bad odour stale smoke old food . unfortunately , smell drift room low floor . constant noise surround building work also detraction ; whereas hotel 's fault , give price charge room , would expect advise time booking ( stay building work 24 hour day , 7 day week ) , whilst noise keep we awake , detract overall experience . all , attractive hotel reasonable location decent room service fall far short would expect 5 star hotel far short service much superior Grand Hyatt Beijing . word , disappointing . 
 Nov 7 2009 	 great hotel one bad front desk 	 stay Grand Hyatt wife 2 day . the location room one great ever stay . when come front desk check , tell hotel stay pay company draw amount mycredit card . although know pay unfortunately forget voucher , authorize action . when back Turkey , check document action make 2 time already pay yhe company . it really shame Grand Hyatt would like warn trip advisor 's reader hotel . please careful . Ali Ergen , M.D.Ankara , Turkey 
 Oct 24 2009 	 Grand hotel service well 	 great location nice hotel , unfortunately reception staff flexible . small issue reservation end argue front desk 10 min . time offer alternative solution try accommodate . try escalate issue senior manager , take time . travel business , time utmost importantance , type issue unhelpful . stay shangri - la - much well welcome hotel . 
 Oct 13 2009 	 5 star way incredible food incredible view incredible room ! 	 high hotel world visit May , stand 15 - 20 year ago , would rice paddy ! room large beautiful wood art thruout . bathroom interesting layout glass wall one side slide teak door across WONDERFUL shower jacuzzi tub . the bar room inset across mirror wall look feel rich well appoint . hallway / balcony could look lobby incredible whirlpool art ! food incredible- bountiful buffet gormet selection dining room offer unsurpassed view city . hotel comes highly recommend ! service superior . 
 Oct 11 2009 	 Staying cloud 	 amazing experience . hotel lobby 54th floor ! view city river great angle . great lunch time business menu 54th floor . drink 86th ( 88th ? ) floor dark - great view . room luxurious bathroom great . try shower 75th floor next window ! service 100 % 
 oct 8 2009 	 expensive luxury one high hotel world . 	 stay six night Total Solar Eclipse July 22 , 2009 . ( sadly , eclipse rain . : ( ) upgrade club level , get room 83rd floor _ stunning _ view Pudong river surround city . club level extra $ 120 / night , amenity almost make worth cost . I would give excellent rating , construction area really make hard get around . club level also get access exclusive lounge serve upscale continental breakfast , afternoon tea sandwich , open bar cocktail hour . food assortment small snack , top quality . ( girlfriend still rave smoke salmon breakfast every day . say good salmon would ever . ) room decent size . bed little hard . 42 & quot ; LCD tv nice . bathroom quite opulent , shower , large tub . Maid service invisible efficient . hotel staff incredibly friendly helpful . the downside entire area around hotel tear construction , preparation world 's fair 2010 . access tunnel metro close construction , 's long walk next entrance . riverside opposite hotel ( Bund ) also completely torn , reduce quality view . I would definitely recommend hotel - especially get package price room . I think one downside hotel 's high feel kind isolate city . ( would perfect eclipse - not overcast . : ) think next time visit Shanghai , will get one 's close pulse vibrant city . oh , pick computer virus usb memory stick pc business center . : ) 
 Oct 1 2009 	 worth view bathroom ! 	 tall hotel world stay . room floor ceiling window overlook window . restaurant bar chic . walk distance pearl aquarium.best bathroom ever .. 
 Sep 3 2009 	 one nice hotels planet 	 hotel exceed expectation eevery time . year stay never anything amazing . always able get suite almost $ 3000 night great value . staff remember name always helpful . go wrong Hyatt grand 
 Aug 31 2009 	 beautiful hotel .. 	 impress Grand Hyatt Shanghai , hotel beautiful location good breathtaking view . drink bar top enjoyable . service , Hyatt ' stay , high standard . likely return hotel October go back Shanghai . 
 Aug 22 2009 	 modern comfortable 	 tower stunning . view lobby be quite amazing clear day . Cafe , Piano bar chinese restaurant share amazing view Shanghai high . not like stay . much wait , elevator lobby , crowded taxi stand . many ' outsider ' ( non - resident ) . change elevator simply troublesome . decor 's modern cold . hotel staff 's generally arrogant unhelpful . be definitely good expect Grand Hyatt . 
 Aug 16 2009 	 impressive view impressive hotel 	 great modern room , great view city river , excellent service 
 Aug 13 2009 	 Solid Trendy cramp 	 third stay . sure keep come back ( perhaps Hyatt point ? ) . great view cloudy smogge - try hit one 5 day year . hotel tower , common area quite cramp . bar upper level ( 85f ? ) good , manage keep work girl - suprise hotel repute . upside guest room great - modern . hard walk anywhere location - need take car / taxi . overall - good business ; would rate holiday stay . 
 Jul 12 2009 	 great nice Park Hyatt next door . 	 stay one night return Shanghai head Hong Kong . nice , clean , modern . staff pleasant , anywhere near level service Park Hyatt stay early week . Grand Hyatt bustle , busy evening morning . eat dinner breakfast lobby area restaurant . quality fine , active . like airport . service restaurant ok . similar experience check - in , bad , point . the layout room view great . view tub shower amazing . decent selection english language tv distract use internet connection . comfy bed . 
