Nov 	 top stay 	 great hotel , good location , highly recommend stay shanghai ( not forget check lounge 18 bund ) 
 Nov 1 2009 	 detail really make difference 	 would book studio JIA three night part trip round China . hotel bite tricky find , get good map will ok . 's right West Nanjing Road metro station 's get airport , ride Shanghai 's superfast maglev train ( recommend ) .from moment arrive hotel make feel welcome . checking take minute show studio fifth floor . the room compact beautifully design . not hotel pay lip - service idea design . well think bathroom multi - region plug , entertainment system , cleverly integrate kitchenette countless detail , tell someone 's spend serious amount time designing room look great function well place stay . oh - bed comfortable bathroom toiletry really nice . free broadband really fast reliable . we , however , one major problem . shortly check , notice strange , drain - like smell . ' m sure come ; possibly air - con unit kitchenette extractor fan . put first night , not get well , complain front desk . they respond admirably , check smell move we suite ( studio available ) . safely say enormous suite impressive hotel room ' ve every stay , huge living area lovely stone balcony . assume problem one - off - really appreciate excellent service get sort quickly . there lot nice touch hotel . complimentary afternoon tea cake evening drink lobby good way start evening Shanghai . breakfast fantastic ; expect buffet 's actually full waiter service breakfast cook really high standard . location ? be moment metro stop lot posh shop restaurant around . something earth , hit food street round corner try Yang 's Dumplings particular . be something local institution , someone point way . the bad point ? well , information hotel either room stay . think want call reception information everything room service check time , bit information hand would ' ve useful . and obviously , issue first room . really , be negative . assume issue one - off , honestly not see could better hotel Shanghai . 
 Oct 10 2009 	 wonderful hotel 	 lovely 1920 's building right Nanjing Road West . perfect front desk staff . helpful , warm , charming service . lobby cute , slightly crazy air con ( be China , keep 18c lucky ) . room great , handy beautiful carrara marble kithchenette . Perfect bathroom . towel could better though . bit wear out . Decor simple minimal , yet warm welcoming . Issimo Restaurant amazing , good italian food ever . pizza fantastic ( ' m italian obsessed pizza ) .delivere room fancy . room service amazing , come Issimo , menu . breakfast good , could improve service buffet selection . egg amazing though , serve grill asparagus . coffee amazing ( illy ) .I love hotel . 
 Sep 29 2009 	 Gorgeous hotel great breakfast room stylish little small 	 Jia fabulous base explore Shanghai . stylish small hotel excellent service really good feel . room lovely little small . , positive thing . breakfast excellent ( rye pancake especially ) . afternoon snack evening drink real bonus . service fantastic . good gym washing machine dryer helpful . 
 Sep 23 2009 	 Shanghai Paradise 	 be go Shanghai Jia . huge comfy bed , Hip Hotel decor , great staff , complimentary breakfast coolest dining room , complimentary afternoon tea evening wine , beer softdrink bar . the location perfect Nanjing road- walk pretty much shopping want .... copy market 3 block away , piazza Starbucks , Wagam ( italian food need western hit ) , bakery end good street food laneway . yang dumpling well ..... always queue . traditional Shanghai soup dumpling 4 5 rmb . giant oyster BBQ garlic tomato touch chilli steal 5 rmb each . the Hotel perfect every way . staff friendly , efficient always incredibly helpful could easily move forever . thank Jia . 
 Sep 1 2009 	 Return stay - enjoy hotel second time ! 	 return trip Vietnam Shanghai spend last 6 night trip balcony suite 6th floor Jia Shanghai . stay hotel June time return family upgrade room type balcony suite . this one cool hotel , lobby music , furnishing , guest , service - all top notch . Jia mean home , tell , hotel life , quite exceptionally , name . suite full kitchenette , 2 bath , surround sound , 2 flat screen , balcony , great gadgetry include i - pod connection surround sound , plus 5 star restaurant quality cook order breakfast day . hotel downstair reading room , fully stock refrigerator non - alcoholic drink espresso 's available 24/7 . rather take advantage available Pelligrino , Illy Coffee espressos cappuccino juice hour , since keep strange work / sleep schedule last leg 15 day trip . hotel also quite good happy hour delicious olive nut , stuck n / a beverage choice . the downside hotel rollaways child nightly turndown service ( perhaps understaffed low season ? ) . otherwise location , hotel , service hard beat Shanghai price . I would highly recommend hotel anyone come Shanghai . 
 Aug 22 2009 	 top 10 	 probably sleep 1000 + bed round word . Hotels , Motels , friend house , B & amp ; B 's , sleep bag back seat car .... JIA one 10 ten place stay world . something different , fantastic interior design great staff support unique concept . I stay 1 bedroom suite would recommend anyone , Mom Sultan Brunei . downright cool . two thing need work . - huge , hi - tech tv seem 5 channel .... late night room service weak , noodle rice Shanghai ? will back ! ! ! 
 Jul 27 2009 	 wonderful 	 Nice hotel sit traditional building . location ok give step subway station . room decoration stylish . if interst try local style .. breakfast close . cost we ~usd2 / person . 
 Jul 25 2009 	 's place like JIA . 	 even begin ? like previous review mention , JIA home away home – discreet location remove hustle bustle ( conveniently locate otherwise connect ) fantastic retreat . ' centrally - locate Nanjing West Road , within 30 - second walk Nanjing West Road Subway exit number 2 . ' right around corner Wujiang street , one end many trendy chain restaurant , another end night - market - esque " Xiaochi Jie " Mr. Yang ' dumpling find . however , first arrive , ' even find hotel ' entrance – ' two door " JIA " write next – bellman stand outside giant awning . ' theme JIA – know ' look order find it . step inside , two staff member dress nine form - fit black outfit , tap away behind sleek Macbook . everything check - in process quick slick – present unmarked white plastic key must scan order call elevator . walk dimly - light hall step inside invite Studio room – complete stove , microwave , refrigerator , flat - screen tv . pot pan cook , well blue china , chopstick , utensil serve . wallpaper portrait Chairman Mao , one set drawer , ' chinese version Monopoly , Chinese Checkers , english translation Little Red Book . ' detail ! King bed comfy , also small sit area large couch , table , floral - embroider ottoman . Bathroom include deep bathtub , " rain " shower , jasmine / tea - scented toiletry . staff extraordinarily attentive , bring ice , extra sheet , etc . within minute , make dinner reservation well . ' though could anticipate want . ( last day , call find checkout . staff member reply , " ' 12:00 – would like schedule later checkout ? ) .continental breakfast simple , yet satisfying – ample selection bread , cheese , yogurt fruit compote , fruit , juice . complimentary " treat " include afternoon tea , ' always new sweet treat well coffee , tea , unlimited soft drink . 6 - 8pm , ' free wine lobby , well . definitely hit time , ' forget leaf unique coffee table book . conference room / business area include two computer room sleek iMacs huge monitor . two day , friend upgrade we Studio Balcony Suite – oh , sweet ! sit area massive , fully - stock bar martini shaker , bottle opener , measure cup , six shot glass , tumbler . balcony look onto Nanjing West Road , see interestingly - light building night . ' even small table two bar stool , want ' party outside . speaker ceiling sit room bedroom , ' even slightly tech - savvy , ' easy take advantage different cord connect computer iPod blast party music space . suite also include powder room addition regular bathroom . essentially , imagine hotel ' unbelievably trendy , also back - breakingly accommodate , ' get JIA . even giggle way , staff still indulge . Book online , rate extremely affordable . ah , JIA , sweet JIA . 
 Jul 11 2009 	 Amazing 	 Stayed JIA , trendy , classy hotel . decor , cleanliness , staff world class . love breakfast toiletry . 
 Jun 22 2009 	 Fantastic Hotel 	 Fantastic Hotel . service exceptional , great location within walk distance high end brand name shopping mall . 1 min Nanjing road west line 2 underground . 10 min Taxi French concession . I could recommend hotel . room feel like home home usual corporate copy cat room . breakfast great freshly cook egg order . good part free wine beer every night 6 pm - 8 pm . fantastic way unwind hectic day shopping sightseeing . only downside stay constuction site use bund . not bother Expo 2010 disaponte . 
