happy 	 always travel , stay many hotel , really like helpful happy staff ! ! 
 Fantastic View 	 two word , " Awesome View " . give amount high rise building Shanghai , location tower 360 degree unobstructe view city . lobby start 38th floor room go 60th floor . the room typical Marriott size nicely furnish . extensive food choice around Shanghai , use hotel 's restaurant . read construction around Bund preparation 2010 Expo , glad choose hotel near Bund construction 24 hour . JW Marriott centrally locate Nanjing Road West within walk distance Nanjing Road East , shop locate . disappointment Tomorrow Square , turn shopping area , one giant restaurant . overall , would recommend JW Marriott Shanghai . 
 great hotel convenient location 	 great stay - hotel convenient subway , ideal we get around city quickly . concierge lounge good - breakfast include congee , dumpling , selection pastry , couple hot dish , cereal , fruit etc . not seem like lot look around room , actually plenty selection . hor d'oevre also good many time would come CL snack enjoy view . do not chance try pool look amazing ! one caveat - rollaway bed friend find bed hard . ask 2 extra duvet could sleep top - ' m sure housekeeping puzzle get promptly request : ) need rollaway , may wish reconsider get another room . 
 Nov 17 2009 	 highly Recommend Property 	 stay hotel one evening - Saturday evening - excellent rate . visit shanghai . simple get Airport . MagLev train ( 431 KM / hr ) Metro station - Green Line - several stop People 's Square ( 4 rmb fare . ) exit station exit # 11 ( close 20 exit ! ) hotel right front I . I email Concierge ahead arrival travel desk get first class train ticket Suzhou follow evening . recieve call room little check let know tick wait travel desk . do pay vist Lounge top floor - however purchase breakfast follow morning . excellent deal - view . the Nanjing Road quite experience do . travel alone walk route late evening ( past Radisson Hotel ) approach one lady interested & quot ; coffee & quot ; . decline gracefully . follow one individual side street buy couple rolex Watches 140 rmb . originally offerre 2000 rmb ! .Sad discover real place shop [ 580 Nanjing Road - direction - towards center Shanghai - couple block Hotel . would highly recommend dictinctive property . return afternoon tea 38th floor Lobby 4.30 pm last day China - light show tall building start 5 pm . tea bread & amp ; butter pudding - excellent expensive view / service . stop tea even stay Hotel . would highly recommend property . 
 Nov 6 2009 	 somewhat date overhype 	 first arrival , impressed view etc .. next time would try another property . first , overall staff attitude friendly hotel stay China . purchase three small bottle evian water close $ 25 U.S. room 45th floor impressive view ( could see air pollution ) , nicely decorate , quiet , comfortable , although somewhat date ( picture tube tv ) . location , next Tomorrow Square , really advantage . shop nearby main shopping street , Nanjing Rd . annoy countless people hawk watch , massage , etc .. go elsewhere Shanghai shopping . 
 Oct 20 2009 	 Perfect place stay shanghai 	 love hotel , near perfect location , close tomorrow square ( go morning see local workout ) , far away shopping street . great concignere helpfull recommend place ( everything see , party , eat shop ) . hotell lobby 38th floor make spectacular . stay regular room good space , ver nice bathroom great view . excutive floor deal also nice , free flow wine , snack , breakfast ( either continental american ) taste superb . facility hotel general top notch , drawback wireless room . also stay different hotel french quarter really nice , feel kinda far away , kinda & quot ; used & quot ; even though everything clean nice . would difinitly recommend jw mariott traveler , leisure business stay perfect . also always cab ready outside wihich helpfull . tell staff outside hotel tell taxi driver would like go . use taxi tell cab go exact spot make logistic alot eaiser . 
 Oct 8 2009 	 Fabulous Location Service 	 arrive Shanghai day meeting schedule GAP tour China . hotel really well locate , also provide friendly , attentive service , extremely comfortable bed level cleanliness find many low budget travel hotel China . sadly , stay JW Marriott two day , join tour group horrible hotel two block away . would HIGHLY recommend hotel anyone stay Shanghai . 
 Oct 6 2009 	 Nice- plan lot elevator time 	 stay September rate 1980 + 300 tax ( approx 370 usd ) night expect . hotel modern room comfortable . check -in efficient staff friendly ( although always knowledgeable ) housekeep excellent job daily cleaning evening re - fresh . gym decent size , keep warm workout uncomfortable . book meeting room top floor . group arrive , find electricity projector ' work . staff seem completely flustered idea . eventually find alternative room tell move . lobby 38th floor require transfer another bank elevator get room . get gym require yet another set elevator . communication issue . ask concierge make reservation provide address cab driver . make reservation one location give driver address another location . vegetarian restaurant less 50 meter front door ( make left ) ' excellent . attempt mimic various meat good job . continue street shopping mall – ' find amazing price bag , clothing watch . stay away buffet hotel lobby , WAY overprice , look like dennys food quality average well . gelato sell lobby pretty good . 
 oct 4 2009 	 smell awesome 	 lobby refreshing smell long day Shanghai . excellent service excellent location Shanghai . taxi driver drop us service rear entrance make less auspicious beginning soon staff see we , whisk bag away terribly attentive . husband gold Marriott member upgrade we Jr. Ste something near 46th floor , not remember exactly . room great , view amazing . never hear another soul room . breakfast plenty choice East West seafood terrific breakfast . bar nice cocktail view service flawless . would hesitate return . 
 Sep 27 2009 	 Phenominal Service Room Location Food 	 service Marriot superb . make eye contact staff , immediately respond , ask need anything . one point , need go pharmacy get medicine . bring Hotel Car driver English speak Concierge take pharmacy , help obtain need bring back hotel ..... charge . ' ve never hotel provide level service . room great , bed comfortable , bathroom spotless . food excellent . would even think stay another place next time Shanghai . 
 Jul 10 2009 	 well place stay Shanghai 	 Everything hotel scream luxury , especially attentiveness staff . service incredible . times seem staff outnumber guest . nothing will not guest . room price reasonable , give high end hotel major city . be hard find well value anywhere . room floor 40 - 58 spectacular view city . price cocktail lounge restaurant bit pricey , however , pay view . 's worth . hotel centrally locate close Nanjing Rd . shop Bund . be across People 's Square major art museum . 's easy cab ride Pudong business financial district , major tourist attraction . simply mist stay Shanghai . 
 Jul 6 2009 	 another great stay JW Marriott 	 second time hotel . really enjoy stay well . upgrade we corner room large sit area addition bedroom area . concierge lounge 59th floor nice . evening snack ok , great . platinum , could breakfast lounge restaurant . choose restaurant nice buffet - coffee morning lounge . busy there . the hotel 's location perfect - shop ( 580 Nanjing Road West market ) step away plus main walk street Bund within reasonable walk . always , travel China - make sure hotel name address write local language cab driver seem clue otherwise . even - get lose easily . dinner - 1221 awesome . Shanghai noodle . 
 Jun 10 2009 	 fantastic hotel- one marriott 's good great location superb people 	 hotel one well stay long time . one world would recommend anyone would def go back Shanghai . location smack bang middle Shanghai ( busy , traffic ride Pudong side hotel eg Hyatt .. avoid nightmare zone currently- Bund area construction go next year 's world expo ruin one nice part Shanghai time ... ) albeit upgrade top ( 59th ) floor access exec lounge ( gold card holder help ) . room amazing view ( altho one least favourite city world ... ) well design coffee machine nicety . large , comfortable , great bathroom . exec lounge ( along J W Marriott Beijing ) also one good Marriott . fantastic selection food drink ( save lot wine etc cheap city ) computer get internet access . worth pay get access breakfast probably enough eat drink evenings- pay . plus continual fresh fruit juice , coffee etc day ... venture 38th floor restaurant ( also lobby floor ) breakfast- fabulous selection excellent service . restaurant hotel- include chinese one american one ( give number american business people hotel- prob popular ) huge amount outside well . the concierge desk staff excellent helpful people . reception . also friendly . there pricey Mandara spa hotel- offering promotion obviously get enough business . good average . even promos- expensive . hotel one outside pool- nothing spectacular China standard pool inside good weather ok mega pollute ( day year ? ) good quick swim sunbathe . my tip ? Shanghai great place go to- go tourist- huge amount see . easily everything Shanghai interest less day , garden / canal area day trip outside ? despite fantastic hotel- would recommend stay long soul - less polluted city .... 
