Wonderful 	 stay Le Meridien Shanghai part China trip . cold feeling little miserable arrive . soon enter room , forget cold ! room 36th ( ? ) floor view wonderful . although room large , feel spacious . furnish modern contemporary . husband like rain shower . location hotel ideal sightseeing . thing internet include , think could without . ( internet previous China hotel think use much . miss access . ) think return China year two , child . would love stay Le Meridien . 
 Great Great Location 	 hotel great location be holiday / leisure trip . right Nanjing Lu surround shop , restaurant cafe right literally & quot ; doorstep & quot ; , one enjoy bustle city life . breakfast offer hotel not dissapoint us - happy selection provide , room well appoint . convenient well locate cater well family travel young child . I also sister disable travel we . find hotel convenient , due location . able move freely without obtacle able wander around vicinity without difficulty . family wonderful vacation glad choose hotel . fact , month return home , family talk impending return another stay hotel . 
 Nov 25 2009 	 Superb - Location roomsservice restaurant top class 	 lucky enough stay 5 day recently . brand Royal Meridien show other , sophistication , freindliness professionalism throughout . firstly location good get - right middle cosmopolitan Shanghai , Nanjing Road . next room perfection . manage turn typical box shape something character comfort pleasure stay . food - well expect top quality French Restraunt Maitre ' good get - well ! , italian , actually run italian serve divine pasta , not enough chinese genuine high quality Chinese . 
 Nov 21 2009 	 hotel set new high standards 	 Le Meridien Shanghai nice hotel stay whether tourist business traveler . return visit establishment impress last trip 6 month ago . nothing change ; still great hotel . stay Grand Deluxe room king bed 28th floor . corner suite floor ceiling view towards city also Bund . hotel locate within easy access city Nanjing Pedestrian Walkway right next main Metro Station within walk distance Bund . room large nicely proportion . hotel old furnishing high quality . 42 " plasma dvd player entertainment . separate bathroom individual shower toilet nice finish . layout take great opportunity use view position window run along length bath . separate room incorporate 2 wardrobe safe tuck everything nicely away main room area . ceiling nice high give feeling spaciousness . fact whole room provide feel ' actually hotel , swanky high rise apartment . nice touch spend many hour cookie cutter type hotel room . whilst Le Royal Meridien sample room service restaurant locate lobby floor – Le Bistrot . food provide high standard breakfast buffet Le Bistrot restaurant probably large selection different food . negative could find fault stay hotel advertise LÓccitane toiletry last visit disappear time . from work perspective room glass table wall fold suite power plug vary voltage handy . concierge service efficient courteous request meet smile go long way weary business traveler . all , would highly recommend hotel either business leisure . 
 Nov 18 2009 	 modern central lot art great conference 	 host conference 60 people . wonderful facility helpful staff . conference organiser ( Florence ) stay on - site duration conference provide 24 hour service . room wonderful modern . great bed . breakfast buffet could little well , still good . club ( executive ) lounge wonderful airy space two good Board room ' ve see . like round fishbowl slide curved glass door . awesome . foyer general area full little nook discover art piece , generally beautiful architecture . massive square arch fishbowl something behold . love hotel 
 Nov 9 2009 	 modern happen hotel 	 stay 3 night October 2009 . corner room east west view Shanghai . view slightly disappointing -- advertise room view Bund really room view part Bund , bulide across street hotel obscure majority Bund . however , sufficiently satisfied ask change . literally wall windows side room . room nice spacious décor modern . separate dressing area row closet . separate seat area couch , coffee table , plush chair large flat screen tv could swivel . bathroom nice obvious could maintenance bit date . two thing would nicer . first , wall window stretch bathroom , right next tub . shade draw bathroom , people adjacent building would get nice show . also little difficult reach draw string shade since tub front window . second , cabinent housing sink stand - alone , line modern décor . mean , however , backsplash , instead , several inch gap edge cabinet wall . several item drop counter space . busy hotel modern happening . lobby area bustle wonderful vibe . time get drink lobby bar would probably great place people watch . drink bar top hotel great view city . concierge good . suggestion helpful . location hotel could better . right Nanjing Road ( east ) 15 minute leisurely stroll Bund . buffet breakfast enormous variety choice . good service outstanding . wonderful hotel . 
 Nov 7 2009 	 Hotel ok location perfect . 	 hotel ok , pretty much would expect 4 - star hotel . service level China high , not expect much service hotel ; read review hotel China . not find elevator confuse , anyone little common sense able figure : elevator take form ground floor lobby level board different elevator depend n floor go . two room : one 2 twin bed one king bed , nice view park museum , rather small . the location perfect , right Nanjing road walk number restaurant , shop , museum , subway , Bund , etc . 
 Nov 2 2009 	 great location small room . 	 decide try Le Royal Meridien time around due several recommendation friend . usually stay Westin Bund center . , .... pros1 ) SUPER GREAT LOCATION ... smack center People 's square great restaurant store base hotel . 2 ) really stylish room ... comfortable beds.3 ) great view people 's square room4 ) Awesome bar top incredible views.5 ) south beauty restaurant next hotel .... love restaurant.6 ) hi - speed internet wifi7 ) service top notch . cons1 ) room small Westin . ( maybe 40 % small ) 2 ) since hotel upper floor ... main lobby .... need ride 2 set elevator ... one get lobby , another go room floor.3 ) Buffet breakfast good westin.4 ) bathroom shower good westin . overall , would probably stay like location .... bad expensive westin ... good . ( would stay company pay .... hahaha ... otherwise , think stay westin ) 
 Nov 1 2009 	 new favorite hotel Shanghai 	 travel Shanghai tiem time - stay Pudong Bund , time one colleague , Joe Sloboda decide & quot ; Priceline & quot ; hotel area around Nanjing Road - get Le Royal Meridien absolutely good hotel ever stay Shanghai especially consider gret room rate able get . the location could convenient - right Nanjing Road , step subway station short taxi ride Maglev station . People 's Square Park right across street also RMB 4 taxi ride Bund XiTangDiThe hotel outstanding , level service fantastic , doorman front desk wait staff lobby restaurant way 65th floor bar - everyone pleasant happy service . the food breakfast buffet great , western breakfast , traditional chinese much ( little pricey definately go hungry either ) - drink lobby bar also bit expensive , atmosphere great service great . if look great view financial district across river Pudong suggest go 65th 64th floor bar . 65th bit elegant ample seat area great place relax friend enjoy view . if look something little lay back go 1 floor 64 play billiard & quot ; pub like & quot ; atmosphere . when come room say & quot ; top notch & quot ; - bed incredibly comfortable , room spacious , good work area sit area . shower even & quot ; view & quot ; large glass window allow look room city ( quite interesting - eventually find button draw shade ) .There great shopping mall first 8 floor find anything look ( bargain market like Pudong ) rather proper shopping mallthere also fantastic restaurant 8th floor 1 level main lobby business center easy locate staff hour - little pricey print document staff knowledgeable helpfulbottom line love hotel - love location , service ammenitie - sure stay next spring return Shanghai . 
 Oct 26 2009 	 good view town 	 spend 5 great night Royal Meridien room astonish view . we not Club room book Grand Deluxe room Bund view .... 37th floor room spacious , comfortable floor ceiling window panoramic view Nanjing Rd Pudong skyline ..... breathtake . the hotel quiet , amazing 700 room establishment . the young guy man concierge desk incredibly helpful phone request book restaurant , write direction taxi ( essential ) etc . a note integrity hotel .... husband accidentally leave HK $ 900 pocket pair jean send laundry . note leave room tell we money safe wait we collect .... fantasticyes , lift little confusing first ... lobby ground floor , 11 story up . the bathroom layout unusual great woman want use mirror make - up without bathroom steam partner take shower . the view great top floor bar atmosphere ruin smoker . the food Ai Mei restaurant good , service . my husband 2 massage Spa rave they . location top , corner opposite People 's Park .... way , not fall Shanghai Tea scam .... young chinese befriending take tea end costng fortune . not hit plenty be . in .... great experience good hotel . 
 oct 22 2009 	 Good Business Hotel 	 spend two night Le Royal Meridien Shanghai one stop recent China trip . great location easy access main walk street center town Bund . book room access Executive Lounge . Best Choice ever money well spend ! Great Food & amp ; drink thoughout day offer complementary basis . view incredible . since also serve breakfast , great place start day . also use one meeting room llounge service excellent . room stay modern , large functional . especially like tv turn watch tv either bed , desk couch ( even bathroom ! ) . thing like fact change elevator several time go room lounge . overall solid hotel ! 
 oct 22 2009 	 Nice hotel imagine far well Shanghai 	 be usual 5 - star hotel client , middle bit global holiday , friend partner 's dad graciously put we hotel couple night Shanghai . past week ' ve sleep people 's couch Milan , 1 - star hotel Paris 3 - star hotel Hong Kong , review view budget - conscious young couple care 's outside hotel ... Le Meredien look sound quite fancy , outset service seem little odd . disintereste offer staff downstair take suitcase , decline fine , end conversation . leave devices discover check ( half way building , shuttle elevator ) . would nice staff downstair help regard . once make lobby floor , thing go bit smoother , checkin go ok , welcoming . our room one executive one 53rd floor . view fantastic , room little small , comfy clean . become quickly apparent mostly business people stay floor , get interesting look guest wander around t - shirt short , meh . the rest stay alright . breakfast first morning executive lounge , think nice enough , discover second morning lobby buffet far extensive enjoy lot . go pool one evening closing disappoint jacuzzi turn already , otherwise nice . gym bit small lacking equipment , nice view . the location hotel awesome . metro across road , Nenjing Road walk street connect hotel , be easy enough . I not really know sum . way world would pay price tag hotel ( would choose 5 - star accomodation first place ) , certainly underwhelme one get price tag 3,000rmb / night room cost . room nice , location nice , people pretty helpful ... 
