rather 	 price reduce say usd 20 usd 30 , would say reasonable . hotel good , however , room tightly lay - out . bed , tv , coffee table , write table , tiny luggage bench bed , seem squeeze small space ! compact large property . service Front Office check - in swift professional . query information internet service late check - out till 2 pm immediately understand respond . the breakfast service also prompt efficient . coffee continually refill . downside breakfast service layout buffet spread . walk 3 round could find juice . eventually , ask service staff tell juice entrance ! totally cut - off entire food fruit line , also beyond greeter desk , definitely first many experience hotel . recommend visit office complex , convenient . otherwise , various hotel Pudong Area might well term choice , cost room comfort . 
 Nice Business Hotel Shanghai 	 nice business hotel heart shanghai .. seem quite full even work day , restaurant hotel full time .. stay 3 night good service hotel .. 5 block away nanjiang shopping district .. 
 Nov 24 2009 	 stay Hilton Westin 	 suggestion break regular routine decide change hotel . Shanghai 4 6 time year . spend 5 6 month China Taiwan , usually stay Hilton Shanghai . tell try Westin . , suggest ' . 16 hour flight , hellish drive , ' greet wait sir let help someone come , oh wait , let help another person come . get shoe box size room wait bag . wait , wait . call , say way , wait . think go drink executive lounge , oh sir ' access . ' platinum SPG member . sorry sir . first would hate see standard room , second would hate see treat non - high level SPG member . internet free . horrible stay , check one day , go back Hilton , treat like treat ' build hhonor point instead SPG point . great location , beautiful Lobby good restaurant good enough trade internet fee , executive treatment tiny , tiny , tiny room 3 time cost ! stay elsewhere ! ! ! 
 Nov 23 2009 	 choose one ! 	 unfriendly staff . bad , say least , breakfast . never ! ! write complaint still wait answer ! 
 Nov 13 2009 	 pleased stay . 	 Westin quick walk Bund currently construction . 15 minute walk Peoples Square , Urban planning Museum Shanghai Museum well Nanjing Street shopping . lobby modern attempt look tropical palm tree middle bar area . several restaurant / eatery choice good . room living area could closed sleep area give daughter privacy , say , & quot ; comfy & quot ; rollaway bed . bathroom nice size seperate tub shower . shower great .. rain shower . room free internet . 
 Nov 9 2009 	 Fine Hotel 	 travel land / cruise tour . finished tour Shanghai . hotel lovely . room 2 bed huge , bathroom also huge . business center always available , service prompt . bottled water always promptly bring need . corner room , & amp ; watch traffic & amp ; accident entertain rain . buffet meal excellent , though hard find offering offering go area . dining area lot step particularly difficult handicapped folk tricky manuveur one not handicapped . 
 Nov 7 2009 	 usual Westin standard exec floor good slow service though 	 well place walk Yuan Bazaar Gardens , Bund ( expo 2010 building site moment ) , restaurant , etc . plenty small 7/11 type store directly opposite hotel . Taxi rank site . close metro system . Stayed 22nd Exec floor offer well equip room . usual heavenly bed , computer station ( great plug system let plug type electric item anywhere world straight ) , small fridge / in room bar , safe , chaise , really lovely bathroom separate shower bath . nice well light roomy cupboard drawer clothing , plus drawer toiletry vanity , something & quot ; trendy & quot ; hotel forget day ! concierge helpful , always get write go Chinese leave hotel , remember take hotel 's chinese print info get back . taxi driver speak English Shanghai . concierge organise reheel shoe efficient . organise restaurant booking also , especially small local type Mom pop restaurant decide try English ( try Sichuan Hot Pot restaurant - mindblowing ! ) .Ate italian restaurant hotel one night dairy food craving come we China , unfortunately can not recommend . think Olive Garden run Austin Powers . 25 min wait bill ask twice ignore . exactly standard . also problem wait 20 min drink bar atrium area , even though people bar staff stand around vacantly . however breakfast la carte menu last day service excellent . small cafe make latte sandwich eat breakfast day . service ok , ask hot coffee usually tepid , sandwich nice . the pool facility ok , hire swimming cap , pool not deep , nice swim look nightlit skyscraper . not use business facility charge extra . odd stay exec floor business ding use . overall ok hotel . would stay room , restaurant business centre . 
 Oct 25 2009 	 Top Quality hotel 	 ifs but , thoroughly enjoyable stay attractive comfortable hotel . eat evening good italian restaurant , also enjoy breakfast cocktail . front desk Concierges helpful . have happy stay . room comfortable , well lay - out interestingly design . a word Shanghai though . Bund , maybe big tourist attraction completely board pedestrian whilst put road underground preparation major trade fair next year . walk along even see river Shanghai side whilst walk along next building form Bund dusty , build site , can not appreciate building right underneath . Similary Pudong building site . look fine river - river cruise way be go see Pudong skyline Bund . however extent construction aopparent , nowhere observation platform high tower Pudong side . traffic pretty congested , get around excursion etc sometimes painfully slow . 
 Oct 21 2009 	 love westin bund center 	 get great rate , room decent size city . centrally locate . staff amazing . yes , breakfast buffett little pricey , worth . although , not eat sunday brunch , lobby go , complete orchestra opera singer - amazing ! gym spa also great . not bad thing say hotel . would totally recommend , well stay . 
 Oct 19 2009 	 great place good China trip 	 great location , super friendly staff , SPA great , price unforgetable ! nice Breakfast buffet . good concierge desk help needswill back ! 
 Oct 12 2009 	 value money 	 expect hotel . apart location , little else comment postively . lack information room regard restuarant facility ; apart Spa service . price , food include breakfast ! $ 40 breakfast buffet China ! 
 Oct 8 2009 	 Excellent hotel great service 	 staff attentive decor lobby unique , twin glass staircase light color cycle every minute . breakfast buffet excellent , offer everything american traditional chinese food . group travel stay nice hotel across China far good . 
