decent 	 want good basic hotel good price offer decent accommodation , inexpensive restaurant , internet access situate old part city Ajanta nicely . offer free transport airport ( 24 hour ) handy first time visitor India . onsite Bureau de Change add bonus . street noise slight problem early hour . 
 great hotel true value money 	 great hotel excellent staff friendly helpful , room clean n tidy close public transport go back hotel whenever visit delhi 
 Nov 26 2009 	 Overpriced- Rip 	 stay Ajanta spouse another relative early month . hotel 15 min rickshaw Connaught Place busy interesting street . book family room quite astonish actual room nothing like pic hotel website . those picture mislead . put ugly windowless room international standard . bathroom impressive also . night relative arrive join we , take Ajanta staff hotel back Ajanta tell need check . quite confusing uncalled . rude grab bag back walk back Ajanta '' front building . like previous traveller comment hotel , also offer tour package . tell price driver Delhi Agra Jaipur back Delhi would £ 220 3 person . luckily decide visit Incredible Travel Centre Office Connaught Place make decision shock offer package £ 160 per person week trip Delhi , Agra , Jaipur Pushkar . price include hotel , taxis , driver , breakfast etc . immediately accept check Ajanta next day never return duration trip do not think ever return . probably good thing hotel restaurant serve good food ; yet pricy compare hotel restaurant high standard cheap good food . I would recommend hotel anyone . staff whould also try make atmosphere hotel relaxed . feel uncomfortable every time come reception area staff seem distant unfriendly . 
 Nov 23 2009 	 value money 	 good . user friendly clean hotel . room need airy . 
 Nov 21 2009 	 not stay 	 not stay . constantly want sell we tour etc even say preferred make plan . husband use internet look hotel another city , one staff come behind said & quot ; place run water & quot ; completely untrue , stay beautiful , plenty run water , clearly hotel get commission send people hotel include one prepared lie .. also misfortune leave mobile phone room go away day . luckily get back call make number recognise . one day one staff knock door say check already pre pay night follow night disorganise well . never post negative review think people need know get stay . could go bad point place ... 
 Nov 20 2009 	 Require improvement 	 Positives : - close New Delhi railway station- average restaurant . good value price . ( dinner ) - air conditioning works- Service ok . not much trouble tour manager . negative : - website photo mislead . proper window deluxe room.- sheet provide particularly clean- Bathroom clean ( see photo attach ) , crack bathroom wall- Lift not work day 2- hot waterconclusion pay around INR 3000 per night deluxe room , not feel right . pay less budget hotel , pay quality hotel . 
 Nov 18 2009 	 good hotel good area 	 pickup station rather badly organise - 1 car seven people wait second car ! Hotel Para gang area Delhi - taxi 's rickshaw go area ! ok long know advance . area redeveloped - change enormously 2 year may change . the deluxe room good - large clean well equip - rather noisey . staff helpful . Breakfast include attach resturant slow . 
 Nov 10 2009 	 get Rough Guide India Read Trip Advisor 	 start journey 4.00am friday morning ... arrival New Dehli , plane delay hour .... driver wait ... problem .... reach hotel approximately 2.10am - ship small room check also payment stay request immediately ... send number e - mail explaination rate price agree however overcharged - okay payment make without argument - finally go sleep 3.30am .... 14year old son exhaust - next morning 9.45am - phone rang - office manager want know ..... point feel get go . .. 10.30am go downstairs - have not even reach final step office manager greet we take we straight office discuss interniary plan ... point , still jet - lag , son be not feel well - also hungry well - none take consideration ... bombard question - tell need think want - ask question would reply say tell already told - confuse us - service breakfast area poor - one explain breakfast available .... do not like Ajanta would not recommend anyone - stay reputable Hotel Mumbai brand hotel x2 door way , know , would rather spend hard earn money Ajanta ... go Ajanta Lonely Planet review however , feel , , perhaps Indians , exploit hotel well ... manager tell we trust anyone outside yet feel could not trust anyone ... rather take chance hotel .. stay number different hotel India Ajanta bad .... money , money money , process write complaint letter Ajanta Hotel .. expect reply ... money .... do not need reply .... 
 Nov 8 2009 	 hotel safe single female ! 	 begin October sister , single female traveller arrive India , call hotel two occasion UK request room book night arrival Delhi . speak two separate member staff , assure room reserve . follow email hotel . request airport pick , give flight detail assure also arrange . on arrival airport early hour morning , find no - one hotel waiting pick . telephone hotel ask transfer , tell room give away party guest arrive request five day stay . person speak seem think perfectly reasonable honour reservation merely lucrative booking present itself . my sister thus strand , alone , Delhi , middle night . take office tout taxi driver , force pay high price five - hour taxi transfer Rishikesh . I write hotel ask explanation reply receive . therefore suggest stay hotel , not seem value customer service reliability . 
 Oct 30 2009 	 excellent value money 	 well run hotel , nice clean room , excellent restaurant , reasonable price , good location close New Delhi railway station , really worth money . we choose also recommend friend . 
 Oct 30 2009 	 hotel honour commitment 	 reserve luxory room 4 week arrival , do not room we . hotel nearby give kind room service half price . 
 Oct 29 2009 	 Good hotel - great location 	 travel Goa Agra year must say India Rocks . land New Delhi stay Hotel Ajanta . great location ! right heart city . walk Connaught Palace - the downtown Delhi several occassion . hotel self sufficient . room service good . personally enjoy chicken dish Hotel 's Restaraunt . driver hotel cab take Agra friendly knew lot Agra . Taj mahal awesome . 
 Oct 27 2009 	 terrible hotel high price 	 room dirty old , water stop , high price.not recommand 
 Oct 20 2009 	 typical indian exuberance outside helpful staff peace quiet inside : good world 	 stay Ajanta Hotel Delhi several week 2006/2007 . unusually enjoyable experience . hotel close New Delhi station , special ticket office tourist locate , Main Bazaar , huge shopping district everything sun . Ajanta Hotel street teem typical indian life , something genuine traveller usually want experience , time offer oasis quiet , order cleanliness , Westerners also often want order recover usual indian exuberance noise . stay therefore give good world : indian life divine chaos doorstep , safety quiet inside . you could experience stay one super - expensive luxury hotel , locate area enclaves & quot ; sanitised & quot ; extent , ordinary Indian allow ( & quot ; indian life & quot ; ) , might well similar hotel New York London . apart general cleanliness , feature worth stress hotel charge earth , find staff extraordinarily friendly helpful . true reception staff , soon know name , people provide various service , like cyber café ( guy charge go great length helpful . wonderful staff give advice anything sun : good travel various part Delhi , avoid overcharged taxi driver , good go buy specific item , cope language , solve problem might . impress one woman particular : take one look know trust - unlike many crook spivs tourist soon surround part Delhi . this much right expect expensive exclusive hotel . one expensive exclusive . notice use backpacker , business people ordinary tourist alike , young old , nation sun , seem happy together . the charge reasonable western standard comfort offer . there also restaurant splendid cuisine provide frequent hotel guest also attract people part Delhi . I grateful allow stay lucky , sheer accident , discover hotel first place . hope wonderful people , staff leader alike , continue prosper . Klaus BungBlackburn , UKw : http : //tinyurl.com / prtd5ce : klaus @ rtc-money.co.uk 
 Oct 20 2009 	 feel safe woman travel alone 	 hotel make feel safe big city Delhi . pickingup airport reliable fast comfortable . room big clean . good get little money ! 
 Oct 20 2009 	 amazingly friendly helpful staff greta value hotel 	 stay hotel 5 time 6 week holiday india , perfect stop travel accross country good value money make sense . guarantee clean quiet room night superb dinner restaurant ( although give breakfast miss ) . Mrs Ravi particular great help organise trip rajistan also help ear infection . 
 Oct 16 2009 	 terrible hotel 	 one bad hotel ever stay , not even know begin .. first could not find reservation put room ground floorfrom hear people street scream take showercause window can not closed . after ask restaurant shopping place , people hotel saidnothe work know fine place eat .. probably comission deal . I go ... 
 Oct 15 2009 	 2nd bad hotel stayed 	 go India 2 week Sept . travel Mumbai , Ahmadabad , Jaipur , Jaipur , Agra Delhi . HOTEL AJANTA 2nd bad HOTEL STAYED ! ( winner Hotel Sheila Agra ) room charge excessive actually get . hotel charge every little thing i.e . internet access , breakfast etc ( almost hotel stay offer complimentary ) .The pre - pay taxi overprice , tour offer overprice insist take tourist trail i.e . want go ( always include tourist handicraft shop ) .The photo 's website nothing like get . room dull , window , spit stain wall . I travel India twice year around 4 year , experience good hotel will not take payment check ; whereas poor one always full payment advance ( hotel ask payment advance ) .my advice would skip hotel pick one 20 hotel road . believe Hotel Ajanta guide book standard slipped considerably feel long go extra mile guest . 
 Oct 14 2009 	 worth room rate charge 	 stay 2 night . comfortable stay comparison room rate paid.1 ) find room bit small -- double bed occupy entire space.2 ) water pipe leak bathroom3 ) room key work one afternoon . stick outside room almost hour carpenter try get door open.4 ) checking , credit card machine work . husband run around 30 minute search ATM pay cash . would suggest other enough cash handy checkout . good points:1 ) driver associate hotel polite friendly.2 ) near New Delhi railway station 
 Oct 12 2009 	 good comfortable choice Paharganj 	 stay family room ( 2 adult 2 kid ) junior suite ( 2 adult ) . friend check mid - range hotel area ( advance ) pick one cleanliness space . family room reasonable . good size 2 double bed ( one circular kid love ) , although without window bit musty . bathroom OK - would expect budget place ( clean old ) . junior suite do nicely effort make well bathroom . good part open onto terrace great enjoy drink evening . main complaint switch electricity outside bedroom someone come switch room middle night ( i.e. , wake fan / AC hot ! ) . overall , Ajanta Hotel good choice area Delhi . beware despite proximity railway station still take quite get stuck traffic ! 
 Oct 10 2009 	 oasis Delhi ! 	 travel mid - range budget scheme , Ajanta wonderful suitable option combine reasonable price good service regard food , connectivity , security travel assistance - look Mr Manik travel desk ! - 
 Oct 4 2009 	 nice hotel helpful staf 	 stay 6 night Ajanta nice stay . staff helpful even help indian simcard mobile . picture website well real , ex deluxroom nice . arrangement make travel agency City capital excellent . next time , , definitive stay Ajanta . Jörgen KjellgrenGothenburg , Sweden 
 Oct 3 2009 	 comfortable first stop India airport pickup welcome start 	 stay 10 night . book accommodation online agent special offer airport pickup . flight arrive New Delhi 3 am , sure enough , driver wait we clearly mark sign . pleasant drive make good start . upon arrival check offer cup tea - nice touch . room semi deluxe , large bathroom . staff friendly . guest need initiate request . hotel locate within walking distance New Delhi train station eat place along street well hotel restaurant - suggest vegetarian meal . 
 oct 2 2009 	 trust Hotel since 2000 	 back 4rth time blast delhi great 2 day place , many diferent people new rooftop nice suite room thank give upgrade , wife appreciate every thing hotel staff we , back next year time .special thank reception staff help we book flight ticket onwards . 
 oct 1 2009 	 dishonest staff mislead photo website ! ! 	 pretty appalling . tour salesman pretty nasty especially find book tour someone else ( well half price - try Tourist Info centre Connaught Place area - mark tourist map - ask Mustafa ) . beware - & quot ; sister & quot ; hotel , Hotel Delhi City Centre . originally book look photo internet , photo Ajanta . Hotel City Delhi City Centre real dump , nothing like photo challenge staff lie face several time . look round threaten leave get move we Ajanta . summary , be cheap hotel eventually get pay push pretty hard ( ' m 6 ' 2 & quot ; not take crap , not know would like less assertive people ) , i.e . fairly clean quite shabby room , noisy aircon etc . advice not buy tour , not touch mini bar ( especially water ) not expect much see website photo room ! ! 
 Sep 27 2009 	 welcome first impression last ...... 	 book Hotel Ajanta prior arrival India , mixed review Hotels Delhi . plus point us free airport pick - up ( fine ) . get Hotel 5 am many hour travel . staff unfriendly fill form ( feel could do later ) want payment front . produce Rupees want know get , much rate receipt . pretend could not find receipt bit shocked face . room semi - clean , toilet paper etc , hot water . also window room , except corridor . the bad part Hotel tour manager office downstairs ; pushy face every time walk Hotel . nearly take one tour ( naivety show ) meet friend ( friend ) Delhi tell we Hotel paper recently scamme tourist tour . we check Hotel early end , would recommend anyone . much well place stay , not feel like question surveillance . 
 Sep 26 2009 	 try another one .. 	 ok price pick service attract first ..... room noisy think sleep street find room like photo website .. restaurant terrible . say available everything menu except rice indian stuff .. Breakfast call open buffet nothing order anything else need .. ever think arrange trip literally con . understand late even reply email . I pay 12000 rupee trip cost maximum 8000 rupee . and demand cash . cashier guy tell & quot ; small money give cash & quot ; think India become rich .. would recommend anyone .. 
