get 	 location convenient provide real experience Old Delhi . staff helpful free transfer arrange airport . the hotel basic . room clean , damp , thing promise include air conditioning television ( hot water though ) .The roof top restaurant pretty look food good , great value friendly service - ' open 24hrs nice 2 am arrival welcome . we use Ananda Hotel base explore Delhi independently - ' spend much time hotel ' use expensive hotel travel agent . bear mind price facility , think hotel good value acceptable budget traveller choice – time book rate half hotel Connaught Place area Delhi . 
 Nov 22 2009 	 nice small hotel friendly staff 	 Located Karol Bagh , hotel good jumping point . staff assist arrangement trip Agra , Jaipur Haridwar . find room clean attractive theprice right . 
 Nov 20 2009 	 Nice hotel near shopping area . 	 nice , clean hotel near shopping street Karol Bagh . the staff helpful hotel car driver hire daytrip airport pick - up / dropp - off . 5 minute walk busy market - street shopping . 
 Nov 18 2009 	 ? hotel ? ? ? trust 	 reserve two room Hotel Ananda month advance . we exchange email , include confirmation email , flight information email , reconfirmation email send two day prior arrival date . thing go smoothly night arrive Delhi airport . we finally get Delhi , fill excitement anxiety long flight .... find long reservation night . ( needless say , nobody hotel airport , although hotel guarantee would send somebody we . ) hotel 's excuse room sell night ( ! ! ! ) going take another & quot ; upgrade & quot ; hotel . we choice wait another driver come pick we airport long , go random driver claim send Hotel Ananda , let drive we hotel somewhere New Delhi idea about . we know whether alternative hotel actually & quot ; upgrade & quot ; since chance go see Hotel Ananda compare stay Delhi . 
 Nov 11 2009 	 one avoid 	 terrible hotel ! ! ! ! ! nothing say good hotel . family reach hotel 1.15am . travel long time want sleep . reception fine . tell we basic information need know lead we room . open room door , great shock . room stink damp wall ceiling cover mould . husband go tell reception could change room really stink . tell adjust night sort another room next day . tired argue think ok another couple hour adjust leave window open go sleep . daughter want sleep . , open blanket horrify see bed bug crawl everywhere . goose bump soon see . last thing want see . pack everything go downstairs tell go leave bed bug . apologise immediately ' want leave we instead give another room ' first place ' ? choice change room place new , ' know anybody ' get help seem risk travel night young child agree change well room . second room fine ask change bed sheet front we . ' roof top restaurant ' dump . really ' know call roof top restaurant . ' clean , table chair filthy , really really need something . stay 3 night ' wait leave , know place well would move immediately like person blindfold middle nowhere . although staff understand mistake , apologise try help feel unhappy whole experience . 
 Oct 31 2009 	 Bad Experience seepage room 	 must admit bad bad experience leisure time . hotel undergo renovation really spend night seepage room . I would recommend hotel traveler . 
 Oct 30 2009 	 Basic hotel unhealthy kitchen 	 read positive review tripadvisor decide stay travel around north India . really understand hotel rate highly site . one bad hotel stay three week . staff grumpy , slow helpful . room reasonable size basic particularly clean . bathroom grim shower cold . roof top restaurant convert flat roof staff member p * sse corner . 
 oct 22 2009 	 cheater careless staff . 	 book surfing trip advisor quit disappointed . ' know happen good review write wrong . pick , upon arrival staff sleep ask " voucher " print 3 A.M. tired . dirty room , forget cleanliness mean stained towel , smell toilet mosquito around room . Anyways come end check morning . final misery extra 20 % agree room rent net rate ( inclusive taxis come ) change . Hotel Europeans people prefer clean place sleep . 
 oct 22 2009 	 nice retreat chaotic delhi 	 pick promise driver wait even tho forgot give flight number ooop . hotel location good hotel break chaotic street . hotel clean service excellent good rooftop resteraunt relax . 
 Oct 17 2009 	 friendly simple 	 greet friendly driver promise International airport ( free ) .Not long arrive ask helpful staff ( namely Shabir ) want go sight seeing ... not take much convincing ; ) whisk away long driver , singe dancing way around New Delhi ... lot fun great company ! room spacious two single . funky decor flat screen plasma . air conditioner noisy however work treat helping escape heat Delhi . unfortunately hot water ... disappointing ( tell later boiler break since repair ) .The roof top restaurant great place see completely different aspect New Delhi . beer cold ( something often rely upon ) food delicious : ) sharbir ( front house ) great company , professional assisted organise onward adventure . 
 Oct 5 2009 	 terrible hotel tourist . be tourist read review ! 	 book three room Ananda read positive review hotel receive . be visit India another country , please read review hope help avoid experience unfortunately go . understand Ananda rate highly . one possible explanation : many reviewer seem indian business traveler , completely different set expectation need . case , not stay hotel . undoubtedly tempt price , admittedly low . ton cheap option Delhi ( Delhi expensive city ) .The room , , comfortable enough . rest hotel shabby , bomb - out appearance . rooftop disgusting left last , depress image Delhi . the location hotel terrible . Karol Bagh full shady character . routine walk around neighborhood leave worried getting mug ( not feel way anywhere else India ) . spend extra money , stay close Connaught Place . will not regret it . finally , important part : USE TRAVEL / TRANSPORTATION SERVICES ! hotel partner scamme travel / transportation company try try try rip . story long one . Suffice say quote price , agree . driver repeatedly try take we place would get commission , get angry ask politely take we want go . end night , demand pay triple agree upon price . obviously refuse , proceed berate we . hotel management intercede behalf , despite admit one point company & quot ; full crook . & quot ; , hotel bad stay trip . avoid . please . 
 Sep 30 2009 	 Good Hotel 	 stay one week . location excellent . nearby shop place crowd put extra value . room clean , importantly , bathroom clean . breakfast sufficient good.2nd Floor Wi - Fi good stay 1st Floor , dissapointe . staff friendly cooperative . 
 Sep 29 2009 	 delightful 	 dimaond rough . staff Ananda amazing- incredibly helpful attentive . room small clean comfortable . free internet damn good breakfast ( include ! ) . incredible value . 
 Sep 23 2009 	 excellent value hotel -- safe comfortable friendly -- would stay 	 first trip India , go sister . be young , finished university , still budget . stay 5 different hotel throughout India two week feel far good . course 's 5 - star hotel , clean comfortable , feel well take care . find bed comfortable hotel bed sleep India . manager , Somu , genuinely friendly give we little & quot ; freebie & quot ; ( internet access , complimentary pineapple juice , extra toilet paper , help get rip international phone & quot ; service & quot ; around corner ) not . first night not realize turn hot water , call front desk immediately send someone show . not remember towel ( other comment ) usually bring towel travel anyway . experience hotel , even expensive one , every little thing cost extra . Hotel Ananda , never ask much single rupee extra . at end trip , decide stay , enjoy pleasant stay first time . ' m glad . apparently stay & quot ; wedding season & quot ; noisy wedding parade outside hotel . later , go back inside remark interesting , hotel manager say friend 's wedding invite come along . first little hesitant , young woman head 10 pm know , ' m glad go . really highlight trip . foreigner wedding , truly incredible . even though one know , treat like welcome guest , invite join festivity eat drink everyone else there . obviously everyone experience , find traveller budget , be good many hotel cost . quite satisfied comfort cleanliness accomodation , could ask friendly , helpful staff . 
 Sep 23 2009 	 cheat staff 	 Hotel good locate near market staff cheater . beaware staff trick make extra money customer sell expensive tour . depressed hotel staff never recommend other . 
 Sep 15 2009 	 bad experience 	 stay part India face bad experience hotel . staff unprofessional misbehave customer . say arrange car day agra tour quote price 150 usd we include entrace fee , tour book nearby travel agency 90 usd . food . 
 Sep 15 2009 	 good service clean room excellent food . 	 stay four pleasant night . pick us airport evening request get we safely delhi night hotel . arrive everything go smoothly - first room get bit mouldy , request change , problem ! get room face street , nice quiet night . room clean nice , excellent bathroom , ac . work perfect . feel completely safe too . the restaurant roof serve excellent food , would recommend ginger chicken , nice place dinner evening . service good , especially room service guy . when leave get we cab train station , everything go fine , get train plan . would recommend place good alternative quick stay Delhi . 
 Sep 14 2009 	 good clean budget hotel 	 arrive Jodhpur early morning taxi wait promise , arrive could not check 12:00 , however room find us freshen - up not impress room view overlook brick wall garish bathroom . room give fine , clean , bathroom spacious furniture room good quality , bed comfy also .. yes towel grey side want white fluffy towel book 5 star hotel time stay hotel undergo renovation make negotiate reception area bit tricky , nearly finish leave . hotel restaurant close meal take room ( due renovation torrential rain ) eat breakfast problem . hidden room charge rate quote pay , taxi airport arrange problem , free wi - fi good budget hotel easy access Delhi .. 
 Sep 12 2009 	 Excellent Hotel 	 sure expect first time delhi pleasently surprise hotel service . rip people pretend offical tourist office staff go way make sure get refund . manager spend day talk police finally get full refund . excellent staff clean spacious room . 
 Sep 9 2009 	 great location great staff great price ! ! 	 solo traveller way London slightly nervous stay hotel Delhi & quot ; budget & quot ; end scale say worry went soon step front door . the staff amazing , incredibly helpful , friendly , treat like royalty really make holiday , help get sim card , currency exchange organise trip , nothing much trouble . the room simple , clean , comfortable worth money pay per night , stay 7 night , wish could , thank ananda ! * * * * * * * * * highly recommend * * * * * * * * * * * 
