everything 	 call great hotel great location good price . stay hotel two day book & quot ; standard room ' mean two people due non availability single occupancy book time ( know waste resource ; ) ) . room awesome ! much clean . corridor wait lounge comfortable well . bathroom good bathtub : ( ( matter ! ) . seem commode mean people height & gt ; 6.5 foot use foot touch floor . ( heck ? ) hotel restaurant name Comesum chain restaurant tie IRCTC serve amazing food tasty hygienic time . good part location . locate right next New Delhi railway station ( NDLS ) . come train could even walk hotel . local travel metro station walk distance fact close NDLS.As far stay concerned faced problem except not allow take car near portico take luggage walk distance ( much ) . could bothersome one lot luggage not decide factor accord give security issue country face . all stay good not see reason give anything less five rating . negative mention should not decide factor far believe . thank read .... 
 Best Effort Ratan Tata middle class 	 find extremely comfortable , near New Delhi Rly station travel hotel cycle rickshow . metro entry side hotel . good restaurant reasonable price . if compare Room rent vs Cleanlilness , rank-1 India . normally middle class efford lot money hotel , desire cleanliness , good restaurant etc , well available Zinger . also locate extremely well convenient place . train Traveller , even well . onwards even prefer spend money hotel stay rather choose free stay guest house Noida . Thnak Tata . Pankaj Kr Baruah 
 good value price 	 warm cozy room , plush interior , nice service tasty food . good connectivity business tour planner available hotel . good value money 
 great quality price ! ! train traveler 's PERFECTION ! 	 quality price beat Delhi - $ 40 get clean room satelite TV , AC , wireless ( must pay $ 5 24 hour ) clean bathroom - perfectly comfortable room . stay hotel price range Delhi India find MUCH bad . also stay 5 star hotel ( expect ) well cost we $ 300 ... find Ginger well bargain around . also - travel around quite bit train use delhi main hub LOCATION BEAT ! literally across street train station ( helpful since ticket buy 2 hourse train leave - train leave 5 am will grateful cross street get 3 am ticket ! ) . also pretty close Connaught Place ( central Delhi ) - around 2 km INR 50 tuck tuck ( 1 dollar ) .good luck ! mp 
 Nov 26 2009 	 Clean Hotel Dirty Delhi 	 three one - night stay use Delhi transit point various excursion month - long holiday . the hotel 's location , yard unimaginable filth detritus all - round excremental disgrace New Delhi Sewerage Station , mean - New Delhi Railway Station , undoubtedly convenient . the large hotel easy see even night time even luggage walk across car park lie station hotel . with building work go Commonwealth Games ( surely flatten city would well option ? , ' rebuild several time already century ! ) might look daunt get walk far quick cheap tuk - tuk taxi - find cost first time try get it . we three different room three stay , despite report contributor , find room clean respect facility would expect business hotel ( albeit budget hotel ) include copious hot water . the 24 - hour coffee shop / restaurant fine - lot well - dress local even come takeaway . staff pleasant helpful will not store luggage will use Left Luggage Office station . lock bag padlock bay - thief damn good go attempt break friend 's suitcase . the hotel 's location also be big problem . AC inevitably bring smell station not hotel 's fault , damn awful noise train come station whose horn even deaf hear ! Indians noise , anyway ? perhaps ask hotel room face away station . otherwise take ear ( possibly , nose ) plug . anyway - plus point hotel 's make minus point ( apart store luggage late leaver ) isn't . I would happily try Ginger hotel . reason would not go back Delhi hotel would mean go back Delhi . hellish scenario imagine . 
 Nov 26 2009 	 terrible place - avoid ! ! ! 	 book Ginger Delhi 2 day leave hotel with - in 2 hour checking - in . my expectation great . look & quot ; clean & quot ; frill accommodation . room far clean . bunch long hair floor . hotel staff even check room clean handing room . call housekeeping - clean room clean show . second glance bunch hair side bed clean royally ignore . the wall shoe print . may previous guest want make footprint leave . least expect housekeeping clean mark wall . quilt almost black one side couple yellow spot . call housekeeping change cover - come two quilt cover - one dirty less dirty . ask change less dirty one . the hotel staff care clean anything enough guest keep come name Ginger - Taj Group . the bathroom clean - hot water . fall sick would take cold shower winter . toilet paper bathroom . call thrice get toilet paper . there small window room room damn compact . would appreciate could least make big window . would give room big look . stay option ( may spend hour ) keep expectation level usual Pahargunj hotel would pay Rs 1000.we move day Quality Inn , Gurgaon pay hefty amount hotel last minute booking least stay damn comfortable there . when complain Ginger customer service - get regret letter inconvenience cause refund . I would strongly advise avoid hotel . place spend two day . 
 Nov 23 2009 	 centrally locate 	 journey Ginger Hotel not start well . book vehicle airport taxi counter . airport driver claim not know Ginger Hotel locate . give map not seem help . fortunately , could take we ' tourist office ' could phone Ginger direction . ' helpful ' man tourist office ' phone ' Ginger Hotel advise would over - book , could stay sister hotel free ! not believe pass phone we ' manager ' apologise profusely explain sister hotel much well . still not convince realise scam , demand taxi driver take we Ginger Hotel manager , give ride New Delhi railway station make way foot hotel . course immediately able book ! so - call ' tourist office ' see taxi pull outside . moral book taxi airport not believe anything driver , anyone whose help enlist , tell hotel . the Ginger Hotel quite bland clean room comfortable bed tv can not live without box . even Wi - Fi ( price ) gym . security first class . self - service cafeteria site provide exceptable food . major downside booking process . have originally enquire room August not 3 month later , 4 day due arrive , hotel able accept booking . problem promise assistance experience difficulty wi - fi connection , never arrive despite phone call , luggage storage facility hotel . 
 Nov 22 2009 	 Best Place stay Delhi 	 Ginger hotel chain hotel India , mainly set business traveller , however sick tired stay terrible accomodation travel around India would recommend pay little extra stay Ginger hotel . Delhi hotel right behind new delhi train station centrally locate see city . room clean , flat screen tv , air con , clean sheet , clean shower , nice staff tea / coffee room . room tiny frindge get cold otherwise well worth pay extra poung stay . would recommend book ahead web site possible get good price . 
 Nov 16 2009 	 value money 	 clean , appear safe . ample room clean bedding hot water . additionally good restaurant , business station travel desk within lodge . railway station 5 min walk away . 
 Nov 16 2009 	 place .. 	 say , friend , u want cleanliness , ginger new delhi can not ur second choice ... calm , peaceful clean time feel leave place never . cheap nearby station amazing place live 
 Nov 8 2009 	 great place solo traveler 	 great place business trip . spotlessly clean room , comfortable bed , bathroom desk - plus wireless extra fee . could also grab good , inexpensive food downstairs restaurant downstairs . key pressed time need get something late night not feel safe heading dark . hotel small room 1 person cost half standard room , perfect travel solo . great term character great need clean safe place sleep . get taxi , sure tell driver 's Ajmeri Gate train station will hard time find - sure book least week ahead time . book , mostly local . 
 Nov 6 2009 	 well worth money 	 great value Hotel similar UK Travel Lodge . party 4 -2 adult 2 teenager 1000inr night bargain . room clean AC fridge LCD TV . restaurant open 24hours good food although staff rude un anattentive . location great wanting use New Delhi train station 2 min away foot . downside shop around hotel need get three wheeeler order get ( Connaught Place 5mins ) available outside hotel . pharmacy locate hotel premise great . need accomodation require hotel luxury sight seeing arrive 9 pm highly recommend hotel . hotel quite hard find due construction metro even taxi driver know . locate next ajmeri gate one way system . 
 Oct 21 2009 	 excellent choice 	 excellent choice great value price . room bathroom clean , A / c great , flat screen tv cable , hot water ( though much well morning night ) , cheap phone call , internet lobby helpful staff . Restaurant ok . check website , show fully book month come . reality , seem take reservation short term . excellent location right next New Delhi Station . although everyone tough time finding . tell go New Delhi Station ask Rail Yatri Niwas . walk , walk dark , crowded industrial area get hotel solo woman may feel comfortable . otherwise , highly recommend . 
 Oct 21 2009 	 excellent value Delhi 	 stay one night begin one night end two week holiday . support majority positive comment already make value , cleanliness convenience . end long train journey convenience able walk Ginger Hotel great asset . restaurant nothing great 's one stop Metro ( entrance close hotel ) Connaught Circus plenty eat place . would definitely stay . 
