good 	 Clark height meet girl friend come Dubai . first hazy staying . reach find safe nice pl ; ace . main city course nosiy like Delhi . one roof service available traveler . Pick Drop . I would recommend every one 
 Nov 22 2009 	 Adequate room friendly staff beware rip ! 	 room hotel adequate though super super deluxe far nicer spacious less room . great value money noisy due construction work busy road outside . staff reception nice friendly , exception travel agent charge extortionate price hire hotel taxi double charge we ( service charge ) book train ticket Amritsar . also tell Delhi close Friday order sell we trip Delhi , reality not ! give we bad impression hotel whole . 
 Nov 22 2009 	 not stay hotel . 	 room ok , everything else terrible place . staff change price we many time ( course , charge we ) . not restuarant although say . instead order something , find street bring room . every person see hotel expect high tip nothing . say internet , computer use front desk . overall , bad place stay India price one high . 
 Nov 21 2009 	 safe place 	 book 10 room marriage purpose three night stay . hotel staff helpful speciall lady reservation help we alot arrange batchlores party basement . near house marriage location . aur family member come form different part enjoy cherish stay . 
 Nov 20 2009 	 average hotel lot hidden cost 	 stay Clark Heights 5 day November . original boyfriend give wrong room - paod super deluxe put we delux - argue case graciously put we much well room . staff nice charge extortionaly organising taxis hotel ( include car Agra ) service charge train ticket high . Recommend get rickshaw use taxi . overall noisey average hotel . 
 Nov 18 2009 	 poor value money 	 hotel nothing special . firstly , currently undergo building work stay construction site . room basic . reception staff helpful , except woman arrange trip Agra Amritsar - rip we tell we untrustworthy refuse pay charge not tell we . tell we whole Delhi would closed one day , find later not true . always someone available drive we place , though expensive cost . , not impressed hotel stay , not book trip without negotiate price first . 
 Nov 15 2009 	 Seepage Room 	 pay money nearly hotel expect standard butthere seepage room smell . notunderstand give room customer . 
 Oct 29 2009 	 Limit cheating . 	 book room internet . pick refund . 80 Kms . small taxi 15 r . 1 km . cheat traveler come 1st time india . high price hotel/ guest house . 
 Oct 28 2009 	 good value nice location 	 stay 4 night . hotel nice location - yes , noise street - nothing ` live with . friendly staff ok restaurant cheap food . 
 Oct 23 2009 	 Love hotel location 	 month september father . would like share view abouth clark height . personally feel hotel good people visit first time india bcoz , find helpful care people help tour well well organize hotel staff . room nice specious love give * * * * star hotel . problem taxi driver fast . I like hotel bcoz location hotel main road parking facility plus market also near place . , reception staff extremely helpful well behave ... 
 Oct 21 2009 	 love 	 wnt hotel really impresd intrir ................. staff really good coperative .............. enjoy hotel ......... food delisious ....... 
 Oct 11 2009 	 Noisy 	 hotel clean , room mid size . no pick airport . noisy night . staff nice location ok ; prepaid 250 IR car taxi airport 
 Oct 10 2009 	 truly home away home . 	 experience clark well five star hotel v stay v stay many flight attendant . room way big n nice . staff incredibly attentive caring . ( especially kid not want step hotel home . ) food divine . take every care cater kid ' special ' out menu ' order . town tour Amritsar n Agra well arrange . the thing think could improve upon toilet amenetie external facade . 
 Oct 10 2009 	 constantly mislead 	 arrive Nov Delhi family . book hotel clarck online easy . expect pick airport . room nice photo online , . arrive late little choice . cheat we badly ......... 
 Oct 6 2009 	 Wrong presentation 	 book hotel friend ' recommendation look review trip advisor . hotel clean 25 % display . staff eager sell tour Agra Jaipur . ware small insect room , bathroom foul smell . hotel busy road sleep whole night . charge quit high compare service . recommend traveler USA Europe . 
 Sep 24 2009 	 's completely type would prefer ...... 	 enjoy great 2 - day stay colleague . interior hotel impressive must give special compliment 2 hotel staff manage well . service really upto mark moreover , like location . mean easy get place prime requirement trip . , get reasonable price none less pleasant surprise . infact , look forward stay CLARK HEIGHTS future trip Delhi . would definitely refer hotel friend .... : ) ) 
 Sep 14 2009 	 Excellent service pleasant helpful staff warm ambience 	 hi , viste india month aug , freind fro wedding , since want stay close central delhi abudget , choose hotel . good value money . the staff courteous , freindly helpful . room nicely do clean . late night coffe shop bless we due late night wedding function . the staff even help we get thing miss carry along . , even get gift pack elegant way . I would recommend thsi hotel friend US . would definately go back stay ther.e everytime visit Delhi . 
 Jul 31 2009 	 Awesome simply awesome 	 hotel Clark Height month JUNE . stay 2 night 3 day . must say good place never mean staff excellent . specially fav place roof top restaurant pleasant place , 24hrs coffee shop , service good delicious food . room quite clean comfortable king size bed relax urself . infrastructure beautifully design , internet facility provide hotel good speed good work without interruption else place pay around 100 r . really helpful atmoshpere . short say Awesome place next whenever go to come Delhi stay definetly der Hotel Clark Height 
 Jun 21 2009 	 run away 	 many time think good get nothing get bad experience yes bad experience room give dirty towel smelling . I book hotel internet hotel fail pickup airport even service night good . big ManMushtaq 
 Jun 13 2009 	 AWSOME HOTEL 	 go india last month business trip stay Hotel Clark Heights . it wonderful experience . room immaculately clean , bed pillow heavenly , bathroom dress area nice , separate space office desk chair .. lovely hotel . staff go way helpful pleasant . enjoy visit . would definitely go back . 
