perfect 	 really nice place - close metro station , helpful staff , clean tasteful room . feel really lucky find place . 
 Great Hotel price . 	 India month hubbe Delhi . Stayed Grand Park 4 differnt time . hotel great base explore Delhi Northern India . price , find clean large hotel room . sheet spotless , blanket freshly wash . AC unit work great , hot water good , hotel safe area fine . Breakfast include taste good , nothing spectacular , complaint . 's 40 rupie taxi train station . 3 block west hotel huge market street load restaurant shop ( include McDonalds = ) ) . actual street hotel nice place look ... be fine safe . wife walk around night not feel uncomfortable . the owner Mr. Madan wealth info , book tour help book train flight . travel agency , course take commession trip , train flight , cost use indian online travel company . advice help make trip extremely easy really helpful . internet availble use computer . wireless internet hotel though . listen , end day , be stay continue come back : be clean , 's good shape , be safe , provide good advice help question problem . be come Delhi , give place look . 
 Deos leave last impression 	 stay night want extend 2 night hotel staff greedy room old . move hotel . 
 clean affordable hotel get away Delhi chaos 	 bad experience another hotel check Hotel Grand Park Inn . staff friendly accommodate . even though ground floor hotel entrance sandwich inbetween shop , not let deter . inside quiet atmosphere ( ok , quiet Delhi get ! ) . room face alley way fairly quiet . bedroom bathroom clean good condition . give bottle water per day , per person . great benefit ! hotel stay buy water . Breakfast either indian breakfast american breakfast . basically Chai Parantha egg toast . eat breakfast room upstairs , could also deliver room . couple time dinner lunch . food fairly inexpensive ( hotel ) tasty . also laundry do , do day deliver room . friend , travel we , use owner computer couple time check email . accord couple review , far away train station etc . car driver problem . also , someone mention rickshaw driver not know hotel , well Delhi million hotel , rickshaw driver not know every one ! make sure keep address , tell driver area first , street name , anything driver call hotel give direction . 
 Nov 26 2009 	 one day 	 isolate - long walk train station . Taxi / rickshaw tell youthey know not . filthy street even Delhi ' sstandard . grim breakfast . redeem feature - flashy shower - ifthey work properly ! 
 Nov 24 2009 	 surprisingly good hotel . 	 know expect , since never India . we India first bit & quot ; culture shock , still lot poverty , traffic ? omg.but 's first impression . to honest area not look appeal first . but hotel surprisingly nice . the room pretty big clean well lot hotel ' ve european country . the staff always helpful , owner let we use computer much need . when question always staff member help we . call taxi 's we tell we price would ... helpfull . and give we good recommendation see go . India street Delhi long way use Netherlands , subway rush hour ? ehm .. experience . but must say come back evening hotel , nice feeling . and breakfast simple good . we make trip many take , Delhi - Jaipur - Agra ( ... Taj Mahal ) -Orchha - Varanasi Nepal end trip ( 3 week ) Katmandu , Nepal . we take bus , train , taxi 's , tuk tuk , riskha 's .... elephant . in city ' ve hotel , must say one one nice one . we ' ve european hotel 3 4 star , hotel good . I recommend fully . 
 Nov 24 2009 	 " Racial Discrimination " 	 like white europeans discriminate beouse low potential pay tour , cloor trouble bad give bad room like dungeon 
 Nov 23 2009 	 great service care 	 staff fantastic . always polite quick respond need . particularly great check keep bag we whilst go sight seeing give we room freshen night train journey Jaiselmer . two week later return arrive Delhi around midday flight not till 1 am . kindly keep bag we whilst last bit sight seeing also give we room shower freshen flight home . room clean tidy , basic comfortable . check care fantastic , really go extra mile . 
 Nov 17 2009 	 Excellent value money 	 Grand Park Inn certainly one good hotel stay India . room simple large clean . room service hotel staff friendly helpful . area centrally locate , busy daytime quite night . try hotel Delhi keep return Grand Park Inn . 
 Nov 15 2009 	 basic room great service ! ! 	 hotel lack luxury feature sure make friendly helpful staff . this basic clean Hotel friendly staff member ever meet year travel ! request big everything ask get promt attention ! small room breakfast turn mornign get together quite entertaining meet fellow traveller world . it locate outskirt Karol Bargh market close Metro shopping . ask staff pointer restaurant end good indian food trip . dinner two $ 6 ! ! ! leave hotel first right block street find Santos . feel safe time walk around neighborhood . they arrange pick well transportation back airport resonable price well driver one day worth sight seeing . ( even though driver want take we shopping times firm get we back track ... guess driver still get comission bring tourist bazaar .. ) exchange money well get well rate exchange office airport . we ask nearby internet cafe ... owner let we use computer need ! basic good place stay ! 
 Nov 14 2009 	 great little safe 	 stay one two occasion , start holiday end . one occasion room immaculate . food good . service warm efficient trust worthy - pressure book tour etc . reliably book taxi 's we go train station airport . the location initially daunting- afew day India realise norm - Karol Bagh area actually quite good , touristy not get much bother . 
 Nov 10 2009 	 o.k price . good resturant nearby . 	 hotel okay . area fine , good , safe walk around . lot market shop go . awesome resturant follow hotel direction nearby resturant . ( ask desk resturant . generally turn leave hotel end road , take right walk straight road . ) right hand side call Sandoz . receommendation we glad go . get malai kofta ( nice one actually find stay India ) dal makhini . not get chicken always bite risky unknown resturnat India , partner end wish get butter chicken food superb ! ant room , stay thi section far away bed . obviously make route across room follow night . not much bother really tiny one . thing would say seal bag . come shower find disappear handbag sweet wrapper . not like fact much keen insect , like say . generally not problem ( aside leave sweet wrapper thi path . ) room spacious , bed bathroom . good , powerful shower plenty hot water . clean overal impressed price ( £ 30 night expedia . ) Breakfast include fine . ask simply toast make 3 piece toast , omelette bannana . think give whether want ! breakfast room small one long table guest sit . bit like hostel sense , be bad really . I ' m sure would recommend friend . backpacker traveller find luxury . use hotel , might find good . usually stay hotel think okay , location little difficult walk around . busy traffic road ( india ) 's first time little scary walk around . . okay . not try room service menu ( not think resturant ) price good , sevice charge cheap chip ( fact cheap ) quite large variety food offer . it okay night . probably would not stay 2 . 
 Nov 8 2009 	 come 	 hotel pick we airport . room basicand cheap price stay well room Karol Bagh wechecke one day . good choice . 
 Nov 7 2009 	 great place stay madness Delhi Staff helpful ! 	 friend stay 3 night . staff extremely helpful look we unprepared craziness city Delhi . flexible date also go stay Agra one night schedule stay come back . staff could helpful friendly , location quite central , food great , provide we assistance taxi , price taxis etc . surround place eat . room spotless , bed comfortable complaint whatsoever . end trip Delhi feel safe place stay refuge away madness street ! ! would highly recommend . 
 Nov 5 2009 	 good place crash airport station helpful staff 	 need crash one night late flight early train . need somewhere cheap , basic good airport pickup satisfied . the airport pickup ahead schedule polite . cost 650Rs 4 people seem go rate . the room basic , free bottled water clean sheet , towel bathroom . the staff friendly helpful even wake 4.30am check ! staff provide late night Thali us tasty . could comment location hotel amenity . 
 Nov 2 2009 	 show age 	 air condition work , door make sound closing , salt stain bathroom wall , life seem old , surround area bad , economy hotel . good hour stay cheap price . 
 Nov 2 2009 	 comfortable reasonably central hotel great staff . 	 5 night Delhi single girl town exhaust business ! need somewhere excape dust , dirt noise feel terrible flu way change flight home , cosy enough place hole lemsip ! staff really look well . improvement would suggest western menu room service smoking policy hotel ! hot water reliable 70 % time . air conditioning likewise ! staff could helpful . 
 Nov 1 2009 	 great place start trip 	 hotel clean , hotel staff pleasant helpfull travel desk within hotel great ! location ok , although many rickshaw driver know , fortunately business card hotel route description . room cosy clean therefore great place start trip ! 
 Oct 29 2009 	 undoubtedly nice hotel staff ' ve ever meet ! ' 	 strength read TripAdvisor inexpensive place stay Delhi , decide Hotel Grand Park Inn . travel Delhi attend wed another part city altogether . worry -- vikash , driver hotel , meet airport , hotel 's owner , Mr. Madan Pai , arrange Vikash drive wedding party ... also take interesting site around Delhi day activity plan . over - exaggerate kindness attentiveness staff -- helpfulness Mr. Madan Pai . plan change -- invite bride 's family stay last part visit -- Mr. Pai charge remain two night book -- present gift upon departure . honestly say feel sad leave hotel staff .... be first ! ! frequent international domestic traveler , never feel friendly atmosphere within hotel . addition ? ever feel compel write review TripAdvisor ! Mr. Madan Pai suggest Vikash take ' AKSHARDAM ' -- enormous temple / compound one imagine -- contain lotus garden , main temple contain 20,000 statue 108 ' long/10 ' high elephant plinth . finish fairly recently -- -and absolutely mind - boggling imagine incredible place could build five year -- many visitor never even hear it- not miss ! ! 
 Oct 29 2009 	 Bad Location 	 situate busy road , Honking – ponke make sleep . 
 Oct 29 2009 	 attentive respectful staff female traveller 	 daughter stay hotel Grand Park Inn stay Delhi . find hotel staff management exptremely courteous helpful . although hotel locate exactly centre Delhi , be short trip away autorickshaw taxi , welcome relief Central Delhi . street great , centre & quot ; automotive & quot ; trade , management , Mr Madan Pai staff many suggestion travel service ... find pick airport train station reliable safe . the room adequate , clean bathroom , air conditioning work clean food room service prompt delicious . thing mention pillow really hard uncomfortable ... thoroughly enjoy stay would recommend hotel anyone travel Delhi want safe friendly place stay . 
 Oct 17 2009 	 Safe Midst Motorcyle Mayhem 	 Arriving Hotel Grand Park Inn warmly greet staff graciously assist room 3rd floor , thankfully way hustle bustle street . comfort get crazy ride ... diwali day away traffic frenetic usual . addition taxi driver difficulty find ( recommend printing map assist driver ) . take Police Registered taxi International airport cost 250 IND rupee ... real bagain ! hotel surround auto shop primarily motorcyle . real treat see local ' pimp ' bike hatchback ; ) day night man everywhere however never harass feel unsafe . the metro far away however get across busy road access real adrenaline rush ... faint hearted ! also close proximity Karol Barg market . get excellent bargain ... local international product kind . hire driver hotel 850 IND rupee 8 hour , give time security access many wonderful sight Old New Delhi ( negotiate want go assisitance hotel staff depart driver fluent English ) .My room fan air conditioner heat not bother . also plenty hot water 24 hour day ... yippee ! food dinner delicious . breakfast simple however tasty . the staff ( manage charismatic Madan ) friendly always ask happy . overall positive experience never feel unsafe female solo traveller : ) 
 Oct 6 2009 	 clean hotel helpfull staff 	 start end India trip hotel . total spend 3 night recommend place . room ( book standard room ) clean , comfortable reazonable size . staff helpfull . manager make everything possible satisfy guest . Pick & amp ; drop service from / to airport also reliable . also book taxi driver day hotel . make sure preset route set . otherwise bring several market . complain , manager make sure get different driver next day problem . next stay New Delhi definetely stay . 
 Sep 30 2009 	 gem hotel 	 recent stay @ Grand Park Hotel Inn impress high level service experience . nothing appear much trouble request carry efficiently importantly smile . the room comfortable clean spacious well appoint . location perfect easy access market bazaar sightseeing area . transport pre - arranged hotel . the driver always punctual courteous patient ! drive skill exceptional along intimate knowledge city . would hesitation recommend anyone want experience real Delhi wonderful people high level friendly service stay gem hotel 
