Service 	 spouse arrive Hotel Legend around 9 pm long flight . bag arrive , tired could thing hot shower food . upon arrival hotel receive cold welcome reception . tell want food call kitchen , however upon call place order tell do not food . staff order food we outside charge we 3 time price . come time shower , one night request staff turn hot water could hot shower . also tell staff turn AC room ( frustrating ! ) . bed sheet change twice blood stain seem like sheet never change previous occupant . Yuck ! ! know budget hotel , simple service least mandatory hotel that s boast 24hr hot water / AC simple smile would go long way . 
 Nov 21 2009 	 Budget hotel nothing 	 given ' ve travel India previously stay cheap , great accommodation , happy book Hotel Legend review good , despite super cheap ( $ 39 aud per night ) . however , compare property stay recent trip , would say not agree many review currently list Hotel Legend . husband find budget property much else offer .... room definitely not look nice picture , sheet bed quite stain ask top sheet use questionably clean blanket . hot water , toilet not flush , not huge surprise . staff ok , location always go busy give 's close train station essentially heart backpacker district , , not feel Hotel Legend deserve average & quot ; good & quot ; rating be give . 
 Nov 16 2009 	 look impressive website pretty average hotel 	 Hotel Legend International look impressive website fairly average hotel . location fine - walk distance restaurant lengthy rickshaw ride Chandi Chowk , fort etc . lot staff hotel seem sit around argue whole lot work . room fine - clean & amp ; comfortable , usual wet bathroom toilet not really flush ( always hot water ) . room noisy - telephone rang continuously floor , night never answer turn . restaurant food awful - old rice look like half rice / half grub , tasteless curry , bad chai ( rice ) bad service - one menu entire restaurant , take long ( minute ) look , hotel staff whip hand give someone else . 1500 INR per night , think could probably find well value hotel Delhi . 
 Oct 5 2009 	 good value money good location 	 stay three occasion summer girlfriend member extend family India wedding . 's great central location right next New Delhi train station helpful internal travel . Metro also stop 's good get around city . lesser - travel family member find area bit rough ready find safe enough take usual precaution . 's 5 minute stroll Main Bazaar Pahar Ganj 10 - 15 minute walk Connaught Place . communication management arrival good helpful overall . room clean big comfortable bed . room fridge other not . roomy review mention spend majority time explore Delhi , find perfectly adequate . a / c work well room stay . staff ( ) attentive time plentiful . one thing would liked restaurant lounge sort eat room time stay hotel . talk open roof - top restaurant leave would good addition . not much noise outside depend room locate also . staff telephone , locate half - landing , ring early morning bit irritating volume turn . bad stay room end -01 , -02 , -03 . bring management say would try rectify matter hopefully might sort future guest . the real negative aspect stay behaviour Travel Agent lobby . pushy , unpleasant deal over - charge member group significant amount occasion . service provide also sub - standard travel car organise Jaipur . ( leave hour late , charge other car , dump miles city centre Jaipur pay get another tuktuk town ) . shortage travel guy Delhi shop around ! apart find stay hotel positive overall . good value money , clean , central comfortable . 
 oct 4 2009 	 funky design amazing neighbourhood eat roof 	 first night India , arrive 4 am bus crew could not locate hotel . ( TIP Print map hotel ) friendly staff , especially rooftop resturant , pleasant room great location value . luxury clean , group find area bit intimidate . vibrant hectic place tourist road right amoungst local . everybody meet smile want talk transport around easy . great meal roof staff accomodate enjoyable . briiliant start visit India . 
 Sep 27 2009 	 great service strange location ... 	 willing taxi - ride away action , hotel really quite good ! large service staff welcome smile every opportunity ( maybe large group , nice appreciative towards everything we ) . single ? room ground floor , right next computer travel desk . room quite large even double - sized bed . bathroom great , , everywhere India ( far ) teh bathroom tend get hot day remember close leave ! ! two computer available free internet access , one not work actually let use little office ! There'sa lift , always bonus , rooftop restaurant . food wonderful meal day , none 18 we get sick ! one night buy many beer share service guys- think fantastic ! could give negative would not really close much , really tricky find initially . also pretty noisy street noise , earplug fantastic invention ! ! 
 Aug 4 2009 	 good value money ( 20 £ ) good location 	 stay two night Aug.2009 . excellent location -- close New Delhi Train Station ( NIZMUDDIN ORIGINALLY THOUGHT ) Connaught Place . the hotel lobby invite clean , room clean , although small . ( make small furniture large room ) bathroom large clean -- bring shampoo . towel small , ask big one , sheet bed stain , ask , recieve clean sheet . Breakfast include buffet style .. order menu eat room . that strike kind weird .. fine . careful though , server simply knock WALKED ... prevent , always lock door . room cheap -- 20 £ per night -- overall really good budget hotel . DOWNSIDES -- always many loiterer lobby stair .... do not understand . also , loiterer hte hall , outside room ... ready beck call . tipping appreciate -- go long way well service ! overall ... 8/10 budget hotel 
 Jul 25 2009 	 Fantastic Value money 	 book hotel england , travel delhi , previous review pretty positive . bother location , stop Delhi one night go Punjb next day . 9 us total ( 3 family include kid ) . pick airport ( taxi driver wait even though 2 hour late ) , take hotel , check quick , really impressed room . book two trible bed room , one super kink bed single bed . room clean , ensuite . price , one complain , order food around 2 , although go outside get , really good . whole stay cost around £ 100 , include airport pickup , drop railway station . like much fly back england , stop . really recommend hotel anyone unsure budget accommodation delhi , book . 
 May 18 2009 	 busy city hotel need 	 although room quite small , small hotel city elsewherein world . Delhi crazy place , busy day walking , room much appreciate . room clean . staff helpful . would recommend hotel . 
 May 18 2009 	 Good 	 stay property 7 day stay service good 
 May 17 2009 	 good location value money 	 we , location great five minute walk new dehli train station , hotel room dark , air con not work constant noise throughout day night . . hot water ! ' very hard sale ' in - hous travel agent annoying worth avoid cost . for pay , really not value money . 
 Apr 26 2009 	 Good Value near New Delhi train station 	 hotel comfortable easy budget . locate short walk New Delhi train station Metro stop . street locate somewhat lively may hear noise disturb . online booking process easy accurate . opt airport pickup hotel , driver time friendly . 
