good 	 stay one night room close reception . noise hall way reception could clearly hear room night . also cat fight window providing noise . try get room far away reception and/or wear earplug . eevrythe else work ok . 
 Nov 20 2009 	 Good Place stay 	 hotel fairly small well site middle Delhi Connaught Place . room variable size well appoint we . staff areexcellent helpful , whilst attach restaurant excellent food service . Connaught Place undergo extensive restoration , quite bit mess area . only trouble hotel lounge area friend meet , use restaurant purpose without difficulty . 
 Nov 19 2009 	 centrally locate clean good restaurant 	 review driver unsure exactly hotel Connaught Circus . recognise look exactly like picture tripadvisor . greet pleasant , room small clean well appoint . restaurant excellent . location central part Delhi plenty shop , club restaurant within minute walk . there noise , perhaps cinema , not unbearable . would definitely stay again . by way not think visit ( fairly nearby ) Indian Coffee House - dump ! 
 Nov 15 2009 	 clean room great service good location value 	 staff attentive room exceptionally clean . also quiet great daylight finally get sleep , due jet lag , yet not hear usual daytime traffic noise . hotel also kind enough store one bag week visit city Rajastan . overall , enjoyable stay great price - not put exterior , be great inside . 
 Nov 13 2009 	 take money leave we strand street delhi night ! 	 husband travel widely around India , yet nothing prepare we predicament face book hotel ! consult TripAdvisor see high rating Hotel Palace Heights click booking lead we hotels.com ( expedia.in ) book hotel 2 night . book confirmation hotel .com come husband 's credit card charge full amount . take print confirmation travel via train shimla arrive new delhi 10 pm night meet bewilderment front desk hotel palace height ! see book confirmation say receive book room available we . without apology say must hotels.com 's fault RECEIVED BOOKING ! visitor Delhi know next . attempt reach hotel.com hour fail left dilemma spend night . eventually manage find overprice badly locate hotel later night trip ruin experience.hotel.com say hotel 's fault money yet refund nearly three week incident ! sum : HOTEL EXTREMELY UNPROFESSIONAL UNTRUSTWORTHY bring website 's recommendation disrepute . warn book hotel site may end predicament , pay room unable stay week trouble try reclaim money vain . 
 Nov 3 2009 	 Excellent Value 	 stay hotel one night November . difficult taxi driver find hotel , outside not look great , room inside great , modern clean decor , flat panel tv , lovely bathroom . be huge room , be comfortable . location perfectly central , load shop , restaurant , atm step hotel . staff , reception housekeeping , courteous helpful . food restaurant , Zaffran , wonderful , service also exemplary . also complimentary water , fruit internet , welcome juice . would rate high 3 star . also , note -- eat fresh fruit provide room get finish . good eat fruit could trust . 
 Oct 31 2009 	 Nice Place tourist / night stay . 	 visit Delhi tourist spouse young kid . not want pay high price night stay typical 5 star hotel , choose hotel base review . need night stay safe , clean comfortable place . although little high price side offer ( big , ok size room ) . location perfect room clean comfortable . Bathroom immaculate . site see location close place central park , Metro station right . restaurant also fabulous . overall nice experience would recommend high rating . free wireless internet service . vehicle , parking street , free charge difficult find . 
 Oct 27 2009 	 comfortable excellent restaurant 	 Hotel central . room clean able sleep 3 room . expensive hotel , worth restaurant central position . staff extremely helpful , even extent accompnaye we find ATM work . 
 Oct 26 2009 	 Excellent Good Value Town Hotel 	 great location right heart Connaught Place close metro station . ( beware though , hotel quite small street frontage speak , taxi driver may know ) .The two good thing hotel restaurant - great breakfast dinner ( good food ' ve ever India ) - enthusiasm staff willingness help everything . room well appoint confortable . althougha bit small side . AC bite aggressive room force turn night avoid cold . however , be minor niggle . internet work fine reasonably fast . the negative aspect book another couple night follow week , inform evening leave unable honour extra night . go desk book taxi follow morning , suspect would not find late . good value Delhi . overall , recommend . 
 Oct 25 2009 	 clean modern hotel 	 stay 3 night late June one night early July way back home . hotel modern clean . AC work well good escape hot temp outside . room small side not much lobby , want sit around / linger not really place . first room face interior air shaft / courtyard second one face side street . staff friendly helpful meet owner one night also pleasant accommodate . Breakfast include western ( egg , pancake ) option indian option . not much see Connaught Place , many restaurant walk distance . strange walk first night dinner one people street consider center town . hotel arrange car pick we hotel driver ( Bobby ) nice try sell we tour guide service entire ride hotel . even try take we office drop we hotel , politely decline say long trip want get hotel shower / sleep . work take we hotel . friendly seem like good guide hire drive we around tour Delhi couple day later barely speak throughout entire day spend . seem use Delhi fact get we book not much say . company seem work exclusively Hotel Palace Heights , beware booking tour hotel . nice honest , not offer much way tour . overall , hotel experience good one . be look modern , clean safe hotel & quot ; center & quot ; Delhi , can not go wrong Hotel Palace Heights . 
 Sep 1 2009 	 perfect service 	 stay end august ( 29.08.09 ) hotel Delhi - simply perfect ! ! ! can not ask nice , welcome service . everybody staff friendly try help every way - access internet , phone agency ' ve book ac - cab sight see tour not show . receptionist make come less 5 minute 8after ' ve wait half hour vain ) . M. Wasim reception desk extremely kind , also colleague duty shift . I recommend hotel . connaught place heart Delhi , room comfortable , european standard , pleasure find nice clean bathroom travel Himalayas . welcome drink ( juice , course 's India ) offer well fruit basket . simply perfect . 
 Aug 24 2009 	 definitively favorite place Norther India ! 	 stay India three week visit Rajasthan , Uttar Pradesh , West Bengal Mumbay . spend two night Palace Heights begin trip two end . staff hotel extremely friendly efficient , make feel home ( even well ! ) . service professional , discrete efficient . arrange perfect tour transfer from / to airport . hotel quiet oasis heart Delhi , clean room furnish contemporary design style . restaurant one well try India , cozy relaxing . buy five star quality hotel price three star ! modern confortable hotel strong personality ! 
 Jul 12 2009 	 expensive / annoying price 	 could hear incessant bang first two room put we . finally getting settle quiet room , put disturb sign , people keep call knock door give we thing like cookie - nice , annoying . also pressure we use travel agent tour Taj Mahal . car driver price barely work A / c . driver not really talk we ( 2 hour 3 hour back drive ) keep make we go place buy stuff ( not stop anyway ) . car not seat belt . staff hotel also tell we differ info much thing going cost Monday Friday electricity go every often . 
 Jun 9 2009 	 nice expensive hotel 	 stay two night Hotel Palace Height . hotel expensive size room & amp ; bathroom . view hotel room great .. first night hot water , hotel staff fix problem quickly . however hotel staff courteous provide good service . if Delhi couple day want good location attraction , hotel fine . 
 Jun 4 2009 	 Excellent service 	 ' ve stay hotel number time far - always business - one thing stand customer service , staff 's desire please . the hotel small , well keep , clean . wireless internet use problem , fix . food Zaffran excellent ... breakfast order , always prepare well . cater lot foreign tourist . the location hotel superb . right Metro station make travel around Delhi breeze . also heart Connaught Place ( CP ) plenty option shopping , restaurant , entertainment , great walk around evening traffic light . I ' ve always pleasant experience hotel , would recommend hotel anyone want clean , safe , good place stay . little pricey , think would well value $ 25 - 30 current rate . 
 may 20 2009 	 take chance 	 stay two separate occassion . land Delhi stay night leave elsewhere . first night awesome . room small , adequate . nicely decorate clean . complaint . return day later different story . room even small first night . give dirty towel bed sheet . wall scuff dirty . thermostat control filthy black . complain , staff apologize , . hard believe hotel . it not cheap either . pay $ 183.00 Cdn Expedia , good value money . pay hotel transfer not get one , get refund . outside hotel look rough , inside nicely decorate . restaurant attach hotel , Zaffron offer great value money . food service one good India . 
 Apr 30 2009 	 good staritng point 	 service excellent , particularly restaurant . room modern bathroom good shower . room bite small view , keep clean , clean linen every day . complimentary fruit , water snack provide relatively expensive compare rest India , worth Delhi . Breakfast include rate good choice decent buffet . food restaurant one good indian restaurant visit good value 
 Apr 29 2009 	 good hotel conveniently locate Connaught Place 	 well locate Connaught Place get tuk tuk vary site Delhi . hotel well ' average 3 * ' rating good enough ' good 4 * ' rating . service good room clean , little small side . however , Delhi day night ( ) exactly want . restaurant ( attach hotel ) call Zaffran good . 
 Apr 23 2009 	 Excellent well price hotel right thick ! 	 third hotel stay to - ing fro - ing Delhi . cheap ( £ 98 per room per night inc breakfast ) , nicest well place hotel lot ! staff great helpful . room lovely , clean well equip . good restaurant central position . breakfast excellent eat restaurant last night India , reasonably price one good meal trip . location could not well - walk door be right middle intensity Connaught place ! inside 's calm . ' ve get night Delhi - stay . 
 Apr 20 2009 	 Perfect Boutique Hotel 	 lookin hotel Delhi centrally locate , affordable , convinient Palace Heights place stay . hotel locate inner circle connaught place second floor . approach kind look deceptive enter premise bet head good experience . small property 15 - 18 room . restaurant call Zafran serve great indian food also popular among local . complimentry morning breakfast serve . small property assure personalised service . staff right doorman entrance hotel manager friendly ever welcome . room small can not expect anything grand price ( rs.6000 - 7000 ) part city . room decor modern bathroom do well . great place tourist lookin affordable accomodation , central location , look aminitie want sleep night good room eat good breakfat get spend day . apply business traveller well . 
 Apr 19 2009 	 individual hotel personal service 	 stay two night palace height would definately recommend . room stay clean amenity would expect , little small . location great getting feel Dehli although would warn stray far beat track go everywhere Dehli . restaurant excellent reasonable price . know could eaten cheap ten pound two we could eat seem good deal we especially good . staff friendly helpful would go back , fact go back restaurant last night India unfortunately book another hotel not nearly good . 
 Apr 18 2009 	 great respect 	 well locate Hotel Palace Heights Delhi oasis . room exceptionally clean well thought . well deocrate thing would expect good hotel consider good room service , wireless various complimentary touch . staff exceptional service excellent attentive respect .The restaurant also great serve fanatastic food North India , service great restaurant manager particularly helpful recommend dish .highly recommend 
 Apr 10 2009 	 fantastic hotel central location 	 hotel small great , central location Delhi . room fantastic , can not fault anything wrong room . hotel restaurant also great - highly recommend . 
 Apr 6 2009 	 not judge book 's cover 	 arrive Connaught Place , Delhi experience . oh goodness , drive like nothing earth ever see . car , people , bicycle , tuk - tuk anything go . from outside hotel look small unassume inside cool air - condition loveliness travel stress disappear . reception staff helpful english excellent . arrive India 3 21 night hotel booking , hotel staff recommend travel agent - Perfect Holidays , helpful man , Javid organise next 8 night we include internal flight , accommodation driver . the room little small side clean bathroom usual trimming - extra loo roll , shower cap etc . the hotel great location , smack bang middle shopping area close underground Palika market . Breakfast Restaurant lovely - choice indian , continental english . one well hotel stay trip . 
 Mar 30 2009 	 Fab fab fab fab ! ! ! 	 second stay palace height , great first one ! definitely one hotel would recommend people stay , everytime visit delhi . excellent restaurant attach , althou live UAE give access great indian food , truly authentic . room service even fab , meal reach 10min ! room althou small immaculately maintain trouble may dealt immediately . staff , right manager various service attendant polite , ridiculous . stay various hotel India none wonderful experience . literally , one make complaint . perfect Boutique hotel . thing miss possibly spa , wrap deal ! definitely keep stay Palace height , everytime visit Delhi . 
 Mar 21 2009 	 highly recommend - comfortable room modern flair good food ! 	 situate Connaucht Place . spacious bedroom bathroom . furnishing all - round elegant good condition . amenity : airconditioning function well , safe , upon arrival complementary fruit basket ( 1 apple , 1 orange , 2 banana , 2 chocolate biscuit ) daily two large bottle water , facility make tea coffee , free daily newspaper . like indian food authentic possible , i.e . spicy hot . Hotel Restaurant Zaffran satisfied criterion . fact , food absolutely delicious , delicately spiced , hot . two main dish plus two portion Naan bread bottle water average cost 775 900 Rupee . although breakfast buffet rather simple , food good . usual cereal , two kind fruit , bread , butter , jam honey . order egg , bacon / sausage / ham , toast , coffee tee take waiter . coffee absolutely fantastic ! cup prepare separately freshly grind coffee bean . hotel & amp ; restaurant staff competent , friendly helpful . thoroughly enjoy stay hotel . 
 Mar 15 2009 	 great service location breakfast value money ! 	 book day room Palace Heights end trip arrive sleeper train 9:15 fly home night , would hesitation use entire stay Delhi next visit . smooth speedy check - in , ravenous , eat train morning , go straight breakfast delicious , especially pancake capuccino ! room spotlessly clean comfortable , kettle tea / coffee , shower give ample hot water lovely toiletry . hotel first floor ( lift ) mean room quiet , location Connaught Square excellent - love great bookshop 2 block away . well , however service : doorman downstairs load luggage lift whisk we reception , smile receptionist waiter restaurant - nothing much trouble , every member staff eager please . highly recommend Palace Heights great value money . 
 Feb 27 2009 	 well ever ! back 	 ' m glad chance stay Palace Heights . I travel alone Delhi architecture conference . ' m woman Delhi 's first timer . I ' research ' tripadvisor decide choose 3 hotel stay : Ginger Hotel , Hans Hotel Palace Heights . I good hunch Palace Heights , since first email conversation general manager , Mr. Joseph . respond email make sure reservation secure . Palace Heights high demand hotel among traveler see stay . I love building setting . Palace Heights example successful adaptive re - used building . location perfect , center CP minute walk fabIndia . I love hotel room - minimalist , simple clean . love window face CP witness bustle busy experience downstairs . goof thing room quite - can not hear anything outside . but thing love superb service warm greeting ! receptionist restaurant , housekeeper general manager ! good help make sure stay incredible . do . I ' m really impressed ask help whether print essay presentation conference . not business center . , take hotel 's main office , locate couple block hotel . insist take hotel 's car . print everything , car drive back hotel . the porter always accompany want take tuk tuk make sure driver know want go bargain price . bonus - free wifi ! ' m bless kindness accept stay back Palace height experience . 
 Feb 10 2009 	 High Standards reasonable price 	 arrive London , pick ( arrange hotel ) wait we . hotel locate good part New Delhi , short walk shop park Metro close . hotel staff extremely helpful friendly , room clean modern . restaurant excellent . negative point : 1 . specifically book twin bed ( travel daughter ) arrive available . first night find we another room , second ( week later ) provide collapsible bed quite uncomfortable . unfortunately problem occur wherever stay trip . 2 . second minor problem surge shower fluctuate water temperature ( extreme merely annoying ) . 
 Jan 31 2009 	 great respite bustle New Delhi 	 location fantastic , Palace Heights give oasis calm right middle Connaught Place . the staff extremely friendly helpful , good recommendation restaurant area , since matter hotel restaurant ( good ) -- can not eat every night . the include fruit , water breakfast help get day good start easily hassle . I also arrange airport pickup hotel everything go smoothly : driver time , professional etc .. 
 Jan 5 2009 	 Peace 	 husband stay Palace Heights start indian holiday November . arrange airport pick sadly not land . call hotel immediately get driver we really delay . arrival ( give 6 morning ) get we welcome drink tell we room would ready 20 minute . real bonus mean could sleep hit Delhi . throughout stay staff really helpful . change money small note , book car etc . each day complimentary water fresh fruit . hotel real away bustle Connaught Place food Zaffran restaurant really good service also excellent . 
 Dec 31 2008 	 good location tidy professional staff 	 stay hotel various night December 2008 use hotel hub number trip throughout India . the hotel renovate recently offer business - style , clean tidy room spacious bed fine bathroom ( good one trip , always enjoyed come back ... ) .from hotel , easy acce various shop ( incl . western shop sometimes attractive proce ) Connaught Place , restuarant include . hotel meter new subway , bring e.g . directly railway station hardly money . use several time always enjoy ride . the hotel staff professional also take take guest 's need . use airport pick - up drop - off . the restaurant hotel offer good food , elevated price ( compare option outside hotel ) worth staff great friendly . there might cheap place stay Delhi , Palace Heights benefit central location , professional staff proper room . would go back return Delhi . 
 Dec 3 2008 	 Fantastic ! 	 stay hotel business trip , room lovely staff extremely helpful . definitely stay next trip Delhi ! highly recommend . 
 Dec 2 2008 	 Great Stay 	 stay two night arrive Delhi US . go ahead arrange transport hotel ( RS . 800 ) avoid deal prepay taxi upon arrival . hotel 45 minute away airport . check - in smooth though room bit small , comfortable . provide complementary fruit bottled water daily . especially appreciate quiet get night . minor issue hot water rectify quickly . breakfast hotel good convenient . dinner Bukhara Maurya . food fabulous ! hotel arrange day tour Delhi use car also early morning transport Delhi railway station . although find tariff little overprice , would definitely stay amenity convenience . 
 Dec 1 2008 	 affordable gem 	 recently , looking centrally locate , hotel Delhi , $ 300/ night ! Happened go review website come across Hotel Palace Heights Connuaght Place seem fit budget , scheme thing – term location general feel . able easily make booking email promptly answer doubt clarify . moment enter time check ( 4 day ) , knew make right choice find really good hotel Delhi . place would like come back recommend other . room clean do fashionable style , importantly comfortable stay . hotel take fashion extreme make uncomfortable place seem strike right balance . in - house restaurant absolute treat . seem popular choice long wait even weekday . hotel courteous keep table hotel guest hold never make we wait table . plus special discount hotel guest restaurant . also room service efficient even 3 morning food serve smile . internet truly , wireless truly unlimited snag hidden cost . India , many place advertise wireless really pathetic . initially , technical difficulty get wireless MAC , front office guy came solve everything within time . suggestion hotel : really nice place , though long list wine , cocktail kinds alcohol serve ; available room restaurant . small watering hole one go long day work city go long way make feel even home . wink wink . 
 Nov 1 2008 	 definately good place stay Service good 	 reading revieiw , book hotel . hope clean place , defnately meet requirement . room bite small other point , clean , well equipped , comfortable , right middle city , close everything . the real standout service hotel . carry bag , arrange transportation , excellent room service , meet extra request . one traveler group sick . go get medication request , make special meal , keep eye go explore city . could not ask anything little sister sick . definately eat hotel 's restaurant . great food . really worried arrive , outside , look like hole wall would never book , completely different inside . not let outside picture worry you . because locate heart city ( Connaught Place ) , bit expensive , pay location . definately cheap hotel around area look . 
 Oct 4 2008 	 great choice price range . 	 Palace Heights probably one good hotel Delhi moderate price range . location , room , service great restaurant fantastic . staff especially helpful welcoming . highly recommend . 
