economical 	 property convenient stay smooth . room clean service perfect . not take meal morning breakfast hygienic tasteful . Thought take dinner & amp ; great . location also decent one . definitely visit hotel whenever plan come back . 
 France love India 	 first visit India . one friend suggest take stay hotel . I book suit room internet . hotel arrange complimentary airport pickup . give classy service , room neat clean , mini bar thing need , restaurant good food awesome . interior room really good give positive attitude . staff hotel well train give good service . also enjoy internet service drawback location hotel i.e . karol bagh area crowd . despite drawback area really enjoy stay . I would like thank hotel staff cooperate give good service special thank go especially front office hotel charge printout take hotel computer . 
 hotelnanakrock 	 property convenient stay smooth . room clean service perfect . not take meal morning breakfast hygienic tasteful . location also decent one . definitely visit hotel whenever plan come back . 
 Nov 26 2009 	 Love Delhi 	 enjoy stay Sri Nanak Delhi . many thank owner Sandeep & amp ; Karan take personal care we . arrive early give room . service excellent food average . definately stay hotel visit Delhi . also recommend friend book hotel directly . hotel nice website book online directly . 
 Nov 26 2009 	 godloveshuman 	 Perfect hotel business traveler locate ideal central area accessible anywhere city hour . overall set excellent counter staff courteous helpful . much time feel unnecessarily take advantage nature want experience Royal feeling staff want experience . perfect stay . Kamal Bhagat 
 Nov 25 2009 	 thegameplay 	 hotel room good modern outfit . though room spacious , make modern amenity good lighting . front office also cordial well staff . restaurant good . food upto standard . bath room good . House keeping make sure small thing refill everyday ! 
 Nov 21 2009 	 see get good ! 	 female travel alone , find neighborhood little destitute , hotel perfect price around corner bustling activity , shop , traffic typical Delhi hustle bustle . staff eager help warm friendly . room spacious ; drawback shower separate stall water spray floor bathroom . , good value , clean , lot little package necessity . would recommend decent budget hotel . 
 Oct 29 2009 	 Hospitality service well . 	 Perfect hotel business traveler locate ideal central area accessible anywhere city hour . overall set excellent counter staff courteous helpful . much time feel unnecessarily take advantage nature want experience Royal feeling staff want experience . perfect stay . 
 Oct 24 2009 	 good value hotel good location 	 hotel situate market . good area stay local indian area hassle free . good shopping close . small hotel friendly . staff helpful . 
 Oct 21 2009 	 cheap really clean 	 hotel cheap , locate area lot garage car trading activity . upgrade free - room upgrade even window ! sheet towel partly dirty - cosy place stay . the personell friendly tough , instantly give another room ask . really recommendable hotel , expect something like . 
 Oct 16 2009 	 room fabulous facility . staff active good smile face 	 room fabulous facility . staff active good smile face . breakfast excellent taste . Hotel centrally locate main city . worth money charge . 
 Oct 16 2009 	 hotel centrally locate main city 	 hotel centrally locate main city . room well organise amenity . staff member willing help we anytime . also breakfast tasty serve well waiter restaurant . 
 Oct 12 2009 	 Value money 	 hotel centrally locate main city . room well organise amenity . staff member willing help we anytime . also breakfast tasty serve well waiter restaurant . 
