Great 	 Great hotel , excellent location ( centrally locate New Delhi ) , close Connaught Place . hotel 's interior visible glass lift add excitement . room excellent , nicely do up . the thing need bit upbringe bell staff , still give taste legacy . would certainly recommend stay hotel , though slightly over - price . 
 love stay 	 stay bussiness trip company . I throughly enjoy stay there . the service excellent hotel staff helpfull . breakfast complimentary . room nice one tv , comfertable bed pillow , mood light many . 
 Nov 24 2009 	 WONDERFUL stay 	 stay last week 4 day great time . room ( standard double ) lovely - woodern floor , quality furnishing , flatscreen tv , comfy bed pillow menu , mood lighting . bathroom beautiful huge walk - in shower . staff helpful whenever phone housekeeping respond quickly . couple gripe mini bar lacking choice ( beer , champagne soft drink ) . turn service always around 7 pm inconvenient get ready go dinner . hotel bar ( Nero ) great , great , humidify smoking room attentive staff - shame shut 1 ... always think 5 star hotel bar open till last guest leave . Monsoon Indian restaurant fabulous , pricy worth ( herb prawn starter die ) , chinese top floor disappointment however . breakfast good - plenty choice . Henry 's bar top floor another reviewer say room drink , bar , soulless . the pool bite dingy - warm enough swim time year , alot shadow bed . allow alcohol around pool shame want lunch couple beer ( nothing sneak beer mini bar solve ! ) .The spa amazing - two massage , feel romantic couple room private hot tub worth extra £ 25 ! massage ( indian swedish ) fabulous wonderful staff ritual . the atrium whole look hotel inside fabulous - quite breathtaking . want buy pashmina - great shop inside hotel sell £ 15 upwards , far well value find Old Delhi . , delight hotel whole stay , return Delhi , would stay Le Meridien . 
 Nov 23 2009 	 Excellent location serivce 	 stay hotelabout 3 time last 2 year serivce hotel always great . location great . the thing would say booked time AAA extra charge breakfast rate reach hotel bkfst complimentary . we enjoy stay everytime . 
 Nov 15 2009 	 Love ambience 	 spend quality time delhi wife really like room hotel environment , specially room service , pub 
 Oct 19 2009 	 modern sanctuary chaos New Delhi 	 rank high end Le Meridien 's ' ve stay . satisfied stay value service . 
 oct 9 2009 	 top hotel western standard ..... price 	 stay hotel 4 night two different room . clean , modern hotel good design throughout include & quot ; mood lighting & quot ; room . staff helpful would hope / expect hotel class / price . thing could get wi - fi work ( need laptop rather PDA ) end use expensive business centre check email . near Connaught Place restaurant . good bar / restaurant hotel pricey . we would consider stay hotel return Delhi . 
 Oct 8 2009 	 Perfect Hotel 	 Le Meridien like oasis New Delhi ! hotel favourite place city ! friendly staff . safety . receive welcome drink ( coffee tee ) welcome & quot ; bindi & quot ; . offer hotel ( like compliment ) 3 - 4 hour trip city . like sandal wood flavour wardrobe . India : ) prefer one restaurant chili food : ) 
 Sep 27 2009 	 great hotel Delhi 	 great stay Le Meridien Delhi . excelent hospitality service . restaurant pretty expensive . 
 Sep 26 2009 	 exquisite hotel 	 stayed always visit New Delhi . lobby amazing ; futuristic style . room great spacious , beautiful bathroom . well design modern ; exquisite . very clean well organize . large flat screen tv room . wi - fi available charge . the concierge helpful . the hotel staff friendly . excellent breakfast . there shop arcade hotel . try visit Jaipur Gem Palace , nice collection jewelry reasonable price . it be near Janpath street want shopping , walk distance . it be great hotel . 
 Sep 2 2009 	 a - void ! 	 like 1970s - style hotel multi - floor atrium - large void middle , may hotel ! otherwise , would a - void . sure , nice part New Delhi , close key government build several sight . however , hotel currently renovation , mean jackhammer workmen throw stuff window . power go ( ) multiple time . room bath , shower barely - controllable nozzle . darken & quot ; bathroom & quot ; , mood lighting , smell . renovate room decorate cross Ikea norwegian wood , lot sharp corner bump night . front desk staff slow serve way , look extra add bill way . restaurant food over - price . not try Room Service , could see sample offering still stick tv remote control . hotel 's pool area real gathering place hot bird - 100 pigeon dozen crow count . view Delhi top level eatery excellent - middle top floor building viewless Le Meridien Club perch like UFO , wait descend unsuspecte diner eat atrium . next time , think stay shangri - La across road . 
 Aug 31 2009 	 Best Hotel 	 one good hotel stay . stay suite , design modern furniture new . hotel locate city centre area , room rate surprisingly low , staff nice . shower area bit small , pick anything complaint . take buffet dinner ground floor cafe , food good , cost US $ 70 per person . 
 Aug 28 2009 	 calm escape chaos 	 great hotel , modern interior , spacious airy . do not appear many western visitor . highly recommend restaurant , particularly chinese rest locate top floor . colonial decor great food great view delhi.down side would lack fast free internet acce , poor pool sundeck area . 
