love 	 really love hospitality great experience stay Taj ! 
 beyond business 	 stay comfortable staff curteous attentive professionalism around 
 Quiet comfortable 	 11th floor room city view quiet . 7 8 meter room green carpet , slightly stiff pillow . 42 & quot ; flat - screen tv , dvd player available . amenity include fax / phone , mini - fridge , white marble desk , amoir , fresh fruit , safe , white marble bath ( shower ) , build - in AC electrical adaptor , personal wake - up call . great service . 
 Nov 21 2009 	 Best New Delhi 	 fabulous hotel especially stay club level butler service . pricey , everything exactly way . room clean , service fantastic , food wonderful . noise crowd street Delhi , nice able return oasis . garden fantastic night - great place relax . Taj right . 
 Nov 18 2009 	 Excellent hotel excellent service - great place stay Delhi 	 stay two night right start holiday . want stay somewhere nice come back Business Class flight . the Taj Mahal Delhi not disappoint . meet airport hotel car - transfer part Club Room - whisk hotel . upon arrival give cold towel freshen check freshly squeeze juice . the Club room also give we access Club lounge hour every evening free drink nibble . staff friendly go way help ... give good drink ! show room , nice spacious view pool . bathroom decent come Molton Brown toiletry . we spend little time pool nice big - 30 metre plus - plenty chair recliner sit on . one evening dine Varg , site indian restaurant . expensive India excellent value UK absolutely delicious . food tasty , modern well present . mushroom starter girlfriend especially good , lamb main come earthen pot . breakfast morning simply amazing . huge selection fruit , cereal , bread & amp ; pastry , indian western hot buffet omlette / pancake / waffle bar . masala omlette well several India ! one evening dine Old Delhi - utterly mad hectic place - Karim 's . full local , dirt cheap , food awesome ! especially freshly cook naan bread . might everyone - little hectic say - insight real Delhi . I would highly recommend hotel stay Delhi , good base go explore real come back huslte bustle Delhi . 
 Nov 18 2009 	 love hotel 	 taj mahal situate prime location city provide easy accessibility airport.taj mahal hotel treat we family friend rather guests.the service great staff friendly cheerful.staying like experience royal treatment .the food awesome.u take benefit follow amentie - massage centre , internet access , fitness centre , bar , gym .... & amp ; many more.u easily access popular attraction & amp ; sight locate nearby 
 Nov 17 2009 	 impeccable yet friendly service 	 arrive room ready , give another room rest . white - gloved gentleman bring we tea fresh fruit . room service elegant prompt . concierge ever helpful . time limit , arrange car driver half day couple hour notice . bellman help repack last minute purchase . , elegant yet warm hotel . worth every penny . 
 Nov 16 2009 	 Great Place Celebration 	 arrange office Party hotel Taj , New delhi . enjoy much . good hotel . feel great moment . per sonal thing begin place . find new love .... 
 Nov 15 2009 	 Awesome expreience Taj 	 celebrate wedding awesome expreience TAJ also spend 1 st night taj seriously quality time spend taj can not forget life ... thank taj make day memorable day life . 
 Nov 14 2009 	 Fantastic hotel 	 fantastic hotel ooze decadence . stay Taj hotel elsewhere India similar experience one top lot . the resturant vary wonderful . my young child well look catered . greate freshly squeeze juice room , arrive . belgian chocolate luxurie . 
 Nov 12 2009 	 Ignore exterior - fine hotel 	 arrive 4 am 13 hour drive due cancel flight . quickly & amp ; efficiently check extremely well train & amp ; friendly staff . room lovely & amp ; luxurious . include breakfast excellent . swim pool large enough sensible use & amp ; hotel every amenity one might expect genuine 5 star hotel . bar expensive good . indian restaurant hotel serve pretentious nouvelle cuisine type food amusing , expensive . 
 Nov 1 2009 	 amazing experience 	 wife stay Taj Mahal Hotel 27th 28th Nov. reach airport around 4 morning . airport pickup car already ride hotel smooth . immediately upon arrival hotel greet receptionist outside . luggage take bell boy security screening tell bring straight room . Sunita show we room . – room check one smooth check ever . room nice comfortable bed brilliant city view- overlook India Gate . flat screen 42 inch tv keep we entertain whenever need . part Taj club lounge access treat complimentary tea / coffee , soft drink day . certain time day free sandwich savorie etc evening selection cocktail ( complimentary ) . remember Taj Club lounge 8th floor . something ' tell we check . room include taj club lounge make sure ask check . hotel ' lobby impressive nice décor . swimming pool huge attend time cleaning staff . hotel staff friendly . security guard manager people show genuine interest we . breakfast good well include wide variety choice indian continental fruit yogurt . overall must say get money ' worth stay Taj Mahal Hotel . negative thing point charge use Wi - Fi , believe free guest stay hotel . would recommend Hotel anyone love luxury afraid spend little extra get . definitely 5 * * * * * experience . ps : thank staff introduce India wife . 
 Oct 28 2009 	 good ..... 	 3 night Taj start point India . it great . room lovely ( club level ) clean . room service twice day fresh fruit nibble always replenish . the staff friendly helpful . pool refreshing long day sightseeing ! concierge organise driver day take we sightseeing . inexpensive , great way get around ( $ 30AUD 4 hour ) .fantastic ! 
