loved 	 reach hotel stay 3 night stay good receive good service . 
 Nov 18 2009 	 well expect 	 avail 5 star hotel need room . bit skeptical read online review . really hate old room . however experience turn much well , maybe get room club floor , room new modern . take peak floor , look much date . 
 Nov 16 2009 	 Luxury view 	 exquisite experience comfort excellent food . memorable trip . 
 Nov 11 2009 	 despite musty smell Taj Palace delight 	 recently stay 3 night Taj Palace . welcome receive extraordinary , soon learn exceptional level service consistent throughout hotel . stay Club floor , outstanding . every time return room , find fresh towel ice ice bucket . room gadget handy internet service fast indian hotel ' ve stay . negative musty smell , hey , India get use pretty quickly . & quot ; one free outfit press per day & quot ; convenient touch . restaurant great , gym well - equip open 24/7 , Club Lounge 7th floor great place relax , read drink snack . inexpensive , Club floor Taj new & quot ; spot & quot ; Delhi . 
 Nov 7 2009 	 bad hotel new delhi india 	 always stay taj mahal trip place stay taj palace worst stay bad people lier 's do not keep word phone booking rate 400 $ night club room really something bad bad ever go never recommend one ever read do not ever go really bad place india 4 star hotel well taj palace.i hate india stay fight last day every day.guy do not even think stay advice .. 
 Oct 18 2009 	 good still scope improvement 	 stay office mate International conference hold hotel . location quite near airport opposite Delhi Ridge , small forest within city . room quite large good view city window . furniture upholstery average look bit old outdate , go washroom . food excellent view good thing place food . staff different 5 star hotel , always smile ready help . overall would recommend one . 
 Oct 18 2009 	 different big chain hotel 	 spend 3 night October . conference hold hotel choose attendant . enter kind hotel get feel place . lobby , room do not personality , fitness club pool big , small , .... big difference . look service . in particular case & quot ; normal & quot ; room 4th floor quite old show . bathroom old decor general look outdated although place LCD & quot ; modern & quot ; thing . clean room , also comfort . the difference see personnel . incredibly kind , always natural smile face , always try help , positive attitude don´t see always ( frequent traveller agree ) hotel . the price quite expensive pay pocket . pool quite big nice garden ground floor . restaruant : Breakfast good buffet usual , dinner avoid restaurant . food definetely good . indian restaurant ( opinion ) expensive side food great . dinner twice , fortunately spicy . miss opportunity dine new vietnamese restaurant since full every single night . fitness club , ok . have safe trip ! 
 Oct 6 2009 	 Love atmosphere 	 hotel good staff good atmosphere . 
 Aug 17 2009 	 Hotel still 80 's staff make difference 	 Taj palace hotel & quot ; Earth room & quot ; bad , do not mini fridge , although mini bar without soda , softdrinks ice . extra bed look much like hospital bed . hotel still 80 's aminitie concerned . way swimming pool insect water . food great restaurant , need mention cuisine name menu card Kafe Fontana . if atall make Taj memorable experience wonderful well train staff . 
 Jul 8 2009 	 Luxurious 	 stay one club room Taj Palace 2007 . 3 night relax return home tire tour around Rajasthan . wonderful greeting staff arrival quick booking escort room . staff always courteous helpful . our room lovely view pool area generally quite spacious open view bathroom ( optional screen form electric blind ) - modern quite impressive . we comfortable luxurious stay complimentary Molton Brown product bathroom could quite happily remain hotel indefinitely . the hotel also equip lovely outdoor pool mini golf area . indoor fitness centre several wonderful restaurant . decor modern luxurious way remind exotic surrouding , although centrally locate short trip taxi ( rickshaw little thrill - seeking ! ) . although less enjoyable , probably advisable get transport arrange hotel ( safe cheap - local assume money burn stay prepared & quot ; rip - off & quot ; ) .The hotel otherwise - definitely worth special occasion . club room stay certainly worth money although ' m sure whether room would match well . 
 Jul 7 2009 	 10 year Honey Moon 	 Great Hotel , Great People , Great Service . one Best ever stay . beautiful hotel nice place Delhi . 
