great 	 great place great loc 5 star . 
 Hidden Gem New Delhi 	 stay hotel last night India . 13 km away Connaught Place metro station nearby , know booking choose get away hustle bustle Delhi final night . autorickshaw Connaught Place cost r 80 ( though will go pre - pay booth driver try charge least r 150 ) . hotel organise taxi / airport much expensive get pre - pay car ( r 250 - 350 ) depend terminal . the hotel nice . great rooftop area eat drink ( staff go get beer r 75 ) view Lotus Temple . breakfast buffet style lobby . room spacious modern proper king - sized bed , feather duvet , flat screen television , large bathroom . fault slight smell sewerage , come outside . would definitely recommend hotel want get away hustle bustle Delhi quiet , relax night somewhere . sightseeing day head back oasis . 
 lovely helpful staff ! 	 stay Amber total 5 night love . people service orient help we ease life Delhi . Delhi bustle city hotel oasis . check roofgarden you re . 
 place stay Delhi 	 find Amber tripadvisor , look nice quite place Delhi spend last four day India travel three week Rajasthan . the Amber locate silent neighbourhood hotspot easy reach within 20 minute . hotel really beautiful , wonderful mixture western indian style . bed comfortable rainshower amazing . really hot water , heat solar energy . also ayurvedic beauty product great ! good Amber really friendly helpful staff , make everything possible . want daytrip Agra try everything arrange trainticket next day . since not work organize we driver guide Taj Mahal wonderful trip . and last definitely least : food really amazing ! ! vegetable shahi korma four time , like much cook always make little bit different , will not become boring . dish delicious well . would love take cook home ; - ) whenever come Delhi stay Amber . definitely one league big name Delhi , way friendly reasonable price . 
 much hype place ? 	 place not measure rave review seem get . far airport . interior room fine , window small make feel like sleep basement . service , quality amenity not quite make grade ' great ' hotel . 
 Quiet Oasis Delhi 	 Amber one kind Delhi . Quiet , contemporary , comfortable , clean . excel area . mukesh manager staff friendly make feel right home . hotel anywhere actually sit lobby engage conversation . room decor modern bathroom spacious up - to - date amenity expect . food good nice rooftop garden great view Lotus Temple sunset . stay two different room front back end trip Kathmandu visit equally impressive . staff flexible accommodate 3 4 o'clock early morning wakeup airport . location residential neighborhood pro con -- great respite constant honk horn Delhi 's traffic , also hard driver find . price reasonable compared & quot ; big name & quot ; hotel Delhi get equal well service . would definitely stay . 
 Nov 25 2009 	 warm welcome refuge city ... beautifully appoint hotel 	 amber absolutely beautiful place we stay upon arrival Delhi . hotel exceptionally clean well appoint . bed firm bedding tasteful , furniture room . ( note : shower fantastic ! great water pressure . ) Mukesh , general manager , staff could welcome . make we feel right home ... even arrive midnight ! would highly recommend hotel anyone travel Delhi . negative could not stay long ! 
 Nov 10 2009 	 Amazing Customer Service ! ! ! 	 stay Amber 3 night , wish would stay much long . hotel immaculate , modern well appoint , anything , customer service incredible . forgot hair brush staff actually went buy one 11 pm night . two morning , also leave 5:30am able accomodate breakfast even send along indian specialty later day . owner manager good highly responsive request might . downside lack hot water 2 day , come find hot water India rare even stay good hotel . , love hotel would highly recommend anyone . 
 Nov 3 2009 	 Saris Parties Boss 	 spending week deep sub - incontinent living village , traipse farm battle 6 - inch cobra , need quiet hassle free place stay Delhi catch friend , review footage documentary ' m make , chill . indian hospitality guest king . seem Amber 's motto . I arrive Delhi via domestic terminal ... Amber offer transfer International terminal . suggest good way take advantage pre - pay taxi rank ( approx 230 rupee Sukhdev Vihar compare 1000 hotel arrange ) . room clean , window not open . roof terrace nice gym . food good ... tho rather expensive India / Delhi be 60 rupee chicken biryani schtick . now ... service . acquire sari fabric shoot . casually ask people desk could get top petticoat . take tailor local market get measure , collect gear give adhoc sari wrapping lesson . lunch boss wander introduce . conversation 's end , guest one friend ' pre - wedding party . everything could ' ve possibly want catered . issue taxi driver tuk tuk man know place . would suggest little map print call card help guest out . the boss say 's hotel like Metropolitan . term size facility , can not compare . excel service . room well - appoint , rain shower amazing . one hotel Delhi environmental commitment solar energy reuse rainwater . stay many hotel around world ... mostly boutique one ... Amber , far , good . afford not really want impersonal service get big chain , come . stay . 
 Oct 30 2009 	 excellent clean hotel quiet location rooftop terrace great staff 	 second stay Delhi within fortnight comparison Old Delhi first stay Amber breath fresh air ( literally ) ! . hotel situate quiet location mostly residential , really area lot amenity doorstep , thousand autorickshaw Delhi problem . hotel immaculately clean , white marble 3 floor fantastic roof top terrace grass rattan furniture , make ideal place relax evening meal view across city . the staff excellent . receive exceptionally warm welcome arrive helpful throughout stay . even allow late checkout fit around flight time meaning could get last day India . restaurant situate ground floor near lobby , relax space however take meal roof would certainly recommend . menu varied Indian , chinese western food . food good quality , good sized portion reasonably price . complimentary breakfast adequate ( admit get early benefit much perhaps could ) . wait staff excellent . particularly nice hotel staff happy engage conservation , something find forthcoming large hotel India , give much personal feel place . the room clean , nicely decorate bed extremely comfortable . whilst room window frosted glass , expect get view , get natural light , roof terrace make . bathroom good , nice large walk shower marble . certainly clean . I would certainly recommend hotel anyone want quieter clean location city . 
 Oct 27 2009 	 experience beyond expectation 	 Amber locate east side Delhi quiet neighborhood depict normal day day life India large window room . medium rate boutique hotel room standard high end european american hotel . room clean interior tastefully do furniture item select think theme mind . bathroom exceptionally good . room carry state art equipment . must comment specifically food Amber kitchen . well location recommend eat one week stay Delhi . try location always end come back Amber taste item menu . staff friendly helpful . feel home Amber - special home room service : - ) would recommend anyone would definitely return . 
 Oct 19 2009 	 wonderful experience 	 recently spend 10 day Amber hotel find pleasant surprise . travel India last 14 year stay many hotel Delhi find Amber good . room large , clean elegant . bathroom high standard , wonderful shower refresh self end busy day . stay room 301 find view delightful array colourful saris wander road early morning evening . staff Amber wonderful , warm helpful . always pleasure arrive breakfast friendly smile efficient service . food amazing , boutique hotel cook meal scratch get food pre prepare . sit roof top eat delicious food nice touch diwali firework go around we . location good we . get us chaos busy Delhi street . close great restaurant feel like go evening meal . close Nehru place South Extension shopping . would recommend clear instruction get hotel tell taxi driver . know hard find . ask staff reception write . hotel great Wi - Fi service never fail . little touch India would go astray . staff dress western formal liking , negative thing think say hotel . look forward stay near future . 
 Oct 14 2009 	 Home home 	 stay Amber time , would 4th stay . far good value 5 star hotel Delhi . staff friendly helpful always remember return . room service greatly improve good anny hotel much wide menu . good new addition sun terrace great place chill . stay next year ! 
 Oct 5 2009 	 stylish comfortable Delhi 	 room excellent - modern well appoint . great bathroom . service immaculate friendly . also relatively quiet location - welcome Delhi . obviously way heritage hotel , anyone new India want comfortable welcoming start trip , great stay . 
 Sep 14 2009 	 STAYED AMBER 	 stay Amber Hotel trip Delhi hotel really really good . people work remember warm ever . hotel extremely clean would reccommend traveller look 5 star accomadation affordable price . food , service accomadation top notch . check website accurate description . stay Amber thank later . 
 Sep 9 2009 	 Refreshing new take business hotel . 	 stay Amber 20 August 2009 26th . arrive 2:30 Delhi airport yet driver Amber await arrival . multiple hotel staff enthusiastically greet despite late time . room immaculate comfortable . particularly like bathroom , huge stylish ( massive rainfall shower head , bowl sink , liberal use marble ) . bed comfortable room quiet ( hotel locate one Delhi 's manic road , quieter neighborhood around corner chaos ) . think room service staff overly generous staff helpful help plan time Delhi . use helpful laundry service , quick turnover . would stay highly recommend place . hide gem great value ! 
