contemporary 	 husband spend three night Andaz redemption Hyatt Gold Passport point , happy stay . offer coffee tea upon arrival . reservation order ( request early check - in book room ) non - traditional check - in process relatively seamless quick . early early check - in request , give we option wait room - with - a - view request ready take similar room ready internally - face - take ready , internally - face room . we enjoy sleek style lobby , traditional styling internal area hotel 1901 restaurant . decor room also sleek contemporary , bit dark taste window look internally hotel & quot ; courtyard & quot ; atrium ( know ahead time ) .The room clean , bed comfortable . bath okay ; shower 's water temp would fluctuate quite frequently seem lose heat shower progress . also , regular outlet bathroom except face shaver - provide hairdryer hideaway mirror vanity desk , would prefer option dry hair bathroom ; husband shave head electric head shaver bedroom instead bath . hear , little neighbor wall room ; noise hear hallway - door closing , clink glass / bottle housekeeping cart , etc . not overwhelming bother . compare hotel ' ve stay U.S. , turndown service pretty late evening - close 9pm . we not use workout facility , take tour impressed . gym relatively spacious , cardio equipment weight . steam room also , addition treatment room associate spa . the staff interact friendly helpful , provide information food attraction local area area London . we find hotel conveniently locate , right next Liverpool tube station short walk Spitalfields Market , St Paul 's Cathedral , London Bridge , etc . not fully realize area right around hotel mostly business - orient , shop eatery open later evening weekend . doubly - surprised hear Andaz 's restaurant also close weekend ( sushi place Catch ) . George pub open weekend , enjoy pint ambiance . Friday evening , late night dessert coffee / tea Andaz 's Eastway - sticky toffee pudding banana dish fantastic . we would definitely stay Andaz next trip London . 
 elegant hotel helpful staff . lay back feel . 	 spend 1 night andaz thoroughly enjoy stay . moment walk feel special , relaxed speedy personnal check process . room well appoint add bonus free minibar consist water , juice snack welcome surprise . bed comfortable room clean tidy . would recommend hotel perfect stay london 
 Nov 22 2009 	 Hip stylish friendly food drink quite expensive 	 thing say hotel . stylish , hip , cool also friendly atmosphere . staff really super care friendly - everyone clean meet elevator check staff . love check , informal efficient . travel 3 year old daughter staff call name stay . one small crib could get breakfast buffet room Sat morn 9.40am - would wait 30 40min . disappointing go La carte breakfast room service great , think cost food outrageous . London ! , great hotel close major train / tube station . absolutely perfect anyone need City East end London . 
 Nov 11 2009 	 Spectacular service ambiance style attention customer 	 impress everything , innovative ( early ) check choice eatery , price range , personalization . can not cite one staff member every Andaz staff member outstanding . feel like stay George expensive hotel -- yet , save money ! decor , free juice bar chocolate cover hazelnut , access net special touch . Andaz well hotel price range . shall return ! 
 Nov 10 2009 	 would stay location great service super . 	 book hotel internet Hyatt member senior get great rate . choose hotel proximity Liverpool St. Station . check experience smooth staff welcome . room little small clean well equip . obvious old hotel extensively renovate . hotel layout interesting open lift run atrium . however room quiet bed comfortable . we use hotel base sightseeing London . convenient location . take walk & quot ; City & quot ; Thames Tower London . station make trip easy , include catch train crusie ship terminal Harwich . throughout stay , staff unfailingly pleasant . check go smoothly check - in . 
 Nov 10 2009 	 clean austere place 	 hotel locate near company 's London office convenient Liverpool Street Station - take Underground Heathrow Express easily Heathrow . check nice employee laptop come right welcome . know London expect small room . room small , bed fine - lumpy . everything clean . room depressingly austere though . strike grey lifeless . nothing warm welcoming . become clean cell want sleep . gym fine equipment good shape available . information hotel service easy locate - could not even seem get tv work properly . business travel fine , not give much respite cheer busy day . 
 Nov 6 2009 	 excellent value quality 	 spend enjoyable weekend London stay Andaz . room wonderful , food Catch restaurant exquisite staff amazing . wonderful time , lovely place stay . 
 Nov 5 2009 	 overprice business hotel central location 	 stay Andaz Apex full . get nice upgrade room . Good Hyatt status recognition . relatively expensive value . unconventional check - in / out quick . fantastic location . 
 Nov 1 2009 	 tremendous 	 tremendous hotel , everything exude professionalism . provide everything one would expect hotel class . 
 Oct 31 2009 	 fresh convenient 	 Andaz design - orient hotel within Liverpool Street Station , conveniently locate yet quiet . room simple classy . comfortable , good window aircon , nice colour scheme , good shower - one need weekend town . loose cable , altogether room pleasure stay . hotel appear quite anonymous , despite much - laud personalised check - in , lobby rather dark forbid , leave guest idea pleasant communal area behind grey slate concrete . sure achieve refit , much preferred old COnran outfit pure design , comfort convenience look . 
 Oct 24 2009 	 stylish hotel 	 great hotel , spacious room lovely decor . free mini bar room juice snack come handy . staff friendly helpful . location ideal lot near spitafield find lovely dinner hoxton 5 min walk away . facility excellent , steam room comfy bathrobe . couple negative , duvet small , comparison size bed , long enough ! ' m sure mobile check work , busy check concept que go window ! enjoyable stay nevetheless , would definately recommend . 
 oct 22 2009 	 Standard expect Hyatt 	 great location , staff efficient friendly . make welcome , room excellent complimentary upgrade anniversary much appreciated . comfortable , hospitable luxury ! would recommend 
