great 	 stay Apex weekend November base review site . disappointed . stay King Deluxe room first floor room HUGE ! bathroom large bath walk shower . my gripe pillow terrible ! standard one feather would suggest order extra foam one comfortable night . the room quiet London could hear wind tree small square opposite window . within 3 minute walk Tower Hill tube station , take Embankment 5 minute walk Leicester Square etc . Ideal Tower London across road . not food hotel pub around block full english breakfast £ 3.99 ok we . also pizza place , noodle bar various eatery within 5 minute walk . would also suggest walk Tower Bridge walk towards London Bridger South Bank multitude place there . all fab weekend fab price . 
 Nov 24 2009 	 Excellent hotel pleasant stay ! ! 	 stay overnight Apex City London , weekend , , nice . room clean welcome everything would need overnight stay long . hotel modern spacious set quiet sidestreet easy walk distance tubestation . staff helpful nothing much trouble . lovely breakfast lot choice . definatly stay . 
 Nov 19 2009 	 great place stay business 	 stay two night near end long week work London . get hotel like come home . front desk staff could not friendly accomodating . room available right away . room clean , large UK standard , huge comfortable bed . lovely large bathroom modern seperate shower . two people could easily negotiate bathroom . complimentary water room nice . not dinner restaurant , beverage . bar open 1 , nice since place close 11 pm . close tube stop tower London . agree reviewer , not know 3 star property easily 4 opinion . challenge get taxi morning rush hour . side street , take quick walk tube station - little effort consider good thing . 
 Nov 9 2009 	 absolutely brilliant place stay business pleasure . 	 first , Apex City London live outstanding review Trip Advisor . arrive 24 hour flight Australia 7 am morning , literally 5 minute Tower Hill tube . staff make we welcome room available . bed fantastic , free WiiFi . toiletry great staff can not enough make stay pleasurable . use base explore London find Tower Hill quieter part town . gym excellent , well Hotel gym . there Pret manger nearby great quick bite lunch go . room spotless , like much upgrade deluxe room last 3 day . worth upgrade . would stay Apex City London return London . not look anywhere else place tourist business London . 
 Oct 29 2009 	 excellent choice City . 	 stay 3 night oct 2009 . great location Tower London , Tower Bridge , business City . lloyds office Leadenhall Market 4 minute walk plenty food choice nearby . staff helpful definitely opt buffet breakfast in - person service painfully slow , standard . taxi driver seem know find cab easy - be front 's one block away direction . Good Tube option Tower Hill block away , Monument , Bank close . thing aware location solidly City . be going run around London , beware . either plan take tube make transfer , spend lot time cab . zero traffic take 20 - 25 minute get Paddington , thick midday traffic full hour get back Paddington . decent bar thrive bar scene hour . overall relaxing . pay Superior King room amazed size room well bathroom . however beware - shower head tiny low pressure . 
 Oct 25 2009 	 Great London hotel quiet location near Tower London 	 stay Saturday night attend birthday party London although party near Hyde Park really please choose Apex . smart , modern service efficient . highly recommend . 
 Oct 25 2009 	 good base see London 	 give room upgrade 3 night stay September . room spacious well appoint bathroom . bed big comfortable , room quiet night . not spend much time hotel , locate near good pub meal short walk shop , tube station Tower London . book hotel base Trip Advisor say , disappointed . 
 Oct 23 2009 	 great location 	 well located , well price modern hotel . nice waiter serve breakfast professional service staff . 
 oct 22 2009 	 nice hotel ever stay 	 hotel fantastic position , close Tower London close several tube station . reception staff helpful map direction various suggestion make stay lovely hotel . the room outstanding several little touch really improve comfort , bed bed amazingly comfortable , breakfast truly world , never stay friendly luxurious hotel . 
 Oct 21 2009 	 nice ENOUGH 	 friend stay hotel September , basic room . modern , rather impersonal thought . breakfast lovely come take order breakfast menu - nice look someone rather buffet style change . lovely young man duty first morning go bit pear - shape second morning , ask couple time someone take order ask tea / coffee / toast etc , big deal . say shower hopeless . like hand - hold style would say well , dribble ! sure would go back honest , sure , not bowl . say , would recommend nice , modern hotel good offer time , think extended , worth check . 
 Oct 19 2009 	 Fantastic Value 	 recently weekend break London , use Apex base . what good choice make . standard room adequate , comfortable , clean , convenient friendly staff . long day sightsee local Wetherspoons convenient half way betenn Tube Hotel . nightcap . can not wait go again . Keith & amp ; Debbie , Manchester . 
