excellent 	 actually purchase room priceline sure expect price quite reasonable . arrive hotel pleasantly suprise . lovely hotel extremely helpful front desk staff . beautiful public space room comfortable free minibar wonderful hot shower . location perfect well heart Mayfair . Hotel highly recommend . 
 beyond expectation - perfect location amazing service . 	 fabulous place stay adult traveler family . stay 2 kid ( 8 6 ) - child 's concierge amazing ... bring movie , Wii , Monopoly , kid ' map , ... - give kid plenty activity content long day sightseeing . perfect location - across park , quick walk Buckingham Palace walk distance ( 10 min ) Westminster Abbey , Big Ben , London Eye , short walk tube station . staff attentive accommodate every request . would absolutely recommend hotel stay . hide gem ! 
 Fabulous Hotel 	 truly fabulous hotel , book hotel laterooms.com romantic break partner . arrive hotel staff polite friendly ( yes doorman ! : ) tell upgrade apartment nice bath , huge bed , living room kitchen . bed comfy partner trouble get morning . the nice late check mean could relax use sauna spa room well equip gymAs fleeting visit not time use bar restaurant look fabulous . I would recommend hotel without hesitation . centrally locate two min walk Greens park tube station hop skip Buckingham palace . see show evening 10 minute walk theatreland West End 2 tube stops.fabulous fabulous fabulous ! stay Athenaeum hotel want glorious time London . Georgina Hurcombe Documentary Producer 
 Nov 20 2009 	 Second home 	 hotel ! arrive , charming doorman give feel home ! extremely polite friendly ! check - in great , due early train , already able check - in 9 ! concierge amazing , make last minute reservation . spa practical well , especially long day London . always sad leave , know come back . ' ve stay Athenaeum , not go another hotel , addictive ! ! ! 
 Nov 17 2009 	 Afternoon tea- could much well ! 	 book afternoon tea 7 friend treat 28th birthday . meeting friend afternoon tea generally something special occasion various location around country / world . read review hear award teasat hotel expect high standard leave feel dissapointed . arrive time booking tell table not ready ! advise could sit wait pointed lounge area organise extra chair fit around small table . wait 20 minute table ready time nobody come ask we would like drink take coat anything wait ( great start ) .When table ready escourte nice table ambience , decor lighting area pleasant . we want serve glass Kir Royal ( somebody come take coat sit start drink ) show tea menu substantial selection tea . table lay blue cup plate yellow cup plate one thing note wating seem put particular fashion e.g . one person place set might yellow plate , blue cup sit next someone blue cup plate , bother would expect little attention detail establishment ( might expect get odd cup plate greasy spoon cafe ) . also oyster fork lay place set rather cake / dessert fork like friend place set . we serve sandwich substantial wait ( theme run throughout tea ) little shocked expect tea sandwich least someone take tea order ( bare mind everyone party want Kir Royal 20 minute wait table . ) waiter silver serve choose sandwich onto plate dainty finger sandwich crust remove ( filling specify menu website ) , feel disappointed specialty bread taste like run mill supermarket pre slice loafs filling thin could barely taste . finger sandwich also cut odd size second round sandwich seem little filling first ( good thing demonstrate lack quality control consistency . ) waiter take tea order round . after sandwich plate clear little wait tea finally arrive rather parch friend . waiter pour choose tea pot leave table . finish first cup wait realise nobody would come top we start pour cup pot quite large ( 2 people share tea ) pot silver handle red hot although little paper napkin leave teh handle adequate prevent get burn pot full therefore heavy girl group could pour tea safely honour additional help linen napkin . warm scone arrive next ( plain fruit ) clot crem home make Jams strawberry raspberry strawberry jam far runny like lumpy coulis jam . a pink cup cake bring candle birthday nice touch happy birthday also print chocolate plate pink candy cain , flower blackberrys . the dessert trolly bring around next able choose 2 cake happy birthday cup cake piece chocolate cake trolly however disappoint dry almost stale tasting actually hard swallow like mix cement mouth eat bite . ( friend impress cake either one fruit tartlet definatley look home make . ) tea finish teacake , crumpet butter knife clear scone ask could butter teacake crumpet ( time cold knife arrive ) must also mention dinning room chair also uncomfortable sit prolong period back pain end teasbee birthday reserve area nearby bar drink table ready extremley slow service phone ahead advise would make next booking later . ( envisage afternoon tea take 3 hour ) request bill arrive lounge seem empty staff 6:00pm end leave friend settle bill ( staff available pay . ) could dash next reservation . so summary disappointing experience service shabby never experience service manage manner different waiter / waitress carry different task course ( e.g . different waiter serve sandwich another tea another cake etc ) believe long delay course 1 waiter look throughout meal therefore monitor progress meet need . ' m accomplish cake maker could do much well job cake offer establishment . there much well afternoon tea venue include Park Lane hotel next door ! 
 Nov 15 2009 	 perfect choice stay LONDON 	 hotel compare 5 star hotel . ' unique boutique hotel get well every time stay . always look forward greet loyal doorman , Jim John reception staff , always greet smile . stay hotel many occasion past 3 year . think everything ensure enjoyable stay . child ' concierge additional luxury service , organize activity ; supply computer console board game . staff uniform also worth mention , complement staff ' feel order breakfast last night ' menu waiter ' shirt . location great street away Bond Street surround endless list restaurant . however lunch evening menu option great value traditional classic , cook modern edge serve fine china silverware . Breakfast Athenaeum great way start day , wide choice locally source healthy specialty . personal favorite mine Regents Park Honey . cook breakfast spot ! one thing spoil good breakfast ' miserable staff , something definitely find hotel . the bar cosy area enjoy drink kind surround people enjoy . time great choice top magazine newspaper available around public area . the room recently renovate soft light welcome tone , follow lead welcome luxurious bed luxurious linen perfect pillow . the rooftop suite overlook Green Park dream view London . free mini bar soft drink free Wifi ipod docking station . white marble bathroom suite televisions sumptuous bathroom product REN perfect choice pamper with . the hotel seem get busy busy every time stay , perfect choice London stay . 
 Nov 10 2009 	 friendly staff yet 	 refreshing greet genuine warmth friendly staff . cheery doorman cheery ( possible ) receptionist , welcome expect , rarely receive , 5 * hotel . room spotless good size . get room overlook green park delight . bathroom alsod size tastefully decorate marble . non alcoholic drink snack free minibar . non alcoholic drink snack free minibar . true , pick floor . what lovely , friendly top hotel , top location . handy bus tube super Mayfair/ St James 's shop . many hotel charge similar rate , couple nearby offer genuinely friendly , helpful staff . ace . 
 Nov 6 2009 	 maybe Favorite Hotel ever 	 absolutely love stay hotel . quiet luxury without uptightness sometimes happen . greet warmly , show fabulous apartment ( upgrade double room book ) treat kindly entire time . much appreciate , courteous staff , cleanliness , artistic special touch intimate alcove Whiskey Lounge tea room . even ammenitie wonderful- appreciate free internet business room . not time take advantage spa restaurant , next time ! fabulous stay say thank . 
 Nov 5 2009 	 Athenaeum Hotel 	 awesome place stay . right Picadilly London across park form Buckingham Palace . treat like royalty ! 
 Nov 5 2009 	 never forget weekend 	 spend wonderful night rooftop suite . bed like sleep downy air , fantastic view park , breakfast bed , intermingle sit balcony fluffy robe . 60th birthday wonderful surprise . could hardly sleep evening bubbly friend suite dance Dover St jazz bar . athenaeum staff absolutely charming . stand balcony look Big Ben Wheel , wonderful autumn colour park well . 60 give ! ! 
 Nov 4 2009 	 true ` ` home away home '' 	 stay Athenaeum apartment twice 2009 would recomend anyone stay day London . location great sighseee business apartment wonderfully fit . service staff excellent particulalry breakfast restaurant . always stay London 
 Nov 3 2009 	 PERFECTION 	 Atheneum Hotel PERFECT.It & quot ; home & quot ; 6 day , London last week October . customer service impeccable - doorman , bellman , front desk , chambermaid , concierge . everyone happy , friendly polite pretense . our room amaze - luxurious comfortable bed , linen , towel , robe , slipper . lighting , A / C & amp ; heat control right next bed . bathroom luxurious amenity one may desire . provide REN bath product , mend kit , shower cap , cotton bud , facial cotton . heat towel rack huge plus . stunning view Green Park , extremely lovely Autumn color changing.5 star free Wifi unlimited free supply beverage ( cola , water , coffee - Nespresso machine boot , tea , hot cocoa ) , snack nut , crisp chocolate bar . skip hop jump away Green Park underground & amp ; - grocery store . stroll away various high - end shop restaurant . the Atheneum sheer perfection , hide gem London . thank Atheneum staff management . 
 Nov 1 2009 	 not want leave 	 hotel perfect every way . staff hotel secret ingredient superb stay welcome , friendly , efficient , helpful professional . decor really interesting bit quirky artistic touch make smile . room comfortable heavenly bed pillow , light adjust bright , people like see well use , mute romantic touch . well equip free soft drink , snack , nespresso coffee ~ ( instant preferred ) slipper lovely warm bathrobe . good REN bath product include shampoo conditioner ( much well one variety ) big fluffy towel , powerful shower , good bath , change , free wifi . could well good night sleep lovley bed fresh cup good coffee paper morning , room keep beautifylly clean fresh wonderfully efficient chambermaid people seem genuinely interested good day / night wander back theatre greet & quot ; welcome Home & quot ; . hotel heaven . 
