simple 	 overall hotel provide exactly need - base 2 - day sighting see trip around London . location good since right near Earl 's Court Station allow we get everywhere want go . otherwise much near hotel . the room actually big anticipate . basic though . negative one woman desk not helpful question . would recommend basic sightseeing stay . 
 Nov 21 2009 	 good hotel GREAT value 	 spend almost 2 week hotel solo leisure / shopping trip , not many complaint ! 's incredible value pricey city other mention , 's access Earl 's Court tube station 's shine glory . area nice neighborhood feel many amenity within step hotel ( drugstore , grocer , post office , atms , pub , restaurant , convenience store , stationer , internet cafe , etc etc ! ) . room nothing special ... quite drab outdate , clean everything working order . small , plenty room move put belonging . oh , tea kettle boil water second lovely thing room . never see insect pest , never run hot water shower , whenever request anything staff , prompt polite . definitely late riser housekeeping staff always take & quot ; disturb & quot ; sign seriously ! also thank gentleman front desk morning checkout ... short 30 40 pence phone call make room , smile tell worry . thank ! minor complaint stay . main one creaky floorboard ! know not much hotel , goodness annoying ! could not walk anywhere room without headache . could hear everything go hallway like right next , inadvertently eavesdrop many conversation . although not London watch tv , couple channel available bit static . room always warm , even fan window open ( middle November ) , bed bit uncomfortable time ( small plastic circle embed mattress ... idea ) . also , hall never really tidy ... always pile towel toilet paper lay around housekeeping . never bother , see might look disorderly visitor . although think next trip London would try find accommodation self - service lodging ( kitchenette , fridge ) , save bit money dining ... would definitely stay Barkston Gardens give recommendation ! 
 Nov 19 2009 	 average hotel good location 	 stay hotel 2 night overall fair value money London . main benefit hotel couple minute walk Earl 's Court tube station , central not need spend hour get main place interest . breakfast also quite good - full english breakfast package , work well . however & quot ; restaurant & quot ; look tired remind old public canteen . nevertheless , quality variety food reasonable . Bedrooms hotel overall great . good thing : spacious room , clean . bad thing - everything look tired , bathroom - although shower work - look awful , old outdate ( still clean ) . Windows - forget double glaze . old dirty , can not open properly - need use folder stop shut . curtain use white , think long long time ago , grey . Floor ( carpet ) also quite bad every time walk , make terrible noise - especially noticeable night kid get up . I first think rating hotel 3 5 's location room rate . think , negative find . would really like stay hotel future - would rather move away city centre , choose bit expensive hotel area . 
 Nov 11 2009 	 Excellent value money 	 locate meter away Earls court tube , easily accessible public transport drop meter away . location excellent , could not well . even next busy road , night area quiet sleep well . room big compare level London hotel plenty room put baggage comfortable . Bathroom ensuite small , problem water not hot , could manage bath without problem . room hotel clean . breakfast nothing special accaptable fresh toast , another type bread , cereal , one type ham ans cheese , jam , ecc . also choose hot chocolate , tea coffee , first two , two not good . I definately recommend hotel since excellent value money , locate centre london easy transport facility second away . 
 Oct 28 2009 	 completely satisfied ! 	 hotel excellent want - real London atmosphere great section city , reasonable cost . room modest size - problem we know expect - charmingly furnish . bathroom modern clean . problem ! staff fine , although special request . someone want american - type room may happy , 's matter taste . 
 Oct 27 2009 	 surly arrogant condescend demeaning staff ! 	 idea customer service surly , arrogant , condescend demeaning staff simply adore Barkston Gardens Hotel . , suggest run way , fast ! 
 Oct 11 2009 	 construction 	 hotel construction . not disruptive , make walk hall unpleasant put new elevator . room okay spacious , bed soft comfortable , bathroom scary . say scary shower sing , tile poor , large gobs caulk everywhere fill gap . the location Excellent . Earl 's Court tube station , turn right , walk half block , turn leave ! 's Piccadilly line make convenient get airport , king cross/ St. Pancras train station not car . also plenty choice far restaurant , grocery store , bakerys , internet cafe , little shopping . atm locate accross street underground . breakfast nice buffet . tea toast plus whatever concoct cheese , roll , ham , cut fruit , cereal . 
 Oct 10 2009 	 good hotel many reason 	 return London stay fourth time Barkston Gardens . the hotel good position along Piccadilly Line , minute walk earl´s Court underground station . room good enough , luxurious . the floor make ( terrible ) noise sometimes there s hot water , bother much . international breakfast always contain basic drink food stuff . personal friendly . 
 oct 8 2009 	 great location ! 	 great location ! surprise close everything hotel . restaurant , drugstore , grocery store , shop close . tube literally 5 minute walk . great location overall . hotel old building , big room big bathroom . need update furniture . bed uncomfortable ! hotel staff nice courteous . great customer service . definitely stay . hopefully , would new bed . 
 Oct 6 2009 	 Excellent Location 	 return London - one week Barkston Hotel quite nice . functional , close travel , ( subway access Brit Rail ) , shopping , bank , boot drug store , food , bakery , etc . find hotel basic , & amp ; clean meet need . buffet breakfast well organize exceed expectation . front desk staff staff general prompt , professional responsive need . our room 6th floor - ask 6th floor room - floor & quot ; creaky & quot ; . room clean quite adequate - day spend time room night . say furnishing room bit & quot ; tired & quot ; - carpet bed clothing need update . window old - could open . find room warm ask another fan room - promptly deliver . lot hot water bathroom- clean modern . lovely huge bathtub . a new elevator instal , however , never bother noise - start work around 10 finish 5 pm . hotel basic close everything need day . would recommend also would stay . 
 Sep 30 2009 	 listen bad review - trust not bearable cheap hotel 	 seriously : may see bad review think , & quot ; be prissy , ' m real traveler - handle bit old in - need - of - renovation , ' m going sleep there . & quot ; favour . go onto Google : search & quot ; barkston gardens cockroach & quot ; , & quot ; barkston gardens lice & quot ; , & quot ; barkston gardens bedbugs & quot ; , & quot ; barkston gardens scabbies & quot ; , & quot ; barkston gardens rat & quot ; & quot ; barkston gardens pest & quot ; be even room ugly - not get wrong : ugly . price be pay , be unreasonable ugly . be par hostel , be pay 65 pound night single room . mine dead cockroach bathroom . & quot ; bed & quot ; actually two couch thing nail together . slant one side slowly dump bed . as location everyone tote convenient : Earls Court nice part town description . be close enough airport , honest , provide carry bag pay five quid cab , go Stratford Hotel Ibis . yeah be expensive : 's hotel dread come back . 
