smart 	 return long weekend London stay Place2Stay . first choice usual B & amp ; B fully book find someplace else . modern clean . well run comfortable room , excellent shower , efficient elevator . free WiFi room . downside , expensive usual B & amp ; b hotel serve breakfast room nicely equip kitchen nook complete tableware , complimentary tea coffee , kettle , microwave refrigerator . location bit far away Theatre district Oxford st./covent Garden / Soho , customary haunt , convenient Earls Court underground station . Buy Oyster card convenient bus tube travel . overprice London , would say hotel represent decent value would hesitate recommend adult without child . 
 Great Hotel Great Location 	 really enjoy stay . room little small , however still big enough , well appoint extremely clean . service require excellent . great location couple minute walk Earls Court Station . Earls Court Road quiet feel safe night . would stay back London . 
 stay . 	 beginning walk door , base2stay great . staff extremely friendly go way help . location hotel central 2 minute walk tube . taxi 's need . room clean comfortable . modest sized double room suit need tour day . would suggest look large room plan spend lot time chill room bed take majority floorspace , desk , lounge chair bathroom . however tour London , would perfect . the bathroom clean generous size compare many hotel . the staff assist we day tour available , offer assistance wherever could polite . pay £ 243 2 night worth . overall , hotel modern , comfortable , centrally locate staff great . would certainly stay strongly recommend other . 
 modern clean convenient affordable ! 	 pleasantly surprised base2stay Kensington . staff member helpful courteous . double room reasonably price , really small . not big deal since really need sleep , hang . modern decor charming old Kensington neighborhood . good closet space nice kitchenette mini - fridge hide behind closet door . receive 20 % coupon local restaurant front desk . hotel short walk Earl 's Court tube station able travel around London great ease . would definitely stay next visit London ! 
 Nov 26 2009 	 week London 	 absolutely love staying base2stay , room perfect - contemporary , clean loved mini - kitchen facility . location also ideal , rely entirely public transport , station literally around corner . staff really helpful , particularly Tony help everything train timetable advise we good place eat around town . clear great knowledge area . definitely stay next time come London . 
 Nov 23 2009 	 Loved recommend ! 	 four girlfriend weekend - getaway . spacious room four low level one king size bed sofabe . ideally would preferred four separate bed least two & quot ; proper & quot ; double , work fine . rpom clean , newly refurbish ( like whole hotel , new feel . ) subtle , modern lovely decor . beautiful bathroom practical kitchenette cooker cofffee , fridge cup ect . really practicle ! five - ten minute vibrant Gloucester street lovely place breakfast , us ideal ! breakfast , ten - fifteen min . walk Knightsbridge Harrods etc . hotel quiet feel safe 24h receptionservice . nice smile people behind desk : ) like lot def . recommend come back ! 
 Nov 23 2009 	 Met- even exceed expectation ! 	 first trip London . pleased impressed choice use base2stay . hotel close Earl 's Court Tube . quickly become expert use Tube excursion London . plenty fun restaurant pub within walk distance hotel . use recommendation discount coupon offer we wonderful staff hotel thoroughly enjoy every meal . also make use lovely & quot ; kitchen closet & quot ; breakfast snack . would recommend stroll nearby Marks Spencer purchase breakfast item . love variety interesting juice excellent instant porridge cup breakfast day . bed cozy , temperature control work well , shower heavenly big , fluffy towel . free internet access somewhat clumsy , able check e - mail . hotel live review read booking . size , comfort ammenitie room , proximity Tube , helpfulness staff make excellent choice lodging . glad find Base2stay . 
 Nov 23 2009 	 Great Hotel - lot thought go place . 	 hotel well situate Earls Court , less five minute Earls Court tube station , bar resturant . also far Natural History Museum , V & amp ; Museum , Earls Court Royal Albert Hall . a lot think go hotel first experience welcome smile friendly staff set tone . room well lay well appoint bed one comfortable hotel bed sleep in . the information provide room excellent order drink food comprehensive list supply . the hotel staff recommend resturant etc offer discount , breakfast recommend balen excellent plus % 15 off . great place end London good facility reasonable price London . stay . 
 Nov 22 2009 	 SMASHIN ! 	 spend 3 night base2stay great . location spot . 5 minute Earls Court tube station plenty bar / restaurant nearby . room great - bed really comfy , free internet tv , nicely decorate clean . staff really helpful recommendation place eat . hotel deal various restaurant area discount make good use - full english Balans , burger Gourmet Burger Kitchen superb pizza Strada could not well . some good pub area : Princess Margaret , Courtfield , Hansom cab , Prince Teck name few . word warn though - avoid king Head Hogarth place - barely change £ 20 4 vodka coke - rip off . booking next year . 
 Nov 21 2009 	 Modern Convenient 	 husband stay Base2Stay three night end October . room , although small , extremely well appoint - small kitchenette include sink , kettle , microwave mini - refrigerator , dish flatware two . bathroom clean modern bed one comfortable ' ve sleep hotel . hotel locate midway Earls Court Gloucester Road Tube Stations Kensington area London make convenient accessing area London . staff extremely friendly helpful . stay . 
 Nov 20 2009 	 Comfy plush clean modern hotel 	 really nice clean hotel , super staff , convenient location , easy get around , cool shower .......... pay room amenity : sleep bar restaurant ? ? ? 
 Nov 18 2009 	 Fabulous London Hotel ! 	 LOVED base2stay recommend friend . PERFECT location ( walk distance Earl 's Court Tube station - where may also catch train Heathrow ) joy see Central London hotel competitively price not tiny dump . various size room available . get pay want big room available . Base2stay fact gorgeous large welcome modern room great staff . Suffice say thoroughly enjoy five day hotel hope return 2010 . must give huge bouquet Mr. Potter , welcome hotel staff member ever encounter . refreshing see english staff hotel rather unpleasant rude eastern Europeans tend waste space rebuff guest many Earls Court area hotel . 
 Nov 18 2009 	 brilliant location great place stay ! 	 ok , single room small ... hey , not come London hang room really , big enough place sleep . clean , modern everything need . lovely street , close Earls Court Station airport line . couple pub close handy also reccomend Troubadour cafe nearby great feed bit history ! staff friendly polite free wi fi great keep touch friend family back home ! 
 Nov 16 2009 	 thoroughly enjoy stay ! 	 great value money , totally forget kitchenette- quite handy . 
 Nov 16 2009 	 Excellent ! 	 excellent hotel great location . we wonderful time London hotel one reason why . staff friendly , room cozy , comfortable , clean quiet . price also ok ( compare location expensive London ) Definitively recommend . 
