warning 	 reception staff polite , demoralised constant barrage unhappy customer complaint demand money back . the dining room seem know training , like start morning chaos . the location good local bus route underground , quite square . the reception area clean need date , however reception area confront heavily stain carpet poorly maintain state hotel . the room date poor state , broken furniture , door lock break well number thing , linen clean however general state room can not say feel home comfortable room . the bad dangerous fault opening draw bed dangle draw live electric , uninsulated real threat life . Cant say ever complain anything really ruin break stay , cheap hotel strike owner hotel take guest ride continue time get away , clearly do not care . they staff hotel people probably never day training obviously do not care either , think that s probably feel sorry ! ! ! ! 
 wait basil faulty appear 	 read review think can not bad ? stay hotel slate . boy wrong . book weekend away friend see show , book 3 double room , check , go room find twin room , go back recieption ask double , long time come back say hotel fully book could not move room ( manager speak finish 2.pm ) , hey let spoil weekend . back room go.then list started.musty smelly room towel , one room , open bed side cabinet live electrical wire tape together , breakfast joke dirty table ask waitress 4 time clear away dirty plate , even one else , full english breakfast six we order time come 1 time , wait 40 min last breakfast appear.when get egg bacon stone cold , knife fork , join que receiption complain.i ' ve stay much well hostel around world place.deffo stay here.had room 219 , 205 & amp ; 124.have take picture live wire forward H.S.E 
 Nov 21 2009 	 good location value / Wee room Old character 	 read mixed review contact somebody give favourable review , go info open mind . first impression ; good location , easily find follow tripadvisor direction lovely quiet area . Chap desk helpful ask twin bath , instead double shower small . basement lovely fresh recently refurbish . yes breakfast roll , butter jam . hot breakfast could purchase alll cheap . however get usually fruit , cheese , yoghurt Tesco 's Queensway Bayswater tube station . lovely greek deli . bayswater Inn , snack , lunch evening meal ( never super price ) bar open midnight unlike pub around shut 11pm . lovely warm might hot summer : probably need fan . super value London . base see show tourist stuff . 
 Nov 18 2009 	 simply somewhere reasonable get head night - little else 	 stay land Heathrow simply want somewhere cheap sleep break journey - read review expect anything special , inkeepe expectation , ok . nothing nothing less . pay £ 33 think really good value central London hotel breakfast ( fresh bread roll butter preserve , juice , coffee , tea , fill gap ) . feel youth hostel people stand outside smoking arrive general basic facility offer . tea coffee facility room bit let polystyrene cup sachet milk creamer really appreciate sort cost - cut thing enable keep cost customer criticize really . internet access foyer - small fee payable . shower basic old fashioned would stay position . overall hotel basic basic need - and 's necessarily bad thing opinion . 
 Nov 5 2009 	 nice 	 three daye .As matter fact , hotel fine respect low price ! ! 
 Nov 5 2009 	 excellent value pay for . not Hilton dump . 	 want cheap hotel stay close tube station ( bayswater ) 5 min walk frill hotel . stay 2 night staff friendly do not expect lot go . bed night breakfast follow morning . breakfast poor enough advise buy local Tesco . literature give photocopied ( hotel info , table menu ) sensitive thing place . room small tv tea coffee make facility . towel soap shower . bar open till 11 pm . 
 Nov 4 2009 	 Fair 	 Small Cozy hotel . close Public Transportation , affordable . Breakfast include good . clean , small size bed . 
 Oct 21 2009 	 Dump stay clear . 	 give room basement , way room damp smell terrible . on enter room smell previous occupant early meal still present , small room window look onto small courtyard . be give another room straight away . the next room top floor big state room good ( mould bathroom , hair bath , rotten window , bed uncomfortable ) need itch time unbearable . a word warn future visitor denture bite bacon quickly , future dentist bill considerable , pay swim anywhere , dive onto plate amount oil would suffice . please stay CLEAR HOTEL . 
 Oct 16 2009 	 DUMP 	 give room street level even MONK would find offensive , change room one night considerably well , hotel definitely 3 star perhaps star would appropiate . 
 Oct 14 2009 	 plus minus 	 excellent location . access two tube line , Circle District . access two tube station , Bayswater Queensway . nearby ethnic food , Whiteley 's Shopping Centre , three grocery -- Marks & amp ; Spencer , plus two Tesco 's , Boots Pharmacy , laundry pub . downside -- bring shampoo , none provide . breakfast continental , bread drink . buy fresh fruit / cheese grocery order egg / ham hotel . bring earplug dampen street noise . need internet , go internet cafe . 
 Oct 11 2009 	 not stay ! ! ! ! ! 	 oh goodness ! stay hotel , ' ve add photo support review . radiator hang wall , bath , mouldy dirty , window rot bed ... well ... not let terrible state place ! end leave have book ' recently refurbish 3 * hotel ' really ! 
 Sep 29 2009 	 good value location basic hotel 	 stay hotel Sunday night get fantastic rate £ 39 B & amp ; b . hotel 5 min walk station good neighbourhood , safe quiet bar restaurant around corner . staff pleasant enough , thelady Bar friendly , helpful efficient deserve special mention . public area clean functional . room small , normal London hotel unless pay suite 5 star hotel not go get lot square footage . need bring shampoo , shower gel etc hotel provide soap , bathroom clean maintenance issue . unfortunately mattress like trampoline , not get good night 's sleep . complaint . yes , breakfast basic fill gap roll coffee fresh . want large room fluffy towel , luxury bathroom amentite 5 star service , need pay . London see sight , not waste sit hotel room complain choice tv channel - sit one beautiful park , see fabulous historic sight , cocktail trendy bar , go free museum , take walk along Embankment . 
 Sep 28 2009 	 bayswater Inn ` ` '' 	 stay . bad hotel ever stay . room triple . carpet filthy . bathroom black mold around shower . bathroom we drip . mattress old , three sink middle . pile three duvet make even sleepable . pillow flat request . hotel staff rude , exception desk staff . & quot ; breakfast nazi & quot ; check breakfast card extremely nasty , make Seinfeld 's soup nazi seem like kitten . card , breakfast , room key good enough ... loss . breakfast consist cold hard roll , horrible coffee bad orange juice . & quot ; hot chocolate & quot ; weak chocolate water . three boringBT channel tv . 
 Sep 26 2009 	 wonderful location ! 	 although bayswater inn perfect , think generally get bad rap . first positive : location really great . 's residential neighborhood near two tube station several bus stop good ( gourmet , good ) restaurant nearby . also find staff congenial helpful . although hotel old room small , bathroom fixture appear near new sheet crisp white cotton -- persofnal favorite . ok , negative : hotel general & quot ; tired . & quot ; lobby furniture particular could use replace . like other , not like paper bathmat . computer lobby order half time , not count . continental breakfast plentiful always well stocked . however , pretty much white bread , although find happy make toast we -- , white , always come hot . always plenty good hot coffee , tea , hot chocolate , orange juice . small additional price could get egg , bacon , and/or sausage . egg come two , occasionally split order . breakfast would benefit addition whole grain , fruit yogurt , could not stand long , would go . not perfect , not really hang around lot . fine , although ' m sure whether would recommend friend -- depend friend . 
 Aug 30 2009 	 find another place ... pay little 	 bare bone .... dirty carpet ... tiny room ... one bbc tv channel ... poor reception .... wierd shower .... continental brkfst basketful hamburger / sub sandwich roll tong choose ( everyone use hand dig around make choice ) .... yuk . instant coffee oj . 
 Aug 4 2009 	 can not 3 * hotel 	 internet hotel look good also woman phone helpful answer question . location hotel good city trip . 's minute walk tube . book special offer rate bad London city hotel , price would expect . room ( two ) basement . dark friendly looking . bathroom urgently need refurbishing , seem can not get totally clean anymore . temperature shower seem connected force water come , shower without washing hair not possible warm water ment flood come showerhead . breakfast ridiculous . continental breakfast include . : breadroll , butter jam . nothing else . coffee hot chocolate good . disappoint first night not really want go back ... 
