great 	 stay hotel twice last month stay Shaftesbury hotel area year . spend business travel stay big top hotel outside London year little spoilt . find decent hotel decent price London hard work company hit right note fair mix cheap room ( London ) smart , fashionable , modern , clean room . hotel great location close Paddington Lancaster Gate tube handy bright light west end park . money relinquish think large spacious room , little tight side travel alone normally spend much time room problem . room modern , well kitte ( tea , coffee , complimentary biscuit , iron great business traveller ) . good television set clean stylish bed free broadband ( quick ) . service ok far bad reflect price ( book via Shaftesbury group website great price £ 75 deluxe double ) . breakfast fantastic money ( acid test England sausage bacon good usual ' frozen ' fair ) . number reviewer complain turning room ... check term condition book price guarantee room hotel book ferry another group hotel . 10 0.5 mile vacinity far alike . use hotel chain stay London ( someone use Hiltons Radissons world ) 
 WORSE HOTEL ever ! ! ! not stay ! 	 HORRIBLE HOTEL ever ! ! never ever stay hotel . book 2 room hotel early Nov 2009 , get confirmation . 15 hour plane , energy anything else ! get hotel first check - in , say room we ! worse thing happen US : - get STOLEN right inside reception area hotel : bag 700 usd cash , one laptop , one digital - camera inside bag . bag put beside 2 laddie group , 2 man deal check - in problem . the camera hotel record everything , not know reason could find ! ! report case police london.- final treatment get hotel send we hotel , still charge we first day hotel never chance stay ? ! 
 Nov 24 2009 	 great value money consistent standard 	 stay hotel regularly business . great value money give central london room consistent good standard throughout - ' ve stay lot different room hotel ! ! breakfast good . main complaint bit rabbit warren lift not serve room sometimes carry case stair hunting room . 
 Nov 21 2009 	 Book base price recomendation 	 stay 3 time , force work . one positive thing , small room well decorate , appoint . otherwise expect poor service check , poor service breakfast not good difficulty swinge cat room . if book hotel would single person onjy , base price . also fluent polish indian able understand staff . 
 Nov 7 2009 	 warning stay hotel : bed bug book mix rude staff dark tiny room 	 hotel clean flashy reception area small bar decor . however beyond point hotel turn maze tiny corridor strange smell brown carpet , similar retirement home . door hold open fire extinguisher , hoover leave permanently corridor , tatty door frame , rip carpet . DEFINITELY 4 star . walk many stair get 3rd floor lift go low floor finally reach room suitcase tow realize give twin room instead double room . back return stair inform man behind desk politely clam manner mix up . only meet rude response . basically tell hotel popular lucky even room ( joke word ! ) . also say hotel try contact people happen number work ( sound believable ) finally agree give we twin room follow day . stay double room night TINY ! pretty much space double bed small afraid turn might knock friend ! ! also narrow corridor beside bathroom ( actually nice bathroom , tiny bent shower could get stuck ) . next day move new room luckily previously mention staff member people duty much accommodating . new room big still dark dingy apart bathroom mention . however ............ room bite BED BUGS . realize happen return home bite appear ( appear 9 day later ) . hoover whole room , mattress , bed frame , suitcase , furniture , wash dry everything high heat case critter return lucky not nightmare get rid . bite still heal itchy believe untop everything else happen . disgusting . hotel certainly deserve four star status . I not understand . four star hotel ireland pleasure stay : clean , luxurious , friendly staff . believe 4 star unless rating system completely different England ? stay 5 star get clean bed ? ? ? hotel many bad review get away ? ? ? ? 
 Oct 17 2009 	 comfy clean amazing breakfast 	 stay 5 day feel like newly renovate room find cozy clean . small kitchen facility complete microwave , Kettle & amp ; fridge , full sized iron & amp ; iron board . bed really really comfortable lovely white bedsheet . bathroom clean bath shower good size . even room internet access . problem give basement room slight ' basement smell ' leave window open night . give room away could not ask anything well price . the breakfast amazing . ham , cheese , pastry , yoghurt , fruit , cereal , bread , gorgeous English full english . good breakfast ever - totally delicious . overall perfect stay would definately stay 
 Oct 1 2009 	 pretty sure get bedbug bite ... good avoid would say 	 stay five day wife daughter . hotel room assign seem somewhat small ( initial problem rearrangement get room double twin bed desk clerk , do quickly enough ) , though seem clean enough . however , day follow return trip start itch realise ( confirm doctor ) probably get bedbug bite , guess hotel room : three separate occasion find blood sheet , think odd ( disgusting ) oversight ask change . however , realise probably bites body ... ugh ! must warn yet 100 % sure , though seem quite likely . the reception desk almost always full guest simplest request question take long time answer , staff particularly receptive accomodating . one particular incident drive pregnant wife bit nuts . need change room halfway stay tell & quot ; pass & quot ; front desk ( thought would technicality ) . ordeal take hour , far pleasant , speak three people ( two seem know quite ) . ask keep room , ask pay 1 1/2 amount pay three day ( finally knock price , still pay ) . wife also ask , rather politely , could move huge bouquet flower sit right next reception desk rather pungent smell , bother , tell would get use , & quot ; would pass & quot ; ... , unfortunate experience . their breakfast adequate . bug thing kill ... negative review , mistakenly look stay , confirm wholeheartedly . 
 Sep 28 2009 	 warn 	 hotel regularly overbook therefore ship people around London . would book Paddington end stay Edgeware ? recommend . staff sorry helpful - try elsewhere 
 Sep 27 2009 	 great one crowded 2 	 good Western Shaftesbury Paddington Court London 27 devonshire terrace . becareful least 3 good western shaftsbury hotel similar name area . seem kind combination two hotel chain . I room 211 . stay 4 night ( prepay online ) room overlook big mechanical thing . bright side nobody overlook we could keep curtain open . window open , good thing room small get really stuffy . AC take along time get room comfortable . seem go artic turn . order we move around night close suitcase stand . location hotel can not beat ! great access paddington , hyde park , etc , first night leave apple orange desk . clean staff somebody take apple . odd . good thing lock belonging suitcase day . one pillow feather . allergic . put wardrobe leave note ask clean staff please leave wardrobe make room . put back bed . next day put back closet disappear . hotel breakfast 11.95 prebooke 14.95 . want pay easily find several cafe 's around corner breakfast 5 pound . Paddington station great shop , cafe mad Bishop Bear great food . bathroom small perfectly form . nice product , ie : shower gel ginger . staff replace towel even hang . room clean do not nasty bug hear problem London . if plan spend alot time room not book hotel . base London great . the hotel appear recently renovate since picture seem vary much . place stayed look like picture take CBTBarcelona asioto . main bedroom portion room 10 ' x 10 ' . yes really small . we could rarely hear anyone else . footstep hall last day someone try use emergency exit 6 am set alarm . 
 Sep 25 2009 	 Items Stolen Room 	 jewellery steal room sightseeing . lovely holiday stay . , dissapointe last thing would expect precious personal item steal room . room extremely small sort worm shower . recommend , rather stay bus stop . 
 Sep 20 2009 	 good value Central London 	 stay one night follow Coldplay gig Wembley Stadium . pay £ 97.75 inc . full english breakfast two via Laterooms.com . excellent base Wembley Central London , Got upgrade suite across road hotel - room would ideal long stay also get kitchen facility ( e.g . sink , microwave fridge ) . double bed single , lovely new bathroom wide screen lcd tv . 7 - 8 min walk Paddington Station plenty place eat locally . would stay , especially Wembley around 25 min tube . 
 Sep 5 2009 	 Good Deal 	 last minute deal , cost 59 night single room book via London Nights . excellent , clean , tidy quiet location . bathroom pokey one night easy live . would recommend look comfy bed clean surrounding will not get much well price . 
