run 	 arrive 10 am understandably room not available check give card room number . leave luggage day . return , ask key give room 3rd floor . room couple minute ' phone rang . receptionist ask sure have ask correct room key . say different room would ring back . room tired bathroom smell damp . twin bed book double big deal receptionist call back happy suggestion move room give decide could not much bad . well . . . . . . double bed bathroom not smell damp old need urgent renovation . tap brass cover verdigris , ( perhaps feature ) shower head low duck wash hair . ' m tall 5 ft 2inches ! wardrobe door sure feature . look though wardrobe slide door . post site , hand wash baisin bedroom bathroom . fiddle around order get kettle work tv remote take work . order change channel press channel number plus tv button , odd . hairdrier nowhere near mirror least one . bed pillow comfortable duvet cover make Polyester / cotton mix old bit bobbly . ground floor window overlook small quadrangle full scaffolding scaffold plank top light come room morning . continental breakfast not bad spite people site say . 4 different cereal , roll , croissant , toast , preserve , ham , cheese , yoghurt plenty tea coffee well fruit juice . Sunday rain heavily bucket bar area catch rain come . plus side hotel great area 3 tube station close . plenty restaurant couple Tesco metro plus shop shopping centre high street store . Notting Hill 10 minute walk away Kensington Gardens close . time year London hotel expensive place usually stay £ 100 have pay early year suppose get pay . 
 bed bug hell 	 stay one night wake morning find bed bug crawl across duvet help tasty meal sleep . later day scratch trail bite mark along upper leg . make matter bad sleep ruin bathroom extractor fan would turn gargle radiator beside bed . avoid hotel 
 Nov 18 2009 	 good value ... room 5th 6th floor ( ask ! ) 	 really good value stay 5th 6th floor room confortable completely new ... infact use stair ( since elevator block 2 time stay ) see feel difference old building ( ground floor 4th ) new one ! ! ! suppose rejuvente infrastructureOn new room confort iron safe , spectacular bed 40 '' LCD ( estimate : - ) ) ... breakfast fine ... take English one charge extra 5pound ... location Great 5min take central line Piccadilly Circle Westiminster Tower Bridge 
 Oct 31 2009 	 never - good location 's 	 Hotel good location minute walk queensway - station 15min walk oxford - street . everything else big disappointment . room old tired awful bathroom without floor drain water everywhere . night could hear everything be happen room seem soundproof . breakfast poor cheese , ham croissant tea coffee . pay extra egg sausage . do not go pay 40e / night . 
 Oct 27 2009 	 bad breakfast ever 	 Bossy staff restaurant , sit please . approach three day . smile face . seated table bedsheet tablecloth ! ! egg , fruit plain yoghurt breakfast . possible hot chocolate teenager . definitely stay . 
 Oct 18 2009 	 good location watch bed bug ! ! ! ! 	 close 2 underground station - , wall thin hear sound ~ snore , etc . adjacent room ! bed bug alert - sister come home bed bug bite ! ! ! ! hope praying not get ! ! ! restaurant good place dinner . 
 Aug 21 2009 	 air - conditioning 	 stay club double partner birthday see blur hyde park . start wait til 2 pm enter room float 3 hrs . request pay 20 deposit room , pay cash say would we 2 breakfast bus airport . happy arrangement.the room gorgous really big spacious pretty . shower amazye really funky room : ) view scaffolting.it 32 degree weekend airconditione , instead get fan do not circulate much air ! go reception say room air conditioning , feel secure people do not complain . pay extra fancy room hot ! ! ! sleep bed ..... eventually get sleepwhen check do not give 20 cash , instead deduct bill credit card . hand cash arrive reassure il get back cash . question girl get supervisor cold , rude front desk person ever meet ! ! ! take 20 atm charge extra fee high exchange rate be not ireland . I d think twice stay . room beautiful . staff , view , heat , lack facility horrible . oh lift break stay ... climb 2 flight stair bag 32 degree great fun ! ! ! 
 Aug 12 2009 	 awful Stay dirty cramp hotel poor service 	 Grubby tiny room , poor service standard hygienge , crap breakfast , pay stay , adhrerance DDA 2005 provision Glad leave morning 
 Aug 5 2009 	 Convenient 	 Room small . convenient location - short walking distance Bayswater Queensway tube station , Hyde Park . breakfast basic 's extra charge cook breakfast . front staff helpful . 
 Jul 29 2009 	 Comfort affordable price 	 ' m student gap year America , visit Blakemore hotel , locate heart London , late June year . perfect place tourist like , since comfortable , even egegant way , staff attend request . room , need ; single bed tv traditional style bedroom . restaurant bar amazing , although prefer go club great extent , standard meet delicious breakfast serve early hour day . particularly delighted find available wifi , allow use itouch ease . stay Blakemore Bayswater allow abscond nightlife swiftly . 
 Jul 20 2009 	 Real Slim Shady ! ! ! ! ! ! ! ! ! 	 stay room 110 utterley appaling standard . would even allow pet cat stay ! ! ! ! . notice sort refurbishment take place . perhaps modernise room would start follow bathroom . regard , Flash Gordon : ) 
 Jul 20 2009 	 good location cheap dreadful service . 	 location hotel good – two minute walk Hyde Park tube . room clean , poorly design lay . service poor . wait 40 minute dinner one night . also charge anything . trouser press room , charge , arrange trouser press . also , hotel kind complicated arrangement another party provide telephone service . , complaint charge , tell nothing responsibility someone else . charge expensive service ( contact international operator ) one get call box free . close call box 3 block away . also , internet access 5gbp / hour . 
