crack 	 stay 2 night Chiswick Moran attend friend wed Kew Gardens soooo glad . crack hotel , central London would far expensive . book Room 425 lovely spacious room , albeit set disabled guest - although mean spacious . carpet lovely room modern well design . 400 m away Gunnersby Tube station ideal visit Kew Gardens half hour away Hampton Court - it ideal need . bar lively stay ( Fri Sat ) DJ playing give great atmosphere crack bar staff boot ! breakfast first morning ( severly hungover day 2 ! ) good 7/8 10 - its help style buffet bake bean : ( . lovely evening meal first night select set menu around £ 17 2 course good value food . 
 Nov 20 2009 	 great hotel would use . 	 stay one night family wedding not get use much way hotel facility . manage find good rate web . lovely modern , clean room less money would normally pay B & amp ; B . 
 Nov 20 2009 	 great hotel - poor Car Park 	 impressed quality hotel . room give huge , well equip well decorate . I disable difficulty get car . therefore annoyed find disabled driver parking bay occupy car , none display blue badge . bay free charge able bodied driver pay £ 10 night parking . mean park car hotel 's underground car park . cramp small bay , quite close together , make parking get car difficult . 
 Nov 12 2009 	 nice reasonably price clean hotel close Kew Gardens Gunnersbury underground . 	 nice reasonably price , clean hotel close Kew Gardens Gunnersbury underground . stay hotel long weekend break recommendation friend . room stay quite large large bathroom look though recently refurbish . restaurant nice good selection food average price area . would recommend stay . 
 Nov 11 2009 	 Weekend Break London sorry mean Chiswick 	 choose hotel previous review . let get basic detail hotel way . nice large room London , clean modern good facility . service , oh dear , rubbish , particularly breakfast time , half hour wait inedible food . complain guess get time wash staff management . location , let hotel London break , sunday take we nearly 2 hour get king Cross , ok certain tube run , be not hotel fault , location impact greatly travel time . stay Chiswick sunday night , find great pub call Pilot way , monday venture London see Oliver , take 50 min way . summarise would avoid hotel London break like amongst buzz . 
 Oct 19 2009 	 great hotel modern lay back good location . 	 stay 5 night . Chiswick lovely area , good transport link . room clean , modern comfortable . one two point would improve though . shaver point bathroom . mirror bedroom electric socket near , shaving morning faff . move teatray balance small mirror vase ! rack place suitcase would handy . limited shelving bathroom . iron board wardrobe big place diagonally inside , leave little room clothe hang . room look lovely , minor issue would improve practicality . food well cook good quality . although breakfast often chaotic , service good natured lay back . dinner hotel one night excellent . 
 Oct 13 2009 	 stylish convenience lack service 	 outside hotel look smart enter get LA feel mention website . however experience deteriorate make contact staff . I arrive early check tell wait around room become available guest start check . sit lobby catch paperwork hour seek update situation . staff member ( seem forget ) advise room would ready 15 minute . half hour go back front desk - original staff member go lunch break forget - finally check in . the room stylish certainly meet chic boutique expectation funky light fitting furry carpet . bathroom spacious bath good size . shower large tiled floor limescale deposit area . bed hard duvet comfortable tea / coffee facility good finish nice shiny chrome effect . the breakfast dissapointing ; staff weary barely manage say hello , croissant small lack flavour . overall , hotel excellent location ( 2 min tube station ) room comfortable staff seem poorly train . 
 Sep 21 2009 	 Excellent Hotel - especially London 	 ' ve stay Chiswick area have never find decent hotel ... last trip find Moran . room nice spacious , staff friendly location rock . office Great Road near end M4 able walk office close . also , Gunnersbury tube station across road . I absolutely stay future . my non - idea comment would tv tiny channel limit ( be UK guess ) room shag pile carpet - look clean 's something shag pile carpet public ' barefoot ' area seem bit odd . food ok great - would say good enough . 
 Sep 13 2009 	 become favourite London hotel 	 Excellent location end M3 / M4 side town parking . close Gunnersbury tube easy access District Line tube town . hotel stylish- entrance lobby way room 711 top hotel . decorate grey , white splash yellow room kingsize comfy bed , separate chaise longue , flatscreen tv fantastic bathroom huge roll top bath separate walk shower . room facility girl need include mirror everywhere right place hairdryer , apply make get dressed . great bar area good ambience late night drink . plenty choice breakfast lovely restaurant setting . definitely use hotel stay London . 
 Sep 2 2009 	 good value london 	 nice large clean room facility would expect . continental beakfast although good could choice . road Gunnersbury Station , good transport central London . ov.erall good value 
 Aug 28 2009 	 hotel ideal every way nothing much trouble 	 recommend Chiswick Moran son disappoint . ideally locate family celebration Dukes Meadow Golf Club although arrive , join family friend , decide use hotel . agree high standard excellent value especially special rate find . all amenity high standard love retro feel decor . notable staff , nothing much trouble . friendly yet efficient air hotel really make we feel welcome . negative comment could find shaver socket bathroom recharge electric tooth brush . next time bring adapter main socket.in bedroom . fortunately stay two night toothbrush hold ! ! feel sure wonderful staff would supply solution need itthank . great time . 
 Aug 27 2009 	 Perfect hotel 	 husband extremely enjoyable stay Chiswick Moran Hotel West London . hotel staff extremely helpful friendly . bedroom comfortable spotlessly clean . food good dining room pleasant . the hotel North Circular Chiswick - easy find convenient public transport , tube bus . Gunnersbury Tube Station minute walk away . Chiswick road , lovely shop restaurant . the Chiswick Moran perfect base stay London . great weekend - sightseeing , shopping visit theatre return quiet comfortable calm hotel absolute bliss . never stay well hotel London 
 Aug 24 2009 	 top service Hotel 	 August 22 th . excellent service , high design level functionality . highly recommend . Jorge P . 
 Aug 18 2009 	 great stay top class hotel 	 wife stay Chiswick Moran Hotel Saturday Sunday night August 2009 . get tube Gunnersbury station locate 200 yard hotel . tube great thing tend alot maintenance work weekend lead disruption . room ready arrival 12 noon . bright air con great roasting weekend . dine bar find food good . find staff pleasant hotel spotless . go back . 
 Aug 17 2009 	 Loved - definitely back . Best Chiswick . 	 spend two night Chiswick Moran . get great deal online hotelsclick include continental breakfast wait " catch " , everything great . the hotel easy locate ' minute motorway arrive horrified sign tell we £ 20 per day parking . however , check tell ' pay would £ 10 per day , actually end parking free . we ' stay area know expect Chiswick . hotel locate opposite Gunnersbury tube station 5/10 minute walk centre high street . flat easy walk well lit night . Chiswick nice , safe , family orientate place plenty restaurant , bar pavement cafe . the hotel beautifully decorate well keep . boutique style room , enough space round bed , lovely big desk full room width window . whole place clean - tile bathroom incredibly shiny . speak bathroom , ' help love fitting décor " window style " nightlight stylish incredibly practical . one minor negative shower , ' powerful . oh , toilet not comfortable - look nice . the breakfast nice , fresh pastry , cook meat , cheese , cereal , juice . tempting . offer £ 5 upgrade cook breakfast ' feel need . some review comment road noise little worried realise room front ' notice . review comment customer service . always greet smile front desk breakfast staff ' enough help . make special effort welcome five - year - old , ' always happen . we feel incredibly home . impressed definitely return . 
 Aug 9 2009 	 Great Service food 	 Stayed Moran 2 night end July .service staff excellent . food restaurant good plentiful good selection buffet breakfast . stay accessible room well equip problem sink plug would fit well situate kew tube good taxi service bus link . only problem disco evening Friday Saturday bar music loud hard hear speak one two dancing . apart good value . good free disabled parking . 
 Aug 6 2009 	 Nice Room service interesting ! 	 bizaare hotel . arrival feel mid european star hotel . welcome front desk ok , unfortunately room not ready first arrive . leave luggage go afternoon . arrive back room still not ready could not find luggage ! eventually reach room , lovely . everything need modern contemporary style . cozy bed , big bath , modern shower nice magazine . like it . its worth staying room , want good service nice food , perhaps good . 
 Jul 28 2009 	 Absoultely Superb 	 choose Chiswick Moran hotel want cheap modern accommodation near centre London definitely return future trip London . know look hotel website picture room think pick good room show well every room look like picture , modern , lovely tv even speaker bathroom , adequate storage space wardrobe drawer seat area magazine bathroom also large walk shower large path service staff whilst superb . thing anything could improve provide cook hot food breakfast rather continental breakfast . 
