City 	 City Inn chain fairly new modern group Westminster City Inn London 's big new build hotel 30 year . I London delight find Westminster branch CIty Inn Westminster locate 5 minute walk Houses Parliament + Big Ben also within walking distance London Eye , Westminster Abbey many place eat . near tube station Pimlico 5 minute walk away . also Wesminster also nice area feel safe walk back night . the staff hotel super - nice well really efficient - make big difference . I find room easily big enough large bed really warm thank thick duvet - seem rare many hotel . big pillow also nice addition . as well also MAJOR plus point standard City Inn feature - iMac computer system every room ! ! - mean fully fledge internet system free use . brilliant handy check local attraction , check transport time , restaurant , map etc etc well ( want ) keep email , ebay , facebook etc away home - free room ! course also hook ipod system well . City Inn Westminster Pizza Express restaurant right next door use weather bad - take away want bring back room eat watch dvd like : ) pros : * great location - 5 minute walk near tube station + Houses Parliament ( tube access give London within easy reach ) * comfortable warm room * room computer imac system - great look information email etc ! * nice polite staff * not want venture far eat hotel restaurant Pizza Express restaurant next door . * Quiet - could not hear traffic outside all . con * choice continental full breakfast - go include continental though full breakfast look nice - quite pricey ( continental fine ) . * honestly think anything not like ! not sure stay London originally pay really cheap rate regret . stay City Inn hotel decide give London venue try really glad . comfortable convieniant stay friendly staff - certainly place top list next time visit . 
 ACCEPTABLE DEAL 	 hotel acceptable decent value get deal range 130 - 150 gbp per night ( per room ) . nothing more . pros : quiet , well equip ( internet , imac room , etc.but also dryer , iron board ) , general service acceptable ( expect anything stellar ) . guest service good . room clean ok , spotless ( trace hair bathroom ) . shower modern functional . con : bathroom small . mattress way way way soft ( bend one edge risk fall ground ) , 20 min queue sit breakfast table ( never see ) . 
 comfortable clean great value ! 	 stay City Inn Westminster one night long layover London . first trip city , not anything compare think City Inn great . check - in process quick , room ( 5th floor ) great . seem private party hotel restaurant , guest stay floor , bit worried would noisy . actually nice quiet , bed clean comfortable . my favorite thing hotel in - room iMac . use tv computer , able charge iPod . overall great stay , definitely recommend . Underground Circle Line not operate stay London , ' m really sure convenient hotel transportation . 10 minute walk Big Ben even short nearby cafe ( Pret Manger Starbucks- although not open 9 am Saturdays ! ) .I also highly recommend Heathrow Express Paddington Station . convenient , 15 minute cab ride Paddington City Inn . 
 Modern Chic ! 	 second trip London ( first Mother travel ) , must say pleasantly surprised . first trip London stay one Novotel chain hotel impress , not sure expect hotel , absolutely PERFECT need . start : check - efficient . day almost always 5 people front desk , make check in / out , use concierge , ask question , etc efficient . even night usually 3 people work . absolutely love . customer service top notch well . every time walk door receive smile someone front desk , usually someone ask day . Decor - 's state - modern . absolutely love . lobby fun relaxing . room stunning . bathroom bite small bath , fine need . be 2 girl get dolled everyday , plenty space . also believe mom call & quot ; shaving mirror & quot ; PERFECT put eye makeup . love . room also computer free internet access ! amazing , able keep contact daughter home . great way make away much easy handle ! downside would window face towards courtyard , could see lot people 's room , know could probably see mine unless make sure curtain COMPLETELY close . not really bother not room much anyways . 's LONDON goodness sake ! ; ] location - location hotel EXCELLENT . 's walk distance London Eye , Parliament , Westminster Abbey , many restaurant . be also little convenience type store 2 block awesome late night snack = ] be 5 min walk tube station , be nice neighborhood . never feel unsafe walk back night . restaurant - eat restaurant breakfast . review correct almost always queue get . wait 15 min get seat . manager however go line let check bag , coat , accessory , etc ... not want hold ate . pretty awesome , since luggage we . food average . opt breakfast buffet rather full english breakfast . get kind late bit pick , probably would well luck pay full english breakfast look delicious . this hotel bite expensive place stay London , afford , DEFINITELY pay extra go . stay basic room offer blow away , ' m sure . take advice , stay CITY INN WESTMINSTER ! ! ! 
 Nov 25 2009 	 pretty nice 	 pretty nice hotel good location . it´s near Westminster underground near museum store . 
 Nov 19 2009 	 well 5 star ! 	 without repeat numerous previous reviewer comment , great hotel . room everything could wish although & quot ; cosy & quot ; thoughtfully design provide home home experience . check in / out unproblematic polite concierge provide complimentary dvds quickly efficently . breakfast quality match standard & quot ; Esplendido & quot ; Majorca presentation attention detail second none . I never experience british hotel now . gym spotless quality equipment , water clean towel . city cafe pretty good . bar first floor great lighting ambience expensive . Nearest tube end John Islip street accross road .... distance . good way burn breakfast ! highly reccommended & gt ; 
 Nov 18 2009 	 modern clean fresh 	 Excellent hotel , good location good service . restaurant prepare good food breakfast great variety . 
 Nov 15 2009 	 Excellent 	 wonderful hotel great staff service second none 
 Nov 15 2009 	 generally good 	 good hotel london . close tokyo price good , tokyo , service standard service . London terribly expensive quality offer . hotel locate quieter street near Millbank Westminster good access public transport taxi . room adequate rather spacious cozy shower . good put group individual travel business . 
 Nov 9 2009 	 Nice Hotel 	 London weekend stay City Inn Westminster . we book Club room breakfast , would recommend additional facility late checkout , flight not Sunday afternoon . we think hotel lovely impressed staff . genuinely seem friendly go way talk say hello . the room nice , trendy iMac breakfat good . real queuing . simply show show table within minute two . good quality food nice surrounding . one gripe , second day , order breakfast , 20 minute later sign arrice cold . I would agree positive comment hotel . agree posotion great . think well position . anywhere London accessible long use Tube . all good hotel , would use recommend . 
 Nov 9 2009 	 pleasantly surprised 	 pay lot London significanlty less term overall hotel experience . staff professional curtious friendly throughout hotel . decor bright , modern appealing . room small clean well appoint bed comfortable . free internet excellent quality tv picture . there obviously lot focus attention detail hotel everything selection wine glass lounge , chill water clean towel fitness suite clear forethough planning . location excellent far enough hustle bustle get decent sleep . I definitely stay next visit London recommend friend . 
 Nov 8 2009 	 great great great 	 couple visit say place work ... reasonable price modern , clean accessible london room . book double room 20 minute notice £ 90 . Apple mac room always useful . bathroom frill , cleanService fault 
 Nov 8 2009 	 check sheet clean 	 first stay City Inn Westminster , previously stay City Inn Manchester 20 + time . check 2 pm Thursday 5th November pleased room ready , book club room large would hope , arrive hotel room like good look round check everything work ok occasion iMac ( tv computer ) working , attempt fix guest service move we another room discover iMac work bed bottom sheet appear change count three hair bed . go straight reception move we another room suite 13th floor , finally hour could rest long journey . breakfast follow morning around 9 am wait table full english breakfast arrive quickly sausage cook middle , point member staff replacement food offer . ( not bother Breakfast Saturday Sunday ) also dinner City Cafe Friday evening , starter main course , main choose Fish Chip 's fish tasty would expect four ( YES 4 ) chunky chip Al le carte lol , point Kemal Chetitah General Manager City Cafe , would also think cook small amount chip would cooked case ! ! ! buy 25 kg sack potato £ 3 would think City Inn could stretch maybe decent amount ! ! ! positive side 13th floor suit nice room indeed excellent view Thames , hotel also close Westminster Abbey London Eye far enough away west end get decent night sleep . complaint original check member staff make we aware club package entitle we complementary drink bar ( via voucher ) give ask . normally big fan City Inn look positive review 's think get right time . 
 Nov 8 2009 	 Excellent Hotel Excellent Location 	 read good review book hotel - live all . the room spacious , light airy comfortable bed . love iMac room . watch tv / listen radio , handy access internet . perfect check visit follow day get place . also handy watch favourite programme iPlayer ! yes strictly come dancing fan mean not miss even though go Theatre Saturday night ! breakfast first class ; much selection . staff extremely friendly , polite helpful . meal restaurant Sunday night - first class . variety price suit pocket . we not use public transport much central nice walk place nearby , side Thames . Tate Britain handy - pop see wonderful sculpture display . on next visit London would definitely stay . four Star Hotel ? certainly seem like one , treat find London Four Star Hotel actually worthy four star ! 
