glorious 	 stay Claridge 's weekend November suite , tell recently ' refurbish ' . bedroom living room , although large central London , rather worn vintage curtain chip paint tired carpet - fine generally , £ 1,200 per night ! service standard good , probably amongst good town , lobby one glamorous . we , though , room big let - down . brown furniture , cheap picture old fashioned light . remind chic Connaught , albeit room fraction size . 
 Nov 10 2009 	 one experience 	 stay claridge like go another world ! certainly worth push boat one experience ! real sense history glamour . fabulous service . give mini tour hotel show room offer complimentary glass champagne . else see sofa lift ? 
 Nov 6 2009 	 GREAT stay 	 many 5 star Hotels especially europe say Claridges good hotel . room little old huge comfortable . room service food generally every place Hotel good . bar full every night day service include wireless internet , tv ... etc work perfectly well . location also good esepecially good shopper . 
 Nov 4 2009 	 Claridges not cut compare 5 * hotel 	 recently stay Claridges whilst friend mine stay another local 5 * hotel comparision feel rip ! basic thing would expect 5 * hotel day like decent tv , internet access , video access not work room , whilst friend enjoy amazing view Hyde Park fraction cost . I also problem charge £ 50 day parking not even car hotel able get refund for . this hotel 's day although service decor still amazing not cut modern day hotel . 
 Nov 2 2009 	 one good hotel world ! 	 large family travel London last year everything perfect Claridges . room beautiful , bathroom good hotel ever , service unparalleled , location wonderful concierge top top ! everyone attentive accomodate child ! 
 Oct 28 2009 	 Quite simply do . 	 say never judge hotel treat guest , rather treat guest . weekend far suit boot creature week , yet welcome receive Claridges top drawer every respect . staff real sense humour genuine warmth . know deal people way something learn rote . real 5 star hotel . upstart . staff attentive truly professional . would guess many work many year judge pride quite clearly take place work . claridge firmly top list place stay recommend . particular stay be not without small hitch , manner deal true mark quality establishment .. 
 Oct 27 2009 	 Watch operate ... 	 partner take special treat . staff amazing , good London Hotel calibre . Gordon ' restaurant full Chaves Essex , similar . galvin ' Windows Hilton , Alain Ducasse Dorchester far superior . staff run around like rabbit give overall effect un - relaxed dinning , helpful . food nothing special . room service breakfast , great . bathroom fatastic . wardrobe hide ! huge problem pay hotel bill . partner present card arrival ; departure card accept . one week later many phone call later problem resolve . claridge blame card company , card company say claridge sit money . latter true , phone call hotel one week later money release back card . God know much interest make practice room / suite cheap . stay . 
 Oct 27 2009 	 outstanding 	 stay sit 24th oct 2nights can not praise hotel highly enougheven step door welcome doorman excellent.we treat like royalty every member staff.even lift attendantwe upgrade without even know itour room beautiful bathroom pure luxurythis real 5 star believe methanks clariage can not wait return 
 Oct 23 2009 	 simply well 5 * London 	 5th visit Claridges year . stay suite 412 . many hotel could learn much hotel . claridge truely set standard other attempt follow . expensive worth every penny ! 
 Oct 18 2009 	 one London 's fine 	 stay husband book deluxe room . check show pleased room . bedroom roomy seperate dressing room big bathroom . we book package include breakfast bottle champagne think size room prove excellent value . the service faultless hotel spotless lovely bar restaurant . if want luxurious 5 * hotel attentive staff , hesitate book Claridge's . go spoil . 
 Oct 15 2009 	 first class hotel staff 	 first trip London Claridge 's choice hotel . disappointed . Claridge 's one nice hotel ever visit . arrive chunnel Claridge 's send van meet we . driver right greet we help we luggage . upon arrive hotel welcome friendly staff show room tour hotel . room lovely cheerful ... yellow blue . would recommend drab art nouveau style one . we breakfast , high tea several dinner hotel . food good anywhere trip . waiter attentive friendly never feel rush leave table . my husband use spa say great .. fresh fruit available . the bathroom heat towel rack , Asprey toiletry housekeeping offer free bottle water every nite . tray fruit room night well . all , Claridge 's would expect five star hotel . can not wait go back . 
