Perfect 	 Quick walk Gloucester Rd earl court underground . shop also bus . make feel welcome special beginning end . one bedroom apartment sofa bed lounge . three girlfriend meet London 5 day . apartment spotlessly clean , kitchen well equip include washing machine . bed comfortable . shower water pressure good . staff excellent , extremely helpful , nothing much trouble . welcome bottle wine chocolate room . highly recommend accommodation . hated leave . fantastic location shopping , theatre cafe . even hear owl one night 
 Nov 23 2009 	 Great Area 	 wonderful apartmrent property great , central London location . short walk everything - tube , restraurant , cafe 's , grocery store , shopping ! staff accomodate helpful request , matter minor . apartment , roomy , lovely well maintain - happen onw balcony offer great view fabulous enjoy cup tea morning evening cocktail unwind busy day sightseeing . would highly reccomend property - especially great family people stay extended period .... 
 Nov 15 2009 	 really great - friendly helpful ; 	 lovely location , quiet . friendly upon arrival . unexpected upgrade 2 bed/2bath ground floor . small kitchen really downside , easily workable . cutlery glass / dish clean , apartment could additional cooking utensil - slot spoon , serve spoon , etc . 3 night bit warm , stay great . satellite TV DVD player excellent . 
 Nov 10 2009 	 great service great apartment great location- stay ! 	 really lovely apartment hotel . staff helpful- almost feel like get personal service . GReat location- 10 minute walk tube & quot ; red & quot ; sightseeing bus stop . restaurant , service , supermarket shop within 2 block . room spacious- ideal family . would stay without second thought . 
 Nov 9 2009 	 4 star accommodation 	 stay 2 night October disappointed say least . must use good room picture display apartment nothing like use . musty smell throughout bathroom badly need upgrade white tile dirty need regrouting , also whole skirting . stain carpet hallway one chair stain cover hair . ask double bed give two single push together net curtain need good wash . daughter find whole thing awful try spend little time possible . stay 3 , 4 5 star accommodation world certainly 4 star strech imagination . also website book see fit print review leave speak volume ! 
 Nov 7 2009 	 comfortable quiet : vey good place stay day visit london 	 Perfect family child . spaceful apartment kitchen breakfast dinner well locate near subway hyde park . 
 Nov 6 2009 	 Perfect London Base 	 stay 2 night half term 12 year old twin . warm welcome reception . bag room flat spotless . comfortable bed well equip kitchen ( use much ) . lovely part South Kensington , quiet leafy 5 min Gloucester Road tube . perfect base explore . could well repeat ! 
 Nov 6 2009 	 load quality space ! 	 regularly use 2 - bedroom apartment instead 2 separate hotel room get lounge kitchen throw ! well furnish comfortable . 
 Nov 6 2009 	 perfect museum 	 stay Collingham Apartments go perfectly . WiFi enable research buy online ticket actually expensive venue ! ( London Eye fast - track ) .We walk Nat Hist & amp ; Science Museums , take taxis rest London attraction . we buy crispy fry duck Gower street chinatown / soho & amp ; enjoy pancake warm Collingham Apartments kitchenette.excellent overall first time ' ve enjoy stay London Hotel ! ( especially family 5 ) 
 Nov 6 2009 	 first class location extend stay 	 probably nice , well furnish , well equip apartment complex West London . my criticism lack toiletry . 
 Nov 5 2009 	 London trip big family solution : flat 	 hotel un quiet place , nice flat lovely terrace , bad point : deskman not kind , clean cool well ( find dusty shock table bed ) , baby bed limit secure ( park mattress make ) place 2 room , 2 bathroom kitchen nice , good area London 
 Nov 5 2009 	 good size apartment good facility 	 one bedroom apartment suit family 3 . bedroom , Kitchen , Lounge Bathroom good size . staircase lift little small . location convenient Earls Court tube bus stop . also close shop restaurant Earls Court . set quiet area pleasant streetscape . overall , good experience . 
 Nov 4 2009 	 great area good value London 	 Good stay one bedroom apartment , comfy , well equip kitchen , 5 minute tube . opposite wonderful garden quiet street , good service helpful eveything . , unusual England get helpful service information Hotel staff . 
 Nov 4 2009 	 great place stay London family 	 apartment clean , spacious comfortable , unusual central location , quiet . 2 bedroom , 1 bathroom apartment & quot ; low ground floor & quot ; , make lack view small terrace - pity rain ( unusual London ! ) downside apartment dishwasher - wash machine . staff friendly efficient help make stay enjoyable . happy choose stay would certainly recommend hotel family come London holiday . 
 Nov 4 2009 	 friendly homely accomodation great location 	 travel child great place stay term amount space , kitchen facility proximity museum , tube etc . staff lovely nothing much trouble . 
 Nov 4 2009 	 Excellent 	 apartment generously size comfortable . price great value . little tired way ( bathroom , example , need update shortly ) , otherwise great . 
 Nov 4 2009 	 oasis London 	 stay 3 night long trip Singapore . Collingham organise car airport ( £ 60 ) good value compare taxi . let we 9:00am godsend need shower . apartment clean tidy every day . handy pub , shop , tube . ' ve get time walk central London less one hour . highly recommend . 
 Nov 4 2009 	 unbeatable every respect 	 come Collingham Apartments 2 3 time year 25 year . home away home we . accommodation respect comfortable , quiet , clean [ mostly ] modern without unneccesary pretentiousness .The management staff exceedingly capable , friendly helpful . location superb : 6 minute walk two tube station , 5 minute good supermarket . outstanding value overall nice place stay London . 
 Nov 4 2009 	 great alternative hotel accomodation 	 first stay London apartment find great experience . staff extremely friendly accomdation spacious immaculatley maintain . thing miss use apartment restaurant Sainsburys road croissant jam , fruit anything else want available . kitchen well equip feel home form home great . I would highly recommend form accomodation . 
 Nov 4 2009 	 excellent location fair price 	 stay 4 night one - bedroom apartment Collingham . apartment good size extremely well - equip . could happily live ! real benefit Collingham lie able stay apartment really lovely central part London , excellent access local site museum mean get other , price London standard , fair . staff nice friendly seem knowledgeable area . certainly stay visit London . 
 Nov 4 2009 	 Good Expierence 	 make reservation check round good expierence . staffwere extremely friendly helpful , apartment clean , roomy well equip . we would definately stay again . the thing would change would hail cab ondeparture rather book hotel . 
 Oct 31 2009 	 will never stay London Hotel stay Collingham Apartments 	 5 people week . husband , 2 adult child uncle . stay penthouse 2 night move low floor remain night . completely satisfied apartment glad opportunity experience two different place . two bath , three bedroom , large entry hall , live dining room kitchen dishwasher washer / dryer appliance . like stay home , maid service ! ! concierge . allow we together instead separate hotel room . concierge like hotel . knowledgeable & quot ; spot & quot ; advice arrange cab , etc . Collingham locate upscale neighborhood , close tube within walk distance Kensington Palace . can not recommend highly enough . value great . affordable group 5 3 hotel room . 's place stay London . 
 Oct 20 2009 	 perfect family 	 celebrate parent 66th wedding anniversary , stay Collingham Apartments Sister husband .. kitchen well equip we prepare cook meal ; important we . far Harrods major museum Science Museum , natural history V & amp ; . area quiet , leafy relaxing . good way meet tourist bit time . 
 Oct 15 2009 	 Perfect place stay family 	 stay 3 bedroom/2 bathroom apartment daughter , son - in - law baby grandson . build old set - up suit we perfectly 2 bedroom 1 bathroom able shut rest apartment . apartment extremely clean equip everything possible make stay easy comfortable . staff excellent , friendly helpful certainly intrusive . location great - easy walk Gloucester Road Earls Court station , supermarket , bank , shop , pub etc . would certainly choose stay opportunity . 
 oct 9 2009 	 great location excellent accomodation helpful staff good value 	 although arrive early Tuesday morning long translantic flight , staff make adjustment could check one - bedroom unit right away . hotel minute Earls Court tube station quiet street small park across . bed comfortable , live area roomy kitchen quite adequate . staff helpful research internet location several cultural place look . several grocery store number eat establishment within easy walk distance . relative option London also think internet booking price good value . available would definitely return Collingham Apartments next trip London . 
 Oct 7 2009 	 great place 	 staff friendly helpful , room spacious extremely clean modern decor . close earls Court underground bus route make easy see many sight , self catering supply excellent make stay lot cheap Marks Spencer road . stay . 
 Oct 7 2009 	 Home Away home 	 spend 8 night Collingham Apartments could not fault stay . one bedroom apartment ideal size instantly make feel home . facility need - bathroom ( bath & amp ; shower ) , washer / dryer , balcony , window open , comfy bed well equip kitchen . the apartment lovely location , scenic , safe , close tube station good range shop , pub , supermarket etc . beverley team friendly helpful definitely stay ' m area . 
 Oct 6 2009 	 Great London location ... noisy feel like underground 	 read good review , decide book 2 bedroom apartment 3 night stay ... location terrific suited need well . apartment ( bottom stair back ) , whilst clean comfortable , unfortunately underground little natural light . kitchen small cramp one person . bathroom also little claustrophobic outside ventilation , shower difficult anyone bless bit height due low ceiling . however disappointing aspect apartment noise ... every walk step , every movement conversation apartment could heard .... pleasant experience . unfortunately apartment book , reception unable move we another apartment . our advise ... lucky enough stay room ground , mindful ground hear every movement ! ! ! 
 Oct 5 2009 	 tick right box 	 lovely , clean , spacious apartment fantastic location South Kensington . 5 minute walk tube several pub restaurant also within walking distance . also small shopping arcade close buy essential need self cater . apartment well equip kitchen appear almost brand new small outdoor dining area . bed extremely comfortable . family ideal alternative hotel . ' m go back London friend February definitely stay . 
 Oct 5 2009 	 home away home family 	 be family 3 , include 3 - month baby . live area move flat summer . look stay Chelsea move want book suite nearby hotel ( Holiday Inn , Marriott ) . price 300 + sterling . Collingham Apartments definitely good option we . clear , be neither luxurious brand new quite decent , service everyday kitchen , livingroom , bedroom , bathroom 1 - bedroom . also elevator big enough Bugaboo pram - good ! positive : Location ( earl 's court gloucester road tube + lot restaurant chelsea + museum ) , space ( compare hotel room ) , calm , value money ( say regular price 200 + sterling pay 100 sterling per night website - would recommend book internet vs book phone cheap website call ... ) , cheap wireless internet . staff also nice . the big issue air conditioning hot day stay , especially baby . fan 30 degree , not quite cut . say , rarely 30 degree London ... would recommend hotel family , except maybe mid July mid August case hot . 
 Oct 5 2009 	 great place kid 	 stay week wife , 13 year old 2 year old two room solution perfect we since youngest get 5 ... thing bother somewhat location not fit need 100 % hey , can not get , ? course , location depend be . , would highly recommend Collingham ! 
 Oct 4 2009 	 Perfect kid ! 	 Collingham Apartments recommend travel agent , could happy ! ! much room spread child ( common London hotel ) , great kitchen keep food , even could walk local grocery store . front desk staff pleasant informative direction suggestion . would definitely go back stay Collingham Apartments ! be also fantastic location ! ! ! 
 Oct 1 2009 	 nice clean central apartment London 	 look somewhere stay London young child find interconnect room , consider serviced apartment SW5 London . centrally place , close tube station , clean practical . small equipped kitchen , newspaper door morning , helpful reception staff , etc . 
 Sep 30 2009 	 Great Base Visiting London 	 stay Collingham Apartments mum friend . lovely 2 bedroome first floor apartment overlook quiet street . handy tube also travel bus . wish could stayed 1night . overhead another traveller Reception saying & quot ; find ! & quot ; agree . definately stay visit London . 
 Sep 29 2009 	 excellent home away home . fantastic get good price . 	 impress Collingham apartment . my family 3 boy stay 3 night . 3 bedroom apartment ( free upgrade 2 bdr ) spacious excellently lay . surprising see much room inner London . room kid , private courtyard sun . could live month ! area location excellent , easy walk distance 2 tube station lot local facility ( well , Kensington , not ! ) .The service Collingham friendly helpful time , bit pleasant surprise find day London , especially travel kid . I stay many London hotel tend shop value money . normal rack rate way high ( ) . however , book late deal via ' net . get good rate , Collingham great place stay always check availability Collingham visit London . you will great time London stay Collingham apartment . cheer , Paul B ( Australia ) 
 Sep 29 2009 	 good value money location pity basement apartment 	 price , apartment excellent value ( pay £ 150 one night stay apartment two double room , single ) . criticism put semi - basement room despite fairly good light window , leave feel rather claustrophobic ... otherwise , complaint , wifi work well , tv freeview , clean apartment - struggle bit find conveniently place plug socket laptops mobile charger etc . good service reception . 
 Sep 28 2009 	 Home away home 	 family four stay five night August . stay two different unit .. 2 bedroom apartment garden patio . love stay .... convenient ..... walkable market shop Earl 's Court Gloucester tube station . staff terrific . Beverly , manager , approachable interested making stay & quot ; like home & quot ; . find ..... not tell many people will full visit next time ! one suggestion .... free WiFi ... 
 Sep 28 2009 	 great 	 nutshell.- Location fantastic . ( pretty spot , near shop , near public transport ) - apartment attractive clean great refuge long day london.- could use aircon summer day not big issue.- good place stay visit UK . 
