quiet 	 spend week Commodore Hotel highly recommend hotel other . stay various hotel London believe hotel good value money . room small sparcely decorate clean cozy . lovely room top floor enjoy peace quiet . breakfast good service . location fantastic Lancaster Gate Bayswater tube station . Hyde Park stone throw be away . room inexpensive like husband , need room within sleep . perfect spot . 
 great location 	 spend last weekend London friend . Stayed Commodore 3 night small clean nice room . friendly staff , great location . arrive Gatwick problem get hotel . quiet area , nice pub ( Mitre ) fantastic lebanese restaurant ( Fontana ) near . would definately stay . 
 Nov 3 2009 	 small room ever 	 stay 1 night 15th October . not sure hotel locate . end call direction . come Paddington rail take London express . bit walk , 20 minute lug thing around . the receptionist know walk Paddington & amp ; give room number ( think ) 34 . 3rd floor lift , happen top floor . see lug thing 3 flight stair not happy . say could wait & amp ; would someone take thing , friend wait dinner opt take 3 flight stair . however , check - in fast efficient despite give bad room ever receptionist pleasant friendly . the room disaster . photo bathroom practically walk side way sink shower . ' m 5 ' 2 & quot ; uncomfortable . could not imagine anyone big manage . also room put toiletry . bedroom room anything . fact , desk front double bed . space foot half desk end bed . mean could not pull chair completely . work sit bed pull desk towards . since space tight , hop onto bed get side bed ' pull chair go around bed . I ' ve stay hotel twice past 's hit miss . not like big inconsistency travel - business pleasure . therefore , will not return hotel would recommend anyone - regardless location . plenty hotel within area well . 
 Oct 29 2009 	 bit basic four star great location 	 never london sightseeing / shopping trip . can not fault location 's three minute walk lancaster gate tube station 20 min marble arch . also almost overlook hyde park kensington gardens . hotel basic four star apparantly standard London . dread think 3 star low might like . the room nice , bed comfy linen gorgeous bathroom minute . could hardly swing , let alone cat ! ! perfectly clean , however , minibar well stocked . breakfast dreadful . continental breakfast include room rate poor selection cereal , fruit , bread etc . service impeccable though . dinner also disappointing . going show one night not leave enough time go nice restaurant dinner shopping day ( red shoe brown shoe - you know ! ) eat hotel night . ask two fillet steak tough , overcooked flavourless accompany limp salad leave . , avoid eat hotel can . we find service staff quite good . arrive back late one night find room soak rain come open window . move we quickly efficiently courteous polite time . also , look bag day check flight late evening . 
 Oct 23 2009 	 terrible Stay ... Better Hotels Price 	 wife research hotel Trip Advisor leave . positive negative comment , decide spend 8 night Commodore Hotel Oct 16 - oct 22/09 . many review accurate . upgrade suite ( room G-5 ) . although room large , carpet dirty stain , replace year ago . furniture wear , general appearance hotel lobby area okay . pay hotel online , include breakfast morning part stay . unfortunately , go first breakfast , tell breakfast include . staff rude unaccomodating , make attempt clarify concern ... tell we get breakfast . bedroom king size bed , , put fit sheet bed give flat sheet . mean sleep duvet keep bed guest guest . bathroom small , expose electrical wire underneath sink . face cloth provide , plenty hot water . on day check - out , express concern , informed male front desk employee indeed receive breakfast day wife . apologize say female employee wrong . overall , cost room , see hotel much well room rate . location hotel excellent , , plenty hotel area much new accomodation . fact , eat breakfast another nearby hotel , staff polite welcoming . I would reocommend Commodore Hotel anyone . Read review Trip Advisor see other say . make mistake try hotel positive comment , pay close attention negative comment . negative comment right money . wife go back London next year , stay somewhere else . as someone travel many country stay many hotel , take review accurate . hotel rate 2 star , staff hotel unpleasant , rude unaccomodating . 
 Oct 10 2009 	 ' ve will go 	 stay many London Hotels set Commodore . little hotel really offer lot . next great place eat , Hyde Park , three tube stop less 5 minute walk , mention Heathrow Express Paddington ten minute walk . room fine , bathroom spotless , service excellent . area safe , really nice walk around . one nice part London base take tube everywhere . 
 oct 2 2009 	 safe quiet hotel good position london tourist 	 room small adequate & amp ; pleasant . downstairs 2 beautiful room sit & amp ; relax one many paper supply . breakfast good european style buffet additional cost hot one check include many seem include . fault find carpet look stain put report housekeeping & amp ; do not tell gym { walk day need . } 
 Sep 23 2009 	 lovely hotel 	 bad , breakfast two start hotel , bad coffee selection food tiny .. def . focus . far many waiter breakfast room ignore little space . one actually speak english instead.but leave breakfast behind , everything else spot ! 
 Sep 22 2009 	 great staff excellent food convenient room bit small . 	 wife seventy . stay 9 night hotel . staff pleasant helpful . excellent dinner . complaint would size room - find small believe standard London . Heating control centrally , room . 
 Sep 16 2009 	 Perfect 	 top little hotel . perfect position -across road Hyde Park . public transport local shop 2 minute walk away . friendly staff , clean room comfortable bed . problem traffic noise . hot water need ( 10 minute later ) enjoy ! 
 Sep 16 2009 	 do not stay first floor ! ! ! ! opt fot 7th Floor option 	 back short break london partner , early arrival , vould go room 1 ready . walk across road Kensington Gardens , fab ! ! arrive back hotel around 6 7 , give room 105 , room small , view be not well look onto seem room hotel . wake 5.30 follow morning someone seem lap room 2nd floor , could hear creeke floor board door bang television , go 7 am , want noise would stay home ans go work . go breakfast 9.30 , say receptionist noise disruption 5.30 , happy move we 7th Floor , heaven , lovely room , apparantly room executive room , king size bed , ever do not upgrade one room be not worth , standard Double room actually much big new look . 
 Sep 4 2009 	 nice hotel Great Location . 	 first must say location brilliant . situate Hyde Park , stone throw away Lancaster Gate , Queensway Bayswater underground station . also main road even center London quite quiet . staff friendly room clean . ' ve stay big room four star hotel room big enough decor simple modern . ' ve well breakfast , however upgrade full english come almost £ 10 head think rather steep bit egg bacon . overall hotel nice good location , ' ve stay well hotel price . 
