give 	 spend Saturday night hotel , must say big mistake . a West end show , romantic dinner night great area London spoil hotel . although staff pleasant helpful , room tired / antiquated bathroom / pathetic toiletry / dirty windows / tatty net curtain / filthy window runner / mini bar ( 4 star London hotel ? ? ) breakfast awful ( hotel try charge , prepaid B & amp ; b term / bad stain carpet / basic bed pillow - miserable room . I sure Health Safety regulation , ever fire corridor outside room stay , occupant would perish window could open all- secure mean obvious screws window frame . 's hotel like give London bad name - room two star well - stay expect 4 star ! 
 Nov 21 2009 	 terrible service disorganise 	 stay long weekend 14 - 16 nov , hotel easy find 5 min walk KHS fairly central . room fine lobby etc.down side bathroom be not well light room window single layer glass windy someone move metal trolley outside clearly hear - luckily front hotel rear central tube line u hear clearly room , double bed also small comfortable.when check reception ask want put credit room pay anything room minibar - decline . ( later find mini bar ) evening meet friend restaurant area ask plac item room , waiter ask arange credit room say , say problem give slip put drink room , drink pay cash friend leave . midnight room phone rang someone bar complain pay non room drink , 2 burger leave without pay drink food .. obviously true . ask normal phone guest midnight say yes perfectly normal practise them.the reception call 20 min midnight ask pay bar bill demand payment - would accept put bill ( £ 16 ) room check , give lady CC detail think end story . morning check reception trace bar bill .. could find reciept ! ! arrange bill would pay check write comment computer this . that evening 1145PM bar call complain bar bill - inform reception already arrange bill , prevent phoning midnight unplugged phone get decent sleep . morning find bill slip door say must pay bill pay . obviously chain event show hotel disorganise trust guest do not care dsturb guest rediculous time night.the hotel 4 star 3 star small double bed ..... would stay hotel sad experience wake midnight mean never stay - sure inform other experience also.dont bother hotel breakfast greatly overprice , people go muffin man round corner far nicer cheap place opposite kensington tube station . 
 Nov 19 2009 	 good location nice hotel 	 hotel great location , around corner high street Kensington tube station . arrive late evening problem check . room pleasant , first floor . quiet room . also fridge it- something partner really like stay hotel . bed comfortable . shower good pressure plenty hot water . issue hotel morning leave , clean knock door 9 am ( still asleep wake we ) half hour later telephone rang answer no - one there- felt may way hotel wake we come rather late night day think perhaps not trust we get time check out- 12 pm ! apart one negative aspect stay , hotel pleasant . would recommend friend . good price ( compare hotel London ) spacious . 
 Nov 18 2009 	 England France Italy Greece .... 	 neat , tidy , clean single bed room comfortable ... hate leave early morning ! bit difficulty two separate tap loo ..... one tap hot one cold ..... close one another : ) .... overall , thoroughly enjoy 2 night stay .... 
 Nov 11 2009 	 Holding Rooms Hostage Price - Pay 30 Pounds wait 5 hour 	 indicate many other , experience issue pay order check . travel business 10 night club room reserve . 11 hour flight state , arrive hotel 10 am . tell room available official 3 pm check time . however , pay 30 pound , room would MAGICALLY become available immediate check . front desk would budge - either pay wait 5 hour . this third time stay hotel year . encounter issue previously . hotel go treat business traveler , will choose go elsewhere next time . poor business model order try generate revenue . may gotten 30 pound , next 10 night trip London January , not get business . ' m also alert corporate travel department practice since property one four preferred hotel permit book . 
 Nov 9 2009 	 Disappointed 	 stay time wedding honeymoon could see London town . book discount website 4 star hotel , expect well find . upon check , list twin room ! couple pre - honeymoon not good switch we double room turn ot disabled room . this would fine expect not good condition room overlook office not good . if well room may well stay . 
 Nov 9 2009 	 good location good breakfast good staff tire date room 	 return 4 day London part business / leisure trip . use tube travel king cross Kensington High Street . hotel 5 minute walk tube station , well place . check problem party 5th floor standard room 11th floor club room . must say disappointed standard room . decor furniture date . bathroom appear original ( 70 's era ) although generally clean , shower curtain heavily stain shower mixer thermostatic . one morning hot water . find plastic bag smoke alarm apparent despite room smoking sign door , people ignore smoke anyway . people opposite room smoke continually foul smell drifite door . obviously enforce hotel carry day . walk 5th floor corridoor smell smoke eminate several room . the 11th floor club room decorate high standard bathroom little tidy however would expect standard room four star hotel . I find communal area hotel clean , well decorate bright . self service breakfast good far choice fresh . find staff encounter friendly , helpful courteous . I one complain appear fussy minor detail feel hotel really need update decor room tackle smoking issue . pay average £ 150 per room per night . location help hotel Kensington nice area stay . notte Hill several attraction Olympia centre withe 15 minute walk distance . find excellent indian restaurant near Olympia Centre call KARMA . Blyth Road . 
 Nov 7 2009 	 Close Tube ! 	 get good price room , location ideal - quiet area short distance Tube . room fine , especially price . 
 Nov 5 2009 	 bad . good base London trip 	 arrive London Monday afternoon , get tube Kennsington High street really close hotel direction hotel web site spot . arrive hotel 1 pm . girl reception tell we could not check 3 pm pay £ 20 could check straight away . see London till wednesday afternoon go ahead pay . however hand money anther person check tell could wait till 2 pm check pay £ 20 . scam not great start hotel . we put quiet room 6th floor . awful musty smell hallway hotel thankfully do not carry room . room plenty big 2 single bed request . bathroom clean restock daily good . little fridge room get noisey . also 7 pm tuesday morning man bottle bank arrive bit racket . not book breakfast give we voucher . however still cheap go eat Muffin Man Cafe road . hotel beautiful part London close tube station , defintely perfect base plan travel around London . comfortable clean . 's fuss hotel . price good . would problem stay . 
 Nov 3 2009 	 Excellent Location . 	 stay Copthorne Tara three night leisure break . book room offer last Minute.com . arrive give voucher Hotel reception breafast £ 10 make worth value wise . breakfast ok ( nothing special ) buffet style allow fill day . room comfortable ( especially bed ) clean , although plush end flat screen etc . the main plus side we location . Kensington High Street , near tube station , Albert Hall , National History Museums shop etc . also night relatively quite . we little staff efficent friendly . whilst uptodate plush hotel London location make . would stay pay top money . 
 Nov 2 2009 	 certainly worth consideration 	 friend spend 9 night Copthorne Tara . overall experience pleasant . clean room , little date comfortable meet need stay . my disappointment , first upon check - in around noon tell could room addition 50GBP , seem unreasonable . room available ' available . ' seem like good practice hotel large international clientele . leave luggage head explore area , go back 1330 , speak different clerk give key right away , however , though give information early clerk , ' available system , go . bit annoying first impression hope . separate hot cold water bathroom sink bit annoying , nothing ' handle . there couple odd technical issue room , upon try order room service , much late time , everything else close , phone ' work . go elevator area , place order report phone service . within 5 minute someone fix phone . consider around 0230 , could wait , wait , . next thing master switch room stop work . head day sightseeing ' turn light , matter try . call maintenance time return everything fine . housekeep nice job keeping room clean . bed comfortable , room much large expect , though admit ' use twin bed . tv work , like hotel tv ' remote questionable , mainly background anyway ' care much . room face tube track never really notice significant noise . staff encounter friendly helpful . though one clerk upon check - in ' exactly give service would like , part follow company policy ' management issue worker issue . location excellent , quick jaunt High Street Kensington tube stop , decent place eat area . I would definitely stay , though request additional money early check - in , would first preference . ' read argument common come , ' customer service point know London hotel may may policy , ' never tell make wait check . 
 Nov 2 2009 	 four star hotel ? 	 normally expect welcome door four star hotel . here take 3 day find someone duty get cab us.housekeeping also leave bit desire room . however , say reception excellent check out . the service brasserie bar excellent . quality food excellent reasonable value 
 Oct 31 2009 	 clean convenient 4 star 	 stay Copthorne Tara . room old date . staff rude could hardly speak english . plus relatively clean moderately price . 4 star accommodation . 
 Oct 28 2009 	 good choice location service amenity stay 	 second visit great stay . hotel well locate Kensington High Street near Natural History museum etc . we Club room 11th floor whilst compact especially camp bed 10 year old son sleep , room amenity require great view towards London Eye etc . choose room view expect hear noise tube trains- run overground hotel . otherwise ask locate dreary view yet quiet ! Service Rusal Club Lounge outstanding- like personal butler ! Buffet breakfast good . time service friendliness staff welcome . 
 Oct 26 2009 	 BACK 	 last find hotel london look forward stay , next posible occaision , .. pass year visit London spoil hotel 's ( even go agency ) arrival check - in friendly ( thank Quentin , desk ) get ask ! ! 1 . smoke room.2 . room overlook tube station ( read reviews tripadvisor ) 2 wish grant ! ! 's give we reduce breakfast voucher ( £ 10 instead £ 13 , ) check - in , time & quot ; Surprise & quot ; ( still doubtful room ! ! ! wonderful surprise ! ! room large ( say web page ) bathroom spacious ! dream come true ! ... smoke room 3rd floor , bieng smoker still smell old smoke , nice refeshe smell soon get lift , get bedroom ! ! another good thing small fridge , iron ironing board ( not mention web page , view overlook Kensington close hotel ( stay ( recemmende Brithish Airways ! ! never ! hole ! ! ) location great ! High Street Kensington tube station road , adore , small critic , could mixer tap bathroom sink , say back 
 Oct 20 2009 	 bad . 	 stay four night book Priceline . get good deal . first disappointed hotel looked like 1960 's school architecture reject project . still inside clean , comfortable , quiet . the good thing fabulous location close Kensington high street park . underground short walk shop could want . would stay . 
 Oct 19 2009 	 Location location location 	 stay standard double room first floor . spacious little table chair . yes , overlook train track , not hear thing , listen train noise ( base review ) . yes , bathroom little elderly english plumbing , hey , England . hotel central , safe location short stroll High St Kensington tube station . hotel cater fine heap place nearby meal - Muffin Man great breakfast 's muffin . London hotel , price reasonable room good . can not expect 5 star room 3 star price ! 
 Oct 17 2009 	 poor imitation four star hotel . 	 check hotel attend corporate dinner nearby . unfortunately , hotel exceptionally disappointing . I arrive hotel impressed lobby spacious . go check greet slovenly girl slouched swivel chair sharp , snappy unwelcoming . direct ninth floor room . the whole hotel somewhat tatty round edge apply public area well . I arrive room go inside . sum positive negative stay : Comfortable BedGood ViewNice breakfastthe negative : dirty poorly maintain bathroom . dirty ToiletPubic Hair BathTempermental toilet flush system . flicker lightrude check - in staff . 30 minute get serve orange juice quiet bar . outdate television system . every channel distort unwatchable . all stationary , menus , paper room extremely tatty , dirty . , appear blood stain it . this hotel probably quite good first build , however , tired , lack form finesse , attention detail care product quality . feel sad experience foreign traveller get London - much well elsewhere . save worry stay Hilton Metropole price get hotel give hoot . 
 Oct 13 2009 	 bargain place stay Kensington . 	 stay hotel three night find hotel great value money . our stay include breakfast minute away nice tea room call Muffin Man offer choice breakfast reasonable price . the hotel minute away Kensington High Street side street mean noisy even though back onto train line , could hardly hear anything . the room small , comfortable extemely clean . bed lovely . the hotel food good special price menu order nine evening . the hotel buzzing , seem popular many traveller - would worry stay even myself . a great stay lovely part London , museum nearby , well convenience good transport service . 
 Oct 12 2009 	 outstanding value 	 wife spend four night hotel . location great , quiet street minute walk High Street Kensington Tube station . lot shop restaurant available Kensington High Street . also walk distance Gloucester Road station , Piccadilly line . room clean , large comfortable include fridge well sit area . good size washroom . negative room two twin bed instead double bed . offer pay 40 pound upgrade & quot ; club & quot ; room queen bed , decline . ( club room also come free breakfast , drink cocktail hour , etc . ) . twin bed comfortable . if fly Heathrow , shuttle bus go Heathrow hotel . cost 19 pound per person . well worth lot luggage . this hotel locate desirable location provide quick access major London attraction . would recommend without hestiation . 
 oct 9 2009 	 need Renovation 	 book hotel via priceline bid $ 65 per night . hotel near Underground tube station & amp ; kensington high street . Mcdonalds & amp ; pizza hut close . Room 's okay , restroom seriously need renovation , separate faucet hot cold water . Muffin Man cafe / tea shop block away really good . 
 oct 9 2009 	 Smelly height summer 	 relatively frequent traveller London well aware patchy nature hotel . one definately falls avoid possible category . the positive thing say location close High Street Kensington tube . also good sized fridge . the room smell terrible window not openbreakfast adequate none extra touch e.g . hash brown , black puddingmain clientèle seem coach load tour group . 
 Oct 8 2009 	 decent nothing special 	 girlfreind spend 7 night recently rather apprehensive give mixed review Tripadvisor . girlfriend limited mobility need room disabled facility , make we even concern . the room adequate . clean comfortable , though little warm taste . can not open window , even air - con full , still find bit stuffy warm . the disabled facility pretty good . door could open wheelchair user , lift spacious . girlfriend able get reception ( first floor ) room without help one occasion - something could not do another ' disabled friendly ' hotel stay year ago . the staff pleasant helpful . need chair shower . provide request , though remind time . breakfast adequate , could probably well money . toaster seem good bad day ! dining room bit dark could probably benefit bit modernisation . 's food service really matter . I would say really 3 star hotel . decent , good location , friendly staff reasonable cost . 
 oct 4 2009 	 Shabby 	 be really ... 's shabby . go expect , will satisfied . 's kind place would ok be coach tour . sort place happy one night , be next place . fact , book get deal , still feel way overprice standard room . look like be stick 80 be not really money throw since . yes , be well located ; yes , plenty good restaurant nearby ; yes , front desk staff smile . , be nothing special . far . 
 oct 4 2009 	 Club room location make worth money 	 hotel outdate , location beat . close Kensington Highstreet , tube station , personal favorite , Whole Foods . stay much satisfy club room include upgrade room internet connection ( wireless ) great breakfast buffet would otherwise 15 £ + 13 £ respectively extra . otherwise , not think stay would worth . check staff professional helpful , less comfortable concierge staff try sell & quot ; bargin price & quot ; airport much high get . also not like fact send staff member physically look minibar check make sure would honest later . lack trust really bust good feeling hotel right end stay . probably look hotel next visit , would mind stay agin . 
 Oct 3 2009 	 short stroll gate Hyde Park 	 recently spend 3 night , find ideal location , High Street Kensington , near tube & amp ; also bus stop . clean , room basic , comfortable , staff friendly & amp ; helpful . able check early & amp ; leave luggage guest service , check out . just short stroll gate Hyde Park , wonderful . go breakfast elsewhere knew charge £ 16 full English , check give voucher breakfast £ 10 , make average price London hotel . would definately recommend & amp ; use area 
 Sep 30 2009 	 great value Great Location 	 stay twice . convient right next tube stop . also lot shop , restaurant . second time stay , husband severe pain due turn break back . staff wonderful we help we endure terrible situation . can not thank enough . always pick hotel return London . also easier cheap get Heathrow tube call airport hotel . airport hotel far airport hotel shuttle expensive slow . 
 Sep 28 2009 	 Mr 	 stay fine , get bill . $ 8 1minute 20 second local phone call . $ 3 less minute local phone call . $ 43 another local call . $ 25 per day internet access . just beware . ' m ignorant traveler . really know jack price . bill stay extra $ 200 . would not anything & quot ; Guess Relations . & quot ; 
 Sep 27 2009 	 awful hotel ; overprice worth 	 Cleary hotel mixed bag . book weekend stay London strength review Trip Advisor , find critical review much accurate . I normally enjoy stay hotel rarely bad experience , hotel awful start . I would book double room , upon arrival find fact twin bed . complain tell Expedia 's fault hotel 's - nothing could reply , apparently free room double bed . however say could upgrade double - bed room extra £ 45 . nice . refuse , suggest upgrade free , would , push two twin bed together sleep hole middle . hardly worth £ 92 pay room . while corridor smell strongly damp , room well - wear , batter tv kindly leave blare spanish channel full volume arrival . despite non - smoking room non - smoking floor , bathroom reek stale smoke , rest room smell damp . lovely view tube line window , train noise not bad , audible - full conversation couple next door come 3 am . would not minded ( hear ) , wall paper thin . to cap , round two drink hotel bar ( one shoot Baileys bottle beer ) come £ 11.50 . complete rip - off . I expect hotel could better different room , different floor - might well stay another hotel . not want gamble , would suggest steer well clear head elsewhere . 
 Sep 25 2009 	 gorgeous hotel 	 hotel really lovely . would reccomend anyone . location great .. right kensington high street nearly next underground station .. food gorgeous .. room really clean . would definitley go back 
 Sep 23 2009 	 gem ! 	 spend sunday 20th september 1 night top floor room 1244.first room : clean tidy , good air con ect.but good part fantasic view see miles.this club room good benefit well worth upgrade.you get access special club lounge free internet coffee u get free brill.you also get complimentary continantal breakfast wine , beer , soft drink 1845 - 2015 nice dinner . ( sky sport tv get watch live football ) .location excellent high street , underground.museums ten minute walk.staff friendly helpfull two restaraut choose chinese good expensive english menu.we get great price ebay would get good rate definitely like go back . 
