great 	 arrive early check staff kindly let we room early since travel early morning . Room nicely decorate bathroom small . main problem room bad draught come window cold . think double glazing would solve problem cold road noise keep we awake . area lovely much immediate area great choice entertainment . Taxis expensive take one west end cost we twenty five pound way . say enjoy stay need minor adjustment . 
 Nov 20 2009 	 hot Small clean ` ` Superior '' Room ? ? ? 	 check 12:05pm process quick , easy two hour could check ! reception staff ask morning paper explain breakfast times ask want open account room , excellent start 3 day mini break London . room 567 ( Superior Room ) come , plenty lift close reception upto 5th floor open door ( cupboard ) room . the room say warm clean also small , concern superior room really would like stay standard room . unable turn radiator room , sleep A / c night ( hot ) size room wake fantastic headache next morning * * note * * go put A / c whilst also sleep window open , quiet enough . bathroom think must massive case open door realise also tiny , big enough careful bath / shower really lot room ! hotel location two minute walk Lancaster Gate tube station ( Central Line ) useful , small taxi rank outside hotel useful Hyde Park road ( nice ) Swan Pub next door corner shop pub useful stay . the staff polite helpful , breakfast good well expect honest hotel clean ! ! ! overall , think staff good , location good , price ok , room poor clean , decide complain spend limited time room anyway ! 
 Nov 17 2009 	 Great Location faultless service organise 	 Stayed night October night November 2009 . room really nice , small , really clean modern . bar open late . breakfast superb , astonish good , great egg , bean , bacon sausage . no complaint . 
 Nov 16 2009 	 Lovely Hotel ... 	 do not understand people complain hotel ! stay begin November 21st birthday mother sister . check - in easy fast , room fine ! look review pic abit worried , really nice ! much space 3 us store hang clothe , night . clean comfortable . nearest tube station - Lancaster Gate approx 5 min walkin distance . everything else easy reach . do not eat hotel , comment food , Swan pub next door , lovely breakfast ! would deffinetly stay recomend 2 ppl ... despite drunken man shoutin outside room 2 oclock morning . 
 Nov 14 2009 	 Great Location well appoint 	 right across street Hyde Park , hotel comfortable clean . nice size London continental breakfast pleasant . good feature location access transportation - Central Line tube stop close frequent local bus take Oxford St 
 Nov 11 2009 	 Hotel everything need 	 lot review state room small , find adequate . the Hotel great location , handy tube like walk walk Harrods etc Hyde Park Oxford St problem . there great selection breakfast , cook continental . will use hotel next time 
 Nov 9 2009 	 bad previous review 	 , sister mum stay Corus weekend break . due previous review , almost cancel stay arrive pleasantly surprised . be not bad lot people work . room clean modern , bathroom small big enough could not touch four wall previous reviewer suggest . staff friendly . it 2 minute walk Lancaster Gate tube station central line close tourist attraction . people comment wait breakfast , go pub 2 - 3 door away , call Swan . good full cooked breakfast , serve immediately £ 8 each . all good hotel price , close everything need see , pleasant stay . 
 Nov 3 2009 	 great view . great location . 	 easy , middle - of - the - road stay . ask room view park , give . ask well hair dryer one room , provide one . ask towel , arrive within two minute . room small , expect . room update , bathroom lacking . not clean could , not anything would not . one major downer , deal - breaker , room literally right next pub next door , one night ( Friday night ) could not get sleep midnight noise . know complaint previous review , assume would probably pub , however , not , really loud . ' m sure could request room far away pub think might issue . good price . Hyde Park gorgeous right across street . walk park Harrod 's Buckingham Palace ... quite jaunt , nice . would stay . 
 Nov 3 2009 	 smart tip 	 excellent location , small & quot ; stylish & quot ; room , quiet , across hyde park / kensington garden , 50 Lancaster gate ( district line ) underground station , lot different kind restaurant walking distance ... 
 Oct 31 2009 	 great location curfuffle breakfast pokey room poor disabled access 	 go 3 pal ( one wheel chair ) boy weekend , check offer single room stead twin book , jump chance . good fortune turn short live single room tiny , 6 foot bang knee bath room . bath quite difficult get , however even 8th floor shower excellent . 3 lift / elevator mind , feel like little boy play lift try go breakfast go 3 time reach reception . book full english package , tecnically speak true serve butter scotland seville orange marmalade . seriously get well worth money , issue get dining room . need early possible prevent get stick queue lobby go dining room . fair Hotel warn problem lie tea coffee people wait queue . issue deal true problem queue deal consequence queue . the location Hotel good , road form Hyde Park short walk Lancaster Gate tube station . recognise disabled access method , cause part problem . 
 Oct 30 2009 	 definitely 4 * indicate 	 hotel describe we four star ... ! ! ! room cold pokey little space pass wardrobe bed , suppose double glaze draught lik gale . window sill cover upon return vene least 12 ladybird . Breakfast well present manage though positive thing stay . return disappointing experience . PS forget mention gentleman room next door snore night long sleep we ! ! 
