excellent 	 say read review hotel regard location , nearly cancel booking . please not . hotel clean , modern pleasure stay . location problem whatsoever transport link superb . bus stop locate right outside hotel regular 24hr service either drop nearby Kilburn tube station Oxford Street . would not hesitate recommend hotel would definitely stay whilst visit London . 
 great hotel decent pub attach ! 	 guilty pleasure staying hotel London time time , even though live London . 's great way see city 's nice wait every ! crown great place stay . price reasonable London , room clean comfortable pub attach great - even good live music . food pub good - not try King Sitric look bit expensive seem less atmosphere . cricklewood lovely part town good bus link town not far Wembley . capital connect ( ex - Thameslink ) station 5 minute walk away train St Pancras , Farringdon etc . be busy neighbourhood hotel ( main street certainly safe walk around ) dozen shop , restaurant fast food place . said not noise outside hotel night . the thing less happy noise corridor group arrive late night ( hotel 's fault ) bed not big comfortable ' ve sleep . minor criticism would certainly recommend Crown Moran . 
 Nov 14 2009 	 Great Hotel Great Value . 	 come back London . spend Crown Moran 4 day complaint . the location bite far destination choose hotel base price review , glad . take bus two station reach tube reach anywhere London . clean , food great rate excellent , room spacious , many restaurant next change . Wether business leisure would recommend hotel . 
 Nov 1 2009 	 great hotel friendly staff convenient location 	 stay hotel 2 night 2 daughter half term - triple room perfect us - good size ( ring reception third glass cup saucer problem ) . 's locate main road noise not problem we even view wall outside window not issue time . eat dinner first night hotel restaurant food good standard . bus stop literally right ouside hotel - use tube ticket hop like - kilburn near tube station 3 stop bus - stay 189 way Oxford Street shopping - 30 min . Beakfast include - full irish breakfast morning - wide choice continental food . would definitely recommend short stay london . 
 Oct 30 2009 	 Heaven London 	 wow , lovely place stay big smoke . hotel deliver many level , Location , great , outside congestion charge , easy access London , Tube station 10 min walk max , bus stop outside door , take No:16 busstraight marble Arch . hotel beautiful , clean , modern . room spacious decorate high standard . staff , enough , travel friend 2 child staff wonderful.the hotel surronde range restaurant bar fill always stay ion hotel food awesome . enjoy . 
 Oct 28 2009 	 one good value hotel London 	 great modern room comfortable bed nice well - equip bathroom . Great BreakfastGreat Service . some people complain location arrive Euston check hotel within half hour . try get across city time ! ! bus stop right outside easy connection whole London . at £ 109 family room Breakfast ( 1 child ) London half term simme pool - absolute bargain . 
 Oct 23 2009 	 Food par room bland 	 attend family event Saturday night , start King Sitric Bar & amp ; Grill , dining room . meal average 35 people party - hear good response regard meal . anyway , evening move pub tell enough time one drink . however , extremely rude unprofessional security tell we leave ( wait drink serve table service ) close time . shock attitude action security . seem look good old punch . attitude toward young grandparent . even we stay hotel . conclusion , ' ve stay hotel , eat King Sitric Bar & amp ; Grill , drank pub many time every occasion extremely disappointing . ' m always try give benefit doubt . however , irish family like go believe ' good support irish community . good news finally take word last event make judgement . quite sad spend lot money night individual fly Scotland , Ireland , Australia , America evening Crown nothing make evening enjoyable . 
 oct 22 2009 	 would definitely stay ! 	 husband stay 2 night 4 year old daughter , attend family wedding . hotel staff extremely friendly efficient room modern , clean tidy ( view not great hey , can not everything ) ! think good location within hotel not experience disturbance ( need right part hotel avoid noise function ) . thank enjoyable time . 
 Oct 20 2009 	 great couple day 	 fun couple day kid . loved leisure centre , breakfast good , room modern comfortable . great see character old crown still . 
 Oct 8 2009 	 enjoy four night stay hotel 	 ask quiet room give room fifth floor back quiet except guest either side we run back forth door slam one night . offer move we next day neighbour leave stayed put . rest time lovely quiet . staff friendly helpful . arrive hotel 5 minute walk Thameslink rail . use bus tube get around . Jubilee line however close two 4 day take bus bakerloo line . also use bus outside hotel get Oxford Circus shop . eat several time attach pub enjoy breakfast morning include room rate . make use swimming pool gym . choose hotel base review disappoint . 
 oct 1 2009 	 definitely return 	 concerned hotel would far away difficult reach place want visit actually quick easy Jubilee line . kilburn station walkable distance would recommend walk uphill ( turn leave station ) bus stop travel three four stop bus stop right opposite hotel . also bus route Victoria anyone arrive coach . buy travel pass tube valid bus . arrival impress spacious airy reception area although early welcome room ready . hotel busy neighbourhood thought could noisy public area close road mostly unnoticeable bedroom rear perfectly quiet . mixture old new architecture work well atmosphere calm , friendly relaxing . our room everything could require clean , welcome comfortable . nice tea coffee make facility air conditioning too . the swimming pool part reason select hotel pleasure use . jacuzzi sadly operation sauna gym . commendably , save energy , hotel heat sauna require need remember ask switch hour want use hardship want swim use gym first . change room clean well equip locker , hair - drier , towel shower gel . thoroughly recommend hotel thank concern enjoy stay . know ease location pleasant surrounding definitely look forward stay . 
 Sep 28 2009 	 gem 	 stay Crown Moran partner birthday . arrive ealier greet happily reception . kilburn tube station mile walk hotel- excellent location want access city centre . we stay junior suite amazed beautiful , clean , fresh perfect round . we go bar ajoined hotel though great , different section suit everyone taste . we eat resturant thought food lovley . not really price style food serve . service great . in morning buffet style breakfast cereal cold meat hearty fried breakfast . breakfast include price room ! see swimming pool gym look clean not time check out- shame . overall hotel decorate well , modrn hard cold caould not relax . member staff helpful polite time even though wedding not leave feeling not help . we park underground parking facillity . eat resturant get parking free- usually would £ 10 night- happy not leave car side road . the location set typical London district- agree woman walk would not fun London- can not expect low crime rate green field ! ! ! plenty bar , cafe licence nearby.to sum book love ! 
