nice 	 stay hotel weekend one night dockland like ghost town weekend , unless event going excel . use hotel go see Disney Ice O2 . careful check tube DLR weekend though , bit way . get DLR Tower Hill , straight Royal Victoria . nice hotel , modern new feeling . swimming pool nice relaxing feeling . not eat hotel , go italian restaurant near excel , five minute around corner . also shop along road sell water , drink snack etc . staff seem nice friendly reception . room large one large king size bed large sofa bed 3 year old . look like room refurbish recently . nice stay , must admit not pay much room , really could not complain , £ 60 night ! 
 * * * * Star Hotel * * * * price * service . 	 stay Crowne Plaza Xmas party . parking nightmare . pointed direction hotel car park 40 parking space resident hotel far big . run reception get code order get barrier lift car park behind we . great start night . end go EXCEL car park bill £ 18 night . Food Service party excellent . however want rest will not get . room overlook car park door lead next room could hear everything . couple next door keep we awake two hour , end resort phoning front desk . something ' ve never do . to credit management , matter deal immediately . Breakfast rush . get plenty time go close , cereal gone not replenish . show table , . ask waitress tea , could not find toaster , toast . standard request every hotel ' ve ever . everyone hunt around milk , sugar , butter . totally disorganised . one guest boiling tea knock clash rather rush waiter . return breakfast see check queue stretch lift . resorted organising check 1 pm miss rush . Xmas hold next year , will take taxi home . really worth aggro . could much well staff key place reception restaurant . 
 Nov 19 2009 	 could take class service 	 stay hotel 3 night conference Excel Center . easy three minute walk venue nice man golf cart await need quickly make way street . hotel extra clean , modern comfortable . large room stock mini bar convenience store next door case not want spend extra money . almost good thing say hotel except one important necessity - service .... bar restaurant serve good food drink could get . staff clearly overwhelmed despite fact convention business know huge event go . order room service get call back three time tell order not available . Gym well equip crowded morning share apartment tower close . two elevator serve least 6 floor clearly enough . low rating think hotel size , brand location could well . nothing Docklands night time entertainment could see . try go Greenwich little culture . caribbean Scene restaurant across street hotel nice suprise well need change scenary . private car service stairwell property great job allow use credit card hotel payment - lifesaver travel little cash learn many London taxi be not take American Express . bad hotel consider stay event next year . will know expect much slow , uncaring , unfriendly food beverage staff . 
 Nov 14 2009 	 excellent birthday gift 	 go crowne plaza celebrate boyfriend 25th birthday . room clean service excellent . room service bring wine cooler could put champagne buy . would say care park expensive consider already pay fair amount room . complaint ! ! nice hotel , situate close Royal Victoria station easy get o2 . room beautiful view dock o2 . romantic ! 
 Nov 7 2009 	 Excellent service room overlook 02 Arena ... Magic ! 	 book 8 pm night get good deal . check effortless staff polite . room service efficient comfortable bed . our room look towards O2 Arena minute walk Excel centre . bathroom little small , excellent power shower .... would definately come back ! 
 Oct 29 2009 	 good value price 	 stay 2 night Crowne Plaza , perfectly fine business trip . dlr station 3 - 5 minute walk away . 's quiet neighbourhood would say , eventhough hotel quite busy due gymnastic championship take place O2 Arena . staff helpful friendly . check - in procudure take long though hotel would say . breakfast buffet excellent . spa area alright well . overall , would definately stay , especially rate quite reasonable kind hotel . 
 Oct 16 2009 	 generally good 	 location hotel near Excel centre good . unfortunately , attend meeting central London , hotel poorly site . near station Royal Victoria , one stop inside zone 3 , unfortunate location need travel London . the room give good ; bed certainly comfortable bathroom good . , however , wifi access room . one slight niggle remote tv miss battery - have think room service could check ! food hotel good , basically carvery grill offer limited choice usual high price . carvery grill little suit vegetarian . make matter bad area exactly well endow restuarant locally , though caribbean restaurant nearby . I get chance sample gym , pool spa hotel , look good free charge guest . I obtain good deal price stay hotel go way set cost travel London . hotel seem good Excel Centre London City airport much else . 
 Oct 8 2009 	 pleasant stay - great room friendly efficient staff . 	 excellent room comfiest bed ' ve sleep long time . also , room service cook breakfast tastiest ' ve ever hotel ! room peaceful , apart fom occasional slight aircraft noise , effective blackout curtain . wide range tv channel internet access . staff friendly efficient - particularly polite efficient reception , particularly friendly bar / restaurant . 
 oct 2 2009 	 Excellent experience 	 sure moaner ! arrive early afternoon stay , prior concert O2 , realise stay previously own Holiday Inn . decor seem little changed , good condition . check - in doddle well handle friendly staff , ( way , recommendation house burger accurate ! ) . room spotlessly clean well prepare , element work perfectly - irritate need call reception break miss item ! breakfast among well present ( perfectly cook ) encounter hotel world , include top end cruise hotel . one weakness coffee / tea / toast service par - meal almost complete get , ask it . all , really good choice mid - range hotel visit O2 . ( connection O2 simple - 2 stop one change , take around 20/25 minute way ) 
 Sep 27 2009 	 lovely hotel lovely location ideal O2 arena . 	 stay Crowne Plaza support runner participate London half marathon O2 arena . term need near O2 hotel great location , term central London quite way take 20 min get . help engineering work DLR although hotel within walk distance station . room spacious clean amazing view Canary Wharf . eat restaurant disappointing , however give staff benefit doubt catered wedding day . staff unorganise mean not happy pay 12.5 % service charge add bill . food average give price . however overall enjoy stay would stay . term value absolute bargain lastminute.com . keep eye ! 
 Sep 26 2009 	 great ! 	 arrive mid afternoon queue 20 minute check . eventually get room discover key would not work . return reception get impression think not know key card work . , return room member staff discover key not work ! rather use master key ( member cleaning staff ) leave stand door go get key sorted . stand another 10 minute return . therefore reckon 40 minute walk hotel getting room ! breakfast follow morning ok . coffee bit scarce find clean bowl bit difficult also . otherwise hotel standard business hotel . 
 Sep 16 2009 	 go back ! ! ! 	 although location i d brill , 2min walk dlr overall good sized room , hotel badly manage . send one member staff another 40 min get extra sachet sugar milk still end go shop nearby buying ! ! ! ! staff horrible attitude , especially pool girl , night staff do not even speak english . well value Express Holiday Inn ( honest ) . 
