great 	 stay weekend 28th Nov , 3 lady . brilliant room , great value money . can not knock anything , fab . would definitely recommend . location ideal tube right outside door . staff could not enough , deserve 4 star . Kensington lovely place , quiet safe . 
 Nov 24 2009 	 Fantastic VFM 	 stay hotel Friday 20th November , 4 friend . book hotel via hotel website get good price £ 55 per person . the hotel fanastic location West End able get tube taxis easily . reception area modern room stay . room spacious 2 double bed . tiny complaint would around resident bar , bar manager bar dress suit obviously fit also see well day . also add 12.5 % service charge onto bill , find bit steep . would hesitate recommend hotel . 
 Nov 17 2009 	 big room convenient location 	 choose hotel part flight hotel package . good value family four could stay one room two double bed , easy find London . size room good , tv new , bed comfortable . room face garden , nice quiet . location 3 minute walk Gloucester tube station 3 tube line , also walk distance Kensington Gardens Science Natural history museum . not eat hotel plenty restaurant right outside hotel , well grocery store across street . happy hotel would stay . 
 Nov 14 2009 	 Excellent hotel excellent location 	 lovely modern , clean hotel good room size friendly helpful staff . book website get room rate £ 135 incl taxis . picadilly line great heathrow moment underground door . certainly return . 
 Nov 7 2009 	 Great Location expensive 	 last stay November 2008 Hotel middle refurbishment change Holiday Inn . location good niggle stay part building site put we booking year . we stay 4 night Monday 2nd Friday morning 6th . half term Luxembourg live . there 3 people party wife together 18 year old daughter . book two night reward point two night advanced purchase breakfast ( 2 people ) rate £ 197.80 per night taxis include . top budget pay rate indicate reception £ 295 per night standard room without breakfast , would stop here . the check simple straightforward . arrive early flight room ready . allocate room 626 ( smoking request ) 6th floor even number look garden . assume work floor . we offer & quot ; club & quot ; upgrade £ 50 per night decline . anyone expense account like & quot ; club & quot ; facility 's . traveller pay bill know important business traveller 's simple economic . the staff friendly helpful particularly breakfast room . hotel clean , modern ideal location . room large enough 3 grow people bathroom modern well style . even tho ' one lift operating moment experience long delay . I hesitation recommend Hotel traveller . just couple niggle . the & quot ; free & quot ; wifi work well reception 6th floor . tell would & quot ; fix & quot ; soon . well next visit . the modern alarm clock room screw bedside table time could see bed without get half bed . style substance ? & quot ; hooks & quot ; back bathroom door certainly example style substance hook well . paraphrase advert , & quot ; say tin ! & quot ; finally lock window . keep guest safely room burglar room . happen mother nature fresh air . urge preserve natural resource ( see Hotels mission statement consumption water electricity ) yet way control room temperature air conditioning . the Hotel perfect neither i.we return . 
 Nov 2 2009 	 good location hotel could well . renovation leave extractor ! 	 stay half term holiday , Wednesday Saturday . choose hotel stay couple year ago give we room 5 . hotel undergo extensive renovation include rebranding , formerly call Holiday Inn . entrance foyer hotel well lay small . forget bring copy reservation confimation number we . staff not prepare believe we book room 5 ( 2 double bed rollaway bed ) ichotelgroup website check less friendly . ask we know name person book ! something anyone likely remember month easy find . arrive early check , say would phone couple hour find check reservation service whether indeed book room 5 ! leave luggage concierge leave sightseeing . call 2 pm assure we indeed book say room ready . return hotel , get bag concierge ( could not do early without we ? ) go room . little small 5 not complain 's rare find hotel . follow morning discover bathroom not extractor steam window bedroom seal shut . air conditioning system not seem work either . water stream window pooling sill . rang reception ask key window tell we none . mention 2 child asthmatic , immediately suggest move room one balcony could open door . ask we bag packed leave room would move within couple hour . return bag indeed move big much well room . could not room begin ? much suitable 3 bed 5 guest . air conditioning work effectively french door open garden pleasant . important note : smoker , beware charge £ 150 find guest smoke room even window open ! wander boarding school ? would stay simple reason give we one room quite save 5 family . £ 500 plus room 3 night quite enough pay , thank . nothing special hotel , channel tv , internet access room £ 8 free foyer colour printer guest ' use . staff generally friendly especially concierge staff . 
 Oct 25 2009 	 Great Location 	 .... yes be great location- direct tube ride Heathrow . plus Kensington beautiful area great range eat option outside Hotel . London Bus tour company also stop nearby . room nice temperature cold room hot corridor . one room service meal generous , well present overpriced- London . 
 Oct 23 2009 	 Excellent hotel staff - bit pricey though ! 	 usually rely Crowne Plaza certain standard Kensington meet expectation regard . good job reward night stay place good less half price rack rate list reception ! comfortable room , good location good staff . get decent room rate , happy . 
 Oct 16 2009 	 friendly clean helpful . good location ` 	 husband always stay area know well . Crowne Plaza terrific . request quiet room give nice one overlook garden . find staff helpful breakfast good plenty choice . the one downside lift understand another one put . would stay . 
 Oct 14 2009 	 great location/ 2 bed ! ! 	 pros1 . Great Location / Close Tube Station /food/ groceries2 . room extremely quite / face back hotel3 . 2 bed 1 room hard find4 . pleasant staffCons1 . Wifi not work least lobby 2 free computer use2 . elevator break 1 day . 5th floor haul without3 . shower water pressure good first day , lousy next 2 days4 . ask ice hassle . last night tell ice machine broken.5 . Maid Service make bed fine leave thing like replace glass day new one remove ice bucket accumulate . 
 Oct 10 2009 	 first rate service super location 	 stay 1 night October 2009 high quality room , breakfast fantastic . location less 75 meter tube . would stay ever London , although price top end budget £ 170 per night well worth . oh yes bed well sleep uk hotel . 
