Nov 	 great service great location 	 wife enjoy stay last june great service close attraction 
 Nov 22 2009 	 Luxury goo vibration ! 	 beautiful hotel , helpful , smiley staff , english breakfast awful overprice . tin mushroom , scramble egg ( powder ? ) . come Crowne Plaza 5 star ? 7th Floor room every 15mins vibration run wall structure District / central line tube pass Hotel ? double glazing room ? 
 Nov 22 2009 	 great location poor hotel 	 location great . service vary , often bad . e mail send hotel reply . several telephone call need . beware room 155 . completely dark , view ugly wall noisy ( hotel 's air refreshing system ) . fact , room use storage , guest accomodation . request , get another room much well . bathroom nice . corridor narrow . service varying , check inefficient . queue breakfast room . hotel standard general . 
 Nov 21 2009 	 Excellent Location Nice Plush Lobby Average Rooms 	 location second none . lobby restaurant great , especially Michelin star Indian restaurant . room somewhat date . fact chair wobbly weak leg . overall OK 
 Nov 9 2009 	 great location nice modern Crowne Plaza City Hotel 	 stay hotel one night . location excellent within easy walk distance St James Park tube station minute excellent bus connection . main entrance grand room come entrance standard . shower room awful next pressure bathroom décor terrible . internal facing room ugly view . disappointed room . the concierge excellent , helpful accommodating , make stay pleasant one make we feel like value guest . find breakfast host rude ask would like toast , offer hotel brand . I would recommend Crowne Plaza City hotel one . city hotel modern also excellent location . 
 Nov 1 2009 	 Nice Hotel . 	 Nice Hotel , traditional classic decor , friendly staff & amp ; attentive need . upgrade superior deluxe room nice & amp ; spacious . 
 Oct 27 2009 	 Great Location 	 Crowne Plaza St. James excellent location sightseeing . two block Buckingham Palace 1/2 mile walk Parliament , Westminster Abbey , Royal Horseguards , distance Victoria Station direction . several theater near Victoria ( saw & quot ; Wicked & quot ; Victoria Apollo . plenty eat establishment within walk distance hotel althought pub . underground also short walk hotel . room give nice big corner room . big european standard . bed comfortable bathroom huge . rate include breakfast buffet nice . not use hotel restaurant meal . hotel exceptionally clean seem well - maintain . problem check . one clerk say room would not ready hour speak different clerk room less hour . room within two hour arrival . arrive 9:00 . 
 Oct 24 2009 	 still marvelous year 	 okay , not sooo many year since stay last ( write review ) , June 2008 October 2009 . , pleased see level consistency - everything well ( price , go american ... sorry ) .lobby / reception / check - in - check - in process super easy nice . counter staff completely knowledgable make thing easy . trainee - can not remember name , sooo nice , tall , dark blond hair grey suit , every single time go counter - morning , late night , name ! go beyond . two night separate booking ( different night different low cost availability per diem ) , make easy . lobby really great . last time time , 's scene . normally meet people go , first one wait , enjoyable scene - sometimes game 's crowd follow , times 's live pianist exceptional treat make ambiance really nice . say really like lobby , comfortable hang there . restaurant / bar - not eat meal breakfast , breakfast really nice . juice , milk , tea , coffee . will ask want toast , even ( , want nice dark tell double toast ) . 's egg , juice , cheese , cereal , fruit , croissant , etc . be busy breakfast , not feel crowded . bar fantastic , albeit really pricey . dark panel clubby feel without feel pretentious putting air , actually feel like belong . actually metaphor hotel overall . summer sit outside nice - still outside place sit , fascinated see , heat heat lamp - sit inside thought still cold outside even lamp . service fabulous Tobler - tini one wait staff recommend world . fact , really neat drink , like saffron - infuse gin , vanilla - infuse vodka , etc . right hotel , be worth right . be worth , maybe good way convince drink 10 quid really expensive not convert dollar ! also put really good nuts - smoke almond cashews - drink . concierge - not usually review concierge ( stay place ! ) , one feel go beyond therefore worth single praise . great help decipher show day time open , hold ticket 4 5 think might want see show not sure will make , answer kind question cheerfully without expectation . even recommend different restaurant include Nando 's ! ( hotel restaurant , please not try steer way . ) also , need leave early flight ask taxi early morning , get private car ( black cab ) actually cheap taxi would , call room ask whether would okay arrangement commit . great advice anything everything London , great personality ! hotel overall , amenity room - someone criticize narrow corridor wind - ey pathway room . not think issue , although true . 's 's historic building keep bone not tear begin afresh . last time toward back hotel would consider standard room , time front hotel feel like suite , hallway everything . huge ! bed pillow - comfortable . tv lot channel . bathroom large , towel warm . safe room favorite amenity ... iron board right , wonderful - half time hotel beg one wait hour hotel one ! pant press , closet , even though could turn could not figure make actually work . 's minibar fridge , 's kind could put thing fridge keep cool , , without incur charge . bathroom towel warm , pressure shower not great . always hot towel nice sized - real bath towel , little thing ! 's good workout room basement - go courtyard rear building spa also - 's nice sized gym modern machine weight well cardio . 's elevator back build well two main one lobby never find wait 15 20 second one . one big gripe charge internet access . time get free wifi american highway motel african one - star hotel , price pay place overall lavish atmosphere want perpetuate - not charge internet access . location - much like location . be near Victoria Station , Wicked Billy Elliott playing . 's close way Westminster Abbey , London Eye , Buckingham Palace . 's near kind shop restaurant - particular , Nando 's right nearby well number pub , pizza place , bar grille , couple place . 's 2 boot pharmacy , least 2 Starbucks , Marks Spencer Sainsbury . perfect need . 
 Oct 24 2009 	 staff win team 	 typical Crowne Plaza . actually Taj own CP banner get unusual mix . location excellent , lobby marvellous top grade room bad . corridor shabby - carpet replace wallpaper paint re - do . investment go touch entry card door bathroom . strange choice priority evident . always breakfast room . small restaurant cope queue snake lobby . but , , - stay staff . , almost without exception , universally efficient , polite , charming exemplary . staff beat heart hotel . 
 Oct 7 2009 	 could not ask well ! 	 recent 2 night stay , 3 generation family , travel abroad . concierge helpful sort car parking street around hotel . it & quot ; free & quot ; weekend doorman keep eye whilst wait free period begin , hour arrive . we also able breakfast together lovely quiet room first floor ; tranquil start day . unfortunately one family member take unwell early hour , need short visit hospital test duty manager helpful considerate make difficult stressful time little easy . could not ask ! 
 Oct 6 2009 	 great location Excellent service 	 wife stay three night cruise . use point stay . arrive room ready walk around . many attraction within walk distance several hour return . the room small certainly adequate clean . bed comfortable . ticket play one night hotel restaurant excellent three course pre - theater dinner 24 pound . staff helpful making stay enjoyable . nice pub corner breakfast snack . close Victoria Station would say excellent location see London . 
 Sep 22 2009 	 Good Location ... yet bit olde world terrible bathroom 	 Positives ... good location get poosh part London , main tourist area / good breakfast , yet beware wait weekend / staff helpfull areasnegative .... olde world tradittional hotel , get room not easy , floor big full nook crannys/ bathroom really , really tired not fit brand certainly be not 4 star . internet poor , consider pay ! 
 Sep 21 2009 	 get bathroom sort ! 	 stay hotel two night near Billy Elliot theatre . ask move room bath chip mark . second room show third time lucky ! ! clothe lose transfer turn next day frequent phone call , result we complain formally . food position hotel good prepared stand queue breakfast . Bistro far small ccomodate number guest hotel . room clean well maintain bathroom scratch 4 * hotel . 
 Sep 19 2009 	 great location room bit tired 	 really great location visit London , ok value , probably top end would want pay , room look tired could spruce , general hotel quiet , staff friendly , even though quite posh , not feel place . it second visit would return stay London . 
 Sep 17 2009 	 Ripped .......... 	 telephone ( normally internet ) book room 2 night quote rate £ 200 + per night wife call confirmed day afterwards . arrive tell desk clerk good rate upgrade , pleasant surprise . check , bill £ 400 £ 832.60.I challenge agree remove internet charge £ 14 24 hour use send 1 email last 30 second . they would back room rate ask evidence confirmation email not receive . arrive 8 day later . record ever receive original otherwise would cancel then . the breakfast serve heat tray 4 star hotel satisfactory one real complaint Underground vibration could heard night long room . shall stay . 
 Sep 15 2009 	 Average Hotel expect Crown Plaza 	 book hotel travel site get great price hotel . pay , would even dissappointe hotel . lobby elegant nice ... stop . , be pretty much simple old Holiday inn extra useless feature . hotel collection many old building put together . journey room small hallway go round many corner . room nice would expect Crown Plaza . light switch confusing room organize oddly . bed uncomfortable . bathroom look nice , heat towel bar not work water pressure shower . big plus note , window open give nice breeze non A / c room . big plus locate close Buckingham Palace Big Ben . stay nicely remodelle Holiday Inn Russell Square much nice hotel . 
 Sep 4 2009 	 Great Hotel 	 ' ve stay Plaza St James time business safely say occasion look , room spacious stay enjoyable . Thx 
 Aug 28 2009 	 Great location see sight 	 stay Crowne Plaza , Buckingham Gate , enjoy touristy break London . location excellent ; literally two minute Buckingham Palace less 10 minute Westminster Abbey . concierge helpful knowledge area London could fault . internet deal room , cost breakfast whop 17 pound choose eat hotel . superior room large functional , clean safe . hotel much preferable Hilton , Green Park , stay early year similar price . 
 Aug 27 2009 	 Crown Plaza St. James London - luxurious experience 	 tuck away bustle Buckingham gate area gem hotel . beautifully locate central London close major attraction . one walk around easily see sight . theatre close SOHO . hotel well - design room well service apartment . service apartment extremely convenient excellent value money . hotel two speciality restaurant one delightful indian one call ' Quilon ' . food Mmm delicious service superb . the staff extremely helpful sensitive need customer . jeeve particular , knowledgeable man quick offer brilliant solution customer ' problem . property beautifully maintain joyous time . would definitely recommend people age . 
 Aug 23 2009 	 upscaleimmaculatebusiness / leisure hotel 	 hotel book cruise line . 3 night . room huge immaculate . service extremely attentive . ( become ill , manager hotel even escort we physician . ) food good little pricey . location fabulous , store restaurant , theater transportation accessible . lobby large , bustle many business people . 
 Aug 22 2009 	 Convenient 	 hotel five minute walk Buckingham Palace . also five minute walk route 24 bus line Victoria . take bus front Westminster City Hall take Trafalgar Square British Museum . take 24 across street end line take Pimlico 10 minute walk Tate . Tate take 87 Trafalgar Square . want long walk , walk along Victoria Westminster Abbey , Big Ben Parliament . , walk past Downing Street toward Trafalgar Square . head Picadilly eventually come park near Buckingham Palace . finally , past palace soon back hotel . probably 3 - 4 mile walk number stop possible , take picture , ? ? ? along way . all hotel facility bit average . however , concierge great ! ! ! ! helpful , always ready mark map , know bus route . , positive experience every member staff encounter . also , Monday Friday great little bistro street [ blue awning ] toward Buckingham Palace breakfast [ probably 6 - 12 pound , depend order two people ] . also , little package store direction church side street hotel . store variety beverage snack well hotel price . Victoria Street number different restaurant . 
 Aug 18 2009 	 eventful stay St James 	 use air mile get good deal hotel include breakfast . one hot day year enter room discover air conditioning work . despite prompt effort two employee air conditioning problem satisfactorily resolve give use fan . the arrival guest breakfast closely monitor imagine reaction tell breakfast include . contend breakfast rightfully situation could do without . Breakfast St. James cost less £ 22.50 anxious ensure charge account . way day arrival day breakfast ( excellent ) italian restaurant minute walk hotel princely sum £ 4.50 ! St. James 's close proximity Buckingham Palace . palace tour simply wonderful undoubtedly highlight trip . on arrive back musical ' Wicked ' playing nearby could gain access room . another hassle could do without subsequently tell place cell phone beside room key cause mal function . not like tea breakfast overall breakfast good . yes would stay St. James . 
 Aug 12 2009 	 fantastic hotel near Victoria Station 	 Crowne Plaza fantastic hotel welcome ( phone call reception desk arrive Kings Cross ) check ! upon check - in receive unexpected upgrade suite make memorable trip ! reception staff manager go way make we feel welcome top everything hotel fantastic location - within 5 minute walk Buckingham Palace around 15 minute Trafalgar Square . numerous good public transport option vicinity include Victoria station tube , heavy rail bus well nearby St James 's Park tube station . 
 Aug 10 2009 	 location good 	 hotel nice need renovation . well place , half - way Westminster Victoria station , close Buckingham Palace . the room nice overall experience good . 
 Jul 14 2009 	 fabulous staff far exceed expectation . 	 beautiful lobby , professional staff genuinely please welcome we hotel . helpful concierge , duty manager please able offer we fabulous upgrade two bedroom suite full kitchen , dining room living room overlook inner courtyard . complimentary coffee shortbread cookie offer wake call - nice touch ! without exception , everyone make entire family ' feel like somebody ' . rarity hospitality industry day ! great central location , close tube palace . 
 Jul 7 2009 	 good concierge staff planet ! 	 concierge staff Crowne St. James good ' ve ever encounter . go beyond call duty see stay London exceptional . anything want room ask . anything want attend ask arrangement make we , seat great ! sure would like next make great suggestion . often thing happen year ( like troupe color Queen 's bithrday ) , visitor , would probably miss . addition wonderful staff location perfect . could walk many wonderful site include Buckingham Palace , Westminster Cathedral , Parliament / Big Ben . Frederick , Fred S. , Justin , John Paul absolutely make trip . always stay there . P.S . bed comfortable sleep pleasure ! 
 Jun 24 2009 	 nice hotel convenient location - would stay . 	 stay 8 night June 2009 . unlike reviewer room tired . update clean . carpet new , tile bathroom new everything update . travel double bed - room 559 . quiet never hear anyone another room . view office building - use room sleep not matter . room also large London - big ' ve ever . tv lot channel , 2 robe room , pot make coffee tea ice bucket bottle carbonate still water - replenish day courtesy drank . also ice maker every floor come handy . air conditioning actually work ( rare London ) .The room hairdryer wall bathroom without enough pressure hair , also hairdryer drawer dresser plug mirror powerful . water pressure poor , plenty hot water bathroom nice large clean - even light makeup mirror wall . provide soap , shampoo , conditioner , body lotion , q - tips shower cap . also full length mirror room , iron , iron board , trouser press safe . the internet other say ridiculous - 7lbs 15min , 12lbs 30mins 15lbs 24hrs . pub nearby free wifi , never use - take laptop waste - use Blackberry . it be locate St. James Victoria Tube station - short walk . 's 15 min walk get Trafalgar Square Picadilly Circus . go front Buckingham Palace turn right Mall - prefer turn right Birdcage go St. James Park . west end show 20 - 30mins walk . Harrods 30 min . breakfast include rate good . lot traditional english thing like baked bean mushroom . also scramble egg everyday ( could ask egg cook another way ) , roll , chocolate croissant , fruit , meat , cereal , apple juice orange juice . lunch Broadway Cafe offer good sandwich reasonable price . also convenience store right hotel get snack . area close get back 9:00 . staff concierge friendly helpful . arrive 7 am , check - in not 2:00 , get room 8:30am . would absolutely stay recommend other - least get room 559 ! 
 Jun 20 2009 	 fantastic location excellent staff agree ... tired room ... 	 stay 4 night June 13 - 17 . advance purchase rate superior room ( avg . price per night = GBP115 ) also take advantage ICHotels point get free night stay . room : room absolutely huge - much big expect . would definitely pay bit get superior room . reviewer note , carpet bit aged , wall bit scuffed , curtain noticeably old . however , we , place rest incredibly comfortable . tv room load channel bathroom plenty big not seem date previous reviewer note ( although shower pressure awful , think 's true place London ) . room quiet private . , update lock room also appear change bed ( 6th floor ) . would request 6th floor seem update floor . hotel : common area hotel absolutely impressive . would agree internet outrageous , walk around corner , France Petty street pub free wifi . go sign rather pay GBP10 / hour ! plenty place closeby free internet pub particular really comfortable great food ( first one come leave walk tube stop ) .staff : incredibly helpful . Fred concierge quickly get we Nobu anniversary dinner . allow late checkout ( think ' m gold member ICHotels group ) . everyone extremely friendly make easy . location : husband walk absolutely everywhere thank perfect sunny weather enjoy stay . location perfect . great stroll St. James Park Hyde Park , easily catch change guard Buckingham Palace , thankful short walk tube ( 2 - 3 minute max ) . even walk way Piccadilly Circus - really not far . neighborhood around hotel everything could need - department store , boot ( drug store ) , even Pizza Hut McDonalds . many option closeby would try rather dine hotel , overprice food ( not even try ) .All , even though room date , location central perfect staff great would highly recommend stay . advance purchase rate ( even though book 2.5 month advance , not charge card arrive anyway not make much difference APR purchase ) , get great deal . definitely stay return London , whether room udpated . 
 Jun 16 2009 	 Location common area nice room need work 	 questioning benefit hotel 's location London , put within 5 minute ' walk Buckingham Palace , Tube , couple minute Westminster Abbey Parliament . hotel 's restaurant , gather area , lobby impressive . unfortunately , first impression fade quickly wife enter room . everything clean proper , room quality match quality remainder hotel . carpet wear pulled place , bed age several hollow spot within , bathroom need upgrade ( e.g. , tile dirty , stain age ; soap holder relocate several time , leave patch hole wall ; countertop also stain age ) .On positive side , staff extremely helpful request , concierge desk always willing provide assistance advice ask . however , give price pay room , extra charge everything ( business center , high - speed internet , phone usage , etc . ) , room need upgrading , abundance compete hotel throughout city , would seek another hotel room update . 
 Jun 11 2009 	 extremely comfortable great business hotel 	 second stay Crowne Plaza hotel business . times ' ve upgrade large executive room free magazine bathrobe . staff wonderful could not helpful . would love come back hotel personal visit , sit gorgeous inner courtyard large fountain high tea , try Michelin - star restaurant weather poor . 
 Jun 6 2009 	 good location room average 	 use hotel couple time . superior room ok term size room little tired bed average comfort . tend use restaurant pub nearby food be not special heavily price . pub around corner good English Breakfast half price hotel . 
 Jun 3 2009 	 lovely 	 hotel close Buckingham palace provide one great opportunity enjoy great park nearby particularly summer . tourist location closeby . indian restaurant make hotel good choice Asians . 
 Jun 1 2009 	 Location location location - - could bit renovation 	 doubt hotel convenient . right next Buckingham Palace ( become Queen 's neighbour night two ) . quite accessible St James ' Park underground station ( little Victoria station ) . hotel grand outside lobby ( although doorman keep ignore , never really offer open door ) . front desk staff helpful otherwise . agree past reviewer hotel need renovation . room spacious enough , sign wear tear obvious wall room . stay half price special , really , overall , give price location , would ideal short stay London want stay close major attraction . 
 May 21 2009 	 stay away ! ! ! 	 bad Hotel ever .... breakfast room like hostel ..... room old dingy .... shower pressure pathetic .... Disappointing 
 May 6 2009 	 Poor 	 Hotel surprisingly poor . expect well . delay check room key not work return get another . corridor murky , narrow , desperately need renovation . room much well - definitely see well day . cramp generally annoying . breakfast service even bad - staff rush around , poor selection food , room cramp . would definitely return . hotel overprice hotel class . thing go location , would handy tourist . 
 May 5 2009 	 Great Hotel 	 enjoy stay hotel immensely . staff terrific room wonderful - clean nice size . upgrade front desk - ask . concierge staff practically become good friend helpful everything . would absolutely stay - without doubt . 
 May 1 2009 	 Nice Hotel great central London location 	 stay 5 night April . Front desk staff could accommodate . got we 9 a.m. check arrive overnight train trip Scotland . lovely room 6th floor overlook courtyard . full english breakfast include rate $ 200 ( US ) per night -- good value London . St. James tube stop 5 minute walk , Victoria Station 10 minute walk . Buckingham Palace close . convenience store right around corner come handy . would certainly stay . 
 Apr 28 2009 	 could well ... 	 stay hotel two night . despite husband Gold Priority Card holder , give must bad room hotel . triangular shape , small view wall ! ! dark result squeeze past end bed get round . really either room solo traveller think will not complain ! ! speak reception relocate much nice room view courtyard second night . three time size . hotel look great arrive general staff friendly . eat Bank restaurant one night food amazing . would highly recommend . cost £ 87 two two course bottle nice wine . overall location great get right room , be value money ! 
 Apr 27 2009 	 Good 	 would definitely stay . great location , great staff decent room ( lack drink choice bar though ! ) . overall good value . thank . 
 Apr 27 2009 	 Lovely Hotel great location 	 book present Mother . get good deal book month ago £ 160.turning outside lovely , look grand place . bag take away straight away reception upgrade room great news . the room pretty date honest , large , need bit TLC think . must say hairdryer awful ! slow . glad mum short hair ! ! staff brilliant . did'nt eat hotel , well apart Breakfast , must say lovely ! great fresh fruit etc . hotel great place eat . drink bar though lovelythe tube station 5 min walk away . Buck Palace 10 minute walkI would def stay recommend friend . we could leave bag Sunday could sight seeing ! ! 
 Apr 25 2009 	 nice stay 	 bad stay , nice court view , room good size . close Buckingham Palace attraction . downside cheack dead 2 pm early offer anywhere leave luggage . good 
 Apr 25 2009 	 Great Location - nice hotel dear food drink 	 hotel could well locate - five minute walk Buckingham Palace short stroll Houses Parliament Westminster Abbey . my wife stay two night stay reward point despite fact stay free upgrade Priority Club platinum member . the room lovely whole hotel nice classy feel . staff could helpful overall really nice hotel . however go bar drink serve bottled beer double measure spirit mean expensive bar bill spend night hotel bar . evening meal Bistro 51 expensive describe average food . two restaurant ( Bank Restaurant Quillon - Indian Michelin star ) expensive compare restaurant eat in . a tip would come hotel , turn leave walk 100 yard come traffic light turn right street call Petty France find delightful pub call Buckingham arm serve nice meal good beer . as state hotel superb could well locate staff overall excellent stay . 
 Apr 24 2009 	 handy change guard 	 not good Crowne Plaza London - fact really keen geography probably Westminster . chic modern Crowne Plaza Blackfriars City London room little tired . great location sightseeing . Buckingham Palace 3 minute walk away . Houses Parliament close enough flight path police helicopter budget day week nice day stroll Royal Parks must time . room quirky buy low end range bit lucky dip . nice room week service usual great . 
 Apr 21 2009 	 Location Location Location ! 	 nice hotel fantastic location . short walk Buckingham Palace , St James Park , Green Park etc . easy walk St James Park tube station . room large expect London , quiet . breakfast fantastic ! get good deal booking , breakfast include . room internet charge expensive , especially consider many internet cafe 's London . complimentary chocolate , shortbread , water daily nice extra touch . would come back breakfast get similar deal ! 
 Apr 20 2009 	 wonderful staff great location - 	 return wonderful stay hotel . praise highly enough staff especially Reception . room comfortable right near elevator request ( one group walk difficulty ) . location hotel really central , able walk St James Park wonderful spring day priceless . hotel quiet neighbourhood , least weekend surround office . feel really safe walk around hotel . mention reviews bathroom little tired looking , add charm hotel . find everything spotless . I stay number hotel London one stay . . 
 Apr 20 2009 	 great value location 	 hi , Stayed Saturday night affordable rate . check - in friendly courteous give free upgrade Superior Room . room spotless , bed extremely comfortable , shower superb - really , one would ask 4 star room . real plus location - right heart central London , yet quiet road traffic issue . decor old - world modernist , people ( like wife ) like ! quibble have breakfast somewhat overprice credit crunch time almost £ 50 2 , eat elsewhere . otherwise , satisfied would go back . 
 Apr 13 2009 	 great location ok hotel 	 stay hotel April 5 - 8 . book conference nearby Queen Elizabeth II Centre attend also sightseeing . tourist want see lot top site London , be one good location . literally step away Buckingham Palace St. James Park . take right hotel St. James tube stop . 10 minute walk Westminster Abbey , House Parliament , Big Ben - right across bridge London Eye . able walk Green Park , Hyde Park , shop around Picadilly area . hotel nothing special though - tiny outdated room , expensive internet ( wireless ) , small old bathroom ( shower especially awful ) . bed comfortable room not & quot ; clean & quot ; look feel . wall also thin . rate breakfast include pretty nice - would never pay 20 pound charge menu ! concierge helpful either . not cheap hotel - think rate almost 200 quid night - would say other area stay , would probably well bet . 
 Apr 5 2009 	 great location hotel need work 	 hotel prime location sight seeing , wife find less expect Crowne Plaza get beyond lobby . first night room pretty worn burn light bulbs low hiss noise ; second marginally well ( look like bathroom recently redone , although grout tub do well ) , still need freshening give Crowne Plaza . able move room first night bag move we , promise , get back day second . room large reasonably clean , neither we could get past general need update room hallway . also , ' m sure typical London , room clock . still , location outstanding staff helpful responsive . seem business travel - focused hotel , work well leisure trip well . fresh paint update would make hotel outstanding . 
 Apr 2 2009 	 nice location short trip London . 	 really enjoy hotel . staff courteous helpful . room large expect . plenty room . within walking distance Buckingham Palace . restaurant also good . 
 Mar 30 2009 	 great hotel amazing location super deal ! 	 location amazing . hotwire price good deal could get hotel . room get 2nd floor view complain stay 90 GBP / night . hotel operate Taj group hence number indian dish in - room dining menu . Michelin Starred ' Quilon ' restaurant also part hotel serve authentic Kerala cuisine . certanly stay get deal like one get Hotwire . 
 Mar 28 2009 	 really tired old room 	 stay three night wife & amp ; get really good rate - well nowhere near standard crowne plaza ' ve stay . location good 's central & amp ; safe . public area ok & amp ; staff friendly - give impression really swish hotel . however end look three different room either smell damp look onto brick wall etc . common small room & amp ; really tired , paper peeling , scuff fixture etc . cap - swipe bill onto friend card vice versa - well friend . could find much well . 
 Mar 24 2009 	 another fantastic visit ..... 	 ' ve come back another 3 day stay Crowne Plaza St James , 2nd stay fabulous time . hotel great staff probably nice London , never surly awkward person deal can not say stay London hotel . would always stay , fantastic location - minute St James Park tube near great restaurant shop - check Albert great food atmosphere . direction Buckingham Palace 10 - 15 min walk Westminster want stretch leg rather tube it . breakfast include stay although lovely probably would not pay extra , rather expensive lot place eat turn right hotel . great place , great staff , great location can not wait go back August . 
 Mar 15 2009 	 high - class hotel large pleasant room excellent location 	 locate close Buckingham Palace , walk distance Victoria station . high - class hotel , everything lobby room nicely decorate . room large , unlike write ( least ) one review , pristine condition ( except perhaps wood around window frame bathroom , issue ) . welcome service , complimentary biscuit , chocolate ( mint , unfortunately ) water . I would strongly recommend hotel , also location really convenient , walk park heart London . 
 Mar 8 2009 	 good alternative busy West End 	 Crowne Plaza wonderful ' clubby ' old world feel , room large though standard bed small may well single bed push together need space . low water pressure 6th floor room make shower pathetic end use tub . the ground floor bar nice well use guest . would reccomend Crowne Plaza first time visitor London . St . James & amp ; Westminster ' Olde London ' feel , good local pub get overcrowded , particularly early evening , usually find seat . local Underground , St. James , Circle line , make travel part London , attraction , easy . 
