Classy 	 stay Dorset Square 2 night late November 2009 . third time would use hotel , first time year . check handle professionally courteously set scene pleasant stay characterise excellent customer service , include restaurant ... return later . my room delicately decorate single third floor view Gloucester Place . seem little spacious room would previously .. perhaps light tone decor . one two minor niggle - panel aircon unit little ill - fitting tatty one bathroom light bulb need replace - also one two rather odd little black & quot ; bit & quot ; come hot water tap bath ! say , minor ; room warm , comfortable well - equip . previously , restaurant hotel & quot ; Potting Shed & quot ; - replace August 2009 italian . initally rather sorry - enjoy quirkiness british cusine Potting Shed . neede not worried . service food new Italian absolutely excellent . breakfast well dining night stay high standard maintain throughout . when come check similarly handle smile , continue theme old - fasione courtesy service . the Dorset Square well - run , well position ( close Marylebone tube / rail station ) classy , boutique hotel offer excellent base leisure business traveller . back . 
 Nov 16 2009 	 would want stay Hilton ? 	 stay two night Dorset Square hotel recently . manage get good deal Lastminute.com one ' mystery hotel ' - well worth book way , book request read review room high 2nd floor would suitable couple - request meet - room 407 top floor , small perfectly adequate need , everything could want provide , mini bar , complementary toiletry . room traditional unique , antique furniture painting wall - different large anonymous , impersonal hotel . bathroom rather small , shower fantastic - make ! thing not room would liked Tea & amp ; Coffee facility . rather nice able make drink want , rather wait 20 minute one buy room . one occassion order pot coffee two , buy 2 pot tea , not drunk tea 14 year ! couple nice touch newspaper outside door every morning , card detail weather follow day shoe cleaning service . ' m entirely sure restaurant traditional hotel Italian - might expect . we would stay central London hotel day week - location downside not right centre , 's plus point - 's quiet one . 
 Nov 3 2009 	 be like stay London Club 	 wife return hotel stay two night arrangement Auctionair . first visit will not last . arrive midday Saturday 31st October . slightly chaotic begin room be not quite ready soon everything sort whilst enjoy sandwich free glass prosecco . room 102 first floor face Dorset Square resplendent golden tree . huge bed , two large window suitably double glazed keep noisy motor bike , bedeck heavy braid curtain . wall black fleck wall paper . furniture stress give feel victorian bedroom . bathroom modern , marble wall washbasin , bath shower overhead ( work shower side tap bath ) . loo take rather long time refill would criticism . plenty towel , flannel , hand towel , shower gel etc . perfect . oh yes , SKY SPORTS 1 2 .... arrangement mean could dine hotel restaurant one evening . current advertisement state restauarnt English - Potting Shed . ... cease trading four month ago . italian restaurant good one . sadly yet make known neighbourhood owe restriction outside sign . shame splendid four course meal , beautifully cook present enthusiastic staff , mostly italian also New Zealander . one italian lass London around 16 week arrive Geno know English . Serena almost word perfect ! ! meal cost - include tip - £ 92 . arrangement Auctionair mean hotel pick tab ! ! two breakfast restaurant underground good London hotel . smoke salmon scramble egg would graced table Prince Charles ( favourite dish apparantely ) , next morning full English equal Mandarin Oriental Hong Kong . include prepaid cost . but last eat experience surprise we . hard slog around London Sunday afternoon return english tea lounge . wow ! heap smoke salmon , toast , sandwich , cake , custard bun , fresh strawberry , muffin , butter , jam . table groan much need dine evening ! reader , think true british stay try . one look visitor book satisfy question . small downside hotel outside normal tourist area short walk take Baker Street - yes Sherlock Holmes Museum nearby - fascinating , take bus 159 453 Pioccadilly Trafalgar Square . we shall back - thank Auctionair ! Tony Hilary IrelandCheltenhamAstrotravel 
 oct 22 2009 	 dorset square wonderful hotel ! ! 	 husband stay Dorset Square lovely ! ! would recommend anyone . great location , staff helpful . great hotel ... sure stay visit London ! 
 Oct 20 2009 	 really bad experience basement room breakfast . 	 look forward 1 - night stay book air - mile . check informed get upgrade room 4 - poster bed . great ! , take aback find room basement , also wash basin crack television connect . main problem occur restaurant morning try order breakfast . keep ask waitresses tea breakfast unable give we anything . one speak English say water heater break boil water kettle bedroom order first . several angry people restaurant also could not get breakfast . see duty manager apologise tell we staff problem equipment failure make effort get we breakfast . leave comment effect hotel write get home reply . contact air - mile September month wait offer £ 20 compensation feel derisory . Jennifer Eddie 
 Oct 15 2009 	 lovely elegant hotel 	 stay 4 night September . happy every aspect hotel . room beautifully decorate bed comfortable . the hotel across street gate park area peaceful quiet . staff friendly helpful . hotel close Marlebone Baker St. tube , though use Marlebone b / c nicer tube station . hotel restaurant look nice although never chance eat . possible negative thing could say Dorset Square hotel staff not many suggestion come sightseeing around London . , perfect . 
 Oct 14 2009 	 Fantastic 	 everything Dorset Square Hotel fantastic . room beautiful comfortable view Dorset Square . staff helpful . especially pleased want stay different part London normally , Dorset Square Hotel neighborhood fit bill every respect . highly recommend . 
 Sep 28 2009 	 English ! 	 absolutely enjoy hotel , quaint & quot ; english & quot ; . service excellent . staff go way help we ever need . example , book Expedia request king room give double . staff move we king room phone call . bathroom nice , extremely clean . room large north american standard still roomy enough . complaint lack anything watch tv , channel choose ( not come London watch tv ) . hotel ideally locate block Marylebone Tube Station five minute walk Baker Street Tube Station . would definately stay ! 
 Sep 19 2009 	 Great Boutique Hotel ! 	 Husband well travel Toronto . stay Dorest Square Hotel 2 night September fantastic time . first trip London , quite impressed friendly staff await arrival . the hotel Lobby beautiful old charm ambience , travel hour train , fantastic fresh fruit await arrival hotel lobby . complementary fruit guest nice touch , Husband enjoy every morning . room clean quiet , fresh towel , complementary news paper every morning also nice touch . close many restaurant pub foot . strongly recommend walk " fish work " good fish n Chips London . also , ' must purchase day ticket & quot ; Original Tour London Sightseeing & quot ; bus . 20 GBP hop bus many time 24 hour span see major attraction without take regular transit taxi … I rate boutique hotel 4.5 5 would definitely return future . 
 Sep 13 2009 	 stay next time go London ! 	 live hotel . room beautiful , view Dorset Square . location perfect . two short block Marylebone Tube . staff friendly helpful , staff restaurant . would definitely stay ! 
 Sep 13 2009 	 great hotel every respect 	 second time stay great little hotel central London . time business important italian business partner . unique English styling individuality great hit . customer service fantastic last time , new italian resturant downstairs provide high quality food good value money ( italian partner also confirm ! ) would definately recommend hotel anyone look convienient central location , also wish stay real top class environment , rather & quot ; cookie cutter & quot ; hotel chain . 
