perfect 	 helpful service staff , clean hotel restaurant , breakfast great lot choose e.g . frest fruit salad , cereal , toast croissant . room good size nice shower room easy use heating , linen change every day room spotless.we find warren street tube good commute city centre , get main attraction , hotel offer lot leaflet computer see be happen London . 
 so - so small convenient 	 firstly , read people post - room small . small . point , one us unpack stuff , lie bed . , good point , shockingly convenient location . within 5 min walk Euston Kings Cross , 30 second two tube station , cover 4 main tube line need city - break , , thank bit internet google - fu , shop arround get good deal . oh , free luggage room ( charge , other say ) mean final day little less hectic . bathroom nice , everything spotlessly clean ! however , negative . firstly , continental breakfast basic , much basic 90 % traveller use . also dine room small , mean wait table eat . secondly , say , room titchy . use available space well , still really workable anything one two night . & quot ; minimalist & quot ; decorate room & quot ; clinical & quot ; . much wardrobe space - stack suitcase corner room radiator , make room look even crampedIn , probably get well shop arround , simply pay convenient location . well less money past London . 
 Nov 25 2009 	 Euston problem 	 stay single room Euston Square Hotel get clean , renovated room reasonable rate good location . room bed small , expect european standard . shower good water pressure plenty hot water . room clean fresh towel sheet provide daily . Breakfast include , , typical european hotel breakfast , quite enough sustenance last lunchtime . wall indeed thin sensitive noise might want bring ear plug . several market / drug store area . major complaint highly recommend hotel budget - conscious traveler . 
 Nov 9 2009 	 expect 	 Booked hotel trough hotwire , mean do not know advance htl exactly book . public area quite ok . room poor . terrible lighting , cold , tiny , really feel clean . definately basic 3 star 2 star . 
 Oct 28 2009 	 bad hotel trip ! 	 spend nightmare night hotel . check , desk clerk ask we would like & quot ; quiet & quot ; room . shudder think noisy room like hotel , give quiet one ! give room second floor face side street . night long , siren ambulance police car wake we repeatedly . light street glare window , drape deaden sound block light . Voices street level also wake we . room tiny , could barely move around . bed wall comfortable . bathroom size closet . check early reluctantly let we bowl cold cereal instant coffee . bad mark otherwise great trip . 
 Oct 27 2009 	 Toilets small people ? 	 room get make reservation nr 412 like wardrobe hotel room . try use toilet , space toilet seat wall right opposite small . ' m normal size finnish man ( 1,87 meter ) toilet obviously design midget . give opportunity upgrade room extra prize . room disable people spacious , thing bother lack sound isolation ( thin wall , singular window , first floor ) - live . ask compensation upgrading room , could not use room hotel offer . book night 26th 30th October extra fee make 40 pound . write morning email direct Manager hotel . 's evening ' m wait answer . 
 Oct 16 2009 	 great value great location 	 stay one night business trip please find Euston Square ! clean , comfortable great staff - helpful throughout reception desk bar - special thank Mohamed ! room small everything need bathroom adequate . ask book quiet room get one - problem noise despite hotel 's proximity Euston Road . buffet breakfast good reasonable choice . big advantage hotel 's location - 5 minute walk Euston Station next entrance Euston Square tube station - 2 block Drummond Street truly fantastic selection real ale pub , curry house range local restaurant , combine make feel like village central London . definitely back already recommend hotel number friend business colleague ! 
 Oct 1 2009 	 ideal location lovely clean compact room friendly 	 great location . staff friendly . great breakfast . amazingly quiet consider london 
 Oct 1 2009 	 superficially ok not look closely 	 want ' boutique ' lack much ! wait check receptionist call . small elevator , get room - key not work - room opposite elevator ; literally 2 step ! ask different room , tell quiet area - ! must large jail cell room - nowhere put suitcase , chair , kettle not work , wi fi work public area - although free . Bathroom claustrophobic , especially shower . asset , close arrival / departure station clean . fact , clean almost kill spray disinfectant coffee clean table working lounge ! ! 
 Sep 22 2009 	 small room excellent location 	 small room tiny shower room - nicely decorate clean though . breakfast buffet fine staff helpful . guest ( mainly young foreign tourist ) bit noisy Saturday night otherwise bad noise - wise consider hotel 's proximity busy Euston road . good thing location - 10 second Euston Square tube stop 5 min walk Euston main station . 
 Sep 13 2009 	 smart small 	 room small , clean , minimalist , nice . bathroom good , bed comfy , good buffet breakfast . 
 Sep 3 2009 	 modern clean hotel excellent position 	 request quieter room suggest previous review . room side hotel noise level acceptable . room small adequate short stay . everything clean modern . bathroom also small well design excellent shower . bh weekend breakfast busy , extra staff might help clear table quickly . hotel well position get around would stay . 
 Aug 31 2009 	 great location but ! ! 	 hotel great location , 3a 30 second walk Euston Square underground 5 min Euston station . room fine , clean modern decent bathroom . big room world adequately size . BUT1 . 5 pm get int oour room , husband shower room getting change someone try come room ! ! not know needless say slam door shut fast could.2 . enough cutlery crockery breakfast time - cup , plate , knife spoon ask waiter cup , say ' no ' . eventually crockery cutlery buy out . the food breakfast actually quite nice - continental breakfast see people fry breakfast . overall though , due location would probably consider stay . word advice though - lock room soon enter case anyone tries come ! ! 
 Aug 15 2009 	 adequate night 	 bland bare tiny room . clean shower good . television unwatchable angle bed mean rearrange furniture watch . know like do nothing . 
 Aug 13 2009 	 value money 	 small room . dirty , dirty carpet room . Room clean daily . 
 Jul 5 2009 	 good hotel ! 	 small , clean room , airco , koffie tea make , nice tv small nice showerroom . breakfast excellent , big bowl fresh fruitsalad . euston square underground around corner euston underground 200 walk distance . good price / quality . 
 Jul 4 2009 	 Great City Hotel 	 bit apprehensive arrival hotel reading review site really need not be . location wise really get well hotel . arrive Euston station hotel literally 5 min round corner . outside hotel restaurant Euston Sq station 2 min walk away Warren St station - great plan alot sight seeing . our check smooth uncomplicated . concierge friendly polite check within 5 min . lobby clean , bright modern . great indication rest hotel like . however price drink bar ridiculous ..... avoid ! room little small side 2 bed , tv wardrobe . clean bright . bathroom perfectly adequate clean , aside problem hot water last day . I think great hotel people look comfort budget , place situate centrally really place sleep store thing sightsee . 
 Jun 4 2009 	 bad great 	 hotel shabby feel - perhaps standard public space , entrance corridor room fine - good size ( twice size room pay double London ) , clean , warm , appoint good standard . problem chair - business need use laptop - need desk proper chair , rather stool . conclusion okay hotel - would use push - mostly ground great location next Euston . 
 May 29 2009 	 room book 	 tell time booking room little large London Hotels , sofa one side room , however room sell arrive 4 day , bathroom tiny could honestly sit toilet vomit sink time , shower unreal , stand upright room , open shower door wash back low extremity , step shower dangerous , husband fall badly result . room big disappointment . otherwise clean , nice continental breakfast , close Underground , bus network , walk distance St Pancreas Station . 
 May 29 2009 	 great hotel ! ! 	 read bad review hotel thought would tell stay stay twin room 4th floor room big enough 2 people modern date bathroom lovely could stay shower allday . room clean get fresh towel everyday staff polite friendly . and continental breakfast nice good selection food eveyone . hotel beside euston tube station handy travel anywhere zoo madame tussaud walking distance . bar normal price would pay drink london . yes could hear little noise night hear noise hotel stay normal . 
 May 27 2009 	 small clean 	 room incredibly small bathroom even small , Grey wall black paintwork help either . kettle put floor boil else accesible . having say room clean tidy feel safe woman travel alone . the food restautant adequate pricing food drink - coffee etc reasonable . the staff helpful timestherefore could argue hotel provide basic clean room reasonable price central Londom 
 Mar 3 2009 	 dreadful hotel - please stay ! ! 	 dreadful hotel - please stay . room could lock due problem lock system . room cramp room even move round bed . tea coffee make facility towel arrival ! bed linen dirty huge cigarette burn . carpet disgusting - unclean . reception staff extremely unhelpful . stay appalling hotel . 
 Jan 22 2009 	 London Excursion 	 stay hotel twice 3 week period explore UK . first time 4 night , stay friend two twin bed . little tight make sure tidy otherwise war zone . feel enough space arrange suitcase thing appropriately . complaint room shower stall rather small . bathroom size overall nice , shower . the second time 2 night , stay double bed . different layout first . nice , shower stall rather small , definitely doable . storage limited , fine single person way much luggage . ( last leg trip gather quite souvenir . ) hotel staff excellent . late night time want something drink ( Coke ) open restaurant let buy one . two time stay need store luggage , reasonable fee able store one suitcase . internet junky great wireless . problem it . breakfast good . though unusual first , quickly adjust . not offer one two thing , offer array thing . the location hotel perfect . Euston Square step away along another main line underground . good restaurant nearby . I plan London thinking booking . 
 Jan 2 2009 	 small move 	 room tiny place store luggage . need put front door night , bed day . barely enough room 2 we pass move around bed . bathroom extremely tiny -- sink lap sit toilet , could not even turn around shower ...... also trouble check - in . book pay hotel on - line , claim pay , would pay check . luckily , paperwork web site , could prove pay , quite argument , take quite check in . however , location extremely convenient train station subway station , part nice . 
 Dec 18 2008 	 lovely hotel get right price 	 Managed get hotel way price quote website weekend stay two couple . good location close Euston tube station . hotel within walk distance Madame Tussaurds Regents Park . room compact clean hotel staff friendly , especially bar staff kind enough serve enough ! ( also allow we order food hotel chef finish night ) .would definitely recommend want base tour comfortable travel tube . hotel lot nice ( cheap ) hotel base central . 
 Dec 8 2008 	 ideal location 	 partner & amp ; stay hotel birthday weekend . location hotel ideal . right tube main line station , make perfect travel around central London . the staff exceptionally friendly helpful room extremely clean comfortable . the breakfast good valve . we come Brighton London time year doubt stay hotel recommend friend . 
 Oct 11 2008 	 mixed feeling 	 experience Euston Square hotel mix . due stay hotel one night , due strike Eurostar partner come stay hotel well . although obviously short notice problem ! overall , say staff really nice friendly . however , quite surprised saw room . small ( say : efficiently furnish ? ) ! look picture people post would say small room hotel . even room table / desk ! surpise stay another ( cheap ) hotel area previous day , much big room ! also disappointing cleaner remove dirty sock previous guest put fire alarm . the room nice modern contrast previous review problem noise , room locate inside . also complimentary shampoo nice forgot bring . breakfast also o.k , lot choice . mixed experience , think go back hotel . 
 Sep 29 2008 	 little gem hotel ! 	 book short notice , love first minute ! 's stylish modern , room undoubtedly compact , require , especially short stay . bathroom equally stylish . Euston Road , hear traffic be loud . breakfast plentiful buffet , complimentary paper , nice seat area friendly staff . look forward next stay ! 
 Sep 22 2008 	 Small Noisy 	 read hotel room small noisy still high hope room would different . check specifically ask one quieter room due rather bad review read site . put we ? room directly underground tube entrance next extremely busy road ( 24 hrs day ) . noise factor bad fact room small . table area set bag , purse , water bottle etc . note : never never stay room 103 . 3 day finally get little smart request room side hotel ( room 119 ) window face small street run alongside hotel . still noisy bad . least get sleep last night . room air conditioning know room air available . unit shut automatically previous poster note . no complaint regard staff . respond quickly request room change , help we book airport transfer service pick we depart print boarding pass . 
 Sep 22 2008 	 Nice Little Hotel - well worth try ! 	 confess finger burn time small , independent hotel Central London . Euston / king Cross area Central London course hotbed hotel shape size proximity three major railway station two Underground interchange . name right next door Euston Square tube station ( Circle Metropolitan line ) , hotel still classify AA bed breakfast 3 - diamond rating ( equivalent 2 - star hotel roughly ) . 4 - 5 minute walk either Euston Warren Street station northern / Victoria line . first impression hotel positive – whole place wholesale refurbishment ' mean lick paint – every room gutte renew , high quality bathroom finish , new furniture , room safe , hairdryer , television internet access ( chargeable ) , air conditioner control small console wall . seem make real effort bring place modern , contemporary standard . desk staff seem courteous , well present eager help - need pair scissor cut cable tie luggage example , handyman send within minute requisite tool ! ! although must say couple staff encounter ' seem friendly suspect ( often case London ' reliance immigrant labour ) lack proficiency english anything else . good bit lot bathroom – like room kitte really high quality fixture could almost describe wet room . shower excellent – deliver hot water high pressure – could stay day ! ' think much cheap nasty complimentary toiletry however . there bar / restaurant hotel – use refurbish term fixture fitting comparable anything ' see big - name 3 - star establishment . price quite reasonable - £ 3.10 pint lager pretty good London hotel ! ' like ? like reviewer establishment size room big issue . big enough double bed , enough space side get in / out wardrobe . hardly room door open freely never mind basic thing one would expect 3 - star hotel desk chair . welcome pack window sill tea / coffee making do floor next vacant wall socket . noise problem . hotel look onto busy Euston Road , bad news south face window , audible pigeon scarer ( noise seagull ' distress call ) go every , also depend part hotel – noise elevator machinery bumble fabric building almost constantly . main gripe pay £ 180 two night two people double room – ' £ 90 night face pretty darn good . promotional rate get via British Airways AirMiles – full rate ( accord notice reception ) whop £ 130 night single occupancy , £ 200 double occupancy . put perspective ibis , two Premier Inns Travelodge within walk distance Euston Road – big - name 3 - star hotel £ 80-£100 per room price range , far big bedroom well facility overall . short – former 2 - star hotel expense spare refurbishment bring 3 - star standard , full rate border 4 - star territory ' difficulty justify kind outlay . so overall , ' say small independent hotel sound choice would definitely come back long ' value lot space ' say ' well worth long ' pay odd . 
 Sep 17 2008 	 small perfectly form 	 adequate , overprice comfortable , conveniently locate unpretentious hotel . will go back business visit nation 's capital . small clean room well average bathroom security . 
 Aug 26 2008 	 small 	 Husband stay Euston Square 2 night . appal disappointed size room , bag room leave room place bag bed move around bed . could open door bed . also room internet tv joke could not write send e - mail difficult use . would never reccommend hotel couple , perhaps single night 
 Aug 22 2008 	 turn Set Record Straight 	 will keep short sweet:1 ) hotel LOUD ! excuse way put ... loud . ' ve live london year hotel locate major / busy road run central London . sleep well all . my room 001 , first floor . could constantly hear people go lift night . window overlook street , maintenance truck worker park outside . not know hotel locate DIRECTLY next Euston Square tube station . not familiar London , start around mid - night ( 5ish ) worker maintenance / repair tube . luckily truck park next window . even window close , could hear speak , yell , bang equipment . 2 ) wall paper thin . could hear everything italian neighbor say , , could hear cough night . 3 ) room disable people disable . unknown reason place room . bathroom design person wheelchair , look exactly like bathroom grandfather nursing home . shower curtain special seat shower . 4 ) hotel staff nice friendly.5 ) A / c work . conclusion : want location , yeah hotel get . 's 5 - 10 hotel King 's Cross area . 's plus rate come breakfast free newspaper . overall , ' m warn hotel soooooo loud night . 
 Aug 15 2008 	 noisy air conditioniong turn 1h 	 stay Euston Square 4 day business trip London . I find difficult sleep hotel because:1 ) Room noisy , top busy junction London2 ) curtain not avoid light come room , make even difficult sleep . we ask move different room staff we , seem good idea first . new room silent , warm . turn air conditioning hope good night sleep , air con go one hour . wake 3 time night feel warm turn air con . think hotel want save energey , prevent air con turn one hour . 
 Jul 27 2008 	 well recommend ! 	 enjoy short stay . hotel staff could helpful - even let we room early 2.00 pm ! hotel clean indeed - even change bed - linen day . breakfast enjoyable - good choice continental . true room little small , quiet , clean good tv reception toiletry . would stay ! 
 Jul 17 2008 	 set Record Straight ! 	 read previous review hotel little worried stay hotel wedding anniversary trip London much search around decide " hell , ' stay 2 night ' time , bad ? " feel must set record straight , ' understand complaint about … disabled stair lift front step upon enter reception greet really friendly staff . go room warm turn radiator switch integrate air con soon solve issue . also free stand floor fan extra cooling . the room exceptionally clean 5x4 metre size – perfectly adequate far ' concerned . shower room small perfectly functional immaculately decorate contemporary fitting , strong odour faece though ' guess previous occupant general problem leave shower room window open hour evacuate stink problem that . the shower powerful hot require show sign mould , leak inadequate cleaning . we take laptop pleasantly surprise see room safe big enough store well valuable ( see picture ) , many time stay hotel room safe ' even put digital camera ? room small LCD tv desk , ' comment though ' room long enough use although use free internet access great help we London fact - find map search use Google . the window ' open much hotel ' window ? great deal traffic noise window open mile two west end , ' hardly fault hotel ? anyway , shut windows traffic noise stop except loud emergency siren . we good night ' sleep night comfortable bed also clinically clean inspect wife also hotel manager – bed bug worry stain mattress ! Breakfast include continental basis sometimes mean tea coffee croissant ham cheese butter jam … matey , offer could eat buffet style breakfast include 3 4 different cereal , fresh fruit salad , brown white bread self toast perfectly function toast machine . chocolate , fruit danish pastry , tea , coffee ( hot ) cold orange juice . may ' notice . GREAT BREAKFAST ! iron room return day ask reception iron ironing board , second get room member staff deliver we . finally , another nice touch need somewhere leave bag day check ' leave London 8 pm ask somewhere could leave , lead walk - in safe past reception leave return cloakroom ticket go enjoy day . return later afternoon , relax drink street - side terrace collect bag safely leave journey home . importantly , service also free charge . perhaps since 2004 ownership change vast improvement may make encounter problem highlight previous review would hesitate stay return another trip theatre - land particularly set back £ 164 two night ( even Wandsworth Travelodge £ 210 ! ) one benefit hotel immediately adjacent Euston Square subway , 400 m Euston , 30 minute walk along road Marylebone Station 30 minute walk Leicester Square . if ' look reasonably price hotel close centre without waste opulent luxury London 5 star place stay , book use laterooms.com though good discount . 
 Jul 17 2008 	 good hotel serve purpose 	 group work colleague stay one night Euston Square Hotel ( 10 we book double room ) .Check easy , room decent size bar great meeting point . whole hotel spotless , staff helpful breakfast ( advertised continental get bacon egg ! ) good . it noisy 's tube station one main road London unsurprise . however , two bad point . 1 ) room slate blind curtain sun come ( 430am middle summer ) , room light sleep 2 ) whole hotel baking ! check , tell air con eas not working not joke . room stand alone fan move hot air around lot else . would ok winter melt . I would stay need London overnight work event social . 
 Jul 4 2008 	 everyone complain ? 	 must confess , read recent negative comment , quite worried ! , arrival , helpful , smile staff produce booking - give key etc . room tiny - everything need provide - ' m watch tv - use free internet - read free newspaper . little street noise , London window open ! closed , quiet room . wierd smells - place impeccably clean - shower fantastic .... really not know complaint ! oh well ! ! trevor ( still hotel - stay another 16 day ) 
 Jun 23 2008 	 Appalling place rude staff - please stay away 	 book two room hotel , double two night second room one night . simple enough request . but hotel get wrong book two room two night . despite present print confirmation site book , manager , call resolve issue , extremely rude insist have make mistake . he refuse allow we check issue sort say would pay room . I course refuse point issue travel agent demand allow check in . after 45 minute argue , grudgingly give we key tell we come back reception half hour . we pay front room , full , without see it . the room give right pub , outdoor speaker right window , blast football , could hear match word word . wall window paper thin could hear traffic street outside everything room next door . when pass reception later , manager say & quot ; be okay & quot ; , , apology , nothing say not fault , major attitude . for rest weekend , encounter similarly rude staff , everyone extremely unhelpful . the receptionist laugh ask move noisy room refuse . the air conditioe not work tiny bedroom like sauna , not offer discount this . on morning check , get call say room even 5 minute check , would charge £ 25 per hour ! price pay ( £ 110 per room per night ) , place sub standard . it awful place , make bad terrible staff . avoid cost ! 
 Jun 22 2008 	 overprice 2 star hotel 	 arrive Sat nite via rail hot nite check go room like jail sauna rang reception a / c tell work due reno . no coffee facility room fridge . Window open 2 inch fresh air u get traffic noise . breakfast nice take 20 minite get coffee . Sunday want dine restruant day sightseeing tie cranky , need beer tell open Sundays . Booked cab airport $ 80.00 pound 4 bad crazy cabbie 107 mile hr stage motorway . room clean comfortable small would rate hotel 2 star . Peter WoodwardAustralia . 
 Jun 16 2008 	 would recommend lovely hotel 	 work charity corporate rate hotel . room always clean tidy never problem whatsoever . I always use lugguage room morning , always arrive early check -in . always provide high level service nothing appear much trouble . the fault possibly find hotel , occasion room bite noisy traffic pasing , stay one night would probably ask move I . I would recommend hotel busine traveller quite close Euston Station usually drop lugguage head London . 
 Jun 5 2008 	 Clean smelly 	 check disabled access book two adjacent room daughter disable . arrival access flight stair . daughter would able access hotel without , absolutely help hotel staff . ask access flatly tell . mention stair get wheel chair reception staff shrug . obviously problem . adjacent room happen 3 floor away . tell receptionist request adjoining room looked say something terrible , change room next give we adjoining room mean go corridor constantly . room clean stunk Urine . mirror bedroom shelf bathroom . alarm sound daughter room call reception , 20 minute go reception bring room , press button stop alarm say either perfume deodorant set ! reception staff waste time normally 4 people stand around , bar restaurant staff friendly helpful . would stay hotel feel like hostel . disabled people able use hotel even though state disable friendly 4 disabled room due access hotel . also car park tell could park station £ 22 night , staff know could park outside overnight street car park £ 14 24 hour . 
 may 10 2008 	 worst good 	 travel back Paris ( four we ) need one night stayover London . book online quick easy . arrive St Pancras hot weather need shower . main entrance close due work enter restaurant . friendly check staff help we bag lift . smell notice per previous reviewer lift small . two room book . one back hotel brick wall view . front traffic noise . the room clean tidy little small . ok one night stay though . nicely appoint bathroom usual facility spotless . television , tea make facility internet there . unfortunately hot air conditioning work . open window one room noise horrendous occupant find difficult sleep . a cooked breakfast order massive nice tasty . see continental breakfast wished not order cook one . croissant coffee . like juice , cereal , cheese , toast , bread . plenty good breakfast . overall bad experience well . touch little attention detail would make well . note air conditioning working week , bode well Summer . would book hotel consider experience , cheap London close station . 
