small 	 husband stay one night enough . know may sound harsh never disapointe hotel . boast family stay 4 * hotel admit return not much boast . room tiny , walk around sideways apart bathroom must say good point especially way water run tap must stress good point . dusty continue refurbishment happen . know many peopke take account work finished be go cause disruption fot guest . next pitfall parking , something specifically look suggest parking available guest not state long willing pay £ 40 night . last least breakfast , enter dining room wait 10 minute clear table subsequently clear , wait 10 minute clean plate forgot ask clean cup time take another 5 minute get . eventually sit breakfast not nice hear funny noise follow two guest unplug warming hub sound though blow . shortlly check . respond review website offer apology free upgrade clubroom next stay pay double standard room . personally think bit joke ! ! ! ! point find enter debit card detail online ask pay hotel get not take money online book top everything else little irritating ! ! ! ! ! 
 Nov 26 2009 	 give NEWLY open HOTEL TRY 	 hotel recently reopen although upgrade still continue , ( however obtrusively guest ) good hotel , work complete , potential really excellent hotel . location perfect central London . Queensway bayswater station close . next Hyde Park plenty eat place hand . stay double deluxe room breakfast include . room excellent value ( £ 97 ) central London . room size good , finish new . good night 's sleep outside noise . hotel still plenty ' old worlde ' charm , lobby ground floor room original wood panel huge fireplace , stain glass window original art cover ceiling visible second floor , still complete ( hope feature never get remove ! ) two lift upper floor . gripe cook breakfast lukewarm , ask member staff put microwave willingly . staff deserve mention find helpful . would definitely stay hotel . 
 Nov 23 2009 	 everything 's new great location ! highly recommend ! 	 stay 5 nite 4 yo . Hotel reopen major refurbishment everything spank new & amp ; clean ! comfy bed , good sized bathroom ( Grohe fixture ! ) , tea / coffee make facility ( great yr child still drink milk ) , LCD TV , excellent location ( 5 min walk Queensway & amp ; Bayswater Tube Stations , 3 min bus stop bus Oxford street 5 stop away ) . esp good young child cos could return hotel 4yo rest head . staff helpful & amp ; child friendly . wish Double Deluxe tab big least proper space luggage . 
 Nov 17 2009 	 deluxe mean 2.5 m 2.5 m room ! 	 choose hotel due location . know hotel room major european city generally small literally tiny , place double bed . even place put two - cabin size bag . make reservation phone hotel advice pay deluxe room need space . imagine standard room would look like , maybe fool allocate standard room pay deluxe one . complain room not look like one publish internet say check follow day instead offer kind compensation simply say right ensure go change photo , problem . hotel recently reopen undergo major refurbishment . probably nothing work properly tecnical staff keep make noise corridor outside room 3 pm try rest long bussiness meeting . must admit public area quite impresive , look . 
 Nov 13 2009 	 newly open excellent value 	 hotel open 31st Oct 2009 review apply . the location excellent many restaurant & amp ; shop surround street . build beautiful staff friendly . book deluxe double book travel stay £ 95 - clear bargain central London . take account pleased ( though would pay £ 300 rack rate ) .The first room get tiny thought must mistake go reception explain problem kindly move large room extra cost . second room much well . although room extremeky small well appoint decorate class care - stand alone sink , flat screen tv , newly refurbish every part . good ranking take account price get room helpfulness staff . worth rack rate website however - though hotel London ? 
 Nov 4 2009 	 wait till early later 2010 book ! will disappoint . 	 fair , hotel re - open ( unbeknown we booking place ) . begin , second night seven , BOOK good MONTHS ! . first impression excellent , eccentric eclectic interior foyer show much would be . but ..... arrive right 2 pm check , wait watch two unorganised reception staff fumble new booking system fluffing , ask we wait 15 minute lounge . refreshment offer 2 hour 45 minute check . couple re - assurance wait offer checked complain lengthy wait apparent & quot ; 15 minute & quot ; would take girl promptly say & quot ; check other ' ve say ' m sorry & quot ; really dismissive way . ( mind 5 couple enter we ) .night 1 : tv not even plug wall remote . quickly fix tell random maintenance man , Hotel open 5 day ago . ROOM BRAND NEW ! ! ! ! ! day 2 ( today ) : toilet flood internet disapeare wireless network.all , 5 pre - pay day go , room fantastic , small , comfortable . the workman mean army constantly hallway toilet issue try get work lift , never see workman twice . the save grace FANTASTIC Porters , happy go way assist apologietic , unlike reception staff . I recommend wait Feb 2010 even later , may ready . 
 Jul 19 2009 	 place sleep much . 	 two year ago wife go London honeymoon , end hotel . 's locate bayswater , close Hyde park , find location good . hotel however ... good . first day not get room som problem key card , staff not thrilled help . room get small hotel room ' ve ever , bathroom equally tiny . apart , cockroach , hotel ok . 
 Jun 29 2009 	 impress clean tidy hotel 	 stay one night room 304 really impress spotlessly tidy comfortable room . whole place recently refurbish like new . the room front noise issue . everything could hope . local Lo Spuntino Bar / Cafe Bayswater road serve nice food amazing coffee . when read negative remark small room wonder people expect City Hotel 
 Aug 4 2008 	 would recommend 	 First hotel lose booking give we dirty look like fault even though pay advance . staff rude helpful . also English limit make communication difficult . put room back hotel feel pay top rate top floor treat like worth time day . breakfast experience . glare waitress walk food cold taste terrible . comment service food reception greet shrug . it relief check place . even fill one comment card review place less favourable surprised ever get response . London - great place . Shaftsbury Premier Inn - great ! ! ! 
 Jul 25 2008 	 Good London city - break ... not expect luxury great service ! 	 first impact great : façade amazing lobby public area around beautiful . room small ( mean really really small ! ! ! ! ) view get wall , be comfortable , let us face , not go London spend much time hotel room . staff could use training costumer service skill be ok , not expect big warm welcoming smile ( sort smile matter ) want hit night stay bed whole morning , prepare woken - up time impatient cleaning lady knock door ( even open walking room ) .The location fairly central close tube bus . 
 Feb 13 2008 	 pleasantly surprised 	 search hour online read numerous review broom closet size room various hotel London . reviewer good thing say Shaftesbury Hyde Park right . book double room hotel website 55 pound per night include breakfast ( one night February ) . also join hotel 's Premier Club Rewards program right booking . check mention reward program ask complimentary upgrade . clerk check availability available . room 2 queen bed , nice sized bathroom ( english standard ) fridge complimentry bottled water . breakfast everything include bacon egg , cereal , fresh fruit yogurt cold meat . staff friendly hotel clean . 3 minute walk Paddington Station catch Heathrow Express Airport . , good experience . 
