Beautiful 	 spend four night two adjoining room 5th floor hotel last week could not happy . spacious well appoint room typically beyond comfortable Marriott bed bed large , though bit retro , bathroom . complaint , know prior arrive , would wi - fi room ( although breakfast pre - dinner drink executive lounge give we enough time laptop ) . staff helpful friendly ( lovely lady front desk go way accomodate request early check - in ) . within walking distance Shepard 's Market , Buckingham Palace , Oxford / Bond Street shopping convenient . would love chance go back stay ... 
 old grande dame get facelift . 	 stay Grosvenor several night conference November 2009 pleasantly surprise much improved previous stay 2002 . back , give tiny broom closet room bed old lumpy certain use Queen Victoria . hotel use look smell old lady see well day decade ago . Grosvenor apparently undergo major rehab glow polished . everything hotel nice , all - marble bath deluxe bed bath linen . room time huge super comfy King bed . despite large hotel , room extremely quiet . ' ve London dozen time stay different hotel new , improve Grosvenor hotel return . hotel bar really warm inviting . location short walk Oxford Street shopping . one tip : hotel Theatre Ticket service main lobby purchase theatre ticket immediately upon arrival . gentleman desk nice good recommendation . also get half - price , day theatre ticket Leicester Square , long walk hotel take chance ticket available . 
 great location Spacious Room 	 Grosvenor House , confused Marriott hotel also Park Lane , well situate across Hyde Park . historic hotel not offer many amenity ( think gym renovation ) , staff gracious helpful . arrive red - eye flight , well check - in time , promptly give room . excellent location major metropolitan city , surprised spacious room ( 820 ) . breakfast buffet grossly overprice ( 30 pound ) . Red Bar bit scene beautiful people London , complete Kevin Spacey sighting . 
 Nov 21 2009 	 good hotel location 	 become fast favorite trip London - room nice spacious ( esp . get 8th floor ) - breakfast / tea / snack Executive Lounge nice bonus ( Marriott status ) . overall comfortable well maintain hotel - not make mistake get buffet breakfast hotel restaurant - crazy price average - to - below average spread . ' ve well breakfast buffet free Marriott property London . 
 Nov 14 2009 	 Brilliant Service . Fabulous Vibe . 	 pleasure stay hotel business glorious day September . young asian woman front desk exceedingly professional , check - in experience flawless . additionally , food beverage , particularly lounge , exceptional -- Great Cocktail List ! fabulous experience team provide . thank little bit leisure gruele business jaunt . cheer ! 
 Nov 13 2009 	 avoid room 125 	 stay hotel day ago go xmas grotto Harrods I ve stay hotel work marriott group 2years ago . hotel still amazing doorman friendly . room nice do not know single bed although comfy prefer queen size . view be not great ur room long enough worry thing like . one thing find disappointing since change JW marriott , longer kettle tea / coffee making facilite free charge . anyone know london u location hotel amazing , lot walk u do not want stop . downside hotel stay & quot ; stand off - ish & quot ; receptionist would let late check enable feed 9 month old daughter journey back bad thing stay ever 8.30am-11.30am housekeeping knock open door 10 time , yes people TEN TIMES ! ! ! 
 Nov 11 2009 	 great hotel well 	 plan stay 4night & amp ; change room 3times due a / c problem . get free upgrade . nice staff , not plan eat hotel 1 choice restaurant small cafe expensive ! also close commercial lick oxford street ( 15 - 20min walk ) , location must use transportation . hallway like maze , good luck finding room . room service surprisingly fast ! nonetheless , would stay . 
 Nov 9 2009 	 well Marriotts area . 	 one bad experience hotel . 's room poor ( be fantastic - beautiful impeccably well - keep ) . 's 's poor neighborhood ( be right marble arch stop central line , literally stone 's throw bond street ) . be travelmate constantly feel like riffraff hotel pay good money for.while enter leave hotel , constantly stare employee lobby doorman . not greet even , hotel stay five day . try fix mess bill , hotel manager argue we accuse we try get pay wrongly bill . kind customer service ? pretty much give kind similar attitude whole stay . could early 20 ? could ( ahem ) ... foreigner hotel ? maybe ' m silly . know would never stay unwelcoming place ever . 
 Oct 27 2009 	 Exceptional experience 	 stay first three night 2 week european trip . arrive 8 red eye could get right room freshen . great location right Hyde Park quick access Hyde Park Corner Tube . excellent service , well appoint room , amenity one would hope 5 star hotel . 
 Oct 27 2009 	 great location excellent room 	 enjoy stay . quiet elegant hotel . bed big comfy . Plasma tv quiet night sleep even though right across street Hyde Park ( gorgeous ) middle city . convenient walk Marble Arch tube even roll luggage ( 10 minute walk ) . highly recommend staff helpful map , tourist info , etc . 
 Oct 24 2009 	 great location 	 stay twice , favorite hotel London . room comfortable spotless . staff always helpful . 
 Oct 19 2009 	 Excellent perfect . 	 positive pretty clear - cut . Marriott 's renovation superb , hotel clean , feel warm relax superbly position central London , squarely placid , clean , village - like atmosphere expensive street east Park Lane massive green space Hyde Park Kensington Gardens . basic room beautifully lay , spacious enough - London , Vegas , hotel refuge , bunker - well equip Marriott 's standard kit : in - room safe , big television , cupboard space , marble bathroom , iron . public area also welcome , particularly ' library ' Red Bar , staff thoroughly professional . well arrive courtyard Park Street , rather back door Park Lane , would force traipse length ground floor check ; taxi driver aware distinction , probably care . the downside relatively trivial chain 's making ; give limitation old building need secure prime position Park Lane , ' ve do superb job . however , build maze - like previous reviewer allude ; room 250 , two dog - leg elevator , position quite dark - overlooks flat roof tower , sliver Park Lane , must several dozen other , view essential , ask one . the big issue cost ancillarie , matter ever , whether be business traveller tourist . still free wifi ; in - room connection , surf print business centre £ 3 per 15 minute ( behind reception ; good luck get without swap map Indiana Jones ) . lovely place , prime London real estate luxury business hotel , full english breakfast set back £ 27.50 head , bowl soup least £ 7.50 - somehow manage avoid £ 10 bowl - alcohol - free two course dinner two bord'eaux , attach restaurant , never duck £ 60 . in - room minibar .... take five minute trip Park Lane , cross Oxford Street , turn leave pace , stock supermarket Marble Arch , retrace step , repeat necessary . especially be company , employ government . 
 Oct 12 2009 	 fine not blow away -but would stay ! 	 stay property week October . love location -bee block Grosvenor Park close Oxford Rd use Bond Street Tube stop lot ! get 7 day ride pass really work I . the property nice , room small American Standards . bathroom luxuriously appoint , room decor bit weird -green fuscia ? love big flat panel tv , plenty closet space , small foyer space suitcase shop stuff . desk super comfortable 6 foot frame -but fine . a / c work consistently -which ' m find surprise might expect Marriott . bed comfortable -which ' ve also come expect Marriott . location hotel quiet comfortable . problem hotel . iron room , request -it take 3 additional call wait 2 hour . threaten come Lobby demand iron could iron suit business meeting fly Europe get iron 30 second time . other thing sub - par mold shower ceiling . light fixture bathroom filthy . the key fail access lounge finicky use open room . Fire Alarm go middle night -one night -for reason ? ( turn 3 minute . ) say gym .... technically , probably one bad gym ever see -it literally consist 5 cardio machine -no crosstrainer , weight . overall JW ( suppose top Marriott Line ) -I find stay satisfactory . little thing would expect effortless property -it struggle . Lounge never change offering meal , turn service offered not provide chocolate . bathroom mold light fixture dirty . internet room 20 pound 24 hour . iron incident really annoying gym experience . hotel great location , quiet comfortable . staff seem happy see -when check ..... ? hotel handle pride Britain seem overwhelmed demand -so much feel like nusaince guest . 
