excellent 	 spend 3 night hotel really enjoy stay . reception area attractive Christmas tree add ambience . reception staff accommodate arrive 2 hour early find we double room right away . spacious , clean , well decorate nice product bathroom . eat restaurant first night , food good exceptionally friendly spanish waiter really helpful . breakfast excellent plenty choice something everyone . well equip little gym sauna intend use sadly run time . Gloucester Road tube station 3 min walk away make easy we get around capital . two good little pub nearby shop cafe . negative thing say hotel towel really small thin - 's time change new fluffy BIG bath towel . 
 Nov 10 2009 	 fantastic place stay ! 	 stay 3 night Harrington Hall great experience . room large clean , decorate quaint , old english country style . amenity require room , minibar , iron ironing board , tea coffee make facility hairdryer , etc . bathroom also nice , tiny complaint sometimes bottom bath get slippery . really comment service need call staff anything , check fast hassle free . location perfect , 2 minute walk Gloucester Road tube station ( 3 line , mean get major place London without change train ) . Gloucester Road many shop place eat , trouble get need nearby . hotel actually locate small street Gloucester Road , really street noise . far Natural History Museum Victoria Albert Museum interested thing . harrod short bus ride away . book room Priceline real bargain quality get . would definitely stay would recommend hotel anyone travel London . 
 Nov 9 2009 	 Good Staff Great Location Decent Hotel 	 get impressed NH hotel chain . dedicated staff good property . however many little irritate thing prevent stay great . room 337 + efficient staff check - in * * * * * + big roomy room * * * * * ( London ) + Bathrobes , slipper ... * * * * * + clean room bathroom * * * * * + helpful Staff * * * * + Great Location quiet street , close West London attraction * * * * * + nice diverse choice breakast lunch buffet . good coffee.- 2 twin bed put together * * - small towel ( consistent 4 star ) - Soundproofness totally unefficient * * - Temperature Control ( heat come vent , even though close ) * * - room bit pricey * * * - need change room card 3 time keep demagnetizing.- little detail ( never get 2nd coffee breakfast , 1 liner miss curtain block sun , drink glass change housekeeping , bathtub partially clog ... ) however hotel staff eager fix mention they . a decent hotel , functional miss little touch comfort standard four star hotel 
 Nov 8 2009 	 nice hotel large room great location 	 spend one night pass London . get room good rate Priceline extremely pleased . room large many central London , immaculately clean , decor amenity nice . style Edwardian would say , big floral fabric print foxhunter horsback . could bit fiddly twee people ..... room include nice flat panel tv , iron , iron board , trouser press , safe , plenty storage space little alcove room . staff pleasant hold bag afternoon go bit beer sightseeing . location excellent - two minute walk Gloucester Road tube station , easy walk distance couple favorite pub Earls Court area lot nice restaurant . decent pub close ( near tube station ) well . 
 Nov 6 2009 	 Excellent hotel excellent location 	 Love hotel . stumble upon hotelclub 's website , see tripadvisor 's review good , decide go . 's lovely hotel . get reasonable rate . hotel locate one block Glourster Road Tube stattion , use Heathrow airport , handy , 's line not need change haul luggage around . neighbourhood nice quite posh . lot eatery , Nandos , nice pub , nice restaurant - 's waitrose across street . hotel quite classy posh , friendly staff . room spacious ( get standard double ) , nice decor ( victorian style , do nicely recently ) , everything room furnish high standard . bathroom good , good hot water pressure , clean , modern . air conditioning . noise . , fabulous hotel , intend come back every time come London . 's always find one hit mark perfectly . 
 Oct 26 2009 	 good budget hotel London far 	 7th trip London last 8 year must say good hotel stay weekend trip far . huge spacious room ( book room 2 single bed travel mom ) , everything clean order . room bathroom seem refurbish lately Laura Ashley - like style , bed new comfy . breakfast ok , queue 5 minute . personnel nice concerned guest ´ need . hotelroom equip LAN ( Swisscom ) 2 pc office center . unfortunately internet free , even office center one print page cost 50p ( think totally overpriced ) . least give complimentary 15 min voucher use internet . would definitely stay hotel . great location , Gloucester Rd subway station 2 min walk away , also small shopping arcade ( gloucester arcade ) Boot ` Pharmacist Waitrose open 7 day week ( 12 - 6 Sun ) 
 Oct 20 2009 	 good location quiet room ... good value central london 	 stay hotel part large group tour . main floor lobby nicely renovate air condition , room hallway bit date well air condition like . room face nice , quiet courtyard . breakfast great , location even well ... really great selling point be head Natural History Museum V & amp ; . not anything complain ... make rush tour London pleasant could ! 
 Oct 8 2009 	 enjoy stay ... great location ! 	 stay three night British Isles cruise . location simply good ! underground block away - Gloucester Road Tube stop . three line available : Picadilly , District Circle . service great . able check early appreciate since arrive around 10 am . breakfast self - serve would definitely include reservation . room nicely furnish . pay $ 150 night - great value outstanding hotel . would highly reccommend hotel definitely stay . 
 oct 2 2009 	 Great Location need update . 	 pay advance booking yet arrival ask pay . small inconvenience quickly sort mean stay start negative point . room clean , well light bed comfy . decor room little outdated like perfect like hotel room appear & quot ; homely & quot ; .Staff british ; hotel day . usually see negative . however staff encounter hotel speak english fluently trouble regional accent . guess must new UK make communication little difficult impact service . 
 oct 1 2009 	 room bit ` ` chintzy '' huge ! ! 	 check - in staff member friendly , efficient even upgrade room King . room little & quot ; chintzy & quot ; floral wallpaper antique furniture surprisingly huge . bed little uncomfortable . give option swap pillow one suit well .... firm , soft , neck support etc . check efficient . staff friendly tell company trying bring new idea customer satisfaction . I would recommend hotel without hesitation . 
 Sep 28 2009 	 Comfortable Stay Friendly Service 	 comfortable stay . staff friendly always willing help . room spacious . overall great value money would highly recommend . 
 Sep 9 2009 	 good experience luxury 	 teenage daughter go London vacation . hotel lobby pleasant - clean , fancy . room two twin bed spacious . bed comfortable . room clean quiet . stay 6 night , accurate linen count - either miss towel , washcloth . start joke us - bet do / do not day ! ! location great - close Glouster tube stop . good restaurant nearby . breakfast meal plan convenient . food choice every day - never vary - mediocre taste variety . pay separately , would eat hotel pricey . not travel Europe often , not 4 star US standard , overall nice place stay . would stay . 
 Sep 7 2009 	 excellent location four star 	 stay three night busy day London . spend much time really sleep . Great- location price ( great deal hotel moment ) Good -The bedroom spaciousThe Bad- Attention detail lacking , one curtain hang , lining rip another , towel see well day one day leave hand towel , one bottle minerail water leave per day one day water leave . also one glass drinking . first night arrive take 2 glass wine bedroom , three day later glass still , although kettle provide burn out . I would stay special rate . 
