incredibly 	 unbeatable location well bad asset hotel . just across road Victoria Station , situate strategically , especially arrive London Gatwick . drawback ... room ( 4th fl ) face Victoria Station INCREDIBLY noisy night . believe , design , nobody realize close Victoria room , least extent , soundproof . stay 2 nigth . first one barely sleep . get bed several time double check window closed could believe much noise could come room . second night sleep much well ... previously buy earplug . by way , internet connection free , slow . 
 Nov 25 2009 	 Clean Hotel ... 	 take trip Paris London summer . spend time London hotel . hotel / room clean service great . hotel locate step away Victoria Station pro con . pro : easy get around city , tube station w / several place eat make great get early grab quick coffee bagel donut get Tube . station everything Sushi , McDonalds , Starbucks Booths Pharmacy Marks Spencer quick grocery . con : near train station ... view office building / station . could see right window keep drape close time room dark . also shower little difficult manage . hard explain , separate faucet bath water make pressure non - existent . stay look clean room w / easy access Tube . definitely frill . btw swimming pool renovate stay access . 
 Nov 23 2009 	 clean comfortable convenient . 	 stay one night visit see football match father son ( 11 ) . Hotel conveniently locate , close Victoria station . Reception / Restaurant / Bar smallish nice . well keep . room good sized twin extra rollout bed . even though not lot free floorspace extra bed , room feel cramp . room face onto back neighbouring building whilst scenic , not unattractive mean quiet room . we eat dinner Restaurant nice , waiter friendly helpful . would say food price reasonable . if find fault , ' m picky sake , would tv system / signal not great compare standard ' ve experience hotel , although Sky Sports appear free . translucent bathroom door might problem , indeed might 's advantage , other might little strange . 
 Nov 22 2009 	 good location friendly staff 	 good location . friendly staff . big clean room / bathroom . 
 Nov 20 2009 	 Decent hotel good location 	 ' ve stay quite time travel business 's always fine . nothing exit special clean room , nice breakfast ok service . the hotel locate quiet street behind Victoria Station never disturb traffic noice sleep . it fulfil purpose stay : good night sleep nice breakfast quick check - in / check - out.4 star ? opinion , 3+++ . 
 Oct 16 2009 	 Fantastic 	 hotel get everything right . room large , comfortable , well think . staff professional . good noise insulation . short review really nothing bad say . 
 Oct 10 2009 	 o.k . 4 star 	 hotel good location side Victoria Station quiet side street . 's Spanish own hotel minimalist stylish , look need fresh coat paint . reception staff particularly welcome , o.k . , room not ready go bar light lunch , tapas etc . waitress obviously not work bar , pleasant english second language not particularly efficient . wait half hour meal arrive , acceptable wait , woman order we still wait left hour later , wait burger ! go back get room card reception staff change new receptionist not know paperwork ready wait get sort , finally register , not offer porter service . not particularly want help , large party mainly elderly lady book we take luggage room . also tell spa functioning refurbish , quite upset look forward relax pool , would nice someone let we know advance rather let we find get there . our room o.k . nothing special , pretty much size one stay recently Premier Inn , pay full price would really tick ! twin room cupboard 1 dressing gown 1 pair slipper , coffee make facility , coffee sachet , 1 teabag , biscuit etc . , expect 4 star hotel . the lavatory good , large full size bath , good range toiletry . the room decor look little ' tired ' loo , could do fresh coat paint . the hoted security appear pretty non existent . come back pretty late night one reception door , anyone could walk ! although room clean enough , thing not quite right , crumb not clean table , tea bag use not replace , toiletry use not replace either , not expect . breakfast fine , hotel busy wait little breakfast staff busy clear fast possible , breakfast selection good . we eat hotel night , meal fine , expensive especially London . all would stay , hotel good enough suppose 4 star , 's 3 star attitude well . 
 Sep 30 2009 	 great location ... staff not helpful though ! 	 stay Hesperia Victoria terribly familiar London , know way Victoria station . wait twenty minute book , check suite pleasant ; jacuzzi need sort continued turn evening . tell arrive free minibar exclude alcohol , fine not drink . day stay noticed charge £ 22.50 4 small bottle coke ! chase charge , still response hotel ... staff really not want know ! 
 Sep 28 2009 	 Nice hotel good location 	 mum stay one night theatre break last weekend thoroughly enjoy . room decent size London clean modern bathroom . hotel 10 min walk coach station directly behind train station . despite room look station never hear noise . this great location Billy Elliott couple min walk away Wicked literally end street . also walk Picadilly via Buckingham Palace St James Park take 20 min Westminster follow day half hour walk . I can not common leisure facilite never see breakfast would recommend hotel would definitely stay . 
 Sep 27 2009 	 Perfect location explore London highlight . 	 difficult time find hotel navigation- warning navi user . hotel short walk Victoria station catch London sightseeing bus course , convenient plan use underground station explore London . stay suite check - in early . nice . complaint room general , exception though -- door stopper bathroom floor instal without consider safety guest . husband step one occasion -- ouch ! ( hurt even think review ) . leave note survey form wish management already something . bathroom amenity replace , another comment . would fully enjoy stay , otherwise . 
 Sep 22 2009 	 Great Location 	 book hotel use Hotels.ca get great deal ( $ 225 Cdn / night ) . location great - right across street Victoria Rail / train station . Gatwick Express go station every 15 minute perfect travel to / from airport . room nice modern . lot toiletry extra nice since spend seven day walk tour Cotswolds . arrive noon please find room ready . check fast efficient - issue . would absolutely recommend hotel visit London . 
 Sep 4 2009 	 do not book 	 take wife weekend break htoel , big dissapointment . staff ignorant , room averageleisure suite upgrade hotel take Hysperia , usuable due condition filth change room spa . Ive stay well 3 star hotel 
 Sep 3 2009 	 brief stay complaint 	 can not give in - depth review hotel arrive 7:00pm evening leave next morning 9:00 eat location . say clean , room spacious staff check - in relatively efficient . 's ideally locate , literally minute away Victoria Station plenty good bar place eat surround area . for individual look short stay business area ideal ' m guess suit similar visitor . careful load room obviously overlook station real potential noise although not experience . 
