great 	 choose hotel location - near Green Park tube . go back . service mediocre - sometimes good , sometimes standoffish helpful . room really disapointe - corridor small lot step pain . overall well worth avoid unless get great rate not plan spend time room . 
 Nov 21 2009 	 worthy 1 star 	 horrible pokey room hear everything go next room hall way . recommend . 
 Nov 19 2009 	 Felt safe sound 	 annual treat , weekend always feel safe sound . normally get allocate single bed room , request large room meet great . however even double room , easy chair watch tv perch end bed . like Hilton 's bedroom door slam loud do hall , room shake . lovely staff , will back next year . 
 Nov 17 2009 	 Hilton 	 staff friendly try hard please , good thing say Hilton Green Park . hotel actually several building knock together seem bit disjointed try squeeze many room . room small poor hanging storage room . also scruffy though need redecorate . room face road could hear traffic neighbour upstairs come back romm 2 am , could hear take shoe trample around room wooden floorboard . I eat restaurant would not recommend . order pork chopS receive one . potato vegetable hide underneath . & quot ; chop & quot ; marinated red white wine not taste different ordinary chop . I stay unless rebuild . 
 Nov 14 2009 	 good location 	 overnighte recently . locate Piccadilly Green Park Park Lane . clean comfortable . would definitely stay . convenient . 
 Nov 3 2009 	 expect Hilton 	 typical Hilton . room small ( even provide single bed room . ) north american traveller , take adjust . unlike Hilton Park Lane , much small hotel . staff though friendly , polish . hotel slightly run , though modern furnish . housekeeping leave desire . location fantastic - 5min walk accessible subway station various different line . 3 - star hotel . 
 Oct 24 2009 	 good location .... 	 location good , hotel really 2 + star maximum 3 . room everything else hotel small cramp almost get clausterphobic . staff ok although get feel really fake friendyness hate . airconditioner heat room make hell noice . so summarize get maximum 100 Eur per night might option . 
 oct 4 2009 	 satisfactory stay deeply discount rate 	 win Hilton Green Park Priceline , concerned hotel ' decidedly mixed review . 3 - night stay end fine , whole , ' glad pay $ 75 per night ( $ 90 per night taxis fee ) . like hotel ' location Mayfair , right across street Green Park around corner Shepherd Market . also appreciate friendly , helpful staff , especially Michelle reception , welcome presence check - in . ' major request make stay , whenever need something routine – replacement room key become demagnetize , store luggage hour – receive smile , efficient service . after read many previous review complain hotel ' small room , pleasantly surprised spaciousness room . turn assign accessible room , extra space bedroom bathroom accommodate wheelchair . although spacious , room little closet drawer space . wall scuff , carpet old stained place , furniture nick . brown velvet sofa never sit , know multitude stain might hidden dark color . overall , room feel old tired , need refurbishment . thankfully , bed comfortable white bed linen pristine . soundproofing could well – could hear noise street conversation hallway clearly . fortunately , earplug help get good night ' sleep . hotel , like Hiltons , charge something exorbitant internet access . fortunately , two branch Pret nearby , tote netbook use free wi - fi , fast reliable . 
 Sep 28 2009 	 great location 	 stay one night last week ticket ' Billy Elliott ' theatre wtihin easy walking distance . unfortunate building work go time scaffold erect outside bedroom window ; fair work finish 6 pm not start 9 am shame keep curtain closed time otherwise would look bulder 's bottom ! tiny room , keep bang head slope ceiling - rather strange noise like aircraft land every time loo flush nearby room . expensive 240 gbp one night book well advance . plus point - fantastic buffet breakfast friendly staff . 
 Sep 27 2009 	 Perfect Location 	 Hotel can not beat access London . across Green Park Buckingham Palace , nice reasonable restaurant area well expensive . staff accomodate . 
 Sep 24 2009 	 enjoyable stay 	 wife spend three enjoyable night Hilton Green Park cruise . fortunate quiet back room . friend stay time assign street room noise level bad request back room second night . for travel Heathrow Airport , hotel fix rate car service 40 GBP . consider cost taxi hotel Paddington train fare ( 16.50 GBP person ) plus convenience private car , hotel service well value . as other state , location well . canadian traveller Perth , Ontario 
 Sep 8 2009 	 Great Little Hotel Good Location 	 spend two day Hilton Green Park , small hotel lovely modern room , single neat well furnish everything need good bathroom . hotel great location , 5 minute Ritz 10 minute walk Green Park Buckingham Palace . London Bus tour even stop outside Green Park Tube Station 5 min walk . staff excellent . 
 Sep 6 2009 	 make sure book want dinner hotel restaurant 	 great trip - August 2009 Bank Holiday Weekend . everything perfect - try dinner hotel restaurant . request restaurant hostess firstly enquire book ( three couple eat virtually empty restaurant ) response & quot ; - resident & quot ; , request drink bar & quot ; not want everyone eat time & quot ; ... oh dear , poor chef , unable cope 6 meal one sit ! needless say go meal elsewhere ! tell Reception staff check advise would & quot ; look matter ! & quot ; hey ho ! one good tip - definitely try langan Strattan Street - even jean without reservation , fit us - Friday evening 8 pm fuss , quibble . not scare , be reasonably price ( similar Carluccios ) - excellent customer service . 
 Sep 4 2009 	 Excellent stay highly recommend 	 laugh poster give hotel bad rating . must use stay Taj Mahal . Buckingham Palace directly across Green Park . perhaps get room nothing else would seem please they . this hotel friendly staff . location central , clean staff provide great service . stay several time last stay five night delight . european standard , find room small other state . I guess please people , extremely pleased hotel would recommend anyone . ignore hotel snob . like hotel . 
