impressive 	 stay girlfriend / now fiancee ( propose London ! ! ) 2 night November 09 , receprion area walk stunning check - in efficient ( I ve lot place one smooth ...... trust ) . room great , bed huge everything clean , also huge tv room system could play mp3 player . gym small adequate , pool area / gym / sauna / steam room great really easy find huge hotel ! location absolutely brilliant tube station 30 second away 10 min oxford street , definitely back ! ! ! ! 
 perfect hotel location 	 stay week may deligte stay . book n / s family room 2 double bed hard find london . room assign corner room large many stay north american cite . room bathroom clean bed incredibly comfortable . hilton always brand one trust . already recommend hotel family friend due easy acce tube short walk oxford street . well excellent coffee shop , supermarket restaurant doorstep . definitely stay future staff could helpful interested making stay memorable . congratulation staff superbly manage run property expertise . 
 Nov 25 2009 	 hmmm ... well ok 	 - hotel west east wing ( east one well ? ! ) - would say marvellous beds- tube connection good also 10 minute walk marble Arch- breakfast include price REALLY please , line breakfast really big 
 Nov 23 2009 	 conveniently locate impressive lobby smallish room 	 stay one night Friend attend Sports Event . go stay Hilton Paddington even close Paddington stay well price recommend wife . the extra distance Paddington minimal , worry , make handy be fly Heathrow . arrival impress swanky lobby area size general . offer free upgrade standard twin room would book . however facility good , view tower impressive , room size disappointing wonder standard would like . we bar food head match fine . bar staff friendly quick , even though not busy ( not think would cope work bar Dublin ) . price little high side think though overly so . breakfast nice , though busy . seem area available little small size hotel . complaint extremely slow toaster not even toast require two pass . might adequate 20 bed country hotel , good enough hotel size . 
 Nov 22 2009 	 horrible experience ! definitely 4 star typical Hilton . 	 crowded , hallway smell , room small , power work desk , internet work , hot water work , take several call three maintenance people repair . carpet room dirty edge black next wall floor sticky , top sheet bed - sleep comforter / duvet ( many people ? ) spring actually protrude mattress- breakfast ? stand line 40 minute mediocre dining , good . Bathroom nasty , black mold . 
 Nov 21 2009 	 professional lively hotel 	 stay least couple time month visit London business . 's home home . also use base family siteseeing . unlike experience hotel London , always seem lively buzz people nice long journey day office . the room always good standard good facility - mini bar , internet connection ( £ 15 24hrs ) , plasma / lcd tv , desk , iron etc ect - everything would expect . there gym pool , be small . the food good , although ' m generally Hilton Burger man tend stick room service . curry 's also good . Nippon Tuk restaurant well worth vist - stunning view london great contemporary asian food . would not eat every night , ' ve get least once . the location ok , little action . like beacause 's outside congestion charge area ( ) drive straight necessary . edgware tube station across road . Marble Arch maybe 10 minute walk edgeware road . far Oxford road etc . room rate seem vary quite wildly depend 's conference . generally pay corporate rate £ 102 per night . 
 Nov 21 2009 	 terrible hot stuffy hotel 	 1 . even offer stay nothing would not go back2 . exec twin room3 . room tiny window do not open air even though hotel hot4 . heating time5 . bed small comparison marriot / starwood / intercon prehistoric6 . exec lounge tiny full people7 . check slow8 . tiny bathroom useless shower9 . hotel website picture room mislead . 
 Nov 21 2009 	 go 	 typical example american corporatism . stay single night London Hilton Metropole . seem like budget airport four star hotel . queue check , queue enter restaurant queue buffet , food not much well supermarket cafe . room OK bathroom date ( shower curtain ) . ongoing mini - bar mini drama wife - perhaps ill - advisedly - remove bottle keep something chill . warn door bottle orange juice half empty fridge not work . call room service send mini - bar man assure we would not charge anything later assure reception would not charge bill present room next morning . back reception ........... hotel large impersonal , revenue generating machine really . one plus point staff polite helpful . 
 Nov 20 2009 	 great room helpful staff . 	 room 978 west wing . comfortable two double bed , tea / coffee make facility well stock bathroom . ie . load towel toiletry , case forget . unfortunately first night stay wind really bad room situate far corner access door a / c unit rattle somewhat keep awake . however ` minor obsevation rest stay good . staff friendly attentive dining room room attendant excellent . ask extra milk leave 16 we ! bar price steep say least . £ 7.50p two bottle coke . warrent ? ? visit Covent Garden , avoid Nags Head pub . roast beef dinner : - 1 slice dry beef ( curl edge , maybe microwave ) two cauliflower brocolli floret ( undercooked almost raw ) two slither carrot , 1 small yorkshire pudding , three minute roast potato gravy , serve cold plate . pay £ 8.95 . ` mind pay food good , case . would embarrass serve home . good time . 
 Nov 20 2009 	 lucky guest picky ? 	 read review hotel book lastminute.com mystery hotel , rather nervous review either good bad . excellent service check check staff polite , friendly , plentiful knowledgeable . room small clean quiet everything need . breakfast superb ; wonderful choice freshly prepare lot staff clear away help . could fault . hotel situate London safe quite convenient nothing around not stay plan go look nightlife cheap base , go hope find good . 
 Nov 17 2009 	 Huge Tired Hotel - Decent Executive Rooms - Poor Service 	 Huge Hotel , Public Areas look rundown , corridor . conveniently locate next tube station , move around London easy . the customer absolutely anonymous , staff making effort even wish guest . almost impossible get service first call , always busy . try get last minute Upgrade Executive Room pay little , executive lounge , though mostly crowded , still worth complimentary Evening Cocktail / Drink canape Continental Breakfast . Lounge Staff make effort help , often harry overburdened . Executive Rooms , separate wing , decently sized furnished , , nice bathroom . save grace hotel . try get high floor first six floor overlook office building , limit privacy . overall mediocre hotel , price , well , even London . 
 Nov 16 2009 	 bad overpriced hotel 	 book hotel central reservation specify would like smoking room . arrive hotel around midnight , go check friend go bar buy we drink . barman serve someone , finish , turn friend say bar shut ! serve another customer 30 second beforehand obviously much trouble keep bar open another minute . go room find dirty , poor repair non smoking . phone reception say room full would stay . mini bar not enough wine two two beer call reception wait bottle opener . go shower find bath mat mouldy bath filthy . call duty manager ask come room see mess . say busy would send someone morning - not ! not know busy either five minute walk front door observe recpeption quiet staff stand around chatting . breakfast good - good thing . as check ask stay , say bad girl reply ' sorry ' . duty manager available agin . bill one night stay 2 beer £ 300 . daylight robbery . write complain recieve reply manager offer ' complimentry upgarde ' return . would rather sleep street . insist refund thing bad . avoid cost 
