great 	 return three day Holiday Inn Bloomsbury Nov 27th . could fault hotel . room 429 right opposite lift problem sleep three night . location great , Euston Station 10 min walk away , mess taxi 's arrive leave . lot place eat within walking distance , make sure take walk Bunswick shopping centre right hotel , really nice lot good place eat . eat Giraffe Strada could fault . would highly recommend use Big Bus Company tour get around , pick bus main road buy hotel , drop Trafalgar Square collect bus different attraction , brilliant way get around , 48 hr pass two we cost £ 50 well money worth [ one ten minute taxi ride back strand cost we £ 10 around 10 pm traffic busy ' m sure price would lot high . sum great location , great breakfast , nice staff , would highly recommend . 
 Nov 14 2009 	 holiday inn ! 	 well , not want think ' m negative , ' ve stay enough type hotel , pretty much make way around blindfold . usually pretty consisitent get , , main , people use . particular case choose holiday inn friend Tracy , manage get amazing rate weekend . live Nottingham , Tim Tracy live reading , leave car reading get train town . train not cheap , Tracy do not bus , get taxi hotel station , cost £ 30 per couple , plus aggravation cart case around etc . arrival hotel notice underground NCP carpark right next door , weekend rate £ 15 . , go , would drive right ( congestion charge weekend either ) , would cheaper convenient . so , hotel typical holiday inn standard , ie high middle business class . we old type remember lot Holiday Inns Trusthouse Forte , charge half much , Holiday Inn buy , paint different colour , double price . anyway , first thing notice amazing array exotic accent amongst staff . not think hear single & quot ; cockney & quot ; accent anywhere hotel - make kind political comment , observation - upside kind feel like ' ve travel abroad , add excitement . breakfast nice , busy . little bit queue be not hurry . food nice , obviously go full fatboy , girl order poached egg cook order . ok can not say much hotel like day head town tourist . would say ' ve get Russell Square doorstep British museum , totally fab place , soho theatre land way , course minute central london tube . we crack time wander around London . Brit not year , go check one weekend , really superb city visit . always poo - poo - ed favour Paris Rome willing admit overlook jewell doorstep . both evening not eat hotel , go , great time . Saturday night return vicinity meal , rather drink hotel bar ( like many hotel bar , despite try , lack ambience ) head local pub . 10.45 guess , take get sort , guy behind bar talk buy bottle red girl instead two glass well value , dot 11 , rang bell drink time ! , think back hoo - har 24 hour drink UK , whenever go pub ( exception local ) , still back 70 's call time 11 saturday night . negotiation , head back hotel bar nightcap , unfinished bottle hand ! even hotel , midnight , night porter service , always make feel like bit desperate alky ! hey ho . anyway , long short want touristy thing london weekend , shop around see whether get discount voucher hotel , check first carpark , unless change , would drive car ( dead easy find ) park NCP , want late nightcap mate , buy bottle wine 4 pack stella Sainsburys leave home , pack suitcase , nightcap friend room ( whilst considerate noise course ! ) .hope help , like say , London crack place - give try . 
 Nov 6 2009 	 Confortable Convenient 	 warm welcome reception - could access room early able check paperwork store luggage . check efficient . clean room- standard Holiday Inn - bit small side guess London . gripe side - husband could hear occupant next room early hour . convenient transport - block away Russell square tube bus end street . purchase breakfast voucher - breakfast keep we go day Dinner time- excellent ! breakfast self service - hotel busy wait minute choose main item Saturday morning . could one toaster queus develop . employee polite helpful . also like insert room card lift gain access floor - good security item . many location Eurostar Terminal , British Museum Leicester square Holborn within walking distance . 
 Nov 6 2009 	 tourist recommend 	 great hotel , great location . staff helpful welcoming . although arrive check time make every effort make least 1 2 room , require , available . room nice - clean modern . parking public car park little steep , pity reduction guest . hotel 1 min Tube idea sight seeing . great weekend - make , part , great hotel . will use . 
 Oct 31 2009 	 hotel good location 	 clean comfortable chain hotel good location . average room ( minibar / fridge , small functional bathroom , standard holiday inn decor ) . real complaint . minor gripe - wait lobby past 2 pm whilst guest check straight room - second consecutive time happen holiday inn ) street noise inadequate window ( hotel appear process replace throughout hotel ) . fine , good point - cleanliness , ansolute must . breakfast expensive £ 16.95 part room rate , ok nothing special . 
 Oct 20 2009 	 not stay hotel want sleep 	 although live one busy street Amsterdam use lot city noise , find hotel extremely noisy . well inside street . double window help hallway extra double door reduce noise , door create lot extra noise . close night every time someone pass door 's like try open door room . room small , guess 's normal London hotel room . would recommend hotel anyone look place sleep . 
 Oct 19 2009 	 good choice 	 recently stay five night . pleased location one block Russell Square tube station Piccadilly Line . love close Piccadilly Leicester Squares evening . check - in desk concierge top notch . friendly ! give option purchase breakfast ticket 10 pound . eat breakfast buffet twice . expensive great selection nice treat . morning , go across outside shopping market eat little cafe call Apostrophe . highly recommend little place ! market also grocery store , drug store , coffee shop , clothing store , etc . the Holiday Inn room small , fine five night . bathroom small . housekeeping outstanding . room hot water pot tea instant coffee . bed comfy . not use room service expensive internet . 
 Oct 16 2009 	 good value lousy bathroom ! 	 Location hotel good - tube line Heathrow . friendly staff , efficient concierge . excellent breakfast ( include rate ) . bathroom ( least 6th floor , stay ) standard : water pressure allow take decent shower , toilet flush must do extensive & quot ; pumping & quot ; , strange noise come sink . certainly expect Holiday Inn ! ! ! 
 Oct 15 2009 	 Holiday Inn standard middle London 	 clean hotel U.S. Holiday Inn standard . locate two block Russell Square Tube station , across street shopping plaza several restaurant , etc . sparse no - frill lobby room . 
 Oct 8 2009 	 clean hotel good location 	 stay double room clean well - design tight space . two we bag computer enough space . ask quiet room away pub noise ground floor able put we 3rd floor window look interior space . view quiet . great location - half block Russell Square tube station lot bus . Tesco Express open 24 hour day across street lot shop restaurant Brunswick Centre - kind outdoor mall . Hare & amp ; Tortoise good , inexpensive asian food place . lot ambience stay open late food clean . 
 Oct 7 2009 	 good value centre town 	 love place . book strength reviewer dead right . 's well price right heart city benefit tube nearby 24 hour tesco / restaurant shop Brunswick Place next doorbreakfast great , service throughout wonderful , staff really seem care place . drawback small room would not fancy stay long couple day 
 Sep 21 2009 	 Perfect Location sightseeing 	 hotel great be spend day city . one stop away Kings Cross tube underground stop literally around corner hotel . room quite small everything need include fridge hairdryer . breakfast buffet style load choice . find staff really attentive helpful . there Irish Bar attach hotel , fancy pint Guiness Irish stew place head eveningcant wait go back next year visit place do not get chance time 
 Sep 16 2009 	 stay convenient lively quiet friendly 	 stay 6 night . location excellent . go Russel Square Tube station ( be line come city Heathrow , need change line ) , 24 hour Tesco convenience store front station . go straight small street right side immediately see Holiday Inn sign . pub hotel bar open late night . shopping arcade call Bloomsbury Waitrose right next block many restaurant , Starbucks , Drugstores , vodaphone store ( buy pay go SIM card 5 pound + minute need ) . Russel Square major tourist station police office inside station . hotel throughout clean , staff friendly , helpful , efficient . room shower good water pressure . stay 5th floor , quiet nice maintain . negative 1 . refrigerator temperature seem work properly . could not chill beer drink . ask bucket ice every night bar.2 . book Expedia tell could get special rate room small & quot ; double & quot ; bed partner . still wonder room actually single room solo traveler . way fit regular size husband & amp ; wife.3 . internet access cost 15 pound / day . think complimentary also business hotel plus internet already necessity.4 . towel rough . feel like Sand Paper . really change them.overall , please staying . stay make sure partner stay dress size . tip : try Cider call & quot ; Bulmbers & quot ; , delicious . miss much . also , try access internet Pub across street . try search free flow signal get virus computer right away . 
 Sep 15 2009 	 nicely remodel close Tube king Cross / St . pancre 	 hotel much nice Crown Plaza stay London . lobby nice , whole inside hotel new modern feel , room delightfully nice ( small , size London hotel ) . bed comfortable , bathroom nice , shower great water pressure , room clean , great . negative window not appear open . British Musuem , not many tourist site walk . Russell Square tube stop one block away . be short walk king Cross / St . pancre station make nice come Gatwick airport take Eurostar Paris . would definitely stay recommend other . 
 Sep 12 2009 	 friendly helpful staff ... 	 stay Holiday Inn , Bllomsbury , order London daughter 's graduation ceremony . wife hugely impressed calibre hotel staff . friendly helful receptionist , fastidious cleaning staff , table server nothing much trouble , great team . room modest size , London nothing be exactly cheap , enjoy easy go atmosphere pleasant public area . another plus point car park directly hotel . cost £ 20.00 24 hour , believe worth peace mind obtain parking secure area man 24/7 . restaurant offer good range food , much taste . prefer simple dish well cook irritatingly small fussy portion ' cheffy nonsense ' hotel seem think impress . service superb ! Breakfast highly recommend - buffet style something everyone . location pleasant Bloomsbury , easy access central London attraction . David , Bristol 
 Sep 10 2009 	 good value ; great location 	 hotel locate two side street little traffic pedestrian noise room . adjacent Brunswick Center shop , grocery store , good quality inexpensive restaurant -- try Nandos portugese style barbecue chicken Crussh morning porridge banana honey . hotel restaurant expensive . be also one block Russell Square tube ( subway ) stop . overall quality similar US Holiday Inns . 
 Sep 6 2009 	 Excellent Hotel 	 stay first preference close St pancra unavailable date need , god ' m happy case . on arrival receptionist attentive helpful , offer make meal reservation , offer information locality tend mundane checking process . I impress reception area partner good feelng check - in , arrive first floor book executive room , surround lobby lift plush elegant really dynamic feel , toilet available next lift business centre nice touch feel . we enter room find clean beyond expection , split level room lounge area farend look wonderful , decor crisp everything really well place , obviously think design well . check view window expect much first floor room find right main entrance Irish Bar right beisde , worry we sleep drunk late night , case , room not suffer sort noise , even standard thing expect hotel like bang door etc nowhere find , Aircon fantastic cool room almost instantly soo easy use . after check room walk British Musuem , find Tesco Express various shop around corner beisde tube station . after excellent night sleep wake early head across road shopping centre toStarbuck 's nice area seem well present central London pleasant , could almost small town anywhere , lovely . overally fantastic stay stay much possible , partner fall love hotel . 
 Sep 6 2009 	 Definately stay ! ! ! 	 book 4 night Show stay , 40th birthday 4 friend ... fabulous time , room pretty much standard clean airy .. bar restaurant clean comfortable .. breakfast Outstanding ... good staff .. could not helpful friendly . actually make stay run smoothly involve & quot ; little surprise & quot ; keep turn ... would without doubt stay .. easy get place need tube station minute walk away .. 
 Sep 1 2009 	 surprised . 	 consider central London hotel ( well , almost central ) , hotel nice good value money . I please stay , find manager tell he . I ' m spread word within Company get other use hotel . exec room really nice price . 
 Sep 1 2009 	 awesome location top value 	 hotel staff great , excellent value 4 star hotel top facility . easy access much , tube round corner , grocery shop straight opposite . breakfast excellant ! twin room spacious 
