hotel 	 hotel prime location right across Buckingham Palace heart London . short walk Green Park Victoria Station . service accomodate , though price little steep , be travel budget . probably ideal couple small group friend 
 impeccible service lavish setting perfect location . a+ 	 pleasure stay girlfriend weekend away London anniversary , recommend highly enough . arrive late ( 11 pm ) friday night due flight delay arrival greet manager ( Andrew ) warm welcome greet we name . hotel actually 5th floor reuben hotel mean order gain entry hour ( without room key ) one must go reception adjoining hotel . check - in fast , efficient friendly . book king - size room hindsight good idea even king size room small expect however finish touch amazing . hot water bottle bed ( sound silly cold london night November welcome surprise ! ) small cake & quot ; Happy Anniversary & quot ; ice waiting room . detail room brilliant everything little bit well would expect ( even 5 star hotel ) , toiliterie dainty bottle ornate screw top , toothbrush toothpaste set good quality design , shaving set excellent razor ( gold wooden finish ! ) ample towle , dress gown ( one cloth / cotton one one lounge one per guest ) . mini - bar well stock little pricey- 5 pound sterling portion cashew nut 5pounds bottle beck alcoholic beer . entertainment provide in - room fantastic movie literally cinema available on - demand . free wifi , tv - internet ethernet , guest service wake call etc course available . from moment arrival staff exemplary- absolute credit hotel . decide day arrival would like take show westend- & quot ; Wicked & quot ; performance- sell every online source could find rang hotel see could arrange ticket we . , find ticket sell show get we ticket four row front , centre - stage ! ( show fantastic anyone get opportunity try catch ) . similarly recommend italian restaurant near Apollo ( request ) organise reservation time show finish ( 10:45 ) even though restaurant usually not take reservation ten thirty ! summary , hotel lavishly decorate modern black white theme , staff amazingly professional accomodate location hotel perfect ( 2 minute walk Victoria tube station ) .The drawback ( call ) room small one would expect arrive late evening gain entry must go adjoining Reubens 4star hotel . 
 good hotel ' ve ever stay 	 Hotel 41 elegance charm without stuffy upper class attitude . greet name throughout hotel add nice personal touch . spend last night honeymoon upgrade suite complete fresh bowl fruit special dessert . room amazing - spacious , luxurious , comfortable . fireplace , two tv equip surround sound . shower incredible pressure , robe / slipper nice amenity . afford , ! ! 
 Nov 25 2009 	 Good Service great location 	 unless plan visit queen , location great . service hotel good , room quite small air - conditioning noisy . I definitely find overrated . 
 Nov 24 2009 	 must good place stay London 	 service arrival set tone whole stay . staff friendly , welcome without falsely , everything hotel make feel relaxed . Dinner Library excellent . recommendation eat & quot ; & quot ; also well think , always follow enquiry whether have enjoy . use think not possible get level service UK , would rival Dubai Far East . excellent . 
 Nov 21 2009 	 upgrade . 41 	 original booking 41 's sister hotel ( within building ) Rubens , however arrival advise have upgrade 5 * property 5th floor . we escort 5th floor Executive Lounge , give champagne check . room ready ahead check - in time ( around 1.15pm ) escort room , receive guide around facility executive lounge ( honesty bar , free fruit juice snack ) breakfast would served . room , although narrow king bed split twin , nicely appoint need one night stay ! turn service nice - scented candle fragrance room , slipper , choccie pillow , tomorrow 's weather forecast etc . staff lounge extremely attentive pleasant . overall nice experience indeed ! 
 Nov 17 2009 	 incredible service ! ! 	 recently stay Hotel 41 husband 's birthday read excellent review Tripadvisor . location stone 's throw away Victoria Station perfect base explore London . make hotel special service , incredible . right check throughout whole stay make feel welcome . staff take trouble remember name nothing much trouble . whole experience relax . quibble size room . choose boutique hotel want something intimate surprised tiny room ; beautifully decorate feel extremely cluttered feel little let give exorbitant room rate . nevertheless want fantastic hotel special occasion would highly recommend Hotel 41 . 
 Nov 16 2009 	 Hotel 41 -- great location good room good service . recommend . 	 summary : wife stay Hotel 41 May 2009 , part business trip . room somewhat small , well appoint . location hotel great , short walk Buckingham Place Big Ben . pro : good location , good service well - appoint room . tea library also must . con : smallish room ( Europe ) price . the hotel small , locate second floor building block Buckingham Palace . check - in accomplished Library , large room , small bar , serve breakfast afternoon tea . highly recommend take late afternoon tea , especially long day walk see site . 
 Nov 8 2009 	 super service 	 recently stay hotel 41 one night . moment arrive well look friendly , efficient staff . room decorate high standard clean tidy . decide take breakfast room recommend highly . arrive bang time pipe hot . staff helpful pleasant ( make nice change 5 * london hotels ) credit hotel . lovely stuff . 
 Nov 7 2009 	 Little Gem 	 visit hotel 17 year old daughter October 2009 . stay one night travel main holiday return day return home . I initially walk past front door extremely unassuming right next door Reubens Hotel . walk door service begin . staff friendly extremely helpful whole experience 1st class . Andrew , Manager polite helpful nothing much trouble . everything could wish provide hotel free internet access honestly bar write drink take library trust . evening Butler 's Pantry assortment food guest eat ( free charge ) .One nice thing find return room find little tea light light radio playing background come back dark empty room . travel London definately place stay . stay number 5 star hotel one tick box . ANDREW - BACK . 
 Nov 4 2009 	 Superb 	 Stayed one night ( wish could ) describe experience faultless . hotel many fine quality one stand professionalism staff . extremely attentive , courteous & amp ; seem extremely happy make stay enjoyable possible , nothing seem much trouble . hesitation reccomende hotel everyone . 
 Nov 2 2009 	 good luxury hotel money London 	 without doubt good value London look luxury hotel experience without jaw drop price 5 star hotel charge . first , service staff provide top notch . friendly accommodate almost little much ( believe , ' m complain ) . staff try well accommodate every way . constantly ask anything could we get we make stay enjoyable . two problem service experience , one maid get little pushy give we turn service not leave room go late dinner , mixed dinner reservation ( think actually restaurant 's fault ) , would hold either experience Hotel 41 way . I go girlfriend romantic four day sightseeing weekend book one king size room instead regular double get little space . marginal amount pound night think wise decision room large expect . king size bed , small sitting area , large closet bathroom shower tub . room immaculate black white decor , charming . girlfriend impressed know much luxury hotel room cost London grateful make look good . the location eye perfect . right next Royal Mews Buckingham Palace . mean far action Picadilly Circus / Leicester Square / Trafalgar Square tourist attraction , far enough away deal craziness come right middle . also equally close Knightsbridge neighborhood like Kensington Notting Hill . hotel two minute walk Victoria tube station Victoria Palace Theatre Billy Elliott perform ( great show way ) . love Hotel 41 reason . staff service , decor style , location access meet need perfectly . say one thing might like , size . believe one single floor . hallway small room huge . like say , think perfect we thought would point case somebody look small boutique hotel one . one good hospitality experience ever . would stay heart beat . 
 Nov 1 2009 	 home away home great location 	 husband spend 7 terrific night hotel 41 . loacation great , 2 minute walk Victoria Station , across road Royal Mews Green Park , St James Park Mall around corner . room charming , comfortable bed , spotlessly clean , lovely touch night like candle light bathroom , treat pillow etc . free internet guest business area . staff good . nothing much trouble always time chat , service excellent . Andrew Manager friendly charming man go way ensure stay wonderful experience . day small treat bottle cool drink leave complimentary guest evening , complimentary , plunder pantry , smoke salmon , cold meat , crusty bread salad put guest fantastic . stay Raffles Hotel Singapore way home Australia somewhat disappoint level service stay Hotel 41 . back next year great time . thank Andrew staff make visit memorable one . truly want home away home stay Hotel 41 . 
