Fabulous 	 could fault hotel - great location , lovely friendly helpful staff , spotlessly clean , comfortable bed .... everything could hope . Loved much intend stay next week ! side room service menu operable 10 pm find mass selection fast food joint around corner stem hunger ! 
 good location 	 hotel 's lobby small nice . room nicer small . like bathroom white plastic floor shower cheap ugly not fit rest bathroom nice . design room furniture ok . bed good . internet free ( WiFI ) fast . would rate hotel 2 - 3 star . location good come train Heathrow airport . check slow miss & quot ; welcome & quot ; . lady reception bad mood helpful . food roomservice avarage . room expensive even discount rate . next time try hotel London . 
 lovely 	 pleasure stay Hotel Indigo London Paddington 2 night . initially issue double charge booking , however end sort . stay exceed expectation would happily return . the Hotel perfectly locate near Paddington Station within easy access variety restaurant ( find hard choose go ) .Found staff helpful knowledgeable go way assist . request action quickly smile could not ask professional , helpful , care friendly staff . end day great room , however 's staff make stay good bad . Hotel Indigo staff pleasure interact with . while room small ( one twin - bed room ) , boutique Hotel , room abundant feature comfort . rain shower well receive Ipod dock . bed extremely comfortable spacious layout also good . decor excellent 's nice see Hotel not afraid splash mixture colour . carpet hallway look amazing bode well rest interior . hotel well design 's amazing think 's large number room locate within facility ( especially see exterior size Hotel outside ) .I would definitely return Hotel would recommend friend family . experience initial issue , overall could not ask well stay . hotel alot go require accommodation Paddington , would definitely recommend consider Hotel . 
 Artsy boutique hotel -- comfortable clean great location 	 Indigo 3 minute walk Paddington Station , directly connect express train Heathrow Airport . locate street lot pub , small restaurant , etc . area pretty urban night ... single woman people small town might feel uncomfortable , not think unsafe . room small US standard , big enough . bathroom quite modern plumbing work ( always case UK ) . new hotel , even month clean , seem well maintain . staff helpful , not think native English speaker , communication take little patience . 
 Nov 12 2009 	 great hotel 	 Stayed end Aug friend . hotel clean modern . shower huge : - ) bed comfy ! 
 Nov 3 2009 	 wonderful service excellent location 	 pick hotel simply location still suprise ideal location really . boutique hotel , therefore room small & quot ; normal & quot ; hotel would give , not lack comfort service luxury hotel . hotel , easy access resturant , Paddington Station ( tube & amp ; train ) , Hyde Park , etc . I stay hotel recommend friend co - worker . 
 Oct 25 2009 	 two excellent stay Indigo 	 spend one night Hotel Indigo last week wife way Paris . staff friendly . ' m Priority Club Platinum get Excecutive Room . sure differ room , nice . bathroom small functional decor general really nice . wife vegetarian breakfast say excellent . I stay week business . staff remember friendly always . ask early check - in tell would not able , arrive , Room 101 ready . [ another reviewer complain room , equivalent room previous week ] . arrive 11:30 need suit press 1:30 pm next day . person desk suggest local dry cleaner , call worked timing , go next day early morning pick suit leave Heathrow . work happily bit Phi ( restaurant good latte ) . all - in - all , ' m quite happy hotel . love location like staff . thing could improve would executive lounge , like stay London full week . 
 Oct 20 2009 	 Great Hotel 	 hotel wonderful surprise . locate near Paddington Station ( block ) get Heathrow Express necessary , near plenty eatery , night market Tube . addition , hotel staff efficient , friendly helpful . room good size Londong hotel room amenity . nice touch small reading light headboard . look like hotel either recently refurbish brand newl . linen decoration look new style modern chic . stylish comfortable . 
 Oct 12 2009 	 exceptionally convenient location spotlessly clean room friendly service 	 hotel locate block Paddington station . room good size London standard . spotlessly clean . find room quite quiet . never hear resident . the first floor lovely private outside sit area canopy heat lamp . light system odd . insert room card turn light . remove card light go . huge flat screen tv radio iPod dock . bathroom really powerful shower , nice ever hotel . outlet hair dryer ( provide ) bathroom . coffee maker hot water pot . instant coffee provide nice assortment tea . fortunately , Phi Restaurant downstair great coffee . desk staff helpful , always pleasant . first day blow fuse someone fix 2 minute . bring extra hanger right away . clean staff excellent . room spotless . my complaint desk knowlegable thing print boarding pass . aware top phone sim card convenience store next door . know tourist board Paddington station . would recommend hotel . stay . 
 Oct 7 2009 	 good thing look .... 	 type trip : PleasureRoom Type Stayed trip : Executive Room Main thing look type trip : Quiet RoomsClean RoomWelcoming / comfortable roomgood showergood size towel Room fan / airconblack - out curtainsirone Board RoomComfortable bed , duvet , ability request feather pillowInternet Room area workenough socket plug laptop phonesfilm demand tv good size tvtoiletrie provide ability order bathrobe slippersroom servicegood breakfastextra ( Fitness room , sauna , steam room , pool ) hotel fare follow : quiet room : quietclean room : VeryWelcoming / comfortable room : newly refurbish , invite unique décor . good shower : good shower ever hotel ( bath ) good size towel : large towel hotel stay at . Room fan / aircon : yes , new individually control . black - out curtain : , window " black - out " blind " fit " light get round . good require room really dark . iron Board Room : deliver request . comfortable bed , duvet , ability request feather pillow : comfortable bed , duvet , ability order feather pillow pillow provide thin really comfortable . stark contrast everything else room . internet Room area work : Free Wireless internet wire internet fee . enough socket plug laptop phone : YesFilms demand tv good size tv : large flat screen tv film demand package include wire internet film £ 25.toiletries provide ability order bathrobe slipper : toiletry provide good quality , ability order bathrobe . slipper . room service : YesGood breakfast : good breakfast coffee shop / patisserie style hotel restaurant . Extras ( Fitness room , sauna , steam room , pool ) : fitness room ( time check out . overall : good hotel especially look something little different usual " chain " look without much risk still part Intercontinental Group Hotels . hotel sell self boutique hotel pull quite well . room comfortable welcome really nice extra like wireless handset phone , spa like shower really nice big bath towel . hotel overlook green square add charm . follow small issue encountered:1 ) call twice two month prior arrival specifically request twin room , king size executive arrival even though say could see request system . recommend speak manager book specifically state type room need something specific avoid experienced.2 ) expect ability order different type pillow hotel class especially " Holiday Inn " " Crowne Plaza " hotel group provide . hotel staff seem totally baffle could possibly expect this.3 ) hot water control ( good ) shower need adjust slightly . possible increase temperature water maximum temperature " ok " . water temperature shower also seem fluctuate " ok " " hot " .4 ) real mix checkout mini bar . ask checkout use anything mini bar , reply . total surprise receive email three hour later inform credit card charge three item mini bar . ask call hotel email " head office " hotel issue refund . disappointing . send chaser email day later hotel manager charge refund apology . recommendation anyone worried happen get mini bar check check check , like question consume . 
 Oct 6 2009 	 pleasant surprise London 	 wife stay Indigo three night . feel welcome moment enter reception area leave . staff extremely helpful time . room bathroom good size London . location perfect travel London , well easy access Underground . price may bit steep area offer , always recommend place other . 
 Oct 5 2009 	 Small perfectly form funky hotel 	 one night stay work - do around corner much expensive hotel . not come across Hotel Indigo brand , fact have never even stay boutique hotel either unsure expect . room small everything need include free wi - fi well design bathroom . one night size fine ' m sure many night could manage seem small . room back largely quiet , although struggle sleep , mainly hot fault rather room end air con eventually get quality zzzzzzs . great location , find staff high quality - professional , welcome friendly bar / cafe downstairs excellent good value . full mark funky hotel . 
 Sep 30 2009 	 let buyer beware ! 	 extremely careful make online booking hotel . if fill book form website close window without press authorization button , book system hotel process transaction anyway . happen July , process dispute AUS $ 689 payment deduct credit card . the hotel look like good deal , turn inconvenient itinerary ; get much well deal close need aborted booking form authorize payment . imagine shock discover transaction credit card statement return home Australia . never receive book number receipt payment booking system , provide promptly hotel make online booking . charge no - show penalty , spite receive confirmation booking . statement payment provide retrospectively response bank 's inquiry . if call reception desk seek clarification , shunt booking service ultimately department . brilliant sense customer relation , especially even attempt make complaint point . Paddington home lot rogue sharp trader , guy sharp lot . Caveat emptor . 
 Sep 29 2009 	 try hard 	 right price , nice hotel , spend much time focus trapping boutique hotel drop ball number design finish touch . price quote boutique price , find another hotel , 's 3 star price 5 , may good value . 
