budget 	 hotel locate center London . allow easy access main objective , via bus via underground . we arrive late first impression lobby & quot ; frill & quot ; .Room clean keep like whole 5 day stay : 5 + star maintenance staff . furniture simple practical fit well neo style . comfortable bed , moderate size room 2 ppl maximum ( consider european standard , though american might find small , nonetheless tiny ) ; small bathroom , claustrophobic : ) . one many thing London will not spend day hotel room , feel really minor thing . great staff reception also restaurant / breakfast room . also maintenance stuff friendly great job . very good breakfast price ( enough option like : english breakfast , fruit , french croissant , cereal , several variety tea & amp ; coffee , etc ) . vegetable could add really make difference . stay 5 day enough morning option feel bored : ) really recommend hotel , first choice visit London . big price difference online lobby quote : book online , might able stay 50 % day . 
 Nov 6 2009 	 clean functional 	 stay three night weekend trip London . hotel centrally locate , within walk distance Tower . room small , clean functional . not expect cosiness luxury . even hairdryers room - reserve one reception . good value money . good breakfast buffet . would stay . 
 Oct 14 2009 	 Excellent - 	 modern clean hotel comfortable room , great breakfast ( enough variety ) , helpful staff , situate fantastic location ( half minute underground green line go directly city center ) . restaurant pub nearby . really overcome expectaction . 
 Oct 12 2009 	 good value money 	 good : - central , hotel price way London completely crap.- big modern room london.- Algate East subway 1 minute , bus St Paul , Trafalgar Square around corner.- full english breakfast buffet £ 7 ( £ 5.50 pay time booking ) , basic food unbeatable price.- friendly staff . could well : - Mattress bit uncomfortable.- 2 star hotel look 2 star , , less.- small wardrobe- view wall 3rd floor . 
 Oct 10 2009 	 quite ok 	 hotel situate near Aldgate East tube station . use time find hotel since commercial street , commercial road near - bit confusing . hotel staff helpful friendly . room ok , quite spacious . minibar , coffee maker . beakfast pretty good , though trouble find table sit eat . pay - internet - pc lobby . total good value money , bit surprice hotel two star . 
 Sep 29 2009 	 another first class stay 	 another visit capital August 2009 . second time stay book December . room well maintain , breakfast enough feed day , young guy reception remember we visit June . need anything extra example towel teabag ask deliver room without fuss . 
 Sep 29 2009 	 need ! 	 like Ibis hotel much . pay need . not pay thing actually need . keep hotel standard quality level success . 
 Sep 28 2009 	 great friendly service 	 hotel clean every member staff helpful polite . room good size neat bathroom pod . great walk - in shower plenty room store toiletry . buffet breakfast good value London . wax expect continental breakfast everything bacon egg fresh fruit salad croissant . Breakfast serve 6 need early start . look budget group always extras want check early leave luggage hotel day departure not leave later day . locate close Brick Lane Petticoat Lane Market 10 minute walk Tower Hill although frequent bus route centre Aldgate East Underground across road . downside dinner restaurant . price good food particularly appetizing although service prompt friendly . 
 Sep 26 2009 	 fairly Functional Central London Hotel 	 stay hotel one night business trip London . the hotel fairly convenient Liverpool Street Station take 10 min walk . hotel lobby bustle people go check quick efficient friendly receptionist . able prepay room mean morning could drop room card leave . my room twin decent size . furnishing decor nothing write home perfectly acceptable . bathroom / shower pod little strange shower really good guess 's neat design maximising room space . good flat screen television . my room first floor think face back build quiet 's central location , imagine room side hotel could nosier would face street . overall functional frill central London hotel . 
 Sep 25 2009 	 price ok QUALITY ok 	 nice , good room , good service , underground station near good hotel . 
 Aug 30 2009 	 pretty good 	 plus point : -very close Aldgate East underground ( 2 min walk ) eastern european lady check - in nice efficientroom spotlessbathroom pod great , nice showerminus point : -Do not expect much view , lot building work close bytraffic noise mean window closed night ( lot angry London driver ) £ 89 Saturday night , tad expensive . overall put lack view traffic noise hotel great . 
