fantastic 	 Hotel great location , across road New Scotland Yard within easy walk distance Westminster Cathedral , St. James Park Houses Parliament ( whichever direction choose take ! ) superior room book large sofa bed provide child double bed . preparation Christmas underway arrive ideal hotel want kick - start festivity . 
 Great Hotel : victorian elegance 	 Beautiful Hotel splendid historic decor . friendly staff , clean cosy prime location tourist . notice review good price pay competitive decide take gamble well worth . superior room package non smoking room maybe go superior room ? / 
 Nov 23 2009 	 good quiet location pricy quality 	 Stayed weekend . last visit 20 year ago much change visually . faded glory - grand old lady need bit face lift . good point : location great ( circle line Paddington 1 min walk St James ' tube . quiet spot ( weekend ) good access lot place interest .. cosy lounge fire , nice staff , .However , spoil price charge get ! £ 171 double ( room ) whop £ 21 breakfast good value . funny thing receptionist sell breakfast couple check next £ 12 per night ( ex VAT course ! ) double room extremely small - one small , lumpy double bed space around - pay £ 30 night upgrade big room one tiny bathroom ever . room clean tidy big window , sofa , coffee table dress table plus tea / coffee maker . disappointment weedy shower , revolt toiletry , gloomy light full length mirror iron . would recommend could get bargain price . 
 Nov 22 2009 	 embarrassment NH chain . 	 Booked & quot ; Superior & quot ; double room one night . first room dark , poorly light large room good view bathroom floor flood . general manager helpful arranged bag move another room whilst go theatre . return give much small twin room . general manager long duty desk clerk inept unable arrange proper service . asked & quot ; Superior & quot ; double room transfer . time tell would upgrade free charge & quot ; Deluxe & quot ; room . stay Deluxe room NH hotel Europe , expect something special . room even small last soon turn tap bathroom floor flood . late still totally unacceptable - £ 158 one night nothing 2 star hotel room without breakfast - dissappointe . 
 Nov 21 2009 	 pay 4 star get 2 	 arrive 18:00hrs Friday find record booking Travel Republic week , even though receive confirmation book Travel Republic . call central reservation Hotel Chain show record booking say could help us - book reference provide match system . call Travel Republic normal line say Office shut option offer contact - log incident Web Site ask re we . pleasantly surprise quickly receive call back say would investigate . shortly , say Agent , GTA Travel go back Hotel re - confirmed booking . give room ! however , smoking room ( other ) smell badly smoke leave clothe smell afterwards . bathroom leak behind toilet quickly sort we report , housekeeping do ? book superior room tell we come king - sized bed . fact , two ( old poor , uncomfortable matresse push together big ridge middle - good ! apart , room large ok except large ugly access vent hatch bed leave stare lie bed ! book meal Crystal Room week ( look lovely ) find evening use ( explanation staff speak English well ) use restaurant already decide like look ! ! food nice . would recommend Travel Republic quickly sort problem - convince Hotel facility / service money even though pleasant enough - need lot get thing right 4 - star rating badly need invest new bed ! ! 
 Nov 20 2009 	 Faded Glory ... still nice 	 's need lick paint , still nice hotel . try stay whenever ' m toward touristy bit around whitehall . lobby masterpiece moulding - really nice space . bar like gentlemans club , wood subdue lighting . staff pleasant accommodate , always ready greeting . room small ( London ! ) clean tidy . reasonable , cheap , madly expensive get bit character ... usually breakfat , confirm full English exactly nice ... one thing , . popular Italians , watch fashion parade breakfast - dress well ! 
 Nov 14 2009 	 could well 	 recently stay hotel admittedly 2 night get snap shoot place enough . admittedly 's location superb 's quiet room comfortable , not get room book get free upgrade smoking room top floor , non smoker concern may smell , admit ok corridor smell smoke occasion . the lift totally inadequate fit 4 adult baggage 2 adult 2 case ! end walk stair time 6th floor . the Hotel class old fashioned quaint really border bit shabby , carpet wear . first morning meet huge queue breakfast despite Saturday conference mean one breakfast room use . food constantly run , tepid , even next morning queue food tepid . although could not describe place awful , choice would stay else next time . way park Hotel £ 24 per 24hrs ! ! 
 Nov 10 2009 	 perfect location weekend London 	 hotel quiet location , close enough able walk sight tube round corner . room corridor could refurbish find everywhere clean tidy . staff polite helpful . breakfast good lot choice . would use hotel would recommend . perfect base weekend London . 
 Nov 9 2009 	 Faded grandeur well comment suggest 	 stay St. Ermin 's time past several year , slightly nervous return visit read negative review . , stay weekend November 6th pleasantly surprised accommodation . agree comment area hotel wear need updating , prime location ( one block St. James 's Station District Circle Lines Underground 10 - minute walk Victoria Station ) , friendly service decent breakfast outweigh creaky aspect old hotel . book via hotel 's website ( NH Hotels ) arrival upgrade kind - size bedroom ( second floor ) . rate pay room ( € 126 / night ) include full english breakfast , think good value Central London . unlike reviewer , find bed comfortable . would stay St. Ermin 's . 
 Nov 5 2009 	 great location value money 	 hotel Priceline £ 80 per night bit apprehensive read previous review . arrive 12.00pm friendly receptionist allow we check . email early week ask non smoking room bring daughter London weekend treat . upgrade superior room without ask 4th floor think must renovate part hotel spotlessly clean tidy . not eat breakfast hotel cafe next Scotland Yard , road tube entrance . reasonably price staff friendly . in afternoon walk Buckingham Palace , Big Ben , Trafalgar Square , Covant Garden back hotel along Thames pass Houses Parliament . 
 Nov 2 2009 	 Jolly awful 	 tired hotel lengthy corridor poor signage . bed really bad , room small badly design . tea / coffee make equipment supply ( can not remember last time come across british hotel without ) . breakfast warm hot buffet good . good location adjacent St James Park Tube well avoid . 
 Nov 2 2009 	 peel edge ! ! 	 stay 30/10 1/11.the hotel ideally position good pub , good tube local shop . this hotel slowly decay around grand reception entrance hall .. carpet tired , room miserable tiny dark noisy , fan go night ! swap room BEDS terrible room . they break mattress board divan mattress cover collapse divan . this make bed like rock ! ! staff excellent helpfull do not sleep 
