slide 	 hotel way . go several year start great value find . time pass standard slip . dirty towel , disintereste staff , staff reception ... sense Service 
 Nov 18 2009 	 Decent hotel quiet area 	 stay Jury 's Inn Chelsea November 2009 , think hotel good although area London appear commercial residential present . room basic clean , book single , room double single bed . flat screen tv good selection channel . bar ok guest late . walk around neighbourhood could find anything open night ( not look like anything open day matter ) .The new Imperial Wharf overground station open , less 100 m front door Jury 's Inn ( build across courtyard station entrance back onto Jury 's ) . day train service fine , evening service patchy though , wait long 25 minute train . single stop West Brompton Station ( District Line ) 3 stop Shepherd 's Bush ( Central Line ) . zone 2 station London travelcard valid line . hotel good value simple accomodation , make sure live evening train timetable though . 
 Nov 15 2009 	 Superb value - ticks box 	 occasionally stay London business , hotel become fairly regular haunt , stay quite ! ! location necessarily 's main selling point , however improve apart get normal taxi bus , overland train close take West Brompton tube station . new conveniently situated station . sometimes take car , luckily good secure car park close by . the overland destination train Stratford Olympics 2012 hotel must place stay . the room comfortable , staff unintrusive polite , can not praise ' value money ' aspect enough . the criticism full english Breakfast , appalling , ( Jurys please read improve ! ! ) food item cold , , , good . however continue stay probably Olympics hotel go busy . 
 Nov 3 2009 	 Great Value Money Chelsea 	 stay Jury 's several time child back another family December . yes hotel fairly basic value money , great location , park 2 min walk away , enough space family room child always enjoy buffet breakfast . rare occasion encounter problem , deal quickly efficiently . 
 Oct 30 2009 	 FANTASTIC ! hotel budget ! ! ! 	 first time london , pay cheap hotel deal thought & quot ; pay get & quot ; WRONG ! ! ! ! lovely family room BIG bathroom ( not ready time , go sightseeing ) . staff friendly helpful direction . request extra pillow send room 5 mins.ate bar everynight reasonable indeed.i would return another trip future . C2 bus stop overground train around corner , handy . a trip switch plunge we darkness one night room key not work another night staff quick mark help , add fun ! ! niggly thing ( not put visit bar staff speak little english , frustrating order drink , one actually curse breath send back flat coca - cola another see sweep restaurant table floor broom ! ! ! ( chef 25 year belt , good practice ! ! ) .but good side waiter call sandeep shetty ( think that s right ) work day hotel brilliant helping serve we new member staff , start credit hotel . I HESITATION recommend JURYS INN CHELSEA ! 
 Oct 29 2009 	 good value ; way location 	 husband 2 grow child London recently see NE Patriots play Wembley Stadium go Chelsea Premier League match ; get great deal Jury 's Chelsea British Airways package . arrive hotel 6am front desk clerk kind enough allow we check room immediately . able rest shower 10:30 ready go explore London . little bit rest clean long flight make huge difference feel rest weekend ! hotel equivalent Hampton Inn Holiday Inn Express decor , clean room decent size UK . internet $ 15.00 / day . breakfast ok , one dinner fair . the main drawback location - new Imperial Wharf station Overground right across street , train run often enough . , come back hotel last day station announce next stop , train stop ; speed station need take taxi back hotel next stop . the Fulham Broadway stop tube good 10 - 15 minute walk , day walk city grab cab back hotel . not restaurant place shop within close walk . year , area develop , great place , , think would rather someplace access right & quot ; home base & quot ; .We find staff quite helpful . realize room phone hook desk clerk come immediately screw driver fix it . we love London plan come back , probably stay somewhere else close tube stop . 
 oct 9 2009 	 stay price right 	 would stay February 2009 . place pleasant quiet . outside exterior look nice . the room okay furniture , upholstery , equipment bit old / stale . elevator seem slow . coffee pot dirty coarode . people friendly go way help . ask direction think well - verse go certain destination . price ( 2 1 specially ) , price could not beat especially free breakfast package . there be much go around immediately chelsea pier open . 
 oct 8 2009 	 Great Staff Good Hotel 	 return two - night stay hotel attend daughter 's wedding . say staff extremely helpful polite help arrange taxi lot people one occasion . hotel clean bright room fine - comfortable , good , quiet grave night . breakfast great plenty choice good hot food . would recommend hotel anyone stay London especially new overground station open next hotel . parking could issue hotel not 's car park could relatively pricey park nearby public car park . 
 Sep 22 2009 	 2nd time enjoy first time round ! ! 	 partner stay Chelsea week back second time , be not gem place before . check be not friendly last time . seam interested something . bedroom . got nice corner room , 528 , big bed lot window . bonus . still print local area last time stay , lead say shame Gary long work take time print us direction still great . but still great time see sight again . we dine Restaurant time food good service lack personal touch . think girl serve we spend time Kitchin Restaurant . come kitchin be not nothing moan would dine again . the bar quiet , football time , barman , Jose think name , really great . friendly always ball come service . member staff take note ! ! ! member staff bump friendly except one rude guy ( think indian ) . could not bother help try ask something check guy leave poor girl reception ( sorry can not remeber name blonde ) long que people . other , still like hotel look Jurys stay go part country . 
 Sep 11 2009 	 disappointed round ! ! ! 	 receptionist polite slow , room old vomit stain carpet right next lift 3rd floor , night early morning noisy drunk early traveller use lift , order meal bar ..... sandwich still take 45mins arrive 1100 even busy time ! check speak duty manager stay , shugge shoulder say well someone stay room ! ! ! unbelievable ! ! ! top , ask bill settle use switch , ' ve find cost take card credit debit visa reserve room ! would never recomend stay one group hotel . 
 Sep 3 2009 	 GoodClean Friendly Staff . 	 , mum son ( 14 ) stay 2 day 26 - 28 August please Jurys inn . the room stay spacious clean comfortable.the staff friendly andi 10 min walk Fulham Broadway tube station.will 100 % stay next London break . 
 Aug 27 2009 	 ideal place stay .. friendly clean convenient 	 stay Jurys inn Chelsea harbour 2 night city break . , london little unsure location stay , glad find little gem ..... even though little away , ideal base , hussle bustle , easy convenient transport tube station clean comfortable accomodation.check easy , receptionist friendly check departure , room fine , lovely comfy bed , breakfast serve later morning , usual choice english breakfast fresh fruit etc , nice . it easy get around , do not bother taxi , purchase 3 day peak pass , ( use 9.30 ) bus , tube overground , pay 1st day . c3 bus earls court tube come every 5 min , hop piccadilly line covent garden , soho , leicester square , basically get everywhere way.we use bus tube ton , eat covent garden , china town make sure get tube back earls court time c3 bus bagley lane , right jurys inn , bus run unitl midnight ! get anywhere , need take 10 minute bus ride earls court tube , see major sight , wear comfy shoe , think 3 day walk good 20 mile .... car park near hotel expensive park outside london , Hillingdon tube , cost £ 8.70 3 day , go ticket office purchase 3 day pass get tube earls court , easy.we save load money way . I would definately stay hotel , brilliant we , hope return next year .... also tube nextto hotel open , easy ? easy . can not wait ..... 
 Aug 18 2009 	 great location clean hotel 	 stay 3 night 12 15 year old child . need taxi 's car , C3 bus service excellent Earls Court 391 Fulham Broadway , regular service stop accross road hotel . Imperial Wharf train station open later year , hotel appeal . since read early review hotel notice reduce breakfast rate £ 8.50 £ 4.50 kid . although room beside lift hear one sound come corridor face road , sound night . would definitely recommend hotel base London , heart city lovely area . 
 Aug 3 2009 	 Good Hotel 	 stay hotel Mum one night . impressed moment arrive , 10.30am , hope drop luggage come back ready check- , instead give opportunity check- , lovely . the hotel relatively close Fulham Broadway underground station , though would not call within walking distance ( say hotel website ) , instead bus cost £ 2 adult single journey not return . hotel situate inside Zone 2 Underground network mean buy Zone 1 2 ticket , unfortunate exception hotel everything else visit Zone 1.the room good size , clean everything would need . breakfast also nice , wide variety different food choose from . all good hotel would stay . 
 Jul 28 2009 	 great hotel 	 stay hotel 3 night London watch Celtic Wembley cup . arrive hotel 11 am surprised find room ready we check , great start weekend . we book triple room give room 3rd floor , room spacious exactly short stay - clean comfortable . we travel nearby Earls court Tube use C3 bus convienient , hotel even accessible new Imperial Wharf station open . we order food bar two night , food delicious good value . also good could phone food order bar would ring collect ready . we really enjoy trip London ( Celtic Cup ! ! ) would stay hotel visit London . the negative aspect hotel breakfast issue , £ 8.50 expensive buffet style breakfast alot people would around £ 5 ! ! 
 Jul 26 2009 	 functional 	 hotel Chelsea area fully book Wimbledon fortnight take 2 room Jury 's Inn . it quite long walk near tube & amp ; local amenity near hotel site . room book line expensive ( Laura Ashley floor ) give standard low floor . delay & amp ; long wait reception change . hotel clean & amp ; functional lobby , restaurant & amp ; particularly bar devoid atmosphere basic style . previously stay hotel adjoin Chelsea F.C . little expensive well worth extra . 
