Excellent 	 much research choose stay K & amp ; K London business sightseeing disappoint . location roughly 150 yard Earl 's Court tube station . rely heavily mass transportation trip . ExCel convention center bit trip take little hour reach South Kensington area much nice area around ExCel . also use train system number trip meet client . connection Victoria several station easy Earl 's Court tube station . it quiet . hotel block main drag . addition , get room overlooks courtyard . minimal noise city within hotel . the room small ( typical Europe ) well design . internet free ( although wifi room may need connect via cable ) .The bed comfortable bed new . the bath well design plenty light . the staff attentive . case early package arrive schedule . deal concern professionally notify we promptly arrive . learn also schedule stay sister hotel Paris phone ahead , confirm reservation ensure well care . class act ! really enjoy hotel location . wide range restaurant foot hotel . use restaurant hotel look clean active morning . I stay Hotel George . 
 Nov 15 2009 	 stylish comfortable 	 book package airfare via Virgin Atlantic . location excellent - one street back busy Earls Court Rd . , tube station close - amenity ( free internet , small stylish room ) right . cater business traveler , strong german influence , great buffet breakfast . affordable package deal . 
 Nov 15 2009 	 great breakfast nice room well locate 	 spend 4 night hotel , together friend . think expensive , well worth money pay . we always early breakfast , ideal . crowd , good service , friendly . also welcome reception good . less friendly guy barkeeper . room nice , bathroom functional great walk - in shower , modern good condition . bed good . television ok , limit volume experience neighbour feel like watch tv 1:30 ! night trouble sleep . Hotel George ideally locate . quiet evening morning , still close Earls Court Underground . 
 Nov 9 2009 	 pleasant stay 	 ideal location . Tube round corner . walk distance V & amp ; , Natural History museum etc . breakfast really good , overlook lovely garden . would not recommend bar food plenty eat place close . room clean . although bathroom small everything need . strangely low toilet though , seem child height . would definitely stay handy travel clean . decaf room though ... 4 day , hey , could ask . 
 Nov 8 2009 	 Hotel Great Welcome Great 	 return two night stay attend event Earls Court . unfortunately disappoint first impression actually ' feel welcome . excitedly hand book reference reception immediately dismiss ask name instead demand manner . instantly feel unwelcome excitement diminish . give name process booking , , mechanical , unfriendly manner . ' rude ' welcome either . family room meet need completely ' issue space . wardrobe plenty hanger safe handy easy use . bed huge comfortable . request extra pillow provide one additional one wardrobe state . extra pillow bed return evening . two peaceful night although could hear man next door break wind morning bit putting ! bathroom small everything need well equip . ample surface space toiletry bag include handy shelf sink . even pull washing line help dry towel . shower lovely , great pressure , heat ample space although ' appear expelair strange . we experience problem housekeeping , room spotless staff friendly . breakfast incur slight wait table service choice fine . slight gripe would ask tea / coffee serve even take . problem seem server also clear table , busy try keep queue ' time keep tea / coffee serving . would efficient staff assign task experience America . location fantastic especially attend Earl ' Court , ample choice eatery . eat Zizzi ( Italian ) would highly recommend next street hotel . for tv fine 14 year old disappoint channel choice fuzzy screen channel . check slow frustrating due fact receptionist answer telephone whilst deal we hold , however apologise proceed check out . all hotel fine ' get first unwelcome impression head reason would stay , shame . 
 Nov 4 2009 	 Champagne breakfast mark 	 follow efficient welcome reception staff go small yet adequate room . clean free wifi mini - bar . public area well decorate car park clean . buffet breakfast would expect addition bottle bubbly wish nice touch . 
 Oct 31 2009 	 okay nothing special 	 stay one night mother close usually stay needed night quite take champagne breakfast . we stay executive room small quite nicely lay nice desk area near window overlook garden . bed comfortable trouble exterior noise ( apart man snore room next door suppose unavoidable ! ) . also nice see many global tv station tv.sadly reason choose hotel , champagne breakfast , not quite live expectation . breakfast room far small large queue breakfast . whilst quite large selection food choose , not cover croissant meat cold . also could not help think people reach across buffet table hair etc . would easily fall yoghurt cereal below . the staff quite friendly helpful . might stay deal . 
 Oct 28 2009 	 great location comfortable hotel quiet 	 quiet location lovely neighborhood 1 block restaurant shop underground station . room small , adequate quiet . bath shower , friend . breakfast room much small - always line get . breakfast copious excellent ( buffet ) . 
 Oct 27 2009 	 Nice well locate hotel perfect city trip 	 hotel teenage daughter . perfectly locate Kensington near Earls Court tube station . room small sensibly equip . get pay . nice bar . receptionist service average friendly helpful . 
 Oct 25 2009 	 Excellent hotel 	 return one night stay K & amp ; K. Chelsea game want stay . book hotel Airmiles pay aprox £ 114 pound double room buffet breakfast . we arrive 12 md want leave bag - not expect get room pleasantly surprise able . reception staff polite , helpful attentive . the hotel 2 minute walk Earls Ct tube quite back street . recpetion bar clean smart overall feel relaxed high service . complimetary tea coffee reception . hotel fully book . internet use free several station dot around . room small well lay tea / coffee , safe mini bar . bathroom small spotless new . excellent walk shower plenty toiletry decent sized towel . the bed comfortable could open window . room face beautiful garden really rarity London.we drink bar typical hotel price serve care . buffet breakfast excellent offer could want . staff great . position wise hotel good . many restaurant within minute . lot chain like masarla zone waggamama many independant japanese lebanese . also many pub bar . we stay many hotel Chelsea think one really well value convenience . definitely go back . 
 Oct 17 2009 	 Great Hotel 	 stay 5 night Sept . front desk restaurant personnel friendly willing answer question . standard room queen bed . room bathroom small , however , extremely clean . good water pressure shower . quite , lot noise hall . breakfast buffet include room price . buffet good . lot choice wll stock . glad pick hotel definitely stay . close Earl 's Court tube station . many good restaurant walk distance hotel . 4 computer high speed internet basement 1 main level . free charge . downside bed . comfortable , however , husband complaint . restocked bathroom amenity every day . 
